Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),H2X(49),HOX(22),C2H4(47),H2OX(23),C2H6X(52),CH4OX(60),C2H4X(205)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.954475442754078e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.1834819644753848e-65,2.6489253826586836e-36,0.0,1.5518087271187506e-54,0.0,5.2552967771871104e-20,-4.7596583628152009e-106,5.255296777187022e-20,2.1155103495609023e-72,2.7464695825458564e-70,0.0,0.0,3.8894740668100403e-50,9.3787209643736411e-86,2.870061841740908e-18,8.4977430085419995e-20,3.4019314764104544e-22,3.4019314764016617e-22,2.9751714871615991e-37,1.807271087047849e-52,8.0348610209985875e-38,1.4703891631037581e-98,2.7942691959483647e-54,2.7413489945616758e-71,4.7000433202815736e-87,2.6892261075668509e-115
1.667253123971142e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.6475817990482694e-64,1.5999509311258444e-35,0.0,2.3450933316608153e-53,0.0,1.4714830976124189e-19,9.1885852456225667e-105,1.4714830976123657e-19,5.9660776262882386e-71,8.6353398054888588e-69,0.0,0.0,4.617583612114779e-49,4.8546960455018001e-84,8.0361731568745403e-18,2.3793680423917604e-19,9.5254081339494347e-22,9.5254081338963286e-22,1.7970035782439043e-36,2.1455922345431995e-51,4.8530560566807371e-37,1.3847122828232583e-96,3.3173563894174417e-53,7.7310427272064083e-70,2.7069843111330359e-85,4.5854459614018992e-113
3.81086428336261e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.2313346152038154e-63,7.7030750127714418e-35,0.0,2.5227443923122073e-52,0.0,3.3633899373999484e-19,9.7021759511365131e-103,3.3633899373996917e-19,1.297752198271424e-69,1.9264968076746412e-67,0.0,0.0,4.5335709722672665e-48,2.1197502851582407e-82,1.8368395787141792e-17,5.43855552546688e-19,2.1772361449028049e-21,2.1772361448772366e-21,8.6517986846404094e-36,2.1065551790629505e-50,2.3365375849027712e-36,1.2102456823587263e-94,3.2570001747587922e-52,1.6816706591203181e-68,1.2139253843436522e-83,8.0142533855942063e-111
8.098086602145546e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,9.3090104762629755e-62,3.36413523597652e-34,0.0,2.3188367270216198e-51,0.0,7.1472036169754613e-19,7.6687614929543328e-101,7.1472036169743385e-19,2.4058138621186076e-68,3.6081153111995679e-66,0.0,0.0,4.0098921839047917e-47,7.8912988261890744e-81,3.9032841047676236e-17,1.1556930491617121e-18,4.6266268079187899e-21,4.6266268078071251e-21,3.7784677886688615e-35,1.8632241999028052e-49,1.0204273496630809e-35,9.0288082959489453e-93,2.8807797701738203e-51,3.1175339857788432e-67,4.5670906921180599e-82,1.1969488205901962e-108
1.6672531239711417e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.5701112633388774e-60,1.4044602378856266e-33,0.0,1.9838136398585067e-50,0.0,1.4714830976128305e-18,5.4353465617915321e-99,1.4714830976123612e-18,4.134979340845614e-67,6.2321219250359866e-65,0.0,0.0,3.370555994687677e-46,2.7186720947326553e-79,8.0361731568744916e-17,2.37936804239176e-18,9.5254081339518026e-21,9.5254081334856252e-21,1.5774359224693478e-34,1.5661522076981908e-48,4.2600833132997915e-35,6.2280211937774033e-91,2.4214689767545667e-50,5.3582443881303507e-66,1.5814385055538059e-80,1.6522102464213946e-106
3.382142051484316e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.5789210235435661e-59,5.7376783358539574e-33,0.0,1.6402554806256767e-49,0.0,2.9850085694441246e-18,3.6577390630181591e-97,2.9850085694422087e-18,6.8534250123928832e-66,1.0354763787207291e-63,0.0,0.0,2.7633854448389163e-45,9.0222814658292514e-78,1.6301951261088142e-16,4.8267180288518538e-18,1.9322970786022e-20,1.9322970784117511e-20,6.4443404478505796e-34,1.2840262028017551e-47,1.7403830365638773e-34,4.1360598924773082e-89,1.985266566007308e-49,8.8808971182519337e-65,5.2615455191413805e-79,2.1951062154533812e-104
6.811919906510665e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996499,0.022821567693054282,0.0,4.1805490004022576e-58,2.3192613209359984e-32,0.0,1.3338285161665006e-48,0.0,6.0120595131096174e-18,2.3999763877801382e-95,6.0120595131018744e-18,1.1159025998144555e-64,1.6880878378932549e-62,0.0,0.0,2.237861178801014e-44,2.9397790585563429e-76,3.2833507469515094e-16,9.7214180017720376e-18,3.89180960901791e-20,3.8918096082480857e-20,2.6049054450760798e-33,1.0398377096561602e-46,7.034906496978822e-34,2.6961241948833747e-87,1.6077203364545252e-48,1.4460238734695151e-63,1.7165820053275484e-77,2.8622065179818396e-102
1.3671475616563362e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996466,0.022821567693054278,0.0,6.7326508126855569e-57,9.3256477666648251e-32,0.0,1.0757810195372908e-47,0.0,1.206616140045222e-17,1.555148982527131e-93,1.2066161400421086e-17,1.8010712950644459e-63,2.726266366774831e-61,0.0,0.0,1.8012253661645283e-43,9.49236843807942e-75,6.5896619886367627e-16,1.9510817947612388e-17,7.810834669856013e-20,7.8108346667605813e-20,1.0474210226071265e-32,8.3695185256730042e-46,2.8287049616964704e-33,1.741375398029575e-85,1.2940331949490813e-47,2.3338883616928281e-62,5.5462790452965688e-76,3.6975561478776052e-100
2.7390587036668757e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999855,0.11866996602996398,0.022821567693054268,0.0,1.0807400036430296e-55,3.7400018542231973e-31,0.0,8.6412581836206124e-47,0.0,2.4174365175183891e-17,1.0014724107126325e-91,2.4174365175059032e-17,2.8942732200520416e-62,4.382393559204314e-60,0.0,0.0,1.445369919044301e-42,3.0512370138369269e-73,1.3202284472006719e-15,3.9089617839293018e-17,1.5648884791558945e-19,1.5648884779144877e-19,4.2006267706146436e-32,6.7160115229839454e-45,1.1344372064849957e-32,1.1195799760653914e-83,1.0383801430406581e-46,3.7504959422650044e-61,1.7833719966900224e-74,4.754700570273692e-98
5.482880987687955e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999716,0.11866996602996263,0.022821567693054247,0.0,1.7320023353018749e-54,1.4979515162979628e-30,0.0,6.9270380071926669e-46,0.0,4.8390772724833103e-17,6.4292615449089649e-90,4.8390772724333015e-17,4.6409074577279681e-61,7.0281663915417419e-59,0.0,0.0,1.1580547967701126e-41,9.7858986900665454e-72,2.6427529438744431e-15,7.8247217622653989e-17,3.1324985035071714e-19,3.1324984985350674e-19,1.6824417431009396e-31,5.3809818911099189e-44,4.543666018373346e-32,7.1816723067712666e-82,8.3196771191361685e-46,6.0138429462026835e-60,5.7205292654810744e-73,6.100023071895569e-96
1.0970525555730114e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999444,0.11866996602995994,0.022821567693054209,0.0,2.7734606488821863e-53,5.9957098395058112e-30,0.0,5.5472484804775016e-45,0.0,9.682358782487498e-17,4.1210870475958197e-88,9.6823587822873332e-17,7.4335173737562882e-60,1.1258152715597829e-57,0.0,0.0,9.2714798407506137e-41,3.1350023142228971e-70,5.2878019372211042e-15,1.5656241718937476e-16,6.2677185522524868e-19,6.2677185323511141e-19,6.7341515386484186e-31,4.3080573802341172e-43,1.8186505203941707e-31,4.6015122412924999e-80,6.6608004012636989e-45,9.6326001825367686e-59,1.8327706715936302e-71,7.8170051050861228e-94
2.194581469181443e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.452307276799989,0.11866996602995455,0.022821567693054129,0.0,4.4393434570902632e-52,2.3990649131742666e-29,0.0,4.4400471121660199e-44,0.0,1.9368921802793265e-16,2.639532636434866e-86,1.9368921801992347e-16,1.1900083829182471e-58,1.8023520356586099e-56,0.0,0.0,7.4200016608415355e-40,1.003763441279512e-68,1.0577899923910904e-14,3.1319281632281172e-16,1.2538158649914168e-18,1.2538158570282752e-18,2.6945377765350623e-30,3.4477552107603793e-42,7.2769709796333431e-31,2.9466463214855471e-78,5.3306646519734732e-44,1.542052623351872e-57,5.8683906935513672e-70,1.0011514583913843e-91
4.389639296398306e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997812,0.11866996602994379,0.022821567693053973,0.0,7.1043949882766597e-51,9.5978218299460243e-29,0.0,3.5529372399235923e-43,0.0,3.8742047844594333e-16,1.6899529970781723e-84,3.8742047841390153e-16,1.9045300419243177e-57,2.8846015990207424e-55,0.0,0.0,5.9371286803426171e-39,3.2129436067529495e-67,2.1158095897276414e-14,6.2645361458966739e-16,2.5079038845921729e-18,2.5079038527344219e-18,1.0779905661504893e-29,2.7587280031505858e-41,2.9112622365884384e-30,1.8863909299995052e-76,4.2653416002992716e-43,2.4679536629917653e-56,1.8784491343359345e-68,1.2818418591158642e-89
8.779754950832033e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999563,0.11866996602992223,0.022821567693053661,0.0,1.1368188367518367e-49,3.8394411896754457e-28,0.0,2.8427096550138337e-42,0.0,7.7488299932954656e-16,1.0817786398369475e-82,7.7488299920136889e-16,3.0476614280042018e-56,4.6160332984515278e-54,0.0,0.0,4.7501539259023406e-38,1.0282860703967938e-65,4.2318487843951055e-14,1.2529752111233054e-15,5.0160799240673627e-18,5.0160797966259906e-18,4.312313187305409e-29,2.2071919586990924e-40,1.1645996684364278e-29,1.2074621518908928e-74,3.4125972235877051e-42,3.9492615082556986e-55,6.0119398869422024e-67,1.6409931306563849e-87
1.7559986259699485e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679991273,0.11866996602987913,0.022821567693053033,0.0,1.8190026159738775e-48,1.5358389696317007e-27,0.0,2.2743116765325288e-41,0.0,1.5498080412870806e-15,6.9240512741265021e-81,1.5498080407743486e-15,4.8765889927631463e-55,7.3861897745543228e-53,0.0,0.0,3.8003035314629839e-37,3.2907460230650945e-64,8.4639271737074855e-14,2.5060184041902875e-15,1.0032432004112456e-17,1.0032431494326235e-17,1.7249954512732655e-28,1.7658373938697581e-39,4.658588212935086e-29,7.7283080591729243e-73,2.7302072947304891e-41,6.3192469574547196e-54,1.9239651496701691e-65,2.1006219671481515e-85
3.512044887743439e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679982557,0.11866996602979293,0.02282156769305178,0.0,2.9104780432095672e-47,6.1434808682510854e-27,0.0,1.8195069215995603e-40,0.0,3.0996581259634582e-15,4.4316065737419231e-79,3.0996581239124885e-15,7.8028069503362046e-54,1.1818332409913675e-51,0.0,0.0,3.0403149649211686e-36,1.0530756207385189e-62,1.6928083952242052e-13,5.012104790323079e-15,2.0065136168581502e-17,2.0065134129395213e-17,6.9001220747845466e-28,1.4127034466945298e-38,1.86347318155723e-28,4.9462932339835509e-71,2.1842175340711459e-40,1.0111137965940076e-52,6.1569191739229503e-64,2.6888925958607164e-83
7.024137411290421e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679965121,0.11866996602962053,0.022821567693049275,0.0,4.6568235517249152e-46,2.4574173454487144e-26,0.0,1.4556285659526913e-39,0.0,6.1993582983614524e-15,2.8362966027260473e-77,6.1993582901574899e-15,1.2484702729453219e-52,1.8909673456743662e-50,0.0,0.0,2.432280798666319e-35,3.3699009931997748e-61,3.3856397508950423e-13,1.0024277562583967e-14,4.0130544515035031e-17,4.0130536358207601e-17,2.7600768156941443e-27,1.1301761700767751e-37,7.4539684226333804e-28,3.1656839861706048e-69,1.7473945317416542e-39,1.6178094974105366e-51,1.9702508348508404e-62,3.4418442383260584e-81
1.4048322458384383e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679930255,0.11866996602927572,0.022821567693044262,0.0,7.4509633349479807e-45,9.8297193781612323e-26,0.0,1.1645120581771178e-38,0.0,1.2398758655338386e-14,1.8152517010373233e-75,1.2398758622522377e-14,1.9975693513732742e-51,3.025574626182369e-49,0.0,0.0,1.9458361224117498e-34,1.0783777438642647e-59,6.7713024620924078e-13,2.0048623107086971e-14,8.0261361278003808e-17,8.0261328650533666e-17,1.1040362687324109e-26,9.0414630102982325e-37,2.9816024307722535e-27,2.0260557354031497e-67,1.3979235470717473e-38,2.5885171204229483e-50,6.304860028886521e-61,4.4056000428752179e-79
2.8096692552572308e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679860522,0.11866996602858611,0.022821567693034239,0.0,1.1921573716209776e-43,3.9318977504378702e-25,0.0,9.3161331892247199e-38,0.0,2.479755941801604e-14,1.1617680739773948e-73,2.4797559286751696e-14,3.1961244485359518e-50,4.8409394436927974e-48,0.0,0.0,1.5566734156720778e-33,3.4508237651832916e-58,1.3542627883909906e-12,4.0097314196017879e-14,1.6052299508418829e-16,1.6052286457402083e-16,4.4161557220538103e-26,7.2331918656898613e-36,1.1926439225558515e-26,1.2966813780592293e-65,1.1183415580668496e-37,4.1416448878723007e-49,2.0175635147957456e-59,5.6391930761319951e-77
5.6193432740948164e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679721056,0.11866996602720688,0.022821567693014189,0.0,1.9074530597113536e-42,1.5727610999143194e-24,0.0,7.4529210841430595e-37,0.0,4.9595161138266111e-14,7.4353378367207799e-72,4.9595160613208503e-14,5.1138097613122333e-49,7.7455144816578719e-47,0.0,0.0,1.2453404185750974e-32,1.1042659404071568e-56,2.7085278725235973e-12,8.0194696373579291e-14,3.2104626381754493e-16,3.2104574177657233e-16,1.7664640680007345e-25,5.7865620715563217e-35,4.7705810938955313e-26,8.2987784741761738e-64,8.9467361738384549e-37,6.6266456742703566e-48,6.4562109575391957e-58,7.2181826230182968e-75
1.1238691311769988e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679442118,0.11866996602444843,0.022821567692974092,0.0,3.0519216666511066e-41,6.2910483983560922e-24,0.0,5.9623424295655503e-36,0.0,9.9190365358343709e-14,4.7586230647941467e-70,9.9190363258114741e-14,8.1821036676249538e-48,1.2392817350546076e-45,0.0,0.0,9.9627281557541515e-32,3.5336543492059308e-55,5.4170580398652398e-12,1.6038946072750041e-13,6.4209280576820856e-16,6.4209071760587077e-16,7.0658570283812635e-25,4.6292530824651476e-34,1.9082331208306798e-25,5.3112230932626947e-62,7.1573789470637204e-36,1.0602643705744564e-46,2.0659851696680074e-56,9.2392823163772779e-73
2.2477387387120327e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678884242,0.11866996601893154,0.022821567692893896,0.0,4.8830585124706287e-40,2.516420158456849e-23,0.0,4.7698757671814404e-35,0.0,1.9838077691679097e-13,3.0455206422509591e-68,1.9838076851589784e-13,1.3091370818526761e-46,1.9828455368927042e-44,0.0,0.0,7.9701813482647704e-31,1.130769672064866e-53,1.0834118370854234e-11,3.2077898943053534e-13,1.284185907605338e-15,1.2841775549763785e-15,2.8263407210460566e-24,3.7034038258452535e-33,7.6329306701702162e-25,3.3991833400234302e-60,5.7258807997951878e-35,1.6964236971407846e-45,6.6111259538505899e-55,1.1826283381910131e-70
4.495477953782101e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677768495,0.11866996600789775,0.022821567692733507,0.0,7.8128372697618091e-39,1.0065682227055192e-22,0.0,3.8159007009710955e-34,0.0,3.9676161250674486e-13,1.9491334148249943e-66,3.9676157890334658e-13,2.0946192504208519e-45,3.1725333923284796e-43,0.0,0.0,6.3761396493603615e-30,3.6184617731067931e-52,2.1668239018055084e-11,6.4155804681737264e-13,2.5683721830228065e-15,2.5683387726860975e-15,1.1305340770973558e-23,2.9627235882812711e-32,3.0531693616839042e-24,2.1754762394907265e-58,4.5806663193881162e-34,2.7142780118279365e-44,2.1155414269480481e-53,1.5137635160187314e-68
