Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),C2H6X(52),CH4OX(60),C2H4X(205),C2H4X(65),CH2OH(40),OCX(25),CH2OX(54),CH2(T)(34),CH2O2(181),O(29),COX(50),C3H6O(210),C2H3(46),C2H2(308),C2H2(331),C2H2X(333),C4H6(347),acetyl(43),C3H5(340)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.255787891247013e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.2297008460872764e-54,3.9332539694799363e-36,1.8923329219674113e-82,2.8077707205743858e-54,9.3502808840946474e-65,6.4038100489370947e-20,-1.560183435353133e-105,6.4038100489369647e-20,4.6780990428449004e-72,6.2940683310396602e-70,6.4371137383708077e-85,5.6651008145763217e-107,1.4167592921735759e-37,2.5271953643337065e-85,3.4972954643342948e-18,1.0354870284894464e-19,4.1454017991506511e-22,1.1930551208409159e-37,4.4176806885891473e-37,4.1454017991375951e-22,5.0558182481934964e-54,3.2699915884385462e-52,4.8280169400791928e-98,6.0440611415758947e-71,1.3125008423295255e-86,1.0759816894867364e-114,5.6321590651336204e-102,5.458096012709641e-86,3.5452447964316123e-98,2.0142021689220988e-81,9.5886877016208659e-41,2.5565060478186677e-56,9.8214269209857347e-29,8.6043944257392732e-100,-4.4637108448676027e-177,3.5455924464535514e-104,2.9238804783543038e-117,1.8361242463902525e-132,6.7637695046498841e-134,6.318941796587895e-229,3.0058882654518094e-118,-1.25528405308382e-151
2.0316206095491638e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,7.395900844499489e-53,2.3756853975658814e-35,7.8087647642152031e-81,4.2431031090988395e-53,2.0916204261686444e-63,1.7930668137024287e-19,3.0184145599241185e-104,1.7930668137023493e-19,1.3197482694095384e-70,1.9789557914153738e-68,2.656293000027436e-83,4.2645464795810161e-105,8.5572261247290659e-37,1.3085861845705079e-83,9.7924273001360238e-18,2.8993636797704499e-19,1.1607125037622068e-21,7.2060529298763197e-37,2.6682791359047672e-36,1.1607125037543212e-21,6.0022674242290377e-53,3.8821340137942283e-51,4.5482002944858487e-96,1.7045219454174115e-69,7.5593328627981996e-85,1.835277944295726e-112,5.3057368760202831e-100,2.2716371750315919e-84,2.6687704279068091e-96,8.3116616225923434e-80,5.7915673717791212e-40,3.0350839701277023e-55,2.7499995424663049e-28,6.4771733386843255e-98,8.5042027183396464e-175,3.340101082748658e-102,4.9871976503990624e-115,5.6556662798514981e-130,2.0833896827755665e-131,9.3701029132248585e-227,6.2816153381917778e-116,1.53166219525571e-149
4.643704250398089e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,7.2613393062758195e-52,1.1437902543247645e-34,3.0890696647955519e-79,4.5645367006336244e-52,4.1326894659024146e-62,4.0984384313200351e-19,3.187061689263821e-102,4.0984384313196537e-19,2.8709838311928137e-69,4.4149415086246394e-67,1.0508030879347384e-81,3.3718486476181539e-103,4.119936021641761e-36,5.7143088759499495e-82,2.2382690971739462e-17,6.6271169823324573e-19,2.6530571514565869e-21,3.4694042914011572e-36,1.2846615442371071e-35,2.6530571514186213e-21,5.893061750012854e-52,3.8115021954839233e-50,3.9755148605473202e-94,3.7077075451292221e-68,3.3899221408972749e-83,3.2079216019127867e-110,4.63766642366163e-98,9.0224214685082062e-83,2.1101141271821678e-94,3.2880106595162946e-78,2.7883903836315229e-39,2.9798634188253171e-54,6.285713261562967e-28,5.1213061616050577e-96,3.4458551486039362e-171,2.91953314067922e-100,8.7172295212561259e-113,1.9763688938986894e-127,7.2803916624286568e-129,3.1518316160222112e-222,1.1368203762141717e-113,1.235436354350745e-146
9.867871532095939e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,6.4225723844427649e-51,4.9952325412395077e-34,1.1024670067255365e-77,4.1955956282805289e-51,7.3538999956481306e-61,8.7091816665559223e-19,2.5191928301569366e-100,8.7091816665542564e-19,5.322505626283403e-68,8.2686968345161652e-66,3.750241531344599e-80,2.410056391439152e-101,1.7992843010614765e-35,2.127370380649987e-80,4.7563218314946258e-17,1.4082623587456471e-18,5.6377464468457357e-21,1.5151800034635936e-35,5.6104544744605062e-35,5.6377464466799297e-21,5.2123463809864361e-51,3.3712305280165051e-49,2.965965711506185e-92,6.8734649197175453e-67,1.275373433687117e-81,4.7912875670261496e-108,3.4599693555761838e-96,3.2259515420423564e-81,1.508217903889858e-92,1.1734676336988136e-76,1.21776333810603e-38,2.6356554109836758e-53,1.3357140773201085e-27,3.6604954542952894e-94,1.018451398288493e-167,2.1781418237912475e-98,1.3019879724993697e-110,5.9065994394917889e-125,2.1758264586047211e-126,8.2075892793772149e-218,1.7261635056133115e-111,7.8448297205572434e-144
2.031620609549164e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996523,0.022821567693054285,0.0,5.3985590782971147e-50,2.0854112546182508e-33,3.724986745814106e-76,3.5894203924549818e-50,1.2403426873215907e-59,1.7930668137030393e-18,1.7855452681687752e-98,1.7930668137023433e-18,9.1481823072504412e-67,1.4282117501560676e-64,1.2671218197586002e-78,1.6299222611871274e-99,7.5116577671136158e-35,7.3292411860774245e-79,9.7924273001359517e-17,2.8993636797704497e-18,1.1607125037625583e-20,6.3255782506592027e-35,2.3422543010470269e-34,1.1607125036933378e-20,4.3812912004820271e-50,2.83372239067525e-48,2.0459425923108572e-90,1.181373001909344e-65,4.4162132809497937e-80,6.6137791183127353e-106,2.3867095432816432e-94,1.0909417294529707e-79,1.0200038420211262e-90,3.9648818109780876e-75,5.0839222194010047e-38,2.2154271206917072e-52,2.7499996090256493e-27,2.4755947823512259e-92,2.4982250228623518e-164,1.5024965096870176e-96,1.7972331537924695e-108,1.6311161413168559e-122,6.0085768364245885e-124,1.6870621051238478e-213,2.4029874713518641e-109,4.459746925318898e-141
4.1212875222283037e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996513,0.022821567693054285,0.0,4.4260648998457384e-49,8.5195854280522221e-33,1.2246940784303912e-74,2.9678021930599686e-49,2.0372664773797224e-58,3.6373641077990108e-18,1.2016004485902221e-96,3.6373641077961674e-18,1.5162569978419609e-65,2.3729951834690127e-63,4.1660190900057048e-77,1.0722172475055092e-97,3.0687572972275402e-34,2.4323291805120745e-77,1.9864638237418477e-16,5.8815663218200533e-18,2.3545882219191475e-20,2.5842051139129499e-34,9.5688730783480809e-34,2.3545882216363596e-20,3.5920472323467228e-49,2.3232568221710087e-47,1.3587327054960915e-88,1.9580391128637897e-64,1.4693019752661332e-78,8.787064015916164e-104,1.5850397384220293e-92,3.5883428959947127e-78,6.7098646980099827e-89,1.3035663230310714e-73,2.0769481109232578e-37,1.8163409016946232e-51,5.5785707899484004e-27,1.6285288486332005e-90,5.59234673520483e-161,9.9782425727830203e-95,2.3878031744638858e-106,4.3348165204913489e-120,1.5968254789850184e-121,3.0889747011484668e-209,3.2063489337270929e-107,2.4041766396669782e-138
8.300621347586584e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999949,0.11866996602996492,0.022821567693054282,0.0,3.5843421097923132e-48,3.4437526464701353e-32,3.9722654609545517e-73,2.4133674553747777e-48,3.3024963915278089e-57,7.3259586959952687e-18,7.8841741469792899e-95,7.3259586959837686e-18,2.4688419787301777e-64,3.8685810616945305e-62,1.351238160807416e-75,6.9569105962748375e-96,1.240440764750478e-33,7.925425332754618e-76,4.0009060111983011e-16,1.1845971605919253e-17,4.7423396582348056e-20,1.0445770249146219e-33,3.8678914912337956e-33,4.7423396570917319e-20,2.9089329784252984e-48,1.8814336090945602e-46,8.8570488721233303e-87,3.188159106772254e-63,4.7936054566246194e-77,1.1457534367277568e-101,1.0332256181966326e-90,1.1641225899795242e-76,4.3535096506958361e-87,4.2280856682792592e-72,8.3953563397900313e-37,1.4709197882879837e-50,1.1235713621840584e-26,1.0566449690031494e-88,1.1969791994253825e-157,6.5044273805768483e-93,3.1134787323946003e-104,1.1305226643096949e-117,4.1645301169583015e-119,5.3468069292016643e-205,4.1898487003829163e-105,1.2628235542472345e-135
1.6659288998303143e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.1186699660299645,0.022821567693054275,0.0,2.8849903613456232e-47,1.3847177929712218e-31,1.2797179563982932e-71,1.9464682829837162e-47,5.3185674684754429e-56,1.4703147872405028e-17,5.1088385997512056e-93,1.4703147872358797e-17,3.9847294226432655e-63,6.2477687467849802e-61,4.3531927932603335e-74,4.4830051823648557e-94,4.987757758521386e-33,2.5590774585917814e-74,8.0297903861110039e-16,2.3774782174117623e-17,9.5178425308760452e-20,4.200198274903023e-33,1.5552621568979957e-32,9.5178425262797953e-20,2.3413623317737203e-47,1.5143414496236031e-45,5.7206124188905982e-85,5.1457016519764512e-62,1.5488146451446187e-75,1.4801507854720255e-99,6.6734228994537764e-89,3.7507804411091221e-75,2.805282233859654e-85,1.3621338261675949e-70,3.3757358601155836e-36,1.1839239459668146e-49,2.2550001165811669e-26,6.8089776427356895e-87,2.5058654801025217e-154,4.2010954877189712e-91,4.0221725229784936e-102,2.9210548704196013e-115,1.0760351267118023e-116,9.0027368807196632e-201,5.4185749570574171e-103,6.5485330336978246e-133
3.337662429973626e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999827,0.11866996602996369,0.022821567693054264,0.0,2.3150230757065223e-46,5.5533376799843575e-31,4.1089042132530624e-70,1.5635091783525959e-46,8.5374749484835228e-55,2.9457526225293539e-17,3.2899526205319124e-91,2.9457526225108133e-17,6.4033600621538683e-62,1.0043105782999372e-59,1.397718311278718e-72,2.8789523677581496e-92,2.000313944106509e-32,8.2259349116671763e-73,1.6087559135935595e-15,4.7632403310514264e-17,1.9068848276198212e-19,1.6844673666055325e-32,6.2372968561809732e-32,1.9068848257765192e-19,1.8787958162557095e-46,1.2151636434290016e-44,3.6779492307451971e-83,8.2690044144986379e-61,4.9801184603849783e-74,1.90333330045211e-97,4.2905389497152395e-87,1.2043614049640317e-73,1.8014004372626872e-83,4.373524173325474e-69,1.3538210633865998e-35,9.5002397756917018e-49,4.5178583774500699e-26,4.3726744679738051e-85,5.1885733350222898e-151,2.7010073023631237e-89,5.1721317708459695e-100,7.5125337956283226e-113,2.7674078770551975e-114,1.4952251160520081e-196,6.9715652243901105e-101,3.3742264358871223e-130
