Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),H2X(36),CH2X(134),CHX(26),C2H6X(39),C2H5X(38),C2H4X(51),CH2(T)(29),C2H3X(50),C3H6(141),C3H6X(151),C3H5X(149),C4H8(196),C4H8X(205),C4H7X(204),C3H5X(150),C5H10(233),SX(254),C4H8(240),C4H8X(315),C3H8X(43),C4H7X(251),C5H9X(252),C6H12(377),SX(388),HOCXO(25),C4H7X(197),C4H7(208),C4H7X(435)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0951776564440528e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,1.4398638148899375e-67,0.0,6.00451973428159e-63,0.0,2.2156405988952219e-39,-1.0803655121602065e-120,1.7741542241449575e-50,3.3802684655105786e-96,0.0,0.0,0.0,0.0,7.3252559134455372e-136,3.1454045097494953e-18,1.8990604172215517e-18,1.8706793134668657e-27,1.870679313469082e-27,1.2776181182465504e-83,1.1830428013752402e-44,9.8080618993908304e-59,1.379527883843495e-79,1.708651910017898e-86,1.7423840858311978e-152,2.565636829100437e-71,4.5472798999376559e-155,-2.1312602803456662e-192,-4.1391575342929897e-209,-5.4011936895609482e-212,1.2940100692674518e-249,2.1764252312267582e-266,2.840020977049146e-269,-2.7005968447804741e-212,-3.4220863218697459e-307,-4.9406564584124654e-324,1.4221205323723699e-250,2.3918971590793233e-267,-2.0496748559754692e-137,3.1211906613031631e-270,0.0,0.0,0.0,1.7151353413288593e-53,1.9148065637659853e-270,2.7506981880523808e-280,4.6685876288199034e-297
3.0664974380433477e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,2.0645936002337879e-66,0.0,9.0740302223900224e-62,0.0,1.3382469217311834e-38,3.3744254710726146e-120,1.0715891513835546e-49,1.7714666050673814e-94,0.0,0.0,0.0,0.0,4.3756820047861047e-135,8.8071326272976664e-18,5.3173691682200101e-18,5.2379020777000469e-27,5.2379020777134298e-27,3.4252764057420641e-82,7.1455785202982244e-44,1.1644131086944515e-57,3.8904893568765573e-78,4.879728746852585e-85,2.0476765251197422e-151,3.045924043504956e-70,5.3440331439952291e-154,4.1570283559609092e-191,1.4118270539038354e-207,1.8422955181384924e-210,1.3580310712723611e-247,4.1331507749568015e-264,5.3933554591114348e-267,9.2114775906924619e-211,2.3439401359258739e-304,6.3438028926016056e-321,1.492479785067966e-248,4.5423437730931454e-265,9.4738835457210989e-137,5.9273120966724956e-268,4.9406564584124654e-324,0.0,0.0,1.0359417461570895e-52,3.6363334663969283e-268,9.4302429655610387e-278,2.8856334458411009e-294
7.009137001241937e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,0.0,0.10000000000000001,0.0,2.1826711990946748e-65,0.0,9.761427641520438e-61,0.0,6.4430828615643496e-38,4.4773038418286595e-118,5.1592404838135345e-49,7.7602594839676896e-93,0.0,0.0,0.0,0.0,3.1878467237964928e-133,2.0130588862390312e-17,1.2153986670215579e-17,1.1972347606137691e-26,1.1972347606202124e-26,7.3147376986886834e-81,3.4402884663868558e-43,1.1432276949891884e-56,8.4626641403422005e-77,1.0647494374657177e-83,2.7502151491208024e-149,2.9905062879896776e-69,7.1775208289608285e-152,2.6873631513440128e-188,1.8803146685435583e-204,2.4536258013824457e-207,8.1907683230420967e-244,4.9598601503999129e-260,6.4721299258361882e-263,1.2268129006912229e-207,1.2877398548452443e-299,6.9740599570143981e-316,9.0016763275246632e-245,5.4508995912004576e-261,3.0674446549106511e-134,7.1128881253017158e-264,4.5502457850687124e-319,0.0,0.0,4.9876135725011947e-52,4.363678787216543e-264,2.256791601120446e-273,1.378940792580901e-289
1.4894416127639118e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,0.0,0.099999999999999992,0.0,1.9923598078498565e-64,0.0,8.9724337483524942e-60,0.0,2.8138635605732088e-37,3.5502257146419139e-116,2.2531758646640933e-48,2.8927535216432716e-91,0.0,0.0,0.0,0.0,2.346619729625775e-131,4.2777501332560847e-17,2.5827221674201333e-17,2.5441238662898111e-26,2.5441238663179501e-26,1.346005249251105e-79,1.5024643577337996e-42,1.0111719495716018e-55,1.568835308285526e-75,1.9763851834181115e-82,4.0463013619343822e-147,2.6450689453086978e-68,1.056005102540001e-149,1.6804654643022408e-185,2.3517163123251842e-201,3.0687586061984384e-204,4.3538921501769045e-240,5.2729919946694484e-256,6.8807362007271568e-259,1.5343793030992192e-204,5.8184385876695551e-295,6.3022386805118969e-311,4.7849391357570046e-241,5.795032326834753e-257,4.8802387605434368e-132,7.5619475159350456e-260,4.111900973930212e-314,0.0,0.0,2.17822188340175e-51,4.639174944410415e-260,4.7985685800512991e-269,5.8640408660885323e-285
3.066497438043348e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999986,0.099999999999999922,0.0,0.099999999999999964,0.0,1.6992059760212693e-63,0.0,7.6761059737448002e-59,0.0,1.1747326455128953e-36,2.5179134435725764e-114,9.4065656964165383e-48,9.9723252877862029e-90,0.0,0.0,0.0,0.0,1.6086417804119668e-129,8.8071326272842875e-17,5.317369168215132e-17,5.2379020775959484e-26,5.2379020777134232e-26,2.3057421978812324e-78,6.2724929327767213e-42,8.4995095128766466e-55,2.6964270557330855e-74,3.3990071794818446e-81,5.5503530357519636e-145,2.2233398258715566e-67,1.4485330187698473e-147,9.493262231444013e-183,2.6572839122435125e-198,3.4674942858012722e-201,2.0257761484529835e-236,4.9068944248564269e-252,6.4030148607089175e-255,1.7337471429006361e-201,2.229497027240571e-290,4.8297666292872603e-306,2.2263334135692648e-237,5.3926901169495853e-253,6.9276794862143148e-130,7.0369304835892468e-256,3.1511853347023034e-309,0.0,0.0,9.0936475789525003e-51,4.3170839700362628e-256,8.9308821238099172e-265,2.182785647458974e-280
6.22060908860222e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999972,0.099999999999999825,0.0,0.099999999999999908,0.0,1.402864243386866e-62,0.0,6.3467528601583542e-58,0.0,4.799166162650231e-36,1.6949738720912901e-112,3.8428890156669217e-47,3.3105083281486286e-88,0.0,0.0,0.0,0.0,1.064915597821602e-127,1.7865897615317072e-16,1.0786663169796518e-16,1.0625458500024438e-25,1.0625458500504361e-25,3.8155628124450221e-77,2.562518029393625e-41,6.96841141726385e-54,4.469130098086464e-73,5.6353533211008873e-80,7.3505618811883044e-143,1.8228283177506692e-66,1.9183521341503739e-145,5.1012336606226613e-180,2.8559292476182364e-195,3.726706920983846e-198,8.8333918781409804e-233,4.2793310294300062e-248,5.5841063212102675e-251,1.863353460491923e-198,7.8885522553784708e-286,3.417802958515124e-301,9.7079213359654459e-234,4.7029962643302875e-249,9.3305299814821596e-128,6.1369478050808925e-252,2.2299484398423325e-304,0.0,0.0,3.7150517540773949e-50,3.7649545289018529e-252,1.5577406629872087e-260,7.6145223549427527e-276
1.2528832389719963e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999944,0.099999999999999645,0.0,0.099999999999999797,0.0,1.1399662631331799e-61,0.0,5.1610740212387284e-57,0.0,1.9398996949328104e-35,1.1123101369855317e-110,1.5533571826416503e-46,1.0788541704555408e-86,0.0,0.0,0.0,0.0,6.9306116863542062e-126,3.5983427591288166e-16,2.1725251172924843e-16,2.1400571344146272e-25,2.1400571346086192e-25,6.2078735012880255e-76,1.035810758578533e-40,5.6432002337599546e-53,7.2768198177552887e-72,9.177141187109138e-79,9.5689467152194191e-141,1.4761736316763712e-65,2.4973069609450212e-143,2.6751398076206226e-177,2.9954267150107569e-192,3.9087374028814393e-195,3.7320687255913435e-229,3.6160099054504687e-244,4.7185374610532413e-247,1.9543687014407197e-195,2.6850922110107067e-281,2.3266933980968296e-296,4.1015535264673948e-230,3.9740045722473655e-245,1.2248520162142611e-125,5.1856853091806097e-248,1.5180530814854416e-299,0.0,0.0,1.5016833172913643e-49,3.1813649920533434e-248,2.6325687022582825e-256,2.5736981856954779e-271
2.514527899195545e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999886,0.099999999999999284,0.0,0.099999999999999575,0.0,9.190980386812672e-61,0.0,4.1625931701687423e-56,0.0,7.8002513528284298e-35,7.2081755959247963e-109,6.245980912271134e-46,3.4838354769856332e-85,0.0,0.0,0.0,0.0,4.472747843291851e-124,7.2218487542852427e-16,4.3602427179043717e-16,4.295079702944935e-25,4.2950797037249692e-25,1.0015726310646607e-74,4.1649495033050547e-40,4.5421384951217972e-52,1.174481652181011e-70,1.4813099394818375e-77,1.2351667902219934e-138,1.1881529628901755e-64,3.2235424806532308e-141,1.3860977223033882e-174,3.1041384310157614e-189,4.0505955055650493e-192,1.5524209069523747e-225,3.0082939073643407e-240,3.9255278240251605e-243,2.0252977527825246e-192,8.9665620534517362e-277,1.5539463827485927e-291,1.7061147351897506e-226,3.3061230624700076e-241,1.5876530808186902e-123,4.314165593862456e-244,1.0138736357485283e-294,0.0,0.0,6.0382025701945832e-49,2.6466966307665135e-244,4.3802689746895421e-252,8.5646353277450959e-267
5.037817219642643e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999769,0.099999999999998562,0.0,0.099999999999999131,0.0,7.3813946478854644e-60,0.0,3.3436212046715719e-55,0.0,3.1282496667649982e-34,4.6420475772448369e-107,2.5049177041447941e-45,1.1198929827516129e-83,0.0,0.0,0.0,0.0,2.8744979368591076e-122,1.446886074444693e-15,8.7356779190730338e-16,8.6051248388293178e-25,8.6051248419576021e-25,1.6091965437843429e-73,1.6703310324824916e-39,3.6447800879102975e-51,1.8873604846094565e-69,2.3805183382047377e-76,1.5876600000430046e-136,9.5341792532066799e-64,4.1434804558606895e-139,7.1391535404170992e-172,3.1976171517789736e-186,4.1725760469253999e-189,6.4078394391109094e-222,2.4834350330763369e-236,3.2406385884335063e-239,2.0862880234626999e-189,2.9660233454386489e-272,1.0280510810738139e-286,7.0422327081765705e-223,2.7293017536950543e-237,2.0449899525356884e-121,3.5614704893436059e-240,6.7075280001944304e-290,2.4703282292062327e-323,0.0,2.4215892940922405e-48,2.1849258623627061e-240,7.2320849477524178e-248,2.828145212979654e-262
