Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),C2H6X(52),CH4OX(60),C2H4X(205),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.044021450437478e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.1112719976982797e-65,2.7291966318840365e-36,0.0,1.6228780941778661e-54,0.0,5.3343297627255706e-20,-5.2056021494411901e-106,5.3343297627254797e-20,2.2456664404564015e-72,2.915449205155251e-70,0.0,0.0,1.0824554168375447e-51,1.0105459628069492e-85,2.9132230877991321e-18,8.6255357869403779e-20,3.4530912108075044e-22,8.2783416548041609e-38,3.0653294573889982e-37,3.4530912107984451e-22,2.9222388390834281e-54,1.8900395453555507e-52,1.6081533466502606e-98,2.9100102903403964e-71,5.064248814246834e-87,2.985416803419781e-115,1.8760032456367991e-102
1.6923260061224938e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.4860620654367073e-64,1.6484347656579573e-35,0.0,2.4524933647099157e-53,0.0,1.4936123335631886e-19,1.0049485929658253e-104,1.4936123335631335e-19,6.3331386407916914e-71,9.1666387604416209e-69,0.0,0.0,1.2850910708676505e-50,5.23087691810554e-84,8.1570246458375678e-18,2.4151500203433059e-19,9.6686553902611786e-22,5.0001183594937167e-37,1.8514589922611755e-36,9.6686553902064645e-22,3.4692819497431427e-53,2.2438549482461014e-51,1.5144492036634123e-96,8.2066945842194067e-70,2.9167480235738673e-85,5.0904858533944384e-113,1.7666919807084804e-100
3.868173728279986e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,4.9122086309715e-63,7.9365038055187694e-35,0.0,2.6382804473062955e-52,0.0,3.4139710481445693e-19,1.061119618107465e-102,3.4139710481443045e-19,1.3775959868247046e-69,2.0450266817407312e-67,0.0,0.0,1.261710033860006e-49,2.284005576874566e-82,1.8644627761914425e-17,5.520342903641843e-19,2.20997837491692e-21,2.4073417532050527e-36,8.9139780620605175e-36,2.2099783748905769e-21,3.4061615907838605e-52,2.2030300940664067e-50,1.3236364212166874e-94,1.7851353279239467e-68,1.3079922372272523e-83,8.8969412880195423e-111,1.5440979101896051e-98
8.219869172594971e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,8.7411508388098442e-62,3.4660797224927183e-34,0.0,2.4250342667027581e-51,0.0,7.2546884773077967e-19,8.3872662255529203e-101,7.2546884773066392e-19,2.5538307898848013e-68,3.8301086473402026e-66,0.0,0.0,1.1159682365305785e-48,8.5027800937497489e-81,3.9619833994068081e-17,1.1730728670238916e-18,4.6962040466987944e-21,1.0513493901477302e-35,3.8929684108564497e-35,4.6962040465837457e-21,3.0127113534327042e-51,1.94855516967971e-49,9.8747383901595817e-93,3.3093400446614705e-67,4.9209937027392888e-82,1.3287804701908774e-108,1.151944949833102e-96
1.6923260061224938e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.4743340865979756e-60,1.447020054224909e-33,0.0,2.0746678709009978e-50,0.0,1.4936123335636123e-18,5.9445972708780927e-99,1.493612333563129e-18,4.3893826211975455e-67,6.6155602073018664e-65,0.0,0.0,9.380385449225085e-48,2.9293366627928106e-79,8.1570246458375185e-17,2.4151500203433055e-18,9.6686553902636176e-21,4.3891767452655753e-35,1.6252376782828274e-34,9.6686553897833117e-21,2.5323654219309729e-50,1.6378780293723071e-48,6.8115390161470674e-91,5.6879099967032519e-66,1.7039838820048786e-80,1.8341842778380203e-106,7.9460514866898766e-95
3.4330041838484878e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.4216072496909199e-59,5.9115490725260386e-33,0.0,1.715375515800284e-49,0.0,3.0298993052300258e-18,4.0004414446100643e-97,3.0298993052280518e-18,7.2750797925233115e-66,1.0991852227755911e-63,0.0,0.0,7.6906067300966627e-47,9.7214003597953344e-78,1.6547107138698849e-16,4.8993043269821328e-18,1.9613558077397567e-20,1.7931219157027181e-34,6.6396262176727301e-34,1.9613558075435363e-20,2.0761861717997958e-49,1.3428313649018092e-47,4.5235769844344826e-89,9.4272936879312825e-65,5.6692617053364467e-79,2.4368746757814053e-104,5.2770123614597687e-93
6.914360539300475e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996499,0.022821567693054282,0.0,3.9255370175343681e-58,2.3895426526527561e-32,0.0,1.3949148812082666e-48,0.0,6.1024732485658455e-18,2.6248359553124893e-95,6.1024732485578683e-18,1.1845581500715428e-64,1.7919493329062165e-62,0.0,0.0,6.2280527221596494e-46,3.1675767715521294e-76,3.3327272124421153e-16,9.8676129402597805e-18,3.9503363451682673e-20,7.2480854784032718e-34,2.6838430755851692e-33,3.950336344375114e-20,1.6813493904037556e-48,1.0874596545515621e-46,2.94873035502516e-87,1.5349903904348162e-63,1.8495996264021256e-77,3.1774492420563906e-102,3.4398633113963688e-91
1.387707325020445e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996464,0.022821567693054278,0.0,6.3219622154676301e-57,9.6082459104126314e-32,0.0,1.1250493859485722e-47,0.0,1.2247621135249452e-17,1.7008546358991577e-93,1.2247621135217374e-17,1.9118816299764434e-63,2.894002958395464e-61,0.0,0.0,5.0128786586249645e-45,1.0227913449465975e-74,6.6887602095864355e-16,1.9804230166815065e-17,7.9282974200321743e-20,2.9144232923100238e-33,1.079161496651423e-32,7.9282974168429415e-20,1.3532962630352608e-47,8.7528213683467963e-46,1.9045289179952381e-85,2.4774806787595637e-62,5.9760591789274596e-76,4.1048040753588531e-100,2.2217423559541096e-89
2.78024986720124e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999855,0.11866996602996396,0.022821567693054268,0.0,1.0148154154968775e-55,3.8533363493769638e-31,0.0,9.0370084959157829e-47,0.0,2.4537916908664534e-17,1.0953027726753774e-91,2.4537916908535897e-17,3.0723424534677976e-62,4.6520252304843186e-60,0.0,0.0,4.0225194226568134e-44,3.2876713851646595e-73,1.3400826203874508e-15,3.9677464619925557e-17,1.5884219569787523e-19,1.1688140907290105e-32,4.3279202677814285e-32,1.5884219556997268e-19,1.0859350227374578e-46,7.0235879146596314e-45,1.2244760336204104e-83,3.9812449409474626e-61,1.9215651613620974e-74,5.278382125220545e-98,1.4284216016504275e-87
5.56533495156283e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999716,0.11866996602996259,0.022821567693054247,0.0,1.6263511204363548e-54,1.5433444293182434e-30,0.0,7.2442808665482045e-46,0.0,4.9118508455686203e-17,7.031634542362958e-90,4.9118508455170972e-17,4.9264378035217522e-61,7.4605821968812665e-59,0.0,0.0,3.2229105157255831e-43,1.0544188784914913e-71,2.6824958192448381e-15,7.9423933526146234e-17,3.1796063869408367e-19,4.6813528627991767e-32,1.7334255378833294e-31,3.1796063818180633e-19,8.7006948461296166e-46,5.6274172922516851e-44,7.854539924739178e-82,6.3838442098813513e-60,6.1638120135038825e-73,6.7718781172852737e-96,9.162771686763248e-86
1.1135505120286009e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999438,0.11866996602995986,0.022821567693054209,0.0,2.6042810674131365e-53,6.1773997889322981e-30,0.0,5.80130006322354e-45,0.0,9.8279691550495556e-17,4.5072016177156029e-88,9.8279691548433252e-17,7.8908621507174462e-60,1.1950823157748773e-57,0.0,0.0,2.5802880780478576e-42,3.3779274943641991e-70,5.3673222169587055e-15,1.5891687133858642e-16,6.3619752469090626e-19,1.8737611392499101e-31,6.9382195852225157e-31,6.3619752264046177e-19,6.9658462532090998e-45,4.5053555444210457e-43,5.0326386486927928e-80,1.0225245230284256e-58,1.9747917285967534e-71,8.6779681305759735e-94,5.8708616907622591e-84
2.227584545773237e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998883,0.11866996602995439,0.022821567693054129,0.0,4.168545957553538e-52,2.471764559156692e-29,0.0,4.6433913467428724e-44,0.0,1.9660205774317826e-16,2.8868368058056531e-86,1.9660205773492636e-16,1.263223267754349e-58,1.9132437589033865e-56,0.0,0.0,2.0650146612972208e-41,1.0815431014956615e-68,1.0736975012382812e-14,3.1790274696346202e-16,1.2726712967021747e-18,7.4974852308241296e-31,2.7761915761312674e-30,1.2726712884977256e-18,5.5747940356062645e-44,3.6056537050490349e-42,3.2227244835679759e-78,1.6369273023846185e-57,6.3231311845298252e-70,1.1114180345228817e-91,3.7594927633460801e-82
4.4556526132625086e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997779,0.11866996602994345,0.022821567693053969,0.0,6.671030818556966e-51,9.888667753041958e-29,0.0,3.715653824961144e-43,0.0,3.9324679014079951e-16,1.8482887632019329e-84,3.9324679010778667e-16,2.0217056431026234e-57,3.0620799286708802e-55,0.0,0.0,1.6523254715819571e-40,3.4619083047276497e-67,2.1476280603216503e-14,6.3587449821319435e-16,2.5456188407952041e-18,2.9994822887792684e-30,1.1106574028631249e-29,2.5456188079720658e-18,4.4606821868556285e-43,2.8850707888822562e-41,2.063131293122068e-76,2.6197943382609878e-56,2.0240097994687102e-68,1.4230236071377583e-89,2.4067605776575169e-80
8.911788748241052e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995569,0.11866996602992158,0.02282156769305365,0.0,1.0674735108764115e-49,3.9557890274211745e-28,0.0,2.9728994039488489e-42,0.0,7.8653625498506592e-16,1.1831330857860669e-82,7.865362548530039e-16,3.2351678217592755e-56,4.900039870018412e-54,0.0,0.0,1.3219858812300763e-39,1.1079659410135583e-65,4.2954891784825805e-14,1.2718180007125834e-15,5.0915139292632366e-18,1.1998905554727571e-29,4.4429911680496882e-29,5.0915137979599967e-18,3.5688845117085165e-42,2.3082757844284642e-40,1.3205920952820784e-74,4.1922395443310041e-55,6.4778039304443618e-67,1.8217317116105945e-87,1.5405457933161059e-78
1.7824061018198138e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679991145,0.11866996602987784,0.022821567693053015,0.0,1.7080444337910508e-48,1.5823799984987546e-27,0.0,2.3784700683529471e-41,0.0,1.5731151848696933e-15,7.5727823126568258e-81,1.5731151843414239e-15,5.1766195693801671e-55,7.8406332211484485e-53,0.0,0.0,1.0576388989140591e-38,3.5457394774842945e-64,8.5912114147812107e-14,2.5437050057110589e-15,1.0183304107327187e-17,4.7997574585054927e-29,1.7772687699359377e-28,1.0183303582092871e-17,2.8552430297834043e-41,1.846708293513568e-39,8.4523912541649242e-73,6.7080381812393341e-54,2.0730528117665727e-65,2.3319839553216094e-85,9.8601904510476938e-77
