Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH3OHX(46),H2OX(35),HO2X(135)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0579428487515934e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,2.2710543154543904e-85,2.1643011362452775e-73,0.0,3.1271511855553675e-67,0.0,1.1838385920345388e-42,0.0,2.8801682617128124e-56,-9.7122163718550526e-125,8.8460370229229127e-81,0.0,0.0,2.9735262496335318e-68,-1.5305361875131455e-165,2.717685085746138e-18,3.3791681479255014e-19,8.9388557531252315e-30,1.7403730974242245e-44,8.9388557531263946e-30,1.7010791222897889e-97,5.8242718695029719e-102,8.1072813971438854e-82
2.962239976504461e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,5.5549646060899576e-84,3.2348218239433834e-72,0.0,4.725750871236237e-66,0.0,7.1503850958877122e-42,0.0,1.7396216300745386e-55,-9.4430173372995759e-125,2.7813356127325475e-79,0.0,0.0,3.5301703635640476e-67,-6.5658343733689084e-165,7.6095182400885191e-18,9.4616708141914056e-19,2.5028796108746864e-29,1.0511853508439446e-43,2.5028796108753909e-29,9.7973449169486445e-96,2.6225373270671104e-100,2.5490590219929092e-80
6.770834232010198e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,0.0,1.0747224799003888e-82,3.4675255956979821e-71,0.0,5.0837471389986722e-65,0.0,3.4426026256350861e-41,0.0,8.3755293050608571e-55,2.389914223867322e-124,6.205006753472287e-78,0.0,0.0,3.4659421965701076e-66,1.2044381023589678e-164,1.7393184548770601e-17,2.1626676146723215e-18,5.7208676819975005e-29,5.0610049673053374e-43,5.7208676820008939e-29,4.3935406837089157e-94,1.0184567396715112e-98,5.6868104569181467e-79
1.438802274302167e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999978,0.10000000000000001,0.0,1.893995276558594e-81,3.1827777258640054e-70,0.0,4.6728394732769399e-64,0.0,1.5034750118824672e-40,0.0,3.6578136923752684e-54,2.8743496152403145e-122,1.1621290928043155e-76,0.0,0.0,3.0655866223164335e-65,3.1706143350862844e-162,3.6960517166124057e-17,4.5956686811786818e-18,1.2156843824237084e-28,2.2102738337243116e-42,1.2156843824251895e-28,1.652959812994505e-92,3.5990862292966572e-97,1.0650766614488545e-77
2.962239976504461e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999936,0.10000000000000001,0.0,3.1815961751640475e-80,2.7212257634086536e-69,0.0,3.9977125495710425e-63,0.0,6.2767122149545504e-40,0.0,1.5270652123601302e-53,2.1197757981872594e-120,2.0072890067198272e-75,0.0,0.0,2.5768102715019867e-64,4.6474709042708913e-160,7.6095182400788118e-17,9.4616708141914002e-18,2.5028796108692046e-28,9.227458162503152e-42,2.5028796108753883e-28,5.7236750323369968e-91,1.2109470316321556e-95,1.839655066790787e-76
6.00911538090905e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999982,0.099999999999999853,0.10000000000000001,0.0,5.2163337225740596e-79,2.2492944488186974e-68,0.0,3.3053860441568133e-62,0.0,2.5642417438798449e-39,0.0,6.2385596616003897e-53,1.4512621207372584e-118,3.3351407061895741e-74,0.0,0.0,2.1126247448872856e-63,6.3470971754348158e-158,1.5436451286994488e-16,1.9193675080216829e-17,5.0772700677505164e-28,3.7697177439108248e-41,5.0772700677757828e-28,1.9043027354876438e-89,3.9738548595321473e-94,3.0566144078280393e-75
1.2102866189718227e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999965,0.0999999999999997,0.099999999999999992,0.0,8.4487038836048187e-78,1.8288248021331968e-67,0.0,2.687885036623401e-61,0.0,1.0365075115698976e-38,0.0,2.5217255612061032e-52,9.6019983127102546e-117,5.4371210970685744e-73,0.0,0.0,1.7108582918901931e-62,8.3879634211577667e-156,3.109031738075729e-16,3.8657683612267653e-17,1.0226050981474425e-27,1.5237801846756644e-40,1.0226050981576553e-27,6.2127977358632732e-88,1.2877733342063962e-92,4.9830529343580354e-74
2.4290367807336585e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999929,0.099999999999999381,0.099999999999999978,0.0,1.360076325158521e-76,1.4749084031902044e-66,0.0,2.1678766573197132e-60,0.0,4.1677511167302323e-38,0.0,1.0139747572090207e-51,6.2475860452035434e-115,8.7809650948213202e-72,0.0,0.0,1.3770475945967711e-61,1.0908207168516676e-153,6.2398049568008689e-16,7.7585700676369135e-17,2.0523612808767375e-27,6.1270531041794046e-40,2.0523612809178023e-27,2.0073558849405944e-86,4.1469618697981473e-91,8.0476437992526491e-73
4.866537104257329e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999859,0.099999999999998757,0.099999999999999936,0.0,2.1827803686767277e-75,1.184684732264485e-65,0.0,1.7413564252844947e-59,0.0,1.6714546050047874e-37,0.0,4.0664922877025732e-51,4.0314928406551419e-113,1.4115144931239808e-70,0.0,0.0,1.1049939711971556e-60,1.4073260468723266e-151,1.2501351394141474e-15,1.5544173480457154e-16,4.1118736462733812e-27,2.4572223338322499e-39,4.1118736464380695e-27,6.4545296858716476e-85,1.3312228717190048e-89,1.2936352366362539e-71
