Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),H2X(31),CH2X(58),CHX(26),C2H6X(34),C2H5X(33),CH2(48),C3H8X(38),HOCXO(25),OCX(21),HOX(23),OX(20),COX(32),CH4OX(41),H2OX(30),CH3OX(40),COC(79),C2H6OX(88),C2H5OX(80),CH3OX(39),CH3O(51)
2.220301134737649e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,5.2291289457886978e-102,0.10000000000000001,3.3423426980333894e-101,1.2017598120851363e-69,3.0495168491558964e-43,1.0006526516742342e-64,0.0,9.1064788145575675e-41,-1.399936929108088e-123,7.2919262024777471e-52,2.7211944817157212e-99,1.1716935721088151e-97,0.0,0.0,1.4872753248213284e-83,0.0,3.1884074520299019e-18,1.1550142502860285e-18,3.7924462479022397e-28,3.7924462479013299e-28,4.3236907415658483e-86,4.8623522847049186e-46,8.1724263076956824e-61,3.7286605704812768e-81,6.8906801501915114e-89,9.8225478938320506e-101,-5.3845577295506865e-140,7.0492983880044148e-55,3.9904573418542142e-38,2.5666371804623663e-62,3.9904878370227063e-38,2.9433574426946441e-60,3.1720917444456618e-114,6.0338016558389392e-118,4.3993127076829079e-85,-1.583158161619148e-119,-5.3617228292854115e-136,-4.6645351350712941e-139,6.3578728691128229e-117,1.0207491218258508e-128
6.216843177265418e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,7.9013640951218172e-101,0.10000000000000001,7.5445710274348992e-100,1.7226884792889542e-68,1.841894585904843e-42,1.5121862872037982e-63,0.0,5.5003132039914942e-40,-1.2249181536636802e-124,4.404323426296558e-51,1.4160147770312925e-97,3.6841053974836199e-96,0.0,0.0,1.7657446447190311e-82,0.0,8.9275408656827873e-18,3.234039900800757e-18,1.061884949412627e-27,1.0618849494120771e-27,1.1588566740679947e-84,2.9368607799610852e-45,9.7023045124942391e-60,1.051541939440527e-79,1.9537572302590655e-87,8.7653711082499269e-86,-6.2326071148773698e-140,4.2577762263451228e-54,1.1173181754204986e-37,1.5502981161614745e-61,1.1173365943663577e-37,3.4943303438233082e-59,1.8270176632297098e-112,2.5119238857299062e-116,6.6482413638486859e-84,1.5642615858010545e-118,8.9997332671357843e-135,7.8297379461436848e-138,3.0659343014956525e-115,8.9622545012649439e-127
1.4209927262320956e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,8.5003292290374482e-100,0.10000000000000001,1.4940176241437699e-98,1.8210333441081436e-67,8.8677911355567303e-42,1.6267410027662161e-62,0.0,2.648164039271426e-39,1.2707412597013489e-121,2.120492139680528e-50,6.1915539761439558e-96,8.2195721268547733e-95,0.0,0.0,1.733727393794305e-81,0.0,2.0405807692984804e-17,7.3920912018297181e-18,2.4271655986574331e-27,2.4271655986547849e-27,2.4745022354565216e-83,1.413972044391161e-44,9.5257801042436501e-59,2.2873334037724825e-78,4.2555135122053639e-86,7.8888339974207577e-85,1.7533157202193149e-137,2.0499359712173674e-53,2.5538235377831757e-37,7.4645198082176332e-61,2.5539122156945315e-37,3.430704238598509e-58,8.1936403790818358e-111,9.9607238710780082e-115,7.1518746826202548e-83,8.6276040480769354e-117,1.0608956319146467e-132,9.2298189331480225e-136,1.5842732771930989e-113,9.2463391434520112e-125
3.019609543243203e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,7.8132297296345617e-99,0.099999999999999992,2.6615141069461486e-97,1.6621879953128142e-66,3.8726757474278881e-41,1.4952552443341527e-61,0.0,1.1565228094468335e-38,1.0154110866538253e-119,9.2607462771467304e-50,2.3062628960042219e-94,1.5396364031171069e-93,0.0,0.0,1.5336558467611776e-80,0.0,4.3362341347573837e-17,1.570819380388567e-17,5.1577268971470412e-27,5.1577268971354771e-27,4.5532078942012369e-82,6.175187401564613e-44,8.4254446261684259e-58,4.2403306407749363e-77,7.8933268509421835e-85,6.3987209090160846e-84,2.8295373562277687e-135,8.9526089526176669e-53,5.4266761907761336e-37,3.2603927362013698e-60,5.4270634583508779e-37,3.0343300806121106e-57,3.0830494838839715e-109,3.5590115449123414e-113,6.5738049928241099e-82,3.3955266132222541e-115,8.3858865921054985e-131,7.2957916120734778e-134,6.3052145649043246e-112,7.3809866145834783e-123
6.216843177265418e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,6.6844251337318932e-98,0.099999999999999978,4.4923892219672651e-96,1.4175900068108518e-65,1.6166642586480653e-40,1.2792223420550019e-60,0.0,4.828255067460625e-38,7.1997486860643402e-118,3.8661792725536956e-49,7.9476003349966813e-93,2.6600356174078074e-92,0.0,0.0,1.2894558385305179e-79,0.0,8.9275408656691899e-17,3.2340399007989688e-17,1.0618849494126258e-26,1.0618849494077974e-26,7.7996152529558531e-81,2.5780191813409783e-43,7.0820938794036398e-57,7.2880449622966172e-76,1.3570225275316298e-83,5.1277420983296728e-83,4.0159854437669192e-133,3.7375380051867985e-52,1.117174927940492e-36,1.361518198393882e-59,1.1173365943663567e-36,2.5503876108066444e-56,1.0678373711051272e-107,1.2034209061288696e-111,5.6240285737267068e-81,1.1997161341711922e-113,5.9347369268162272e-129,5.1632878004505829e-132,2.2384002121046877e-110,5.2487747339351133e-121
1.2611310445309848e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999975,0.099999999999999825,5.5268021737514737e-97,0.09999999999999995,7.3842460639480754e-95,1.1703522085228317e-64,6.6037705978855295e-40,1.0576857701366494e-59,0.0,1.9724997371333596e-37,4.8457645805372899e-116,1.5794603831614845e-48,2.6378808324609929e-91,4.4220041320734838e-91,0.0,0.0,1.0577079046037813e-78,0.0,1.8110154327468803e-16,6.5604809416166169e-17,2.1541094688084663e-26,2.1541094687887412e-26,1.2906755879277507e-79,1.0532049542681219e-42,5.8063284444032311e-56,1.2079400044960404e-74,2.249465248441883e-82,4.1030702158313001e-82,5.4079603549549503e-131,1.5269062279225816e-51,2.2659367143691042e-36,5.5652567980163057e-59,2.2665970914288928e-36,2.0907164735075726e-55,3.5545937301974345e-106,3.9595240908098109e-110,4.6500555827862557e-80,4.0305446236872572e-112,3.9906481895991441e-127,3.4719143060900239e-130,7.5356643010102512e-109,3.5368332010519915e-119
2.540024498139871e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999995,0.099999999999999645,4.494305344185773e-96,0.099999999999999881,1.1983428114713489e-93,9.5102325405189354e-64,2.6686785463967291e-39,8.6009250265960695e-59,0.0,7.9731593130043076e-37,3.1796994622402249e-114,6.3844314027269449e-48,8.5957439158292925e-90,7.2165316231720914e-90,0.0,0.0,8.5742436504403438e-78,0.0,3.6475381250972006e-16,1.321336302323929e-16,4.3385585076001393e-26,4.338558507520406e-26,2.0999039179195729e-78,4.2572228181021759e-42,4.7021153134735883e-55,1.9668171592733778e-73,3.6629162210151512e-81,3.2825438266046602e-81,7.0985788074135748e-129,6.1719991040932228e-51,4.562449407007562e-36,2.2519998239827733e-58,4.5651180855539585e-36,1.6927191050066712e-54,1.1608831872279123e-104,1.2856686008739357e-108,3.7813479737204543e-79,1.3212684401104854e-110,2.6173763711722862e-125,2.2771522811826317e-128,2.4727491060153498e-107,2.3220710728854045e-117
5.097811405357643e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119687999999,0.099999999999999284,3.6248203382949928e-95,0.099999999999999742,1.933794331140374e-92,7.6676113275915283e-63,1.0725245767291539e-38,6.9369576236180116e-58,0.0,3.2059722924797213e-36,2.0604681538282272e-112,2.5671517872870684e-47,2.7756097746729072e-88,1.1679100767187889e-88,0.0,0.0,6.9152231565741615e-77,0.0,7.3205835097594371e-16,2.651912718643414e-16,8.7074565851834515e-26,8.7074565848628515e-26,3.3879583599969008e-77,1.7118105711854491e-41,3.7846714790142593e-54,3.1744508245513994e-72,5.9121599817658438e-80,2.6260438274613434e-80,9.2007582345003115e-127,2.4817336939383918e-50,9.1514348280367725e-36,9.0747668031814771e-58,9.1621600738040646e-36,1.3618084666050531e-53,3.7585381340034055e-103,4.1502033677925485e-107,3.0497941294908588e-78,4.2791486396990208e-109,1.6956871548856667e-123,1.4752709722429915e-126,8.0127799161801618e-106,1.5052025059528982e-115
1.0213385219793187e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119687999998,0.099999999999998548,2.9116534344007642e-94,0.099999999999999478,3.1163944438653816e-91,6.1579511028154486e-62,4.2969834190689408e-38,5.572141610845165e-57,0.0,1.2857382798591185e-35,1.326906461646366e-110,1.0295426853720863e-46,8.9221044444081549e-87,1.8852203159558742e-87,0.0,0.0,5.5713804611576707e-76,0.0,1.4666674278930295e-15,5.3130655512621881e-16,1.7445252740349943e-25,1.7445252739064193e-25,5.4433246176953743e-76,6.8651260162257378e-41,3.0369605115343648e-53,5.1012572542191713e-71,9.5008420365423586e-79,2.1008359412072992e-79,1.1850844067988421e-124,9.952862092174735e-50,1.8313274216113489e-35,3.6550879475344046e-57,1.8356244050304177e-35,1.0917411982606484e-52,1.213501323575243e-101,1.3377107841080783e-105,2.449760499642351e-77,1.3775581921218821e-107,1.091867814116509e-121,9.4994008837430947e-125,2.5805367740807855e-104,9.6960426812600816e-114
2.0444532848664274e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119687999996,0.099999999999997077,2.334050549053763e-93,0.099999999999998951,5.0333080648766091e-90,4.9359240884257714e-61,1.7175840024019054e-37,4.466761193258616e-56,0.0,5.1496594943685416e-35,8.5185586972823528e-109,4.1235408076207988e-46,2.8615137958888958e-85,3.0485234186815057e-86,0.0,0.0,4.4996975658613846e-75,0.0,2.9358855816657524e-15,1.0635371216418947e-15,3.4920845050682397e-25,3.4920845045532676e-25,8.7274330263324456e-75,2.7496312370314777e-40,2.4332640674750729e-52,8.179760869844147e-70,1.5234532402582447e-77,1.6806688494555734e-78,1.5216534067578147e-122,3.9863362197347821e-49,3.6572653603063809e-35,1.4765185127714395e-56,3.6744412003303994e-35,8.7308452541085195e-52,3.9244146950494368e-100,4.3208007209946298e-104,1.9637862598531573e-76,4.4214003932316024e-106,7.0092389044077867e-120,6.0981353111856799e-123,8.2863236804780692e-103,6.2272577629493802e-112
