Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),H2X(36),CH2X(134),CHX(26),C2H6X(39),C2H5X(38),C2H4X(51),CH2(T)(29),C2H3X(50),C3H6(141),C3H6X(151),C3H5X(149),C4H8(196),C4H8X(205),C4H7X(204),C3H5X(150),C5H10(233),SX(254),C4H8(240),C4H8X(315),C3H8X(43),C4H7X(251),C5H9X(252),C6H12(377),SX(388),HOCXO(25),OCX(21),HOX(23),OX(20),COX(37),CH3OHX(46),H2OX(35),CH3OX(44),DME(448),DMEX(462),SX(449),C4H7X(197),C4H7(208),C4H7X(496)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1922784159933454e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,8.097183870321722e-100,0.10000000000000001,3.3394697950175587e-98,1.8578076157774777e-67,8.7932917945438364e-42,7.7474288721429463e-63,5.7180820917359595e-96,2.6259444135051734e-39,-1.6796220175971216e-120,2.1027013026903209e-50,5.1691213683219795e-96,4.8721423320250844e-95,8.4431742214395185e-75,3.2064074917752392e-76,2.3033400861547097e-81,1.1410886991724002e-135,3.4242827037934569e-18,2.0674351168487598e-18,2.0365376846103493e-27,2.0365376846129752e-27,1.7946240783051295e-83,1.4021248016297669e-44,1.2655010775512918e-58,1.9377730494587635e-79,2.4000816952363402e-86,2.9548375234643781e-152,3.3103544870914231e-71,7.7115449959021994e-155,-4.2722830051107767e-192,-9.0329287619335337e-209,-1.1787084067952209e-211,3.3450212615259378e-249,6.1248870734896373e-266,7.9923755345195499e-269,-5.8935420339761044e-212,-1.1411080336391076e-306,-1.9762625833649862e-323,3.6761873266806566e-250,6.7312673004180786e-267,-3.4691168436147528e-137,8.7836421215062822e-270,0.0,0.0,0.0,2.0327529971164237e-53,2.142794274310062e-37,7.4023371178318926e-61,2.1428822072280068e-37,2.2787635247543887e-58,1.1805005940500425e-111,1.079101059230978e-114,6.8122848677755601e-83,-7.0690886145613522e-116,-1.4284556885226164e-132,-5.5924272472432325e-135,5.3886408696549736e-270,8.4273373947159703e-280,1.5571342672233408e-296
3.338379564781367e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.2235771211265732e-98,0.10000000000000001,7.51821480325598e-97,2.6638753431642893e-66,5.3109378137715204e-41,1.1707914511507067e-61,1.2790677560694625e-94,1.5860704257551502e-38,5.736655528193476e-120,1.2700315868249537e-49,2.7089345047053543e-94,1.5321325341444624e-93,1.002337274289536e-73,3.806508857067724e-75,2.7349525719291719e-80,7.2061676684202679e-135,9.5879915706205867e-18,5.7888183271761316e-18,5.7023055169004704e-27,5.7023055169163314e-27,4.8113621940737005e-82,8.4688338018331743e-44,1.5024028792671688e-57,5.4648300431273558e-78,6.8543789253965894e-85,3.6543373065388833e-151,3.9300528470705941e-70,9.5371019035051265e-154,8.8161403402367666e-191,3.2648796626289783e-207,4.2603470114071256e-210,3.7200292594272985e-247,1.2322027866385926e-263,1.6079035070089083e-266,2.1301735057035628e-210,8.2826506485446623e-304,2.4396961591640754e-320,4.0883221209031509e-248,1.3541941632009136e-264,1.7858319090581415e-136,1.7670902612723777e-267,1.4821969375237396e-323,0.0,0.0,1.2277828102435414e-52,5.9995390864570426e-37,4.4717743855425013e-60,6.0000701802384193e-37,2.7052498980213558e-57,6.8001825552024053e-110,4.4808331446886742e-113,1.0294724892168058e-81,6.9847119728337601e-115,2.3976845857027757e-131,9.3875540331825812e-134,1.0840882952845811e-267,3.0601727574043235e-277,1.0193376446121486e-293
7.630581862357411e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,1.3162577312579488e-97,0.099999999999999992,1.4896769644794914e-95,2.8162268781830674e-65,2.5567736335199877e-40,1.2594840168719192e-60,2.5270306513232242e-93,7.636246354443423e-38,7.4549462200231698e-118,6.1146553882234498e-49,1.1867022850315646e-92,3.4192992742319941e-92,9.840236510790816e-73,3.7369604418349294e-74,2.6860975915254295e-79,5.3063012722324192e-133,2.1915409304270474e-17,1.3231584747829279e-17,1.3033841181446675e-26,1.3033841181523039e-26,1.0274748152889698e-80,4.0773789231234351e-43,1.4750680559884378e-56,1.1887199011937675e-76,1.4956151219389422e-83,4.9831640202529394e-149,3.8585491901399954e-69,1.300507837029713e-151,5.7708892274499491e-188,4.3957855155828737e-204,5.7360679777772605e-207,2.2694258575317384e-243,1.4960753725740203e-259,1.9522312921186433e-262,2.8680339888886302e-207,4.6036076454375247e-299,2.7142441105429986e-315,2.4941050965080284e-244,1.6441908419759107e-260,5.5609796419241707e-134,2.1455074194542029e-263,1.7709091383275305e-318,0.0,0.0,5.9112457153928839e-52,1.3711889352625723e-36,2.1537437834235428e-59,1.3714446126259242e-36,2.6558224960942162e-56,3.0505389473758202e-108,1.777731076742335e-111,1.1074595263798008e-80,3.8523818419011086e-113,2.8264094370002906e-129,1.1066270042098781e-131,1.3162452505171505e-263,7.4108563061166707e-273,4.9296439623720022e-289
1.6214986457509496e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,1.2098669921371968e-96,0.099999999999999978,2.6555846031199661e-94,2.570674522211918e-64,1.1164219682740686e-39,1.1576828014801895e-59,4.4960308496811166e-92,3.3349494051209591e-37,5.9103810569424917e-116,2.6704306544167033e-48,4.4236113767020962e-91,6.4084680153749704e-91,8.70220779664905e-72,3.3047789305718146e-73,2.3774327081392711e-78,3.9066138777244146e-131,4.6570244771552744e-17,2.8117117589129193e-17,2.7696912510402941e-26,2.7696912510736447e-26,1.8906850140369012e-79,1.780698498053345e-42,1.3046809909010486e-55,2.2036863589594323e-75,2.7761569650945454e-82,7.3334500692050516e-147,3.4128430619826999e-68,1.9138862876493734e-149,3.6096552728645434e-185,5.4993843911515291e-201,7.1761560230257264e-204,1.2066824680495362e-239,1.5909830152245484e-255,2.0760764360470426e-258,3.5880780115128632e-204,2.0806599014017345e-294,2.4534804135677255e-310,1.3261472647106055e-240,1.7484945954766717e-256,8.844931220310274e-132,2.2816135643738422e-259,1.6007753772783583e-313,0.0,0.0,2.5815963061087925e-51,2.9132033798618133e-36,9.412791018412184e-59,2.9143198018300875e-36,2.3486751773370794e-55,1.148482624979968e-106,6.3561904028753374e-110,1.017946103211735e-79,1.5161642786881961e-111,2.2341452154508261e-127,8.7474878519414646e-130,1.3997458270321716e-259,1.5762069513963637e-268,2.0969671389577663e-284
3.338379564781367e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999986,0.099999999999999908,1.0350675431260071e-95,0.09999999999999995,4.4874096821784257e-93,2.1924280410284657e-63,4.6592694271538425e-39,9.9042201005482005e-59,7.5809019146118952e-91,1.392275728012894e-36,4.1917893633435298e-114,1.1148522306864046e-47,1.5249723579777377e-89,1.1084587198580655e-89,7.3124264052298794e-71,2.7769909981540847e-72,2.0010835800838783e-77,2.6780456385452279e-129,9.5879915706047306e-17,5.788818327170351e-17,5.7023055167770941e-26,5.7023055169163236e-26,3.2387928815220699e-78,7.4340656980928944e-42,1.096662985768333e-54,3.7875738066672946e-74,4.774462758397218e-81,1.0059405905306725e-144,2.8687002327887864e-67,2.625307166803006e-147,2.0391699068593553e-182,6.2139678148131747e-198,8.1086171450258985e-201,5.614469261318875e-236,1.4805295360643427e-251,1.9319455036810637e-254,4.0543085725129492e-201,7.9726642211262555e-290,1.8802510052361372e-305,6.1703167575930531e-237,1.6271059260093507e-252,1.255566037717537e-129,2.1232132836220332e-255,1.2267713635128712e-308,0.0,0.0,1.0777656388649696e-50,5.9954109108112582e-36,3.9353597307624966e-58,6.0000701802384118e-36,1.9735812779225037e-54,3.9823298893888825e-105,2.15162112522107e-108,8.7087432273577277e-79,5.3569503477979662e-110,1.5811165538860824e-125,6.190684199958816e-128,1.3025693590958724e-255,2.9335792566678299e-264,7.8056246815563711e-280
6.772141402842201e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999969,0.099999999999999811,8.5581379846056629e-95,0.099999999999999895,7.3919570603641977e-92,1.8100683191800678e-62,1.9021797193659684e-38,8.1890007075930725e-58,1.2444067951769748e-89,5.6879006371954958e-36,2.8217702502079408e-112,4.5545351296793132e-47,5.0624438576543787e-88,1.8468895311161906e-88,5.991394722528963e-70,2.2753116802585819e-71,1.645050328730222e-76,1.7728575052859721e-127,1.9449925757475649e-16,1.1743031463675012e-16,1.1567534048032874e-25,1.1567534048601671e-25,5.3595834292744493e-77,3.0370584051967247e-41,8.9911057330176193e-54,6.2776258167442124e-73,7.915777500356988e-80,1.332208766107453e-142,2.3519337703614685e-66,3.4768029586105149e-145,1.0957542904216939e-179,6.6784936014959837e-195,8.7147776322545492e-198,2.4481880958338093e-232,1.2911784654350586e-247,1.6848609703390333e-250,4.3573888161272746e-198,2.8209404107218982e-285,1.330566956712329e-300,2.6905652752500183e-233,1.4190085921755912e-248,1.6910562832286566e-127,1.8516667196171123e-251,8.6812953971922693e-304,0.0,0.0,4.4030243001285867e-50,1.2152549139861392e-35,1.6123848626875523e-57,1.217157093705505e-35,1.6170425242921254e-53,1.3286058580488571e-103,7.0943397208553355e-107,7.2005573107945668e-78,1.7997113490409516e-108,1.0631776927793307e-123,4.1627659302093582e-126,1.1359785386654434e-251,5.1168025097067856e-260,2.7229475204360531e-275
1.363966507896387e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999939,0.099999999999999617,6.9593347266986974e-94,0.09999999999999977,1.2047061783077121e-90,1.4708599406952245e-61,7.6785545184766069e-38,6.6591593753173957e-57,2.0147819127280734e-88,2.29914037916376e-35,1.8517593116169841e-110,1.8410159201678802e-46,1.6497885292257433e-86,3.0277493994569795e-87,4.8458848376828134e-69,1.840289095109669e-70,1.3393976310708433e-75,1.153799133917451e-125,3.9173794131105513e-16,2.3651457736643504e-16,2.3297991109673145e-25,2.3297991111972311e-25,8.7199759469278192e-76,1.2276275657141743e-40,7.2812305324651992e-53,1.0221486273347675e-71,1.2890799129862191e-78,1.7342667007041584e-140,1.9046569451640903e-65,4.526095120706143e-143,5.7462490807286102e-177,7.0047036980626653e-192,9.1404497407738963e-195,1.0343485671849347e-228,1.091038316868306e-243,1.4236977508908454e-246,4.5702248703869482e-195,9.6018697526902561e-281,9.0579281294004724e-296,1.1367518460318961e-229,1.1990540327879942e-244,2.2199100151695038e-125,1.5646476418691354e-247,5.9098528925042459e-299,0.0,0.0,1.7797728196834982e-49,2.4437786905503515e-35,6.5552080256602429e-57,2.4514572450688276e-35,1.3078760811522761e-52,4.3584632044365532e-102,2.3132150172235887e-105,5.855373621037987e-77,5.899703461072225e-107,6.9731433066665658e-122,2.730268775282155e-124,9.5989535274669069e-248,8.6473534821224274e-256,9.2035255341728049e-271
2.737471243120721e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999875,0.099999999999999228,5.6129557865774376e-93,0.099999999999999534,1.9604857386988298e-89,1.1858811355980346e-60,3.0792128316666753e-37,5.3708532798161654e-56,3.2368646692841469e-87,9.2447423439652436e-35,1.2000076077286786e-108,7.4026440441731786e-46,5.3274964856770447e-85,4.9442600639712234e-86,3.8906026731803486e-68,1.4775080119902273e-69,1.0896432665913627e-74,7.4461718798117121e-124,7.862153087791733e-16,4.7468310282417192e-16,4.6758905229468552e-25,4.6758905238713393e-25,1.4068729412996571e-74,4.9362364482928775e-40,5.8605677848003647e-52,1.6497520052091972e-70,2.0807426266429392e-77,2.2386044113786098e-138,1.5330336107558908e-64,5.8423173895120458e-141,2.9773631775801558e-174,7.2589223518016482e-189,9.4721800934144279e-192,4.3025583340702625e-225,9.0767558864348286e-240,1.184427415714814e-242,4.736090046707214e-192,3.2064359117449038e-276,6.0495872190644962e-291,4.7285231343485991e-226,9.9753790329762921e-241,2.8774471726554621e-123,1.3016889025804342e-243,3.9470583133792553e-294,0.0,0.0,7.1563882248223803e-49,4.8892654194787869e-35,2.6661310513835308e-56,4.9200575477954531e-35,1.0500509912921378e-51,1.4236511776556508e-100,7.5292695200174391e-104,4.7225709504073988e-76,1.9107175552142558e-105,4.5176038352679819e-120,1.7688267231184367e-122,7.9857287643566188e-244,1.4388127492785088e-251,3.0627072050426112e-266
5.484480713569389e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999747,0.099999999999998437,4.5086313704426978e-92,0.099999999999999062,3.2120111219403114e-88,9.5239640374939822e-60,1.2282944558782405e-36,4.3141614322843994e-55,5.1707685033894797e-86,3.7075551605078863e-34,7.7280198328302646e-107,2.9687913530604836e-45,1.7125452556357466e-83,8.1227647073133925e-85,3.106370550305516e-67,1.1796854528285926e-68,8.9295380634670932e-74,4.7854264208812051e-122,1.5751700436974941e-15,9.5102015373311403e-16,9.3680733455118831e-25,9.3680733492194767e-25,2.2603803303515609e-73,1.9796515939982199e-39,4.7027365608847539e-51,2.6511071826129041e-69,3.3438282140103357e-76,2.8774597143673329e-136,1.2301629253522075e-63,7.5096041272698805e-139,1.5335031957148978e-171,7.4775191661078168e-186,9.7574274473742002e-189,1.7759425201232354e-221,7.4931287452864567e-236,9.7777964137116236e-239,4.8787137236871001e-189,1.0606477389685842e-271,4.002251782057931e-286,1.9517655868088772e-222,8.2349685628134244e-237,3.7063201122198843e-121,1.0745824450321366e-239,2.6112725706163487e-289,1.2351641146031164e-322,0.0,2.8700317507298076e-48,9.7344287076608076e-35,1.0935497715204588e-55,9.8572581532486282e-35,8.3839131097207306e-51,4.6768983685665191e-99,2.4666480352706263e-102,3.7934258110915503e-75,6.1510474207252671e-104,2.9089246852866712e-118,1.138963461246481e-120,6.5924538067253237e-240,2.3755655348868583e-247,1.0113426155898843e-261
