Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(85)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.927538955643755e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,8.7166636797334262e-140,2.609972640566744e-65,1.4508381520971145e-46,1.3954434019715287e-74,7.1360999156275201e-58,3.9049001617907742e-49,4.1026678766884588e-29,-2.700506674762182e-114,4.1026673613529729e-29,2.5019779722593192e-74,2.7195051272532975e-70,3.2953513263310563e-75,2.7978394991813908e-106,3.9049021738468152e-49,4.7685313198944369e-92,2.4941406355106638e-18,7.2750428795404182e-19,1.6487308971345462e-23,1.7806487295526492e-37,1.6487308971350437e-23,5.6338541112252066e-54,9.7086696922503762e-46
2.2197109075802513e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,6.7261704230860131e-138,5.246964501173546e-64,8.7630624387401566e-46,1.6566705908240401e-73,1.0784074192475949e-56,2.3585599837776841e-48,1.1487471724414692e-28,-2.5596088351873929e-114,1.1487468611788353e-28,3.7810567081629558e-73,8.5505595037520147e-69,3.9122415291459033e-74,6.2586557101526776e-105,2.3585623724906169e-48,1.3448253185524026e-90,6.983593779429855e-18,2.037012006271317e-18,4.6164465119751179e-23,1.0755118326218653e-36,4.6164465119781218e-23,6.6885116006659938e-53,5.8640372053342533e-45
5.073624931612003e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,7.3305182136293247e-136,9.7022092935855519e-63,4.2190373464066835e-45,1.6265293997486802e-72,1.1601014910798881e-55,1.1355453961328414e-47,2.6257086098615196e-28,4.369358047368081e-114,2.6257071112659241e-28,4.0674788523892316e-72,1.9075827904636301e-67,3.8410628530010636e-73,1.2366051881095868e-103,1.1355477413853638e-47,2.9252841238930692e-89,1.5962500067268217e-17,4.6560274429058686e-18,1.0551877741649812e-22,5.1781265051200807e-36,1.0551877741664278e-22,6.5668203514843257e-52,2.8232822133289468e-44
1.0781452979675508e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,5.9968334973483941e-134,1.6676805780798793e-61,1.8425644532742367e-44,1.4386475275589654e-71,1.0663331381859636e-54,4.9592276393431512e-47,5.5796341562008307e-28,2.7504817627934363e-112,5.5796276114401493e-28,3.7387115650955363e-71,3.5726914500274317e-66,3.3973782321563903e-72,2.2004738872878154e-102,4.9592483828361187e-47,5.4229802557516636e-88,3.3920312642944866e-17,9.8940583161749694e-18,2.2422740200973402e-22,2.2614238860988731e-35,2.2422740201036588e-22,5.8082782333332094e-51,1.2330021532990859e-43
2.2197109075802515e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,4.3159854592166792e-132,2.7636392635897833e-60,7.692343883412805e-44,1.2092710983187311e-70,9.1227044988349226e-54,2.0703820562634492e-46,1.1487495934876299e-27,9.8103645741499598e-111,1.1487468611788794e-27,3.198551031354726e-70,6.1709360129833783e-65,2.8557038659599828e-71,3.711424303499006e-101,2.0703994924191733e-46,9.3207297120982151e-87,6.9835937794297869e-17,2.0370120062713171e-17,4.6164465119517394e-22,9.4409995601912216e-35,4.6164465119781184e-22,4.8822078289892333e-50,5.1475465922807403e-43
4.502842126805653e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999867,0.099999999999999992,2.9255437386422986e-130,4.4991187125279052e-59,3.1425734718082006e-43,9.9143542026033621e-70,7.542828495362803e-53,8.4582037325260578e-46,2.3303262236214621e-27,3.2967675555689186e-109,2.3303150612486858e-27,2.6446347259172013e-69,1.0253102475285907e-63,2.341283080711537e-70,6.0960369450816407e-100,8.4583466846651061e-46,1.5448486840922495e-85,1.4166718809700267e-16,4.1322243555789559e-17,9.3647914956192666e-22,3.856956370860823e-34,9.3647914957270321e-22,4.0027289469010533e-49,2.1029450901808536e-42
9.069104565256456e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999971,0.099999999999999728,0.099999999999999964,1.9263465813858144e-128,7.2607912638298862e-58,1.2702784430823936e-42,8.028932061319928e-69,6.1337028641708247e-52,3.4189553186317019e-45,4.6934965814840793e-27,1.0807479202716333e-107,4.6934514613886083e-27,2.1505920102867622e-68,1.6715144769681158e-62,1.896039056826785e-69,9.8819754855519544e-99,3.419071084980092e-45,2.5154070313285526e-84,2.8532968870240743e-16,8.3226490541942267e-17,1.8861481462789233e-21,1.5590434311483422e-33,1.8861481463224839e-21,3.2415136759161526e-48,8.500475429806123e-42
1.8201629442158064e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999932,0.099999999999999437,0.099999999999999922,1.2504563438466649e-126,1.1667164818835264e-56,5.1077337535783517e-42,6.4624328970308953e-68,4.9470535683858001e-51,1.3747582637774912e-44,9.4199056875891211e-27,3.5002703904388451e-106,9.4197242616696904e-27,1.734561469509574e-67,2.699500340467095e-61,1.5261089621025506e-68,1.591473573298954e-97,1.3748514426059665e-44,4.0599475015613663e-83,5.7265468991319748e-16,1.6703498451424742e-16,3.7854861396468774e-21,6.2688450563255516e-33,3.7854861398220347e-21,2.6090522067993421e-47,3.418032046068681e-41
3.646667919596128e-21,0.09977366400000001,0.80000000000000004,0.0,0.2893436255999986,0.099999999999998868,0.099999999999999839,8.0601424642441452e-125,1.8707436202705678e-55,2.0484296864221949e-41,5.1857754496898431e-67,3.973742458097697e-50,5.5134866892631107e-44,1.8872997461318426e-26,1.1268750997419609e-104,1.8872269862236809e-26,1.3933442660156548e-66,4.3393679403238984e-60,1.2246252325280001e-67,2.5547057020323657e-96,5.5142343906771752e-44,6.5244539325173454e-82,1.1473046923347e-15,3.3465197245885678e-16,7.5841621261186368e-21,2.5140872396306849e-32,7.5841621268210957e-21,2.0936000757330663e-46,1.3708063945497928e-40
