Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.669155158374822e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,6.4627507660949744e-66,6.9032758212391834e-42,0.0,3.120204648030889e-57,0.0,6.7815739761750683e-25,-5.3055010551096074e-118,6.7815739758532905e-25,9.3655769427073513e-80,1.1550000351017908e-70,0.0,0.0,8.7930388865767716e-55,5.5962924180735178e-95,2.6894754702803979e-18,1.2931237063347711e-19,4.984397446358644e-23,5.5047778074153747e-38,4.9843974463618572e-23,1.857589755541642e-54,3.380773037886494e-42,5.1651810677566168e-74
1.8673634443449502e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.4457518273013119e-64,4.1695785960284756e-41,0.0,4.7152532640870857e-56,0.0,1.8988407134332743e-24,1.0240510367711029e-116,1.8988407132389213e-24,2.6412425470652643e-78,3.6315049644531096e-69,0.0,0.0,1.0439095765980238e-53,2.8968021288064975e-93,7.5305313167851143e-18,3.6207463777373594e-19,1.3956312849793796e-22,3.3248857956219492e-37,1.3956312849813201e-22,2.2053305577376697e-53,2.0419869149769393e-41,1.4566637039993189e-72
4.268259301359886e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.8566153242288203e-63,2.0074726088163668e-40,0.0,5.0724542921770181e-55,0.0,4.3402073454818295e-24,1.0812992177944112e-114,4.3402073445461052e-24,5.7452794593893255e-77,8.1016878103811691e-68,0.0,0.0,1.0249166125686383e-52,1.2648571786772148e-91,1.7212643009794536e-17,8.2759917205425345e-19,3.1900143656622473e-22,1.6007893863109838e-36,3.1900143656715887e-22,2.1652066189310961e-52,9.8312879955763793e-41,3.1685617313427228e-71
9.070051015389758e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.083237930354028e-62,8.7671602929738811e-40,0.0,4.6624594014015259e-54,0.0,9.2229406112470202e-24,8.546769848789606e-113,9.2229406071604685e-24,1.0650779851856479e-75,1.5173564636888517e-66,0.0,0.0,9.0652713694394242e-52,4.7087461386853955e-90,3.6576866395813313e-17,1.7586482406152885e-18,6.7787805270113293e-22,6.9910678145349771e-36,6.7787805270521246e-22,1.9151007341039004e-51,4.2935817595650493e-40,5.8739794445325295e-70
1.86736344434495e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,8.573659225577866e-61,3.660116840421121e-39,0.0,3.9888321794911675e-53,0.0,1.8988407149449732e-23,6.0576477984813524e-111,1.8988407132389183e-23,1.8305969279124278e-74,2.6208559507385675e-65,0.0,0.0,7.619906808551643e-51,1.622234439526944e-88,7.5305313167850619e-17,3.6207463777373587e-18,1.3956312849642881e-21,2.9186331926973366e-35,1.3956312849813194e-21,1.6097575602276905e-50,1.7924858659917013e-39,1.0095869856804222e-68
3.788080129956899e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,0.0,1.4082289708768805e-59,1.4952771559837799e-38,0.0,3.2980435823783439e-52,0.0,3.8519340252544471e-23,4.0765192696342115e-109,3.8519340182846542e-23,3.0340801583205751e-73,4.3545913590938271e-64,0.0,0.0,6.2472599753270494e-50,5.3836046447432635e-87,1.5276220671192417e-16,7.3449426519814969e-18,2.8311377494639526e-21,1.1923568915248951e-34,2.8311377495335313e-21,1.3197765048998987e-49,7.3228896420265859e-39,1.6733163891215336e-67
7.629513501180796e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,0.0,2.2828021541221992e-58,6.0441493387350423e-38,0.0,2.6819142685444754e-51,0.0,7.7581206565491151e-23,2.6747534022385041e-107,7.7581206283761008e-23,4.9402130036553746e-72,7.0990829532771213e-63,0.0,0.0,5.0591930964161129e-49,1.7541691925212786e-85,3.0767599380006701e-16,1.4793335200469761e-17,5.7021506783567009e-21,4.819697194195018e-34,5.7021506786379491e-21,1.0687892304879878e-48,2.9600290808591397e-38,2.7245619605983625e-66
1.5312380243628592e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054271,0.0,3.6763843428040159e-57,2.4303258659711218e-37,0.0,2.163061016397881e-50,0.0,1.557049396184135e-22,1.7332004028288423e-105,1.5570493848558894e-22,7.9735237046260668e-71,1.1465037918729203e-61,0.0,0.0,4.0720787394103787e-48,5.6641060247419607e-84,6.1750356797633643e-16,2.9690120297446258e-17,1.1444176535715873e-20,1.9379790417248267e-33,1.1444176536846758e-20,8.6025455413705344e-48,1.1902146784479784e-37,4.3974539886179027e-65
3.067811372852418e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996409,0.022821567693054257,0.0,5.9014125365040456e-56,9.7466937123573566e-37,0.0,1.7374882403540095e-49,0.0,3.1195240743237392e-22,1.11613254651601e-103,3.1195240288924074e-22,1.2813238536024972e-69,1.8429713561893686e-60,0.0,0.0,3.2675867306941756e-47,1.820676268869676e-82,1.237158716328808e-15,5.9483690491399117e-17,2.2928228248728919e-20,7.7721627214797165e-33,2.2928228253264279e-20,6.903001009560267e-47,4.7732932269029112e-37,7.0665905056039415e-64
