Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52),C2H4(47),H2X(49),C2H4X(65)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792273728e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.8690330374309468e-66,7.6174078027466883e-42,0.0,3.6166880408060981e-57,0.0,7.1237143039040397e-25,-7.1281820654435865e-118,7.1237143035489762e-25,1.1403508667383127e-79,1.4063258562082855e-70,0.0,0.0,1.0192177171351739e-54,7.1578130351863321e-95,2.8251634421299512e-18,1.3583636890012977e-19,5.235867589091541e-23,6.0742375805908408e-38,5.2358675890950862e-23,2.1531673115954841e-54,3.7305081797457463e-42,6.2891146413174407e-74,1.1365682384663726e-111,5.1157946744107378e-58,1.2886284013120239e-111
1.9615746618366438e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.7603446743801096e-64,4.6009143128590081e-41,0.0,5.4655389672791219e-56,0.0,1.9946400052081711e-24,1.3758710334486635e-116,1.9946400049937132e-24,3.2159719003480635e-78,4.42171353686821e-69,0.0,0.0,1.2100152737629454e-53,3.7050901720361577e-93,7.9104576379638617e-18,3.8034183292036332e-19,1.4660429249444832e-22,3.6688394986108695e-37,1.466042924946624e-22,2.5562402322757886e-53,2.253226940674805e-41,1.7736309546898206e-72,1.0703424984988337e-109,6.0734714374604145e-57,1.213542395388816e-109
4.483599227055186e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.4782093840651046e-63,2.2151421890387495e-40,0.0,5.8795774141752469e-55,0.0,4.5591771553038665e-24,1.4527866214903614e-114,4.5591771542713431e-24,6.9954413393729566e-77,9.8645996645559799e-68,0.0,0.0,1.1880001710309652e-52,1.6177873715108325e-91,1.8081046029631665e-17,8.6935276096083047e-19,3.3509552570105473e-22,1.7663882883368194e-36,3.350955257020855e-22,2.5097318182395488e-52,1.0848317788326239e-40,3.8580347359023018e-71,9.3548486904394847e-108,5.9629702724931157e-56,1.0606423180442983e-107
9.52764835749227e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.1893408331049393e-62,9.6741079094884235e-40,0.0,5.404344605580881e-54,0.0,9.688251457335897e-24,1.1483068367842884e-112,9.6882514528265978e-24,1.2968369284536134e-75,1.8475303434089658e-66,0.0,0.0,1.0507726975279118e-51,6.0226167564473252e-90,3.8422222812967207e-17,1.8473746170417649e-18,7.1207799211242993e-22,7.7142817263273893e-36,7.1207799211693161e-22,2.2198293712345682e-51,4.7377453899568961e-40,7.1521461964303321e-70,6.9790073786237117e-106,5.2741796775304099e-55,7.9127207794419186e-106
1.9615746618366439e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.0439271161536611e-60,4.0387496170164108e-39,0.0,4.6235305910241385e-53,0.0,1.9946400068762529e-23,8.1387922041323825e-111,1.9946400049937095e-23,2.2289313367184615e-74,3.1911492194018455e-65,0.0,0.0,8.8323776595043255e-51,2.0748827884578246e-88,7.9104576379638007e-17,3.8034183292036333e-18,1.4660429249278305e-21,3.2205607643085806e-35,1.4660429249466234e-21,1.8659003409567328e-50,1.977915438413013e-39,1.2292711930268604e-68,4.8140800469990187e-104,4.4332658121294017e-54,5.458150298315673e-104
3.9791943140114775e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.7146569157337466e-59,1.6499609997062415e-38,0.0,3.8228245028810706e-52,0.0,4.0462697321066063e-23,5.4770340495859066e-109,4.0462697244158011e-23,3.6942902284343456e-73,5.3021421540793232e-64,0.0,0.0,7.2413168329710612e-50,6.8857794810991428e-87,1.6046928351297841e-16,7.7155057535273671e-18,2.9739727905292282e-21,1.3157041561267853e-34,2.9739727906060048e-21,1.5297778319429708e-49,8.0804299504565369e-39,2.0374268519103248e-67,3.1970545349364041e-102,3.6346591594221551e-53,3.6247847934366407e-102
8.014433618361144e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.7795355596580694e-58,6.6694061668800578e-38,0.0,3.1086573977293621e-51,0.0,8.1495291943474224e-23,3.5936823771012659e-107,8.1495291632599555e-23,6.0151939544831319e-72,8.6438298974159975e-63,0.0,0.0,5.8642061118008873e-49,2.2436309924813312e-85,3.2319869777965478e-16,1.5539680602174825e-17,5.9898325216144183e-21,5.318286558799021e-34,5.9898325219247616e-21,1.2388537496279815e-48,3.2662389862891112e-38,3.3174214597385346e-66,2.0840259347743666e-100,2.943441222202206e-52,2.362845369728535e-100
1.6084912227060478e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.4763585809182761e-57,2.6817388865888322e-37,0.0,2.5072448098735385e-50,0.0,1.6356048165949491e-22,2.3286527046481596e-105,1.6356048040948157e-22,9.7085472930600102e-71,1.395980835599571e-61,0.0,0.0,4.7200232477760163e-48,7.2445485167193627e-84,6.4865752631298899e-16,3.1188030299469699e-17,1.2021551983314373e-20,2.1384596319963783e-33,1.2021551984562247e-20,9.9713727417571672e-48,1.3133403352524653e-37,5.3543316103495568e-65,1.3460327600280141e-98,2.369137569226913e-51,1.5261169310045683e-98
3.2225869444459145e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,0.0,7.1855486751986253e-56,1.0754972372256466e-36,0.0,2.0139553807214329e-49,0.0,3.2769086297635356e-22,1.4995871623278266e-103,3.2769085796324109e-22,1.5601374864034291e-69,2.2439984165185214e-60,0.0,0.0,3.7875213909882137e-47,2.3286953855263761e-82,1.299575183379584e-15,6.248472969405931e-17,2.408499090483257e-20,8.5761795527164539e-33,2.4084990909837102e-20,8.0013986282288812e-47,5.2670821847267138e-37,8.6042671553001123e-64,8.6540290321615121e-97,1.9010836962315024e-50,9.8118415314222897e-97
6.450778387925648e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996273,0.022821567693054223,0.0,1.1515615231397489e-54,4.3075987127069488e-36,0.0,1.6144345146933658e-48,0.0,6.559516331493404e-22,9.6270631831631127e-102,6.5595161307074265e-22,2.5016483043529868e-68,3.5987626340136867e-59,0.0,0.0,3.0346261101627801e-46,7.4685699644708099e-81,2.6014104975124807e-15,1.2507812848323788e-16,4.8211868740342119e-20,3.4349451157377156e-32,4.8211868760386368e-20,6.4108557197884005e-46,2.1095801970405291e-36,1.3796765045911359e-62,5.5512247408397645e-95,1.523180373931811e-49,6.2939165697942552e-95
1.2907161274885116e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999454,0.11866996602996012,0.02282156769305416,0.0,1.8439989079742725e-53,1.7241620777071716e-35,0.0,1.2928569747561756e-47,0.0,1.312473203652392e-21,6.1708434041799705e-100,1.3124731232856744e-21,4.0069849033228917e-67,5.7647210849287237e-58,0.0,0.0,2.4295460484717432e-45,2.392624821716414e-79,5.2050811257771009e-15,2.5026492606159265e-16,9.6465624381253902e-20,1.3748732053375743e-31,9.64656244614831e-20,5.1325825943424518e-45,8.4438187343254945e-36,2.2098801481131856e-61,3.5568357192684422e-93,1.2194704580198944e-48,4.0327004769570477e-93
