Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),C2H4(47),H2X(49),H2OX(23),C2H6X(52),C2H4X(205),C2H4X(65),CH4OX(60),C3H7(36)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.132260008874694e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.1740860545839676e-65,2.8094663149410277e-36,0.0,1.6949986005346629e-54,0.0,5.4122057553749775e-20,-5.6785582335731296e-106,5.412205755374886e-20,2.3797063013844474e-72,3.0894630289613442e-70,0.0,0.0,1.8442872078748733e-52,1.0864978554152643e-85,2.9557541422934549e-18,8.7514626801239151e-20,3.5035039687853609e-22,8.5218222949151767e-38,3.1554849106258439e-37,3.5035039687760355e-22,1.7542625978444488e-98,1.9740332224699045e-52,3.0521045043010482e-54,3.0837029362708621e-71,3.3042027003856137e-115,2.0464491188508033e-102,5.4448650713231946e-87,-1.3899693647307215e-120
1.7170328024849144e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.6265860017509049e-64,1.6969176542243798e-35,0.0,2.5614818815926013e-53,0.0,1.5154176115050241e-19,1.0962534230975575e-104,1.5154176115049673e-19,6.7111525139777691e-71,9.7137660803650551e-69,0.0,0.0,2.1895377731691235e-51,5.6240258036683758e-84,8.2761115984216715e-18,2.4504095504346962e-19,9.8098111125991866e-22,5.1471806660776174e-37,1.9059128860161521e-36,9.8098111125428588e-22,1.6520449419768982e-96,2.3435722417162634e-51,3.6234584674609132e-53,8.6965356611761708e-70,5.63405321954852e-113,1.9272062915699879e-100,3.1359635050098934e-85,5.0410773509260924e-119
3.9246464056798047e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,5.1898703314751038e-63,8.1699280438484948e-35,0.0,2.7555253208689535e-52,0.0,3.463811683440197e-19,1.1575278790131295e-102,3.463811683439924e-19,1.4598222615060041e-69,2.1670877771444099e-67,0.0,0.0,2.1497011694371803e-50,2.4556697673694483e-82,1.891682651067809e-17,5.6009361152793057e-19,2.2422425400227523e-21,2.4781459232846058e-36,9.1761501200720837e-36,2.2422425399956339e-21,1.4438958072902563e-94,2.3009331241108958e-50,3.5575330100728954e-52,1.8916864621576055e-68,9.8469659225961814e-111,1.6843882470429635e-98,1.4062976602336396e-83,1.0390551409240839e-116
8.339873612069585e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,9.2352432382382739e-62,3.5680222199750954e-34,0.0,2.5328025050642726e-51,0.0,7.3605998273110231e-19,9.149293179947372e-101,7.3605998273098319e-19,2.7062644454301433e-68,4.0587155701333686e-66,0.0,0.0,1.9013863397009564e-49,9.141842833936638e-81,4.0198256335190869e-17,1.1901989244968526e-18,4.7647653975486967e-21,1.0822714313749414e-35,4.007465836466021e-35,4.7647653974302655e-21,1.077191072389911e-92,2.0351492910375211e-49,3.146597659459354e-51,3.5068678903129276e-67,1.4706690294544347e-108,1.2566058939728987e-96,5.290843273389489e-82,1.6463740490513662e-114
1.7170328024849143e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.5576706620078818e-60,1.4895790401817247e-33,0.0,2.1668658677345757e-50,0.0,1.51541761150546e-18,6.4846949894695544e-99,1.5154176115049628e-18,4.6513771281276777e-67,7.0104218154036315e-65,0.0,0.0,1.598229785513683e-48,3.1495034663716608e-79,8.2761115984216204e-17,2.4504095504346957e-18,9.8098111126016929e-21,4.518270180050447e-35,1.6730380995879009e-34,9.8098111121072616e-21,7.4304034472221021e-91,1.710665606060767e-48,2.6449049292202655e-50,6.0274098948149909e-66,2.0300403808277787e-106,8.6679967939571488e-95,1.8320510457956779e-80,2.3372554298603872e-112
3.4831236850408263e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.5584883669898082e-59,6.0854164168147996e-33,0.0,1.7916066025169481e-49,0.0,3.0741328690549459e-18,4.3639024494772797e-97,3.074132869052914e-18,7.7093164739937688e-66,1.1647920693618238e-63,0.0,0.0,1.3103253389334401e-47,1.0452053708973905e-77,1.6788683528226597e-16,4.9708308023103802e-18,1.9899902542712115e-20,1.8458607957636403e-34,6.834906535592533e-34,1.9899902540692206e-20,4.9345679352721005e-89,1.4025070179111582e-47,2.168452858929015e-49,9.9899898713097339e-65,2.6970866856882367e-104,5.7564598350294438e-93,6.0953492250849845e-79,3.1481269909121858e-110
7.015305450152651e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996499,0.022821567693054282,0.0,4.1474276426225916e-58,2.4598226131139349e-32,0.0,1.4569047349121573e-48,0.0,6.1915633841569967e-18,2.8633160148606249e-95,6.1915633841487845e-18,1.2552623367973477e-64,1.8989050506156766e-62,0.0,0.0,1.0611354316113493e-46,3.4056495276628837e-76,3.3813827387836179e-16,1.0011673306061747e-17,4.0080085402950684e-20,7.4612644616986312e-34,2.7627785023481028e-33,4.008008539478586e-20,3.2166381405108883e-87,1.1357865455543112e-46,1.7560693453350612e-48,1.6266108769511131e-63,3.5167405736413761e-102,3.7523950358959054e-91,1.9886109042774886e-77,4.1327841568917741e-108
1.4079668980376299e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996464,0.022821567693054278,0.0,6.6793105733569645e-57,9.8908385404020694e-32,0.0,1.1750464486969704e-47,0.0,1.242642441437342e-17,1.8553861653954829e-93,1.2426424414340398e-17,2.0259984724083771e-63,3.0667367264478262e-61,0.0,0.0,8.5409411151685241e-46,1.0996635952432906e-74,6.7864115107053898e-16,2.0093358313564463e-17,8.0440451123498672e-20,3.0001416221830362e-33,1.1109010845790375e-32,8.0440451090668343e-20,2.0775654670788085e-85,9.1417982305817717e-46,1.4134373824782817e-47,2.6253565133815548e-62,4.5431193196073105e-100,2.4236006586204699e-89,6.4252048236306914e-76,5.3569923885191549e-106
2.8208396040823593e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996395,0.022821567693054268,0.0,1.0721777679302415e-55,3.9666686332670164e-31,0.0,9.4386120934725331e-47,0.0,2.4896146474855552e-17,1.1948167517951254e-91,2.4896146474723129e-17,3.2557251557023208e-62,4.9296897121456816e-60,0.0,0.0,6.8535673465714766e-45,3.5347703646978663e-73,1.3596469054548348e-15,4.0256728328569819e-17,1.6116118256487812e-19,1.2031909734786525e-32,4.4552102112236254e-32,1.6116118243321373e-19,1.3357261728487746e-83,7.3357173496958894e-45,1.1341944822915247e-46,4.218877437346908e-61,5.8420132530310954e-98,1.5582020682507001e-87,2.0659851853173295e-74,6.9001683173015618e-104
