Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),OX(20),CH3X(22),HOX(23),HX(19),H2OX(30),HO2X(48),CH3OHX(41)
0.0,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0579428487511208e-23,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.10000000000000001,0.10000000000000001,0.0,1.7516817441322404e-88,2.0808011776784053e-73,0.0,3.168585938780483e-67,0.0,1.1838385920334797e-42,0.0,2.8801682617102415e-56,0.0,9.1367693759376388e-84,0.0,0.0,3.4806928952185673e-72,0.0,2.7176850857449251e-18,3.3791681479239934e-19,8.9388557531212252e-30,1.8953858436130899e-46,8.9388557531224079e-30,4.4923059026994211e-105,2.0973721798020013e-84,1.7569865003166989e-100
2.962239976503139e-23,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.10000000000000001,0.10000000000000001,0.0,9.1568276626935809e-87,3.1445067397047886e-72,0.0,4.7883670702695252e-66,0.0,7.1503850958813016e-42,0.0,1.7396216300729858e-55,0.0,2.8727465089169192e-82,0.0,0.0,4.1322786052024495e-71,0.0,7.6095182400851202e-18,9.461670814187182e-19,2.5028796108735594e-29,1.1448130495419931e-45,2.5028796108742744e-29,4.2719173731734432e-103,6.5944737818586824e-83,1.0119342764465009e-98
6.770834232007175e-23,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.099999999999999992,0.10000000000000001,0.0,1.5571414436976058e-85,3.3827168585249478e-71,0.0,5.1511067885782059e-65,0.0,3.4426026256319871e-41,0.0,8.3755293050533793e-55,0.0,6.4089394338405678e-81,0.0,0.0,4.0570956386635549e-70,0.0,1.7393184548762836e-17,2.1626676146713558e-18,5.7208676819948986e-29,5.5117820332221707e-45,5.7208676819983413e-29,1.4803410819493469e-101,1.4711908250653521e-81,4.5379380330772349e-97
1.4388022743015246e-22,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040462,0.099999999999999978,0.10000000000000001,0.0,2.5676301588637947e-84,3.1092995837782322e-70,0.0,4.7347545962870279e-64,0.0,1.5034750118811014e-40,0.0,3.6578136923720032e-54,0.0,1.200323426866259e-79,0.0,0.0,3.5884551472477989e-69,0.0,3.6960517166107553e-17,4.5956686811766311e-18,1.2156843824231438e-28,2.4071400213837729e-44,1.2156843824246471e-28,4.8891337475655449e-100,2.7553775955414704e-80,1.7072857047382831e-95
2.962239976503139e-22,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040457,0.099999999999999936,0.10000000000000001,0.0,4.1882914751886339e-83,2.660071255927296e-69,0.0,4.050682240843661e-63,0.0,6.2767122149487462e-40,0.0,1.5270652123587666e-53,0.0,2.0732602205511169e-78,0.0,0.0,3.016312771897866e-68,0.0,7.609518240075416e-17,9.461670814187177e-18,2.5028796108679957e-28,1.0049335742792938e-43,2.5028796108742722e-28,1.5956177718911355e-98,4.7592295822754547e-79,5.9117883474549874e-94
6.009115380906368e-22,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040449,0.099999999999999853,0.10000000000000001,0.0,6.7750277320517531e-82,2.1993983551350789e-68,0.0,3.3491824092341591e-62,0.0,2.564241743877393e-39,0.0,6.2385596615948203e-53,0.0,3.4447528646523556e-77,0.0,0.0,2.4729554483328896e-67,0.0,1.5436451286987593e-16,1.9193675080208263e-17,5.0772700677478788e-28,4.1054815526627289e-43,5.0772700677735165e-28,5.1635661780906853e-97,7.9075311312143643e-78,1.9668892203136301e-92
1.2102866189712825e-21,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040432,0.0999999999999997,0.099999999999999992,0.0,1.0903183522304784e-80,1.7885142157123415e-67,0.0,2.7234995133520393e-61,0.0,1.0365075115688409e-38,0.0,2.5217255612038518e-52,0.0,5.6158165800405493e-76,0.0,0.0,2.002663437742268e-66,0.0,3.1090317380743406e-16,3.8657683612250397e-17,1.0226050981468354e-27,1.6595012845733444e-42,1.022605098157199e-27,1.6622439275218779e-95,1.2891271501571091e-76,6.4169864732817441e-91
2.4290367807325736e-21,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040396,0.099999999999999381,0.099999999999999978,0.0,1.7497291683694456e-79,1.4425015083490359e-66,0.0,2.1966010230232714e-60,0.0,4.1677511167254552e-38,0.0,1.0139747572081153e-51,0.0,9.0695587771321849e-75,0.0,0.0,1.6119177624483781e-65,0.0,6.2398049567980832e-16,7.7585700676334524e-17,2.0523612808752154e-27,6.6727816776269782e-42,2.0523612809168865e-27,5.3355921386161443e-94,2.0819437908994722e-75,2.0733292967785466e-89
4.8665371042551566e-21,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040326,0.099999999999998757,0.099999999999999936,0.0,2.8038105191597518e-78,1.1586956581031748e-65,0.0,1.7644293979137794e-59,0.0,1.6714546050024475e-37,0.0,4.0664922876989411e-51,0.0,1.4579050846824071e-73,0.0,0.0,1.2934624892850049e-64,0.0,1.2501351394135891e-15,1.5544173480450212e-16,4.1118736462691152e-27,2.6760839000835813e-41,4.1118736464362328e-27,1.7100611904240664e-92,3.3466638382450912e-74,6.6666631438088579e-88
