Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),H2X(31),CH2X(58),CHX(26),C2H6X(34),C2H5X(33),CH2(48),C3H8X(38),HOCXO(25),OCX(21),HOX(23),OX(20),COX(32),CH4OX(41),H2OX(30),CH3OX(40)
2.0961622400576906e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,4.3998904153551424e-102,0.10000000000000001,4.3754134203688972e-101,1.0112457613761782e-69,3.8380921155270646e-40,8.4201996309037594e-65,0.0,8.1166441608014183e-41,-1.0474082434214526e-123,6.4993255282953844e-52,2.0409137151056183e-99,5.2577440618658759e-97,0.0,0.0,1.2514602542611533e-83,0.0,3.0101409229128643e-18,1.0904364368863853e-18,3.5804074041697346e-28,3.5804074041689225e-28,3.4348412743724749e-86,4.3338357320196596e-46,6.876857905139398e-61,2.962135358685817e-81,5.4741178319932311e-89,6.7864876357385077e-101,-3.8033874372459048e-140,6.2830703023410196e-55,5.3197842153279301e-35,8.5961944351403267e-61,5.3198225962490856e-35,3.4973602947977457e-57,1.3438294250170332e-113,7.457137652766677e-118,2.9261283034729253e-82
5.869254272161533e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,6.6491138369198513e-101,0.10000000000000001,1.1832496607524186e-99,1.449592011094074e-68,2.3181914886663558e-39,1.2724605682169204e-63,0.0,4.9024530731229839e-40,-1.4288376445625348e-124,3.9255926190904129e-51,1.0620203732805697e-97,1.6531222128362465e-95,0.0,0.0,1.4857364666246267e-82,0.0,8.4283945841551846e-18,3.0532220232817691e-18,1.0025140731675259e-27,1.0025140731670353e-27,9.2062290600582596e-85,2.6176367821392979e-45,8.1642057049798456e-60,8.3536956531174641e-80,1.5521105406800568e-87,7.3758036264564755e-86,-4.7373080671796417e-140,3.7949744625992041e-54,1.4895271450348576e-34,5.1921123251869918e-60,1.4895503269497441e-34,4.1520396541688866e-56,7.7397848865936688e-112,3.7045323768156668e-116,4.4219650922071995e-81
1.341543833636922e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,7.1528132762778961e-100,0.10000000000000001,2.432165041662713e-98,1.5323463407874239e-67,1.1160929638628273e-38,1.3688550135905328e-62,0.0,2.3603201219594424e-39,8.9921615438995493e-122,1.8900038636282978e-50,4.6437061050618474e-96,3.6880405792668359e-94,0.0,0.0,1.4587109159407339e-81,0.0,1.926490190663648e-17,6.9787931960720965e-18,2.2914607386686298e-27,2.2914607386662689e-27,1.9658025793017508e-83,1.2602794308704516e-44,8.01566557422537e-59,1.8171112720898242e-78,3.3806796852912219e-86,6.6382232638074313e-85,1.1707587611339629e-137,1.8271168438986097e-53,3.4045748523030289e-34,2.4997896712821554e-59,3.4046864615994148e-34,4.0764410484904792e-55,3.4708591155098365e-110,1.5293194465233863e-114,4.7569482603862865e-80
2.850780646478459e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,6.5746677204294065e-99,0.099999999999999992,4.4052997772366968e-97,1.3986826219076183e-66,4.8741266858851147e-38,1.2582135904388565e-61,0.0,1.0308138084201164e-38,7.1897962682724795e-120,8.2541434209351337e-50,1.7297123034708542e-94,6.9073515093018287e-93,0.0,0.0,1.2902240352383377e-80,0.0,4.0937916551585701e-17,1.4829935541650992e-17,4.8693540696708365e-27,4.8693540696605272e-27,3.6171750804123892e-82,5.5039713796560217e-44,7.0897654258717792e-58,3.368618056306531e-77,6.2706438736548253e-85,5.3843366473077826e-84,1.8914730278667748e-135,7.9794992837441198e-53,7.2344713182301647e-34,1.0917335671242807e-58,7.2349587308987546e-34,3.6054661407834175e-54,1.3058350496694692e-108,5.5587450765229905e-113,4.3724550013057922e-79
5.869254272161534e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,5.6247666799318675e-98,0.099999999999999978,7.4960471004570879e-96,1.1928605627687109e-65,2.0347311813823996e-37,1.0764282165642906e-60,0.0,4.3034447340419384e-38,5.0979475687713529e-118,3.4459423951022078e-49,5.9607523958156837e-93,1.1930938262447556e-91,0.0,0.0,1.0845291269953305e-79,0.0,8.4283945841430648e-17,3.0532220232801753e-17,1.0025140731675244e-26,1.0025140731632209e-26,6.1961971834687674e-81,2.2977997051087718e-43,5.959375030847847e-57,5.7897937531320235e-76,1.0780505051306321e-83,4.3148451214783671e-83,2.6846218792535579e-133,3.3312838740951322e-52,1.4893468538316047e-33,4.557854154264532e-58,1.4895503269497429e-33,3.0304436554780498e-53,4.5217691221654755e-107,1.8952910760279596e-111,3.7407273096059321e-78
1.1906201523527682e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,4.6506658619735353e-97,0.09999999999999995,1.2367179829753637e-94,9.8481718084122104e-65,8.3115540705370577e-37,8.9001166552891398e-60,0.0,1.758097591793553e-37,3.4311553806486711e-116,1.4077799067308898e-48,1.9784279316669679e-91,1.9824117888543881e-90,0.0,0.0,8.8919215823849393e-79,0.0,1.7097600442090663e-16,6.1936789615075149e-17,2.0336714055684047e-26,2.0336714055508236e-26,1.0253429410713243e-79,9.3872615489156934e-43,4.8858557005458922e-56,9.596158542344463e-75,1.7870279219670272e-82,3.4526136775867161e-82,3.6151355466208183e-131,1.3609381595937964e-51,3.0208280792624228e-33,1.8620986782534454e-57,3.0216592346694762e-33,2.4842655337686114e-52,1.5044722683695514e-105,6.2599140083780615e-110,3.092905678143082e-77
2.3980096026259977e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999953,0.099999999999999672,3.7818442405737097e-96,0.099999999999999881,2.0093473430323156e-93,8.0025827537160484e-64,3.3588655820504657e-36,7.2374270545669392e-59,0.0,7.1065115615970719e-37,2.2514595489919717e-114,5.6904714676479356e-48,6.4468643345732464e-90,3.2320550721312916e-89,0.0,0.0,7.2013889624493188e-78,0.0,3.4436012157900279e-16,1.247459283795094e-16,4.0959860703701563e-26,4.0959860702990911e-26,1.6682128950964124e-78,3.7944812074422705e-42,3.9566926206376249e-55,1.5624856544167594e-73,2.9099065067796597e-81,2.7621647002751572e-81,4.7452871277631468e-129,5.5011296356388531e-51,6.082518184526884e-33,7.5274385098206575e-57,6.0858770501089343e-33,2.0113769346398195e-51,4.9086828104913604e-104,2.0351607005121681e-108,2.5150995317679087e-76
4.812788503172457e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999905,0.099999999999999326,3.050194387430166e-95,0.099999999999999756,3.240011146365832e-92,6.4520708522058475e-63,1.3499441847408281e-35,5.8372471131193678e-58,0.0,2.8574970433021924e-36,1.4589620044757268e-112,2.2881135495384764e-47,2.0817255423842894e-88,5.2204995545813835e-88,0.0,0.0,5.7970775648209148e-77,0.0,6.911283558917722e-16,2.5036420590792789e-16,8.2206153999736302e-26,8.2206153996878795e-26,2.6914735364644044e-77,1.5257442047549632e-41,3.1846904455228131e-54,2.5218581456023291e-72,4.69675847447728e-80,2.2097391366256266e-80,6.1505606697133467e-127,2.2119800310562407e-50,1.220081323914041e-32,3.0271825191146313e-56,1.2214312680987819e-32,1.6182141182464504e-50,1.5862120435223229e-102,6.5649064636278976e-107,2.0285188880756054e-75
9.642346304265375e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999811,0.099999999999998632,2.4500820087625359e-94,0.099999999999999506,5.2052124227143658e-91,5.1817358916997374e-62,5.4087462364530151e-35,4.6887943240684481e-57,0.0,1.1459841190089174e-35,9.3954672774411849e-111,9.1763587174468757e-47,6.6916368749280496e-87,8.3941216898585999e-87,0.0,0.0,4.6530305827582091e-76,0.0,1.3846648245036186e-15,5.0160076096296484e-16,1.6469874059180462e-25,1.6469874058034465e-25,4.324304670301714e-76,6.1189166666577673e-41,2.5555135176617016e-53,4.0525583385720174e-71,7.5476916218959079e-79,1.7677920489018951e-79,7.9221009387627763e-125,8.8710292520763188e-50,2.4417096480380933e-32,1.2143825698284712e-55,2.4471183942745461e-32,1.2973656611231768e-49,5.1017558510467511e-101,2.1096166194596978e-105,1.6294166864388363e-74
1.9301461906451215e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999622,0.099999999999997244,1.9640439891949166e-93,0.099999999999999006,8.3486973856188531e-90,4.1534358718774807e-61,2.1622182475061419e-34,3.7586490065719699e-56,0.0,4.5899138971870259e-35,6.0317619852787711e-109,3.6753298502707226e-46,2.1461541236184422e-85,1.3469331253113916e-85,0.0,0.0,3.7300752096995575e-75,0.0,2.7717377616725429e-15,1.0040738710658381e-15,3.2968391377593646e-25,3.2968391373003681e-25,6.9332773711270788e-75,2.4507582765020311e-40,2.047520602548787e-52,6.498193772425168e-70,1.2102669657852297e-77,1.4142337194989183e-78,1.0172011225010718e-122,3.5530388013473806e-49,4.8768704641509618e-32,4.8666439713237192e-55,4.8984926466260236e-32,1.0376344002237838e-48,1.6373828851976184e-99,6.7676456914320704e-104,1.3061791554249995e-73
