Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),H2X(36),CH2X(134),CHX(26),C2H6X(39),C2H5X(38),C2H4X(51),CH2(T)(29),C2H3X(50),C3H6(141),C3H6X(151),C3H5X(149),C4H8(196),C4H8X(205),C4H7X(204),C3H5X(150),C5H10(233),SX(254),C4H8(240),C4H8X(315),C3H8X(43),C4H7X(251),C5H9X(252),C6H12(377),SX(388),HOCXO(25),OCX(21),HOX(23),OX(20),COX(37),H2OX(35),CH3OHX(46),C4H7X(197),C4H7(208),C4H7X(463)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1544186122961962e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,7.3496076616219639e-100,0.10000000000000001,4.5171963115277372e-98,1.6863889889878747e-67,1.1640769241603359e-38,7.0325806364389947e-63,7.0966314039575225e-93,2.4618235196315178e-39,-1.420223103857259e-120,1.9712827402137912e-50,4.3989084269602131e-96,2.418456168626909e-94,1.0822355323017787e-71,4.1099311636222615e-73,2.0904697776849082e-81,9.6412629210485346e-136,3.3155474711245509e-18,2.0017854442299127e-18,1.9718690261418379e-27,1.9718690261442996e-27,1.5773066980609792e-83,1.3144920625562916e-44,1.148733909141969e-58,1.703121660709331e-79,2.109447797737357e-86,2.4173178877111155e-152,3.0049103554889659e-71,6.308724426454312e-155,-3.2800197133837919e-192,-6.714762613813063e-209,-8.7621051279513353e-212,2.3316586693491167e-249,4.1338033802752223e-266,5.3942070448985488e-269,-4.3810525639756676e-212,-7.2209034355885745e-307,-9.8813129168249309e-324,2.5625054692476404e-250,4.5430722386594655e-267,-2.8402042970257235e-137,5.928262672625787e-270,0.0,0.0,0.0,1.9057065800828898e-53,2.9297146460701027e-34,2.6073431774782187e-59,2.9298310537625186e-34,2.9208892659268694e-55,1.4133157611537184e-114,5.6737487737486834e-111,3.636896744274555e-270,5.5071592637952343e-280,9.8525569753895783e-297
3.2323721144293495e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.1106726558491122e-98,0.10000000000000001,1.1653654395917004e-96,2.4180814169299265e-66,7.0307548948838836e-38,1.062763585771917e-61,1.5874347815015815e-91,1.4869414058556441e-38,4.6906067509149132e-120,1.1906547750891298e-49,2.3052959996238197e-94,7.6040981582934365e-93,1.2847848864896233e-70,4.8791388620404056e-72,2.4818319636744162e-80,5.9615973738387999e-135,9.2835329191477191e-18,5.6049992438433819e-18,5.5212332731891699e-27,5.5212332732040386e-27,4.2287373429482137e-82,7.939532057830364e-44,1.3637768969318297e-57,4.8030755826363466e-78,6.0243593152526737e-85,2.9322441169193987e-151,3.5674295740326866e-70,7.6525806468314411e-154,6.625337258260468e-191,2.3742285686284432e-207,3.0981348876450297e-210,2.5366470623024065e-247,8.1363480836861489e-264,1.0617134419645847e-266,1.5490674438225148e-210,5.1271492766578383e-304,1.4624343116900898e-320,2.7877888201000712e-248,8.9418904826101496e-265,1.4044541870081399e-136,1.1668288062795463e-267,9.8813129168249309e-324,0.0,0.0,1.1510467743453903e-52,8.2028238750455633e-34,1.5748534638625634e-58,8.2035269505350503e-34,3.4675579131936487e-54,6.7043689414295275e-113,3.2678246965676719e-109,7.1583344165333568e-268,1.9566144587314034e-277,6.3107017087771911e-294
7.388279118695656e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,1.1948109530769636e-97,0.099999999999999992,2.425100481889749e-95,2.5563755866332657e-65,3.3847311357525272e-37,1.1432725688916608e-60,3.1362732680999562e-90,7.1589827950615638e-38,6.1423293282174301e-118,5.7324902085417026e-49,1.0098804622892286e-92,1.6964726469762208e-91,1.2613138206567982e-69,4.7900044157664127e-71,2.4367329280508945e-79,4.3724965054160721e-133,2.1219503815189952e-17,1.2811426843068823e-17,1.2619961767251926e-26,1.2619961767323515e-26,9.0305426071232358e-81,3.8225429178992383e-43,1.3389642444911789e-56,1.0447738515123764e-76,1.3145060972528501e-83,3.9760014987757229e-149,3.5025235103458416e-69,1.0376582203965267e-151,4.3167692556610438e-188,3.1837542212414846e-204,4.1544862852924686e-207,1.5409552980580239e-243,9.8358819890771467e-260,1.2834859096453989e-262,2.0772431426462343e-207,2.8374665645241874e-299,1.6198209439013103e-315,1.6935181941712317e-244,1.0809687422610785e-260,4.436145011558234e-134,1.4105579458963969e-263,1.0568558230190105e-318,0.0,0.0,5.5417947345109118e-52,1.874753401294436e-33,7.5824267300924371e-58,1.8750918744080114e-33,3.4042109039657643e-53,2.798551684512814e-111,1.4654639642025296e-107,8.6535967310758648e-264,4.71752088437889e-273,3.0384120594344918e-289
1.5700093127228268e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,1.098237112771349e-96,0.099999999999999978,4.4156819531437555e-94,2.333480177247973e-64,1.477959712419831e-36,1.050864459318527e-59,5.5800073407201007e-89,3.1265158699042406e-37,4.8700046480604893e-116,2.5035290800715117e-48,3.7644814189709666e-91,3.177456665678823e-90,1.1154477645860185e-68,4.2360589651999274e-70,2.1553615678828863e-78,3.2189530376982281e-131,4.5091445607258008e-17,2.7224282041513728e-17,2.6817418755249805e-26,2.6817418755562454e-26,1.6617352888866338e-79,1.6694049194315499e-42,1.1842987109591337e-55,1.9368346424284118e-75,2.4399828564389976e-82,5.8507078456208694e-147,3.097942380069354e-68,1.5269197189734215e-149,2.6998368690098207e-185,3.9826445453129098e-201,5.1969596246813637e-204,8.192589243201712e-240,1.0458739930237472e-255,1.3647627480702864e-258,2.5984798123406818e-204,1.2822936742204754e-294,1.4640457099520686e-310,9.0036998206363235e-241,1.1494211663559485e-256,7.0565708875464297e-132,1.4998816302438449e-259,9.5521786551680038e-314,0.0,0.0,2.4202473563227987e-51,3.9830922734046025e-33,3.3116076977159476e-57,3.9845702331170219e-33,3.0105271034211002e-52,1.0227047582863345e-109,5.5136998672846998e-106,9.2015926214728588e-260,1.0032578935578987e-268,1.2923394773683008e-284
3.2323721144293495e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999986,0.099999999999999922,9.3956497303515677e-96,0.09999999999999995,7.5303558292771932e-93,1.9901342357307381e-63,6.1681751677940603e-36,8.9903666942572308e-59,9.408720502475737e-88,1.3052588300836229e-36,3.4539310528764757e-114,1.0451741088613489e-47,1.2977473872044504e-89,5.4887887280491785e-89,9.3731515334697837e-68,3.5595770457497056e-69,1.8118776250662231e-77,2.2066416355827587e-129,9.2835329191328528e-17,5.6049992438379629e-17,5.5212332730735042e-26,5.5212332732040311e-26,2.84659601503159e-78,6.9694369155389967e-42,9.9547442590197576e-55,3.3289238868715275e-74,4.1963071345879712e-81,8.025494651805036e-145,2.6040072354546034e-67,2.0944963176609985e-147,1.5251920871331745e-182,4.5001373413682785e-198,5.8722368523059624e-201,3.8118532844742758e-236,9.7326293031746595e-252,1.2700124491434146e-254,2.9361184261529812e-201,4.9134796399536008e-290,1.1219852690042863e-305,4.1892473447503473e-237,1.0696212163209507e-252,1.0017039963207613e-129,1.395750540044123e-255,7.3204024061928531e-309,0.0,0.0,1.0104056284157239e-50,8.1973587753672465e-33,1.3826670287856564e-56,8.20352695053504e-33,2.529757791611238e-51,3.4949921064900164e-108,1.9093980994317112e-104,8.5627637988545989e-256,1.8672241542570407e-264,4.8105189982181904e-280
6.557097717842395e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999969,0.099999999999999825,7.7685048899774927e-95,0.099999999999999895,1.2437438146043175e-91,1.6430545788501619e-62,2.5182550759251009e-35,7.4334090391253204e-58,1.5444735010186569e-86,5.3324082162509217e-36,2.3250691168094363e-112,4.2698772666126537e-47,4.3081261475406405e-88,9.1214411303311944e-88,7.679991509250249e-67,2.9165773529066097e-68,1.4857595569818285e-76,1.4607895725823109e-127,1.8832309635920712e-16,1.1370141323201576e-16,1.1200216067966346e-25,1.1200216068499594e-25,4.7105725474957448e-77,2.8472423870655868e-41,8.161500783702111e-54,5.5174472105190728e-73,6.9572295950874115e-80,1.0628494573978074e-142,2.1349224590752374e-66,2.7738281206745693e-145,8.1956669173378779e-180,4.8365454403323042e-195,6.3112163514459102e-198,1.6621577511692738e-232,8.487882711326736e-248,1.1075852551731132e-250,3.1556081757229551e-198,1.7385195890038507e-285,7.9397723129356966e-301,1.8267203446688899e-233,9.3282289367760861e-249,1.3491427929575358e-127,1.2172421767168128e-251,5.1803111814344107e-304,0.0,0.0,4.1278366778083113e-50,1.6616257834611813e-32,5.6497574070116016e-56,1.6641440385371065e-32,2.0727839820616164e-50,1.1556609839865442e-106,6.3538782318159031e-103,7.467637401169148e-252,3.2568463854892794e-260,1.678121993285119e-275
1.3206548924668484e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999939,0.099999999999999631,6.3172191602593395e-94,0.099999999999999784,2.0222697975731528e-90,1.3351447207790224e-61,1.0165908725062182e-34,6.0447247791427923e-57,2.500707501745026e-85,2.1554446587921706e-35,1.5258040190880627e-110,1.7259526606286824e-46,1.4039656146105943e-86,1.4875913417709633e-86,6.2118823422706607e-66,2.3590436703693392e-67,1.2036484794955194e-75,9.5070119208134228e-126,3.7929863069391461e-16,2.2900425481890519e-16,2.2558181656935192e-25,2.2558181659090672e-25,7.6640432705349624e-76,1.1509008962933898e-40,6.6093949355838663e-53,8.9837324766919988e-72,1.1329809260582174e-78,1.3836152924517169e-140,1.7289155588954428e-65,3.6109638855180522e-143,4.2978926837601007e-177,5.0727858324844592e-192,6.6194868400148137e-195,7.0225424708265976e-229,7.172211675507233e-244,9.3590311847537573e-247,3.3097434200074068e-195,5.9175438760542534e-281,5.4050558368820373e-296,7.7178120992042035e-230,7.8822993634053299e-245,1.7710679586294369e-125,1.0285625813526754e-247,3.5265332662620456e-299,0.0,0.0,1.6685375823810591e-49,3.3415608167792424e-32,2.2846208355502372e-55,3.3517267255043048e-32,1.676550058938602e-49,3.7600145896942691e-105,2.0737329402876223e-101,6.3101107923518378e-248,5.5040431746607263e-256,5.6720294825668763e-271
2.6505451338320662e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999878,0.099999999999999242,5.0950661096716655e-93,0.099999999999999548,3.263512047889517e-89,1.0764607111267092e-60,4.0770256164457398e-34,4.8752895186996938e-56,4.017841605062772e-84,8.666948172390873e-35,9.8877668391917742e-109,6.9399797382320782e-46,4.5336852259228966e-85,2.4042929092943785e-85,4.9877140066525319e-65,1.8941497131938879e-66,9.6951232498866972e-75,6.1354565764399408e-124,7.6124969935913044e-16,4.5960993799115338e-16,4.5274112831605589e-25,4.5274112840272628e-25,1.2365097294256299e-74,4.627721885152354e-40,5.3198160481109257e-52,1.4499780434492309e-70,1.828778561541956e-77,1.785980954789485e-138,1.3915816539465284e-64,4.6610591565283765e-141,2.2269113713557361e-174,5.2568902355230784e-189,6.8597249879407364e-192,2.9211524624493841e-225,5.9668311874788074e-240,7.7861281407300335e-243,3.4298624939703682e-192,1.9760969151091634e-276,3.6099156726586979e-291,3.2103623313022613e-226,6.5575796976579143e-241,2.2956581381235256e-123,8.5569968740121292e-244,2.3552925431772704e-294,0.0,0.0,6.7091162239997978e-49,6.6861218432742178e-32,9.1935861030494026e-55,6.7268920994386766e-32,1.3461543137870268e-48,1.2138726267959314e-103,6.7052540285829266e-100,5.2496173819031077e-244,9.1580476183833493e-252,1.8875120748668069e-266
5.310325616562502e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999756,0.099999999999998479,4.092634180899484e-92,0.09999999999999909,5.2498245604529592e-88,8.6451945249807101e-60,1.6265960518243307e-33,3.9160976696353642e-55,6.4193304685500228e-83,3.475833855288701e-34,6.3676978217634422e-107,2.7832422732112616e-45,1.4573714222722289e-83,3.8707105073182367e-84,3.9829651486595356e-64,1.5125831761669187e-65,7.7911415332448387e-74,3.9430698726538223e-122,1.5251518366727658e-15,9.2082130432952582e-16,9.0705975167877116e-25,9.0705975202635841e-25,1.9866628952025885e-73,1.8559234555590077e-39,4.268817347637193e-51,2.3300757892860005e-69,2.938912904454252e-76,2.2956660953874546e-136,1.1166566383693755e-63,5.991237166125256e-139,1.1469798949547842e-171,5.415197406242371e-186,7.066300283667304e-189,1.2057474793410826e-221,4.9257945074509097e-236,6.4276776106259379e-239,3.533150141833652e-189,6.5366743099520734e-272,2.3882276445331845e-286,1.3251229911818876e-222,5.4134747644072986e-237,2.9569418392512118e-121,7.0640524054009379e-240,1.5582011527891374e-289,6.9169190417774516e-323,0.0,2.6906556705161957e-48,1.3314563242124884e-31,3.6928352956933457e-54,1.3477222847307317e-31,1.074978579231393e-47,3.9057913459651351e-102,2.1592614501993158e-98,4.3337134450093788e-240,1.5120482017736392e-247,6.2327910348952488e-262
