Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(49),CH3OO(77),C2H6X(52),C2H4(47)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.895292112840976e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,7.384184712044139e-66,7.379366233838511e-42,0.0,3.4484873926386259e-57,0.0,7.011525119190047e-25,-6.4805985172730312e-118,7.0115251188460818e-25,1.0701923498571329e-79,1.3198059526709931e-70,0.0,0.0,7.2884618331602122e-56,6.6116435258753472e-95,2.7806698985876922e-18,1.3369707978709934e-19,5.153407827973809e-23,5.8844176548678897e-38,5.1534078279772426e-23,2.0530302625542313e-54,4.8778767356975023e-58,3.6139314649469218e-42,5.9021869509593803e-74,1.0333100984772745e-111
1.9306817915954733e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.6518179951070424e-64,4.4571372052384691e-41,0.0,5.2113541477517547e-56,0.0,1.9632270334846589e-24,1.2508720030822089e-116,1.9632270332769028e-24,3.0181136573710019e-78,4.1496810835974396e-69,0.0,0.0,8.6528618864566137e-55,3.4223771043242983e-93,7.785875716045541e-18,3.7435182340387818e-19,1.4429541918315541e-22,3.5541882627009131e-37,1.4429541918336279e-22,2.4373575271695501e-53,5.7910152606200638e-57,2.1828146049312757e-41,1.6645111551605997e-72,9.7310102032890013e-110
4.412986952218225e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.263718786910749e-63,2.1459197008002513e-40,0.0,5.6061369844443094e-55,0.0,4.4873760770617482e-24,1.3207999221807934e-114,4.4873760760614914e-24,6.5650564432509179e-77,9.2577102193997095e-68,0.0,0.0,8.4954311069308527e-54,1.4943437818894654e-91,1.7796287350961215e-17,8.5566131063743596e-19,3.2981810098954504e-22,1.7111886527766442e-36,3.298181009905436e-22,2.3930120723752305e-52,5.6856531231289722e-56,1.0509312701615662e-40,3.6206753371802298e-71,8.5049531514010909e-108
9.377597273463728e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.807617106361185e-62,9.3717951169750318e-40,0.0,5.153005741022523e-54,0.0,9.5356741659990468e-24,1.0439823440942028e-112,9.5356741616306629e-24,1.2170508220934908e-75,1.7338666653383214e-66,0.0,0.0,7.5141125993333915e-53,5.5630672232877985e-90,3.7817110620792512e-17,1.8182802851045512e-18,7.0086346460054405e-22,7.473210408673183e-36,7.0086346460490504e-22,2.1165920760011458e-51,5.0288957994346185e-55,4.5896929620842688e-40,6.7121218739540286e-70,6.3449589365503345e-106
1.9306817915954735e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.7953982733410403e-61,3.9125399771812903e-39,0.0,4.4085049008055129e-53,0.0,1.9632270351006135e-23,7.3993771449213094e-111,1.9632270332768993e-23,2.0917994053256708e-74,2.994823476336786e-65,0.0,0.0,6.3160643871266561e-52,1.9165610065224678e-88,7.7858757160454815e-17,3.7435182340387825e-18,1.4429541918154215e-21,3.1199182289028206e-35,1.4429541918336275e-21,1.7791231707283794e-50,4.2270899331275412e-54,1.916106464156368e-39,1.1536422546643102e-68,4.3767169968953662e-104
3.9165259200936747e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.6088973592014825e-59,1.5984002437144504e-38,0.0,3.6450371040248732e-52,0.0,3.9825462749550259e-23,4.979441611433338e-109,3.9825462675045576e-23,3.4670041089374081e-73,4.9759439778736978e-64,0.0,0.0,5.1782911656519351e-51,6.36036721033323e-87,1.579420502397783e-16,7.5939941319072389e-18,2.9271356462166927e-21,1.274588391802115e-34,2.9271356462910705e-21,1.4586326598978227e-49,3.4656237171945048e-53,7.8279201225384076e-39,1.9120774329419656e-67,2.9065995551497719e-102
7.888214177090077e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.6080921392538035e-58,6.4609893473056072e-38,0.0,2.9640836376071825e-51,0.0,8.0211847660758313e-23,3.2671937775899518e-107,8.0211847359598495e-23,5.6451174289850581e-72,8.112044483983667e-63,0.0,0.0,4.1935144107040108e-50,2.0724330536356598e-85,3.1810863639842083e-16,1.5294945927644146e-17,5.8954985549053047e-21,5.1520900273427573e-34,5.8954985552059499e-21,1.1812385365856687e-48,2.8065519385464777e-52,3.1641704763107604e-38,3.1133224256766307e-66,1.8946904998793677e-100
1.5831590691082882e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,0.0,4.2002520915247487e-57,2.5979354000884036e-37,0.0,2.3906408348058313e-50,0.0,1.6098461793965366e-22,2.1170929503868554e-105,1.6098461672870327e-22,9.1112422889394845e-71,1.3100973305333673e-61,0.0,0.0,3.3753051745257171e-49,6.6917607463310189e-84,6.3844180871568805e-16,3.0696849519117916e-17,1.1832224371826804e-20,2.0716327069276308e-33,1.1832224373035682e-20,9.5076352517800691e-48,2.25895716464228e-51,1.2722990361035013e-37,5.0249149465468117e-65,1.2237445995274427e-98
3.171834371906849e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996405,0.022821567693054257,0.0,6.7423347566497653e-56,1.0418882909364183e-36,0.0,1.9202927267749112e-49,0.0,3.2253016032336129e-22,1.3633486020754323e-103,3.2253015546690842e-22,1.4641521757721615e-69,2.105943130169183e-60,0.0,0.0,2.7084697518669349e-48,2.1510066962916377e-82,1.2791081533501514e-15,6.1500656702065314e-17,2.3705676003846891e-20,8.3081734476427474e-33,2.3705676008695031e-20,7.6292782869529111e-47,1.8126708604718764e-50,5.1024882173632215e-37,8.0749034201217736e-64,7.8678035236470279e-97
