Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),H2OX(23),C2H6X(52),C2H4X(205),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.954475441608646e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.0430637640783208e-65,2.6489261427109775e-36,0.0,1.5518095824202125e-54,0.0,5.2552982860926803e-20,-4.7596612567486641e-106,5.2552982860925918e-20,2.1155110175965694e-72,2.7464742138164391e-70,0.0,0.0,2.7544458410168003e-53,9.3787211904090102e-86,2.8700618411888093e-18,8.4977430069073315e-20,3.4019314757560421e-22,8.0348610174188055e-38,2.9751727086423079e-37,3.4019314757472499e-22,1.8072716052578485e-52,1.4703899452823499e-98,2.7942691941659086e-54,2.7413505049678443e-71,2.6892275375926446e-115,1.7152943252892023e-102
1.667253123650421e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.3333222325814895e-64,1.5999513901974301e-35,0.0,2.3450946457382475e-53,0.0,1.4714835201059788e-19,9.1885908667825618e-105,1.4714835201059254e-19,5.9660795631261956e-71,8.635354333619308e-69,0.0,0.0,3.2700781022778522e-52,4.8546962046946891e-84,8.0361731553286626e-18,2.379368041934053e-19,9.5254081321170816e-22,4.8530560542336398e-37,1.7970043160182533e-36,9.5254081320639756e-22,2.145592849762112e-51,1.3847130313320108e-96,3.3173563871229588e-53,7.731047055304819e-70,4.5854484389597764e-113,1.6153472840973016e-100
3.8108642826295333e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,4.6102783361854116e-63,7.703077223003516e-35,0.0,2.5227458074265027e-52,0.0,3.3633909030995143e-19,9.7021818931182648e-103,3.3633909030992567e-19,1.2977526207104672e-69,1.9265000483587412e-67,0.0,0.0,3.2105820717395676e-51,2.1197503568333032e-82,1.8368395783608354e-17,5.4385555244206928e-19,2.1772361444839813e-21,2.3365375834344054e-36,8.6518022367063149e-36,2.1772361444584127e-21,2.1065557830885271e-50,1.2102463378917085e-94,3.2570001721282725e-52,1.6816716020463595e-68,8.0142577249426634e-111,1.4118218652837542e-98
8.098086600587758e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,8.2037658735454155e-62,3.3641362012429344e-34,0.0,2.318838027880527e-51,0.0,7.1472056690870374e-19,7.6687661903332728e-101,7.1472056690859146e-19,2.4058146454680361e-68,3.608121379750174e-66,0.0,0.0,2.8397234831004859e-50,7.8912990938991009e-81,3.9032841040167692e-17,1.1556930489393972e-18,4.6266268070287891e-21,1.020427348766838e-35,3.7784693399493615e-35,4.6266268069171235e-21,1.8632247341565868e-49,9.0288131875372164e-93,2.8807797671751117e-51,3.1175357340881276e-67,1.1969494688366055e-108,1.0532629162921805e-96
1.6672531236504208e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.3836868052166854e-60,1.4044606408653536e-33,0.0,1.9838147527822238e-50,0.0,1.4714835201063899e-18,5.4353498911894691e-99,1.4714835201059209e-18,4.1349806872659584e-67,6.2321324039285735e-65,0.0,0.0,2.3869586925976609e-49,2.7186721869982987e-79,8.0361731553286126e-17,2.3793680419340527e-18,9.5254081321194472e-21,4.2600833074272923e-35,1.5774365700984191e-34,9.5254081316532684e-21,1.5661526567706861e-48,6.2280245680578306e-91,2.4214689731034093e-50,5.3582473930828053e-66,1.6522111412545914e-106,7.2653483686325283e-95
3.382142050833711e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.2727111719152408e-59,5.7376799821576306e-33,0.0,1.6402564008136383e-49,0.0,2.9850094265024884e-18,3.6577413035553899e-97,2.9850094265005729e-18,6.8534272439943423e-66,1.0354781188014685e-63,0.0,0.0,1.9569729483183938e-48,9.0222817720395193e-78,1.6301951257952218e-16,4.8267180279233622e-18,1.932297078230494e-20,1.740383032423407e-34,6.4443430936266516e-34,1.9322970780400449e-20,1.2840265709785185e-47,4.1360621333610422e-89,1.9852665611598454e-49,8.8809020987512433e-65,2.1951074043218489e-104,4.8249540311170182e-93
6.811919905200291e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996499,0.022821567693054282,0.0,3.6841639005593353e-58,2.3192619863982649e-32,0.0,1.3338292644481786e-48,0.0,6.0120612392975902e-18,2.3999778578789745e-95,6.0120612392898472e-18,1.1159029631730716e-64,1.688090671393917e-62,0.0,0.0,1.5848074285130692e-47,2.9397791583310706e-76,3.2833507463199079e-16,9.7214179999019765e-18,3.8918096082692625e-20,7.0349064661640951e-34,2.6049065145410722e-33,3.8918096074994376e-20,1.0398380078152487e-46,2.6961256556222024e-87,1.6077203295259805e-48,1.4460246844149365e-63,2.8622080681521661e-102,3.1451854220570345e-91
1.3671475613933452e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996466,0.022821567693054278,0.0,5.9332332935838968e-57,9.325650442459333e-32,0.0,1.0757816230535829e-47,0.0,1.206616486489941e-17,1.5551499351293322e-93,1.2066164864868275e-17,1.8010718815267512e-63,2.7262709323234139e-61,0.0,0.0,1.2755908887920697e-46,9.4923687602461876e-75,6.5896619873691421e-16,1.9510817943859191e-17,7.8108346683534831e-20,2.8287049379842674e-33,1.0474214526342957e-32,7.810834665258049e-20,8.3695209255167404e-46,1.7413763414930785e-85,1.2940331845382984e-47,2.3338896705620501e-62,3.6975581504731828e-100,2.0314155061777921e-89
2.7390587031399774e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999855,0.11866996602996398,0.022821567693054268,0.0,9.5241541215974259e-56,3.7400029273364726e-31,0.0,8.6412630313916864e-47,0.0,2.4174372116149514e-17,1.0014730241617847e-91,2.4174372116024659e-17,2.8942741624812276e-62,4.3824008642322728e-60,0.0,0.0,1.023581346635283e-45,3.0512371173945574e-73,1.3202284469467062e-15,3.9089617831773547e-17,1.5648884788548649e-19,1.1344371878942769e-32,4.2006284952159263e-32,1.5648884776134579e-19,6.7160134487074088e-45,1.1195805826450237e-83,1.0383801269285494e-46,3.7504980455827147e-61,4.7547031454184561e-98,1.3060550353638861e-87
