Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),OX(20),OCX(21),COX(32),H2X(31),CH2X(58),CHX(26),C2H6X(34),HOX(23),C2H5X(33),CH2(48),C3H8X(38),HOCXO(25),H2OX(30),CH4OX(41)
2.070441483884283e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,4.2399040642211528e-102,0.10000000000000001,6.5692803310458521e-100,9.7447548097338275e-70,5.287491870766833e-37,8.1140296440411128e-65,0.0,7.9186772300501866e-41,-9.8420798770182031e-124,6.3408053934589107e-52,1.9187349250388744e-99,5.0043859081936621e-97,0.0,0.0,1.2059528961198267e-83,0.0,2.973205279647146e-18,1.0770563419778054e-18,3.5364743611617756e-28,3.5364743611609837e-28,7.4198198856005731e-32,7.419767010681865e-32,4.7589677470953593e-54,3.2693313735848943e-86,4.2281324214826075e-46,6.6268059364486811e-61,2.8194030778689175e-81,3.1514507131015428e-59,5.2103441589492428e-89,5.5363451765235194e-101,-3.5300392376140208e-140,6.1298246852110526e-55,1.1058823521371627e-116,1.2633787406408809e-113
5.797236154875993e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,6.407343021124856e-101,0.10000000000000001,2.2028611299679121e-98,1.3968828609018697e-68,3.193623115336926e-36,1.2261921598023653e-63,0.0,4.782881046949278e-40,-1.4426708937152213e-124,3.8298464576491824e-51,9.9844278875427022e-98,1.5734590836693383e-95,0.0,0.0,1.431707350531847e-82,0.0,8.3249747830112015e-18,3.0157577575377481e-18,9.9021282112529728e-28,9.9021282112481891e-28,2.0775495679681603e-31,2.0775176317370069e-31,5.6498109088057349e-53,8.7626213540114643e-85,2.5537919825749385e-45,7.8673440077503086e-60,7.9511677840500869e-80,1.9034763356182728e-58,1.4773211571030433e-87,7.1076093082209606e-86,-4.4614310639086884e-140,3.7024141098532417e-54,6.785580357850866e-115,7.2764150776991539e-112
1.3250825496859412e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,6.8927272383245245e-100,0.10000000000000001,4.6874844312201193e-97,1.4766281298667667e-67,1.537569674560618e-35,1.3190815711664186e-62,0.0,2.3027513384970434e-39,8.3489573815879583e-122,1.843906208417851e-50,4.3657117983293049e-96,3.510301056607797e-94,0.0,0.0,1.4056589197182744e-81,0.0,1.9028513789736046e-17,6.8931605886572033e-18,2.2633435911435358e-27,2.2633435911412335e-27,4.7486847267843657e-31,4.7485309698169108e-31,5.5469424457833913e-52,1.8710791950522392e-83,1.2295409081663079e-44,7.7242049995197184e-59,1.7295526682592522e-78,9.1644202472733933e-58,3.217779593382036e-86,6.3968483773956161e-85,1.0735599939434481e-137,1.782553018438021e-53,2.9086087886594665e-113,3.2630502946292942e-110
2.8158004180826246e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,6.3356038443347458e-99,0.099999999999999992,8.6160932868077578e-96,1.3478246068074162e-66,6.714774083457291e-35,1.2124632216422091e-61,0.0,1.0056720082147707e-38,6.6764289940638504e-120,8.0528228496928114e-50,1.6261635082288003e-94,6.5744068792687999e-93,0.0,0.0,1.2432896681858058e-80,0.0,4.0435591803172682e-17,1.4647966250894397e-17,4.8096051311800118e-27,4.8096051311699551e-27,1.0090955044416774e-30,1.0090283567008429e-30,4.9060736381974626e-51,3.4428793150861811e-82,5.3697281752742899e-44,6.8319718482309147e-58,3.206299161267553e-77,4.0023440316655353e-57,5.9684891123629715e-85,5.1885547949960435e-84,1.7348630973466735e-135,7.7848773499973867e-53,1.073407112665328e-111,1.2276413486109958e-108
5.797236154875992e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,5.4202424762298895e-98,0.099999999999999978,1.476616540477869e-94,1.1494865195343818e-65,2.8031216734802805e-34,1.0372878128481835e-60,0.0,4.1984826673581783e-38,4.7339509934402453e-118,3.3618950196119103e-49,5.603913441700898e-93,1.1355658104874209e-91,0.0,0.0,1.0450603379749305e-79,0.0,8.3249747829993785e-17,3.0157577575361933e-17,9.9021282112529602e-27,9.9021282112109727e-27,2.0775495679681582e-30,2.0772692558008104e-30,4.1236248670702706e-50,5.8976296808745992e-81,2.2417558098623188e-43,5.7426839956129065e-57,5.5108090452184936e-76,1.6709006315103564e-56,1.0261039906132526e-83,4.1579514453102411e-83,2.4623488208712642e-133,3.2500330479003171e-52,3.6868323611947038e-110,4.250934126216118e-107
1.1760107628462728e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,4.4815612965586031e-97,0.09999999999999995,2.4447397239590907e-93,9.4900787981061971e-65,1.1450324003571998e-33,8.5764962283558813e-60,0.0,1.7152171627255735e-37,3.1861688641297439e-116,1.3734438114447702e-48,1.8599898374512353e-91,1.8867612930136299e-90,0.0,0.0,8.5680435610769635e-79,0.0,1.6887805988342731e-16,6.1176800224269556e-17,2.0087174371398838e-26,2.0087174371227318e-26,4.2144576950211183e-30,4.2133126626207613e-30,3.3804268355656772e-49,9.7593617234632759e-80,9.1583039501624901e-43,4.7081992979402004e-56,9.1337618487535086e-75,6.8261806929289793e-56,1.7009189025500486e-82,3.3270719172176721e-82,3.3158208363126236e-131,1.3277445459473214e-51,1.2221354783901295e-108,1.4143138247588084e-105
2.36858505756362e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999955,0.099999999999999672,3.6443312184744755e-96,0.099999999999999895,3.9788378540119312e-92,7.7115978882760192e-64,4.6273188947560246e-33,6.9742642979425109e-59,0.0,6.9331820113154838e-37,2.0907040109495015e-114,5.5516794806321323e-48,6.0609244107226397e-90,3.075902693709829e-89,0.0,0.0,6.9386359835931299e-78,0.0,3.4013468398945948e-16,1.2321524552197504e-16,4.0457266691690526e-26,4.0457266690997202e-26,8.4882739491270287e-30,8.4836466302322707e-30,2.736958249269694e-48,1.5878290494672518e-78,3.7019328853102142e-42,3.8128218597555919e-55,1.4871963397191913e-73,2.7592565609941168e-55,2.7696909048041706e-81,2.6617286100262005e-81,4.3524016571037981e-129,5.3669557421041343e-51,3.9802813628491974e-107,4.6142145815438372e-104
4.753733646998314e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999908,0.099999999999999326,2.9392851526642113e-95,0.09999999999999977,6.4205794193214336e-91,6.2174647223452312e-63,1.859752478609174e-32,5.6249968161853364e-58,0.0,2.7878019934665743e-36,1.3547912579848769e-112,2.2323059019887587e-47,1.9571035625708562e-88,4.9676091292340371e-88,0.0,0.0,5.5848374723877581e-77,0.0,6.8264793219818412e-16,2.472921361169469e-16,8.1197451332273614e-26,8.1197451329485775e-26,1.7035906457338802e-29,1.701730893255271e-29,2.2019783880144191e-47,2.5617832589789766e-77,1.4885309314688053e-41,3.0688907406937882e-54,2.4003408881424321e-72,1.1094890962267214e-54,4.4704423316943018e-80,2.1293899961954805e-80,5.6413257472620235e-127,2.158029298605498e-50,1.2849418074858616e-105,1.4908587617290221e-102
9.524030825867702e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999814,0.099999999999998646,2.3609936798034501e-94,0.09999999999999952,1.0316783108760412e-89,4.9933208802471064e-62,7.4514533909690505e-32,4.5183033429194138e-57,0.0,1.1180332868387872e-35,8.7246253801077685e-111,8.9525450901920746e-47,6.2910437045719177e-87,7.9853446613828363e-87,0.0,0.0,4.4815117824787311e-76,0.0,1.3676744286022753e-15,4.9544591730513453e-16,1.6267782061343857e-25,1.6267782060225815e-25,3.4131171473762166e-29,3.4056656939852477e-29,1.7654042905935002e-46,4.1159354387178448e-76,5.9696747967436897e-41,2.4625915473505417e-53,3.8572833680708657e-71,4.4495809437901314e-54,7.1840015445364444e-79,1.7035127096163526e-79,7.2661915556387231e-125,8.6546626850651864e-50,4.1299489096337878e-104,4.7937991842736606e-101
1.9064625183606476e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999628,0.099999999999997272,1.8926286667593445e-93,0.09999999999999902,1.6542218058606128e-88,4.0024112570141294e-61,2.9788867011558972e-31,3.6219793826542003e-56,0.0,4.4779647777500003e-35,5.6010906275708286e-109,3.5856876588007065e-46,2.0176751432050998e-85,1.2806505513873842e-85,0.0,0.0,3.5907133170284011e-75,0.0,2.7377274213570246e-15,9.9175347967448459e-16,3.2563855917576392e-25,3.2563855913098374e-25,6.8321701506608222e-29,6.8023812836492617e-29,1.4120027498278568e-45,6.5991932146398566e-75,2.3909836843957525e-40,1.9730699501366082e-52,6.1850743818670021e-70,1.7821800509435999e-53,1.151949521525085e-77,1.3628102449906615e-78,9.3298207945710232e-123,3.4663793184779725e-49,1.3245083339134283e-102,1.5377308339024494e-99
