Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),OCX(21),OX(20),COX(37),H2X(36),CH2X(134),CHX(26),C2H6X(39),C2H5X(38),HOX(23),C2H4X(51),CH2(T)(29),C2H3X(50),C3H6(146),C3H6X(159),C3H5X(157),C4H8(204),C4H8X(216),C4H7X(215),C3H5X(158),C5H10(244),SX(271),C4H8(254),C4H8X(332),C3H8X(43),C4H7X(268),C5H9X(269),C6H12(397),SX(411),HOCXO(25),C4H7X(207),C4H7(219),C4H7X(463)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1350152369030174e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,6.985206470447175e-100,0.10000000000000001,5.9791930747914444e-97,1.6027761549208327e-67,1.5889742497143541e-35,6.6838983326188603e-63,9.3640596387379076e-90,2.3797627356438502e-39,-1.3005135495227924e-120,1.9055733155399992e-50,4.0414459897018943e-96,2.2598866120484021e-94,1.4524304304184964e-68,5.5157947699925669e-70,1.9867990799876995e-81,8.8251339230101139e-136,3.2598200153031593e-18,1.968139595126928e-18,1.9387260097933211e-27,1.938726009795701e-27,4.0674491260709167e-31,4.0676080234958882e-31,3.9200232547270999e-52,1.4739054811880872e-83,1.2706756604711088e-44,1.0917785457237908e-58,1.591472574062878e-79,1.971161775448197e-86,9.4710680034873319e-58,2.1755021435762897e-152,2.855923927932599e-71,5.6776328768157518e-155,-2.855019844423824e-192,-5.7464775274725628e-209,-7.4985882758604015e-212,1.9291279360444508e-249,3.3626699530079152e-266,4.3879537272467678e-269,-3.7492941379302008e-212,-5.678369261399004e-307,-9.8813129168249309e-324,2.1201220195631247e-250,3.6955924377485705e-267,-2.5570914473758482e-137,4.822384842466766e-270,0.0,0.0,0.0,1.8421830274141483e-53,2.9584579340821613e-270,4.4045387501970123e-280,7.747473965940701e-297
3.1780426633284484e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.0556044018125022e-98,0.10000000000000001,1.881786955249562e-95,2.2981905485747676e-66,9.5970424766133531e-35,1.0100707160190063e-61,2.0946335669907983e-88,1.4373766923271815e-38,4.2193764256258329e-120,1.1509662825861591e-49,2.1179639057003485e-94,7.1054471685742766e-93,1.7242658476973839e-67,6.5481253667107908e-69,2.3587285203611363e-80,5.3967105113089529e-135,9.1274960428478573e-18,5.5107908663550417e-18,5.4284328274135878e-27,5.4284328274279615e-27,1.1388342761540825e-30,1.1389302465788487e-30,4.6536908610194188e-51,3.9515201171327476e-82,7.674880989236338e-44,1.2961594894818682e-57,4.488207294441685e-78,5.6294290935116716e-85,5.7205268024074084e-57,2.612188040646209e-151,3.3905528872380198e-70,6.8172972128715684e-154,5.7023971212968469e-191,2.0084982530965483e-207,2.6208927783592492e-210,2.0745915167522394e-247,6.5428371930617676e-264,8.5377593547010027e-267,1.3104463891796246e-210,3.98549427609274e-304,1.1175764908928997e-320,2.2799872803065026e-248,7.19061340839305e-265,1.2376083585928846e-136,9.3830436371927445e-268,4.9406564584124654e-324,0.0,0.0,1.1126785485346934e-52,5.7563683205588669e-268,1.5470144459318968e-277,4.9058352605885774e-294
7.264097516179311e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,1.1355710454831433e-97,0.099999999999999992,4.1476865625258066e-94,2.4296279565586322e-65,4.62019417139891e-34,1.0865879841250314e-60,4.1383441058397497e-87,6.9203500352267573e-38,5.5481670200847187e-118,5.5414072015903131e-49,9.278159371132598e-93,1.5851871586068775e-91,1.6927682892799155e-66,6.4285092636961021e-68,2.3158150306928573e-79,3.9497761157977731e-133,2.0862848097933286e-17,1.2596093408809822e-17,1.2407846462623277e-26,1.2407846462692481e-26,2.6028071156202284e-30,2.6032691350373681e-30,4.5686808261987378e-50,8.4385403695452988e-81,3.6951248206362433e-43,1.2725770728912589e-56,9.7628312124674139e-77,1.228332919782349e-83,2.7541891678657063e-56,3.531325011995354e-149,3.3288649303869346e-69,9.2160639997674257e-152,3.7061960701597474e-188,2.6874980893753613e-204,3.5069208168040755e-207,1.2574061396784335e-243,7.8910955324509384e-260,1.0297103949410822e-262,1.7534604084020377e-207,2.2005513422196745e-299,1.2351114373239568e-315,1.381896137864382e-244,8.6723566043677565e-261,3.9395795784784158e-134,1.1316572847749827e-263,8.0584577164936518e-319,0.0,0.0,5.3570682433685622e-52,6.9425760275009794e-264,3.7211419506918432e-273,2.3563916230940293e-289
1.5436207221881037e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,1.0437854324614673e-96,0.099999999999999978,7.7318359310816773e-93,2.2177839220346152e-64,2.0174363362807451e-33,9.9876156002478146e-60,7.362894036930836e-86,3.0222986742412809e-37,4.399055398526259e-116,2.4200781107357947e-48,3.4585735499981024e-91,2.9688838074704587e-90,1.4970100299389538e-65,5.6850916373216642e-67,2.0483146279284266e-78,2.9076695191496167e-131,4.4333552208088289e-17,2.6766698493713604e-17,2.6366673732919279e-26,2.6366673733221509e-26,5.5299294756181239e-30,5.5319469119544048e-30,4.0403409395841318e-49,1.55279930883745e-79,1.6137580887841084e-42,1.1255800094901758e-55,1.8098643714254365e-75,2.2800284247990409e-82,1.2028283153095333e-55,5.1960980669513309e-147,2.9443433327175197e-68,1.3560794367960188e-149,2.3178388180293489e-185,3.3616743956429938e-201,4.3866546227536877e-204,6.6847016410729371e-240,8.3903211628427839e-256,1.0948544321565828e-258,2.1933273113768438e-204,9.944053785868396e-295,1.1162692800793507e-310,7.3465232028664806e-241,9.2210082681315607e-257,6.2670330218359335e-132,1.2032509334715092e-259,7.2831083874438071e-314,0.0,0.0,2.3395724444524592e-51,7.3817991287895993e-260,7.9131642322578152e-269,1.0021957970285839e-284
3.1780426633284487e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999986,0.099999999999999922,8.929804129310509e-96,0.09999999999999995,1.3328423755059683e-91,1.8914614118983563e-63,8.4196943381312289e-33,8.5446154212670683e-59,1.2414993634175911e-84,1.2617502024146017e-36,3.1199231102588738e-114,1.0103349718993041e-47,1.1922903286126509e-89,5.1280212431024165e-89,1.2579498745008051e-64,4.7772293896962036e-66,1.7217360017875899e-77,1.9932512284003377e-129,9.1274960428334865e-17,5.5107908663498047e-17,5.4284328273017783e-26,5.4284328274279534e-26,1.1380882771450343e-29,1.1389302465788475e-29,3.3951318135756334e-48,2.6599858318241419e-78,6.7371223516900231e-42,9.4611781925077133e-55,3.1106944320678075e-74,3.9212158893049441e-81,5.0215843652487591e-55,7.1275523488812246e-145,2.474897981120143e-67,1.8601510307292804e-147,1.309392633476668e-182,3.7984769044865258e-198,4.9566389576848953e-201,3.1102596172356543e-236,7.8078060903058697e-252,1.0188419415040938e-254,2.4783194788424476e-201,3.8103488681740673e-290,8.5546275566714143e-306,3.4181921156458464e-237,8.580821057663186e-253,8.8962709756508696e-130,1.1197127957549323e-255,5.5814740068303971e-309,0.0,0.0,9.7672544080782377e-51,6.8693050211200517e-256,1.4727657133103953e-264,3.7305040349350552e-280
6.446886545609139e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999972,0.099999999999999825,7.3833347395937668e-95,0.099999999999999895,2.2125397791941629e-90,1.5615903076994576e-62,3.4375111050838892e-32,7.064853266654382e-58,2.037983666388065e-83,5.1546612757127713e-36,2.1002263218916367e-112,4.1275480243922321e-47,3.9580408260253859e-88,8.5203264486839345e-88,1.0307251785019424e-63,3.9143138492647414e-65,1.4115899811619694e-76,1.319525810829846e-127,1.8515777686857437e-16,1.1179032900297443e-16,1.101196373512408e-25,1.101196373563955e-25,2.3069638462405751e-29,2.3104013573456592e-29,2.7818658879156433e-47,4.4017683471605055e-77,2.7523343074986402e-41,7.7568455023801535e-54,5.1557478933926993e-73,6.5011445445398693e-80,2.0514916267911717e-54,9.439312331095298e-143,2.0290708919219404e-66,2.4634749353803894e-145,7.0360617817657736e-180,4.0824322717070595e-195,5.327172798173296e-198,1.3562279751501016e-232,6.8092330826035585e-248,8.8853798029798946e-251,2.663586399086648e-198,1.3482026067111402e-285,6.0537153185810824e-301,1.490501868714314e-233,7.4833839296145358e-249,1.1981922848163044e-127,9.7650803871024722e-252,3.9497516953946994e-304,0.0,0.0,3.990242121930209e-50,5.990761815876535e-252,2.5688247521195935e-260,1.3013649431209358e-275
1.2984574310170519e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999942,0.099999999999999631,6.0040051909172128e-94,0.099999999999999784,3.6054682275822028e-89,1.2689469249425075e-61,1.3877144550043989e-31,5.7450213458242549e-57,3.299831225079831e-82,2.0835965035019718e-35,1.3782531196047926e-110,1.6684209052743928e-46,1.2898770906962803e-86,1.389042096655457e-86,8.3370853239881462e-63,3.1661173343624809e-64,1.1431531526508522e-75,8.5876486584981261e-126,3.729234097480386e-16,2.2515516968155724e-16,2.2179025549979079e-25,2.2179025552062698e-25,4.6394664343292309e-29,4.653343578879274e-29,2.2501296903508711e-46,7.1616226561351533e-76,1.1125375330851552e-40,6.281694597389434e-53,8.3947989032449542e-72,1.0587077322401777e-78,8.2925425614065418e-54,1.2288077864171427e-140,1.6431942154318444e-65,3.2069467309318668e-143,3.6897837303577811e-177,4.2818381100645308e-192,5.5873778149949685e-195,5.7300027916915384e-229,5.7537624718809772e-244,7.5080944122008096e-247,2.7936889074974843e-195,4.5889894646473016e-281,4.1211092741404398e-296,6.2973040117456915e-230,6.3234160285830474e-245,1.5729098324939943e-125,8.2514363048957522e-248,2.6888212421391558e-299,0.0,0.0,1.6129196630079098e-49,5.0621593893767139e-248,4.3412923636945773e-256,4.3985957842411504e-271
2.605994983929328e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999881,0.099999999999999256,4.8424476964998836e-93,0.099999999999999561,5.8217200130071301e-88,1.0230887243509104e-60,5.5656553695673225e-31,4.633567842283001e-56,5.3019883706855559e-81,8.3780499000009731e-35,8.9315831682465068e-109,6.7086470802910094e-46,4.1652706089843011e-85,2.2433514115484722e-85,6.694378561318984e-62,2.5422779283297084e-63,9.2012679756541481e-75,5.542135203236512e-124,7.4845467550290791e-16,4.5188485103724291e-16,4.4513149176530676e-25,4.451314918490881e-25,9.2835714682507993e-29,9.3392280219464716e-29,1.8067729156933753e-45,1.1554496471639043e-74,4.4734644889930451e-40,5.0560543066738893e-52,1.3549239272756304e-70,1.7088919676738912e-77,3.3344635710719031e-53,1.5861542698010709e-138,1.3225856591456868e-64,4.1395507959340271e-141,1.9118256207167471e-174,4.4372369929914695e-189,5.790158081017349e-192,2.3834974065626266e-225,4.7867702348639015e-240,6.2462646014001097e-243,2.8950790405086745e-192,1.532441180924969e-276,2.7523965354156081e-291,2.6194765213895015e-226,5.2606863380627896e-241,2.0388055922262593e-123,6.8646785285788937e-244,1.7958034545876988e-294,0.0,0.0,6.4854790168514951e-49,4.2113998948412314e-244,7.2233739708679587e-252,1.4637446233499155e-266
5.2210700897538794e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999761,0.099999999999998507,3.8897173334312837e-92,0.099999999999999103,9.3576342815800968e-87,8.2165572295437722e-60,2.2207018809053072e-30,3.7219336738406974e-55,8.4716834312127812e-80,3.3599727267976366e-34,5.751917863180722e-107,2.6904675307708883e-45,1.3389430566064237e-83,3.6062656312121257e-84,5.3462638873491562e-61,2.030313725962339e-62,7.383721949112242e-74,3.5617604131585936e-122,1.4995172069964102e-15,9.0534421374269502e-16,8.9181396417000244e-25,8.9181396450600317e-25,1.8488926719990196e-28,1.8710996908080727e-28,1.4429247917859895e-44,1.8564261054079725e-73,1.7940593403836862e-39,4.0571651613114662e-51,2.1773263764587595e-69,2.7462508385939746e-76,1.3373241163965716e-52,2.038812658986072e-136,1.0612916977689079e-63,5.3209001961668073e-139,9.8469367837894673e-172,4.5708609423970768e-186,5.9645241993623601e-189,9.8382266143592421e-222,3.951619509787201e-236,5.1564750032398603e-239,2.98226209968118e-189,5.0691182312984371e-272,1.8209149716705752e-286,1.0812264178457465e-222,4.3428511811473979e-237,2.6261007508777963e-121,5.6669938750209268e-240,1.1880575180856318e-289,4.9406564584124654e-323,0.0,2.600967148421119e-48,3.4766343953775353e-240,1.1926220611697512e-247,4.8334601367067902e-262
