Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),H2OX(23),C2H4X(65)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.954475442754078e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.0429525173834661e-65,2.6489253826586836e-36,0.0,1.5518087271187506e-54,0.0,5.2552967771871104e-20,-4.7596583628152009e-106,5.255296777187022e-20,2.1155103495609023e-72,1.8044825948252001e-70,0.0,0.0,4.4933781768083776e-54,9.3787209643736411e-86,2.870061841740908e-18,8.4977430085419995e-20,3.4019314764104544e-22,8.0348610179821512e-38,2.9751714871615991e-37,3.4019314764016617e-22,1.807271087047849e-52,1.4703891631037581e-98,2.7413489945616758e-71,2.6892261075668509e-115,2.7942691948993282e-54,1.7152942842790745e-102
1.667253123971142e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,2.3330480078376856e-64,1.5999509311258444e-35,0.0,2.3450933316608153e-53,0.0,1.4714830976124189e-19,9.1885852456225667e-105,1.4714830976123657e-19,5.9660776262882386e-71,5.673581995214645e-69,0.0,0.0,5.3345385697336627e-53,4.8546960455017991e-84,8.0361731568745403e-18,2.3793680423917604e-19,9.5254081339494347e-22,4.853056053099625e-37,1.7970035782439043e-36,9.5254081338963286e-22,2.1455922345431995e-51,1.3847122828232583e-96,7.7310427272064083e-70,4.5854459614018986e-113,3.3173563870707906e-53,1.6153472315874086e-100
3.81086428336261e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,4.6097140805159739e-63,7.7030750127714418e-35,0.0,2.5227443923122073e-52,0.0,3.3633899373999484e-19,9.7021759511365131e-103,3.3633899373996917e-19,1.297752198271424e-69,1.2657449318655551e-67,0.0,0.0,5.2374815973907849e-52,2.1197502851582407e-82,1.8368395787141792e-17,5.43855552546688e-19,2.1772361449028049e-21,2.3365375813868147e-36,8.6517986846404094e-36,2.1772361448772366e-21,2.1065551790629505e-50,1.2102456823587263e-94,1.6816706591203181e-68,8.0142533855942063e-111,3.2570001701222069e-52,1.4118218178354346e-98
8.098086602145546e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,8.2027434715972948e-62,3.36413523597652e-34,0.0,2.3188367270216198e-51,0.0,7.1472036169754613e-19,7.6687614929543328e-101,7.1472036169743385e-19,2.4058138621186076e-68,2.3706001711100941e-66,0.0,0.0,4.6324931536185337e-51,7.8912988261890734e-81,3.9032841047676236e-17,1.1556930491617121e-18,4.6266268079187899e-21,1.0204273465532577e-35,3.7784677886688615e-35,4.6266268078071251e-21,1.8632241999028052e-49,9.0288082959489436e-93,3.1175339857788432e-67,1.196948820590196e-108,2.8807797619232651e-51,1.0532628807649108e-96
1.6672531239711417e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.3835128671881844e-60,1.4044602378856266e-33,0.0,1.9838136398585067e-50,0.0,1.4714830976128305e-18,5.4353465617915321e-99,1.4714830976123612e-18,4.134979340845614e-67,4.0946222566253047e-65,0.0,0.0,3.8938896130274976e-50,2.7186720947326541e-79,8.0361731568744916e-17,2.37936804239176e-18,9.5254081339518026e-21,4.2600832871598511e-35,1.5774359224693478e-34,9.5254081334856252e-21,1.5661522076981908e-48,6.2280211937774022e-91,5.3582443881303507e-66,1.6522102464213939e-106,2.4214689628387979e-50,7.2653481234620322e-95
3.382142051484316e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,2.2724242611286998e-59,5.7376783358539574e-33,0.0,1.6402554806256767e-49,0.0,2.9850085694441246e-18,3.6577390630181591e-97,2.9850085694422087e-18,6.8534250123928832e-66,6.8032760786282083e-64,0.0,0.0,3.1924459452277212e-49,9.0222814658292456e-78,1.6301951261088142e-16,4.8267180288518538e-18,1.9322970786022e-20,1.7403830151327751e-34,6.4443404478505796e-34,1.9322970784117511e-20,1.2840262028017551e-47,4.1360598924773054e-89,8.8808971182519337e-65,2.1951062154533799e-104,1.9852665431506158e-49,4.8249538682895588e-93
6.811919906510665e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996499,0.022821567693054282,0.0,3.6836978003897158e-58,2.3192613209359984e-32,0.0,1.3338285161665006e-48,0.0,6.0120595131096174e-18,2.3999763877801382e-95,6.0120595131018744e-18,1.1159025998144555e-64,1.1091056932668829e-62,0.0,0.0,2.5853254663394167e-48,2.9397790585563404e-76,3.2833507469515094e-16,9.7214180017720376e-18,3.89180960901791e-20,7.0349063234242012e-34,2.6049054450760798e-33,3.8918096082480857e-20,1.0398377096561602e-46,2.6961241948833725e-87,1.4460238734695151e-63,2.8622065179818368e-102,1.607720299402843e-48,3.1451853159159534e-91
1.3671475616563362e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996466,0.022821567693054278,0.0,5.9324817634235473e-57,9.3256477666648251e-32,0.0,1.0757810195372908e-47,0.0,1.206616140045222e-17,1.555148982527131e-93,1.2066161400421086e-17,1.8010712950644459e-63,1.7912086140062832e-61,0.0,0.0,2.0808948054797189e-47,9.4923684380794003e-75,6.5896619886367627e-16,1.9510817947612388e-17,7.810834669856013e-20,2.8287048220046156e-33,1.0474210226071265e-32,7.8108346667605813e-20,8.3695185256730042e-46,1.7413753980295716e-85,2.3338883616928281e-62,3.6975561478775976e-100,1.2940331352784905e-47,2.0314154376232348e-89
2.7390587036668757e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999855,0.11866996602996398,0.022821567693054268,0.0,9.5229467685783545e-56,3.7400018542231973e-31,0.0,8.6412581836206124e-47,0.0,2.4174365175183891e-17,1.0014724107126325e-91,2.4174365175059032e-17,2.8942732200520416e-62,2.8793153938994087e-60,0.0,0.0,1.6697869540857133e-46,3.0512370138369137e-73,1.3202284472006719e-15,3.9089617839293018e-17,1.5648884791558945e-19,1.1344370943910853e-32,4.2006267706146436e-32,1.5648884779144877e-19,6.7160115229839454e-45,1.1195799760653868e-83,3.7504959422650044e-61,4.7547005702736712e-98,1.0383800472561494e-46,1.3060549912882061e-87
