Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),OX(20),OCX(21),COX(32),H2X(31),CH2X(58),CHX(26),C2H6X(34),HOX(23),C2H5X(33),CH2(48),C3H8X(38),HOCXO(25),H2OX(30),CH4OX(41),CXHO(27),C2H4OX(44)
2.121571194916258e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,4.5618392603241559e-102,0.10000000000000001,2.6214981396262819e-98,1.0484672389977296e-69,7.8396573487441633e-34,8.7301265389821846e-65,1.8498881322185747e-103,8.314611091552651e-41,-1.1130027607202747e-123,6.6578456631318581e-52,2.1676453496534045e-99,5.5173351574522079e-97,1.5873486388005387e-81,-4.2561387014251638e-102,1.2975206229832361e-83,0.0,3.0466288117635397e-18,1.1036543308411108e-18,3.6238078663903146e-28,3.6238078663894828e-28,1.0736090368904554e-28,1.0736011972331068e-28,7.2302743963466771e-51,3.6044378393772941e-86,4.4395390425567133e-46,7.1299781874675965e-61,3.1083918933503576e-81,1.243451547889519e-57,5.7444044352360492e-89,6.9650794156263632e-101,-4.0905672640780586e-140,6.436315919470975e-55,4.5220497504254844e-115,1.4272721386458694e-113,9.9877474642246169e-68,-1.0955022297052832e-118
5.940399345765523e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,6.893851490201832e-101,0.10000000000000001,8.8863955252467408e-97,1.5029479396547966e-68,4.7351196527496199e-33,1.3192967225655196e-63,9.9640318302767798e-102,5.0220250992966883e-40,-1.4066617829231672e-124,4.0213387805316433e-51,1.127967099412017e-97,1.7347384533891862e-95,4.4765430673788377e-80,4.2052815661969778e-101,1.540416485725517e-82,0.0,8.5305606729370597e-18,3.0902321263549979e-18,1.0146662025892881e-27,1.0146662025887857e-27,3.0061053032932752e-28,3.006057952096748e-28,8.5837263399398658e-50,9.6607900427975918e-85,2.6814815817036567e-45,8.4647101041598029e-60,8.766162481914957e-80,7.5104473605387147e-57,1.6287465757033453e-87,7.6472888777266172e-86,-5.0211382131408693e-140,3.8875348153451526e-54,2.8044252326688649e-113,8.2203567670160407e-112,1.5093364873197987e-66,1.8387912620886961e-117
1.3578055647464054e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,7.4160908487237289e-100,0.10000000000000001,1.8963083294186554e-95,1.5887482533694554e-67,2.2797222788791178e-32,1.4192392111827581e-62,4.3577744583778144e-100,2.4178889054218415e-39,9.6675958899318603e-122,1.9361015188387442e-50,4.9320595325908264e-96,3.8701060736088927e-94,9.737304815621603e-79,2.3193669723822913e-99,1.5123900447206978e-81,0.0,1.9498424395280674e-17,7.0633877173823194e-18,2.3192370344898007e-27,2.3192370344873828e-27,6.8710978360989135e-28,6.870869863871026e-28,8.4274360261637544e-49,2.0628648125450764e-83,1.2910179535745948e-44,8.3107025753068684e-59,1.9068318167557181e-78,3.6159571181917498e-56,3.547602001691642e-86,6.8825599899504038e-85,1.2740900158213524e-137,1.871680669359185e-53,1.205642730134323e-111,3.686353015436676e-110,1.6236488290685931e-65,2.1675514443530318e-115
2.8853368250861114e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,6.8166651699171349e-99,0.099999999999999992,3.489686032031301e-94,1.4501647006459669e-66,9.955847373345787e-32,1.3045253484588434e-61,1.6229709023467832e-98,1.0559556086254617e-38,7.7288274552115489e-120,8.4554639921774542e-50,1.8371197190234646e-94,7.2482804078006399e-93,1.8050750785248148e-77,9.1279331200092958e-98,1.3376918752708151e-80,0.0,4.1434151839954208e-17,1.5009698899435164e-17,4.9283786982908247e-27,4.9283786982802644e-27,1.4601082901710186e-27,1.4600087316972853e-27,7.4537628999900742e-48,3.7957744448824478e-82,5.6382145840377495e-44,7.3507223121403268e-58,3.5349448252970799e-77,1.5791834833130174e-55,6.5802592463352837e-85,5.582520880734803e-84,2.0579296974808198e-135,8.1741212174907324e-53,4.4547212195324543e-110,1.3868981458548994e-108,1.492364217229962e-64,1.7132940651258398e-113
5.940399345765523e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,5.8318005683272576e-98,0.099999999999999978,5.9837830605341393e-93,1.236766836039322e-65,4.1561206388156673e-31,1.1160489005802326e-60,5.5922229232763091e-97,4.4084068007256891e-38,5.4801402821165749e-118,3.5299897705925061e-49,6.3308885209170596e-93,1.2519602039546402e-91,3.1022664685175196e-76,3.2248970370593699e-96,1.1244106365844804e-79,0.0,8.5305606729246474e-17,3.0902321263533656e-17,1.0146662025892867e-26,1.0146662025848782e-26,3.0061053032932724e-27,3.0056896912293913e-27,6.2649855638370047e-47,6.502136723164019e-81,2.3538436003552209e-43,6.1787250175879836e-57,6.0756669723520148e-76,6.5927802643501884e-55,1.1312796496356394e-83,4.4736639934717661e-83,2.9208695616190816e-133,3.4125347002898482e-52,1.5309075712773248e-108,4.8023880098107941e-107,1.2766654974715795e-63,1.212429965772663e-111
1.2050524387124347e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,4.8218454858584261e-97,0.09999999999999995,9.9095015952062052e-92,1.0210658871973478e-64,1.6977069025077947e-30,9.2277081326184582e-60,1.8558191396098971e-95,1.8009780208615257e-37,3.6883887338715197e-116,1.4421160020170088e-48,2.1012794778660055e-91,2.0801506550686171e-90,5.1411282017974081e-75,1.0832910881624267e-94,9.2185979593743252e-79,0.0,1.7304851650761186e-16,6.2687565991701815e-17,2.058322868109694e-26,2.0583228680916839e-26,6.0980993295377773e-27,6.0964016226352698e-27,5.1358377106999811e-46,1.0759696300117504e-79,9.6162191476688617e-43,5.0656920722426085e-56,1.006997243824617e-74,2.6933659240897791e-54,1.8752630900100753e-82,3.5796959237094015e-82,3.9332685869164301e-131,1.3941317732401909e-51,5.0760935466201739e-107,1.5977847790765094e-105,1.0554336308901259e-62,8.1516055175488414e-110
2.427077446984199e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999953,0.099999999999999659,3.9210446699167762e-96,0.099999999999999881,1.6129810718444809e-90,8.2971382082444448e-64,6.8607541152042661e-30,7.5038190034237705e-59,6.0457268390134817e-94,7.2798411118786132e-37,2.4202512305694418e-114,5.829263454663739e-48,6.8471858417553596e-90,3.3911707387606256e-89,8.3688753506170047e-74,3.5502642365161704e-93,7.465459992712053e-78,0.0,3.4853433606346597e-16,1.262580554479229e-16,4.1456361991504998e-26,4.1456361990777006e-26,1.228208738202677e-26,1.2275226627911565e-26,4.158201945632469e-45,1.7505815270373988e-78,3.8870295295743026e-42,4.1023287770090547e-55,1.6396339645389162e-73,1.0887016255008862e-53,3.0535842223792545e-81,2.8638332120367768e-81,5.1628738513307306e-129,5.6353035291729227e-51,1.6534066870787064e-105,5.2127815379250096e-104,8.5803658416429643e-62,5.345089101412804e-108
4.871127463527729e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999905,0.099999999999999312,3.1624645758860576e-95,0.099999999999999756,2.6029915316940727e-89,6.6895557643910302e-63,2.7573541249417359e-29,6.0521018705741295e-58,1.9512071088151826e-92,2.9271920931377734e-36,1.5683402298534813e-112,2.3439211970881959e-47,2.2109914091740346e-88,5.4767503442828545e-88,1.3500562477886595e-72,1.1492206312694942e-91,6.0088522570366125e-77,0.0,6.9950597517166771e-16,2.5339903435990402e-16,8.3202628612320802e-26,8.3202628609393592e-26,2.4650063487004689e-26,2.4622489945755271e-26,3.345382393907806e-44,2.8243660430235261e-77,1.5629574780411003e-41,3.3019110942275868e-54,2.6463758291722062e-72,4.3776218017847324e-53,4.928662670152593e-80,2.2910742175582302e-80,6.6918118959987242e-127,2.265930763506462e-50,5.3379659307888927e-104,1.6842506650005191e-102,6.9167567757796856e-61,3.461088371451283e-106
9.759227496614787e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999811,0.099999999999998604,2.5402635295530383e-94,0.099999999999999506,4.1826663023312694e-88,5.3724628879456605e-62,1.1047610429279108e-28,4.8613773495440096e-57,6.265818739440736e-91,1.1739349511790175e-35,1.0099844453437848e-110,9.4001723447016748e-47,7.1071576640401058e-87,8.8037179692138569e-87,2.1673100755392657e-71,3.6958055995866081e-90,4.8217264340744255e-76,0.0,1.4014492533740451e-15,5.0768099218202222e-16,1.666951618539512e-25,1.6669516184221173e-25,4.9386015696960272e-26,4.9275539592667482e-26,2.6820540418648235e-43,4.537818821183873e-76,6.2681585365716848e-41,2.6495757059451463e-53,4.2526549132826177e-71,1.7556224961602189e-52,7.920361701114411e-79,1.8328601409230984e-79,8.6192482518669969e-125,9.0873958190832485e-50,1.7157258571141195e-102,5.4156057323301003e-101,5.5501091285546368e-60,2.226351153385972e-104
1.9535427562788905e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999962,0.099999999999997202,2.0363356404898026e-93,0.099999999999998992,6.7066127887992613e-87,4.3063136650533501e-61,4.416328011501626e-28,3.8969956629600116e-56,2.0055861946483796e-89,4.7018630166238082e-35,6.4839625349046734e-109,3.7649720417407386e-46,2.2794207174330338e-85,1.4118772880310103e-85,3.4682199999509428e-70,1.1837673267792444e-88,3.8632501538265427e-75,0.0,2.8053358097226956e-15,1.0162449078188827e-15,3.3368022833720714e-25,3.33680228290188e-25,9.8857920116870393e-26,9.8416287315720232e-26,2.1450637279305101e-42,7.2756105191322637e-75,2.5105328686081776e-40,2.1228848168628274e-52,6.8190445059586116e-70,7.0316501445033231e-52,1.2700243469243047e-77,1.4662881962435196e-78,1.1067151332373334e-122,3.6396982842134257e-49,5.5024842404493879e-101,1.737166629460641e-99,4.439816763513348e-59,1.4262932690888497e-102
