Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),OCX(21),OX(20),COX(37),H2X(36),CH2X(134),CHX(26),C2H6X(39),HOX(23),C2H5X(38),C2H4X(51),CH2(T)(29),C2H3X(50),C3H6(146),C3H6X(159),C3H5X(157),C4H8(204),C4H8X(216),C4H7X(215),C3H5X(158),C5H10(244),SX(271),C4H8(254),C4H8X(332),C4H7X(268),C3H8X(43),C5H9X(269),C6H12(397),SX(411),C4H7X(207),C4H7(219),C4H7X(457)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1251880801870775e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,6.8053355030513055e-100,0.10000000000000001,2.0745820022755237e-95,1.561504232796428e-67,2.2050681387947397e-32,6.5117861317827653e-63,1.2770743670808696e-86,2.3387323436500149e-39,-1.2430946075632411e-120,1.8727186032031023e-50,3.8694918340959673e-96,2.182630590108681e-94,1.9981308510247979e-65,7.5881635822431529e-67,1.9356378573863535e-81,8.4338054381053733e-136,3.2315959341502495e-18,1.9510991047341011e-18,1.921940187270383e-27,1.9219401872727219e-27,5.6938215721919405e-28,5.6940420790058206e-28,5.3928361992167722e-49,1.4235192950000328e-83,1.2487674594285168e-44,1.0636649510849816e-58,1.5370672987902594e-79,3.4976371575724377e-56,1.9037766374681151e-86,2.0610343023844667e-152,2.7823831096561733e-71,5.3788943164296635e-155,-2.6588808906526559e-192,-5.3053604465343687e-209,-6.922973848484447e-212,1.750433569432593e-249,3.0247694477454617e-266,3.9470267846014784e-269,-3.4614869242422235e-212,-5.0198318883024269e-307,-9.8813129168249309e-324,1.9237359456552945e-250,3.3242379577044188e-267,4.3378037513662401e-270,-2.4230311197033168e-137,0.0,0.0,0.0,2.6611749883425187e-270,3.9276420473765987e-280,6.8488084858961155e-297
3.150526624523817e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.0284223012211205e-98,0.10000000000000001,6.6168913441707929e-94,2.2390115165829212e-66,1.3318113560528705e-31,9.8406112022883773e-62,2.856670828918969e-85,1.4125943355629492e-38,3.9961781392236543e-120,1.1311220363346735e-49,2.027849452624766e-94,6.8625397961869276e-93,2.3720997190711299e-64,9.0083593336607613e-66,2.2979892642875268e-80,5.1280873125548228e-135,9.0484686156197283e-18,5.463077493255133e-18,5.3814325243494952e-27,5.3814325243636207e-27,1.5941986009860242e-27,1.5943317821216295e-27,6.4021559081563728e-48,3.8164354520108053e-82,7.5425554549393171e-44,1.2627830299267215e-57,4.3347757133298727e-78,2.1125728431721948e-55,5.4369842820689022e-85,2.4618461174338751e-151,3.30324522778037e-70,6.4249343514905544e-154,5.2800855672463333e-191,1.843344349962585e-207,2.4053831699369775e-210,1.8712798791985588e-247,5.8507155774758809e-264,7.6346086841745399e-267,1.2026915849684887e-210,3.5024201547023547e-304,9.7330932230725569e-321,2.0565466926932076e-248,6.4299680152067337e-265,8.3904761730086387e-268,1.1597748214506322e-136,4.9406564584124654e-324,0.0,0.0,5.1474418046405048e-268,1.3714121600669912e-277,4.3113578307475815e-294
7.201203713197296e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,1.1063297820600531e-97,0.099999999999999992,1.4632074012054694e-92,2.367064375545457e-65,6.4115912064641957e-31,1.0586080478598911e-60,5.6438961276958928e-84,6.8010336553093441e-38,5.2660252996454861e-118,5.4458656981146164e-49,8.8833952040163816e-93,1.5309948777445261e-91,2.3287695335482428e-63,8.8438072796108571e-65,2.2561794865647236e-79,3.7490368190468151e-133,2.0682213978554787e-17,1.2487034270295774e-17,1.2300417198477405e-26,1.2300417198545415e-26,3.643545771443078e-27,3.6441869305637243e-27,6.2852103172865696e-47,8.1500647029289217e-81,3.631415772004739e-43,1.2398078669804119e-56,9.429084009901758e-77,1.0171128854197286e-54,1.186341752794085e-83,3.3228705669393054e-149,3.2431457526043191e-69,8.6720388816752543e-152,3.427297871938028e-188,2.4637430960797075e-204,3.2149425463991347e-207,1.1328431406963506e-243,7.047822836676627e-260,9.1967159778827287e-263,1.6074712731995674e-207,1.9315059696127293e-299,1.0747170174520145e-315,1.245000729306757e-244,7.7455953577946974e-261,1.0107240524626312e-263,3.7068173366500508e-134,7.0119772720373075e-319,0.0,0.0,6.2006657594857024e-264,3.2947113197397114e-273,2.0682929090464614e-289
1.5302557890544253e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,1.0169076735499569e-96,0.099999999999999978,2.7311018665107816e-91,2.1606753825558129e-64,2.7996648118304485e-30,9.7304317807896255e-60,1.0041567415406225e-82,2.9701900764097893e-37,4.1754176922135648e-116,2.3783526260679354e-48,3.3114192651815486e-91,2.8673839675070333e-90,2.0594643067938516e-62,7.8210854127634875e-64,1.9955652054409334e-78,2.7598515370826724e-131,4.3949704704409328e-17,2.6534947824371379e-17,2.6138386546611973e-26,2.6138386546908992e-26,7.7410975626360797e-27,7.74389722744791e-27,5.5583715445719563e-46,1.4997160982202614e-79,1.5859346734603819e-42,1.0965960179616636e-55,1.7479932647926077e-75,4.4419991900928525e-54,2.2020845280233949e-82,4.8892419075315308e-147,2.8685256907080707e-68,1.2759960121797529e-149,2.1433559480384487e-185,3.0816985651102015e-201,4.0213136864459298e-204,6.0223140946856654e-240,7.4934772230261597e-256,9.7782511427903705e-259,2.0106568432229649e-204,8.7280079601967209e-295,9.7127916611331198e-311,6.6185557123020393e-241,8.2353719350557531e-257,1.0746350811318339e-259,5.8969280746105952e-132,6.3371191592048928e-314,0.0,0.0,6.592756411046429e-260,7.0061336475311577e-269,8.7963853527399864e-285
3.150526624523817e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999986,0.099999999999999922,8.6998592430748028e-96,0.09999999999999995,4.7106975913822108e-90,1.8427557658519516e-63,1.1684327816555842e-29,8.324589249077139e-59,1.6931699413125144e-81,1.2399958885800822e-36,2.9613141112637369e-114,9.9291540341828149e-48,1.1415611398264783e-89,4.9526927357571861e-89,1.7305893331419009e-61,6.5721396308108229e-63,1.6773927969869692e-77,1.8919193892186144e-129,9.0484686156056083e-17,5.4630774932499868e-17,5.3814325242396133e-26,5.3814325243636131e-26,1.593163349339972e-26,1.5943317821216276e-26,4.6707575717326431e-45,2.5690529035662697e-78,6.6209650697654898e-42,9.2175502795486478e-55,3.0043538079049011e-74,1.8544472209231787e-53,3.7871671892662797e-81,6.7066313644181919e-145,2.4111686846563686e-67,1.750298929365549e-147,1.2108233170818518e-182,3.4821205625258035e-198,4.5438250302864613e-201,2.8020624961269648e-236,6.9732241532917258e-252,9.0993720293642893e-255,2.2719125151432306e-201,3.3443845588024538e-290,7.4434796673881771e-306,3.0794818151935715e-237,7.6636110019001698e-253,1.0000258999519e-255,8.3708973773941359e-130,4.8565046238041904e-309,0.0,0.0,6.1350401298983957e-256,1.3039522946433987e-264,3.2743038822430952e-280
6.3910682954626e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999972,0.099999999999999825,7.1932118609564056e-95,0.099999999999999895,7.821969172239374e-89,1.5213789323481766e-62,4.7703904922398457e-29,6.8829313726093763e-58,2.7794375946503547e-80,5.0657878054436276e-36,1.9934561340863073e-112,4.0563834032820208e-47,3.7896353669276013e-88,8.2289730539857648e-88,1.4179986714243491e-60,5.3850356560246523e-62,1.3752279587579589e-76,1.2524444601488798e-127,1.835546490591003e-16,1.1082242914866595e-16,1.0916620263202445e-25,1.091662026370903e-25,3.2294455103830591e-26,3.2342159008752984e-26,3.8270939872434115e-44,4.2512917241157689e-77,2.7048802677151302e-41,7.557104619962832e-54,4.9794961075045999e-73,7.5760219886042458e-53,6.2788997105644467e-80,8.8818692135156197e-143,1.9768217643203315e-66,2.317993241387233e-145,6.5063964717323841e-180,3.7424266668286037e-195,4.8834989074664981e-198,1.221838684400933e-232,6.0813892807316479e-248,7.9356151909562607e-251,2.4417494537332491e-198,1.1833320528656863e-285,5.2674071746929435e-301,1.3428073124398361e-233,6.6834796607897101e-249,8.7212839494841728e-252,1.1274324644911139e-127,3.4367242798351229e-304,0.0,0.0,5.350404994200912e-252,2.274377299968369e-260,1.1422221275346179e-275
1.2872151637340166e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999942,0.099999999999999645,5.8494004234903306e-94,0.099999999999999784,1.2747983563279607e-87,1.236271196329099e-61,1.9258158282060946e-28,5.5970854828864873e-57,4.5004123589532285e-79,2.0476724258568157e-35,1.308186221278185e-110,1.6396550275972482e-46,1.2349958115662793e-86,1.3415302962709381e-86,1.1469690065306775e-59,4.3557650095107207e-61,1.1136952561686878e-75,8.1510743478722702e-126,3.6969457486419144e-16,2.2320573758063451e-16,2.1986995740352124e-25,2.1986995742399817e-25,6.4947259801005658e-26,6.5139841383826269e-26,3.0956010586592453e-43,6.916799051660606e-76,1.0933558514810076e-40,6.1199392521839533e-53,8.1078185602508733e-72,3.0623492178869127e-52,1.0225152860928046e-78,1.1562399531001977e-140,1.6008815172520674e-65,3.017558953283365e-143,3.4120217513557039e-177,3.9252249782995188e-192,5.1220327342744107e-195,5.1622140233324052e-229,5.1387386793161479e-244,6.7055488217468589e-247,2.5610163671372054e-195,4.027805833032287e-281,3.5858244754643388e-296,5.6733010890950069e-230,5.6475015592474757e-245,7.3694343670079465e-248,1.4800208877878697e-125,2.3395742211232204e-299,0.0,0.0,4.5210615460947937e-248,3.8436786301105422e-256,3.8606952349805397e-271
2.58343183210953e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999881,0.09999999999999927,4.7177533506277663e-93,0.099999999999999561,2.0585042258408933e-86,9.9674391130379084e-61,7.7239696113767419e-28,4.514252209506886e-56,7.2311609381385068e-78,8.2336007638055672e-35,8.4775240991330182e-109,6.5929807513204766e-46,3.9880480037835712e-85,2.1665750116129764e-85,9.2099372023633722e-59,3.4975942660550399e-60,8.9639883142004335e-75,5.2603870845913151e-124,7.4197442647038456e-16,4.4797235444311738e-16,4.4127746691547534e-25,4.412774669978122e-25,1.2996280917283468e-25,1.3073520613397238e-25,2.4857072153967954e-42,1.1159500308075352e-74,4.3963357909131464e-40,4.9258595324686578e-52,1.3086051842246735e-70,1.2313571517492695e-51,1.6504726528419658e-77,1.4924831685655268e-138,1.2885287185324659e-64,3.8950876380567779e-141,1.7679059478178832e-174,4.0676814566130444e-189,5.3079244345550681e-192,2.1473154874007344e-225,4.2751089355070279e-240,5.5785969037105378e-243,2.6539622172775341e-192,1.3450402480155662e-276,2.394891813567213e-291,2.3599113167797287e-226,4.6983678069501934e-241,6.1309081232188708e-244,1.9184029501385052e-123,1.5625491955206953e-294,0.0,0.0,3.7612403438482185e-244,6.3954062170480363e-252,1.2847445346100604e-266
5.175865168860557e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999761,0.099999999999998521,3.7895560536574646e-92,0.099999999999999117,3.3087487807533115e-85,8.0049786450562731e-60,3.08200678697747e-27,3.6260928689772399e-55,1.1554634469593241e-76,3.302042162551741e-34,5.4595049268662146e-107,2.6440801595507014e-45,1.281974134810387e-83,3.4827060530327943e-84,7.3555407091674106e-58,2.7933629125632476e-59,7.1930360892057156e-74,3.3806895337269159e-122,1.4865341296668143e-15,8.9750558816226536e-16,8.8409248581522543e-25,8.8409248614543318e-25,2.5884392884728519e-25,2.6192593563426267e-25,1.9852166428531567e-41,1.7929632629232437e-73,1.7631272827958303e-39,3.9526920544133146e-51,2.1028933998683728e-69,4.9382929159649136e-51,2.6523688996463741e-76,1.9184095994808023e-136,1.033963147763473e-63,5.0066718828794423e-139,9.1056725673646656e-172,4.1901765278329145e-186,5.467768460868998e-189,8.8633519465086268e-222,3.5292280697494217e-236,4.6052956964405562e-239,2.733884230434499e-189,4.4492200601534582e-272,1.5843990147593943e-286,9.7408716538837343e-223,3.878640707509615e-237,5.0612448403203999e-240,2.4710151120467135e-121,1.0337424813445588e-289,4.4465908125712189e-323,0.0,3.1050144553837569e-240,1.0559196542538031e-247,4.2423803966808491e-262
