Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),CH3OO(84),H2X(56)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5531610028304816e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.3067557117347185e-133,1.170427014675822e-63,1.0760658645648661e-43,1.5435398523902192e-70,2.960213689096027e-57,5.9513895845034216e-47,1.3859864374421284e-26,-7.1193269588682457e-109,1.3859864343353324e-26,3.8771474444057794e-69,4.4314894715519507e-72,4.3446348047883013e-71,2.9769860939261861e-100,5.9513895845386128e-47,3.1704925924883207e-86,2.6426984155224736e-18,1.2706328827193824e-19,4.897705660224183e-23,5.3149576634837594e-38,4.8977056602272845e-23,6.7892923473165805e-44,6.7600324437508501e-60
1.834885080792535e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.0083512522433614e-131,1.3895309551202747e-62,6.4994378219725863e-43,1.8324905163898e-69,4.4734749269794323e-56,3.5946393168202458e-46,3.8807620349039778e-26,4.0864285191985811e-108,3.8807620161389324e-26,5.8591452518248199e-68,1.3933311374091504e-70,5.1579504504681095e-70,6.6593988252805294e-99,3.5946393168620248e-46,8.9412964394401834e-85,7.3995555634629258e-18,3.55777207161427e-19,1.3713575848617664e-22,3.2102343006542808e-37,1.3713575848636397e-22,4.100732586654665e-43,8.025510517221878e-59
4.194023041811508e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.0989505282278427e-129,1.3642497384676667e-61,3.129199534155803e-42,1.7991500632056491e-68,4.8123601900964888e-55,1.7306641028438654e-45,8.8703132700917548e-26,2.4005708478035176e-106,8.8703131797461415e-26,6.3030011560140925e-67,3.1084448659512079e-69,5.0641063601539083e-69,1.3157849928607471e-97,1.7306641028848837e-45,1.9449272966109469e-83,1.691326985934382e-17,8.1320504494040458e-19,3.1345316225364428e-22,1.5455894964062277e-36,3.1345316225454621e-22,1.9743262279128382e-42,7.8794938164386425e-58
8.912298963849455e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,8.9900977938882829e-128,1.2066634563411447e-60,1.3666036479985801e-41,1.5913278698654001e-67,4.4233881113237716e-54,7.5582648929121395e-45,1.8849415901523619e-25,9.4582090529986627e-105,1.8849415506960592e-25,5.793544089629702e-66,5.8217722586039828e-68,4.4791447648991435e-68,2.3413691121696153e-96,7.5582648932749413e-45,3.6055674943798379e-82,3.5940698451105541e-17,1.7280607204983597e-18,6.660879697869718e-22,6.7499942472312374e-36,6.6608796979091055e-22,8.6224014186615485e-42,6.969323048214893e-57
1.8348850807925347e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,6.4702388658653879e-126,1.0142733626755193e-59,5.7053012139336753e-41,1.3376069823428373e-66,3.7843016575172203e-53,3.1554268662372285e-44,3.8807621808612569e-25,3.3418917788581792e-103,3.8807620161389612e-25,4.9564991426343161e-65,1.0055660495768842e-66,3.7649911284217178e-67,3.9490612951735037e-95,3.1554268665421861e-44,6.1970495370058164e-81,7.3995555634628743e-17,3.55777207161427e-18,1.371357584847195e-21,2.8179887663258335e-35,1.371357584863639e-21,3.5996829263597918e-41,5.8581359552453472e-56
3.7221954496077136e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996518,0.022821567693054282,4.3857388444718948e-124,8.3156261647088149e-59,2.3308017052911695e-40,1.0966510566918e-65,3.1289337915829597e-52,1.2890948814534881e-43,7.8724036199691392e-25,1.1227369249115335e-101,7.8724029470248148e-25,4.0981296696404611e-64,1.6707619313293129e-65,3.0867673045389891e-66,6.4863452517645199e-94,1.2890948817035099e-43,1.0271155935960535e-79,1.5010527000167414e-16,7.2171947738460875e-18,2.7818968149419149e-21,1.1512395768731054e-34,2.7818968150090941e-21,1.4705879844261114e-40,4.8028537897855168e-55
7.49681618723807e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996503,0.022821567693054278,2.8877677329586512e-122,6.7342102149707488e-58,9.4214731559550632e-40,8.8809651946271084e-65,2.5443969951823968e-51,5.2107280038162153e-43,1.5855687528945272e-24,3.6804882913239214e-100,1.5855684808796717e-24,3.3325315228853932e-63,2.7237600414076304e-64,2.4997443651967351e-65,1.0514645869499285e-92,5.2107280058409539e-43,1.6723917419188994e-78,3.0232469873576086e-16,1.4536040178309712e-17,5.6029752750284497e-21,4.6534881078032405e-34,5.6029752752999998e-21,5.944352198402771e-40,3.8894755213759149e-54
1.5046057662498784e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996473,0.022821567693054271,1.8744751577131101e-120,5.4202791288262602e-57,3.7883329188957272e-39,7.1481743996087228e-64,2.0521483535395571e-50,2.0952111218882028e-42,3.182225946993901e-24,1.1919881677631397e-98,3.1822248532341307e-24,2.6878082663809651e-62,4.3988681621691295e-63,2.0120120150539293e-64,1.6933515281587873e-91,2.0952111235178855e-42,2.6992478536502811e-77,6.0676355620391827e-16,2.9173730987236929e-17,1.1245132194789892e-20,1.8711420113773089e-33,1.1245132195881781e-20,2.3901982274587872e-39,3.1305882763489624e-53
3.0144540613020215e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999875,0.11866996602996412,0.022821567693054257,1.2081490549865619e-118,4.3494340635707213e-56,1.5192909378326946e-38,5.7359613593273563e-63,1.6483971578786098e-49,8.4027361846595707e-42,6.3755419844092367e-24,3.8372925600770914e-97,6.3755375979433613e-24,2.1589951567698433e-61,7.0710148672458129e-62,1.6145133746993465e-63,2.7182049481600924e-90,8.4027361977366798e-42,4.3376215360789035e-76,1.2156412711401692e-15,5.8449112605091241e-17,2.2529446032666286e-20,7.5040755283214339e-33,2.2529446037045246e-20,9.5857667633054824e-39,2.5120999342435316e-52
