Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.669155158374823e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.0116029098541979e-73,6.9032758212391885e-42,0.0,3.1202046480308879e-57,0.0,6.7815739761750683e-25,-5.3055010551077556e-118,6.7815739758532923e-25,9.3655769427073393e-80,4.7536767585191993e-72,0.0,0.0,3.7092914821982136e-58,5.5962924180735125e-95,2.6894754702803994e-18,1.2931237063347713e-19,4.9843974463586452e-23,5.5047775760095996e-38,4.9843974463618584e-23,4.4135203648377931e-58,5.1651810677566199e-74,3.380773037886494e-42
1.8673634443449505e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,9.4008688175343079e-72,4.1695785960284766e-41,0.0,4.7152532640870884e-56,0.0,1.8988407134332743e-24,1.0240510367711224e-116,1.8988407132389217e-24,2.6412425470652657e-78,1.4946319952305091e-70,0.0,0.0,4.4036706839092191e-57,2.8968021288065013e-93,7.5305313167851174e-18,3.6207463777373599e-19,1.3956312849793798e-22,3.3248855208970238e-37,1.3956312849813203e-22,5.2397313771354164e-57,1.4566637039993204e-72,2.0419869149769398e-41
4.268259301359887e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.0929985622795995e-70,2.0074726088163668e-40,0.0,5.0724542921770225e-55,0.0,4.3402073454818303e-24,1.0812992177944132e-114,4.3402073445461067e-24,5.7452794593893309e-77,3.3344414856037776e-69,0.0,0.0,4.3235496440051139e-56,1.2648571786772164e-91,1.721264300979454e-17,8.2759917205425364e-19,3.1900143656622478e-22,1.6007891165844432e-36,3.1900143656715892e-22,5.1443993372548977e-56,3.168561731342726e-71,9.8312879955763834e-41
9.07005101538976e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,3.9168541062929617e-69,8.7671602929738794e-40,0.0,4.6624594014015299e-54,0.0,9.2229406112470217e-24,8.5467698487896233e-113,9.2229406071604699e-24,1.0650779851856493e-75,6.2450388280735328e-68,0.0,0.0,3.8241300804324722e-55,4.7087461386854043e-90,3.6576866395813313e-17,1.7586482406152889e-18,6.7787805270113302e-22,6.9910654288346584e-36,6.7787805270521265e-22,4.5501629553331017e-55,5.8739794445325372e-70,4.2935817595650526e-40
1.8673634443449506e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,6.7629921457719707e-68,3.6601168404211177e-39,0.0,3.9888321794911708e-53,0.0,1.8988407149449735e-23,6.0576477984813642e-111,1.8988407132389183e-23,1.8305969279124302e-74,1.0786747932221653e-66,0.0,0.0,3.2144107156822299e-54,1.6222344395269466e-88,7.5305313167850619e-17,3.6207463777373595e-18,1.3956312849642883e-21,2.9186311873731153e-35,1.3956312849813196e-21,3.8246861318424671e-54,1.0095869856804232e-68,1.7924858659917026e-39
3.7880801299569e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,0.0,1.123491213317705e-66,1.4952771559837773e-38,0.0,3.2980435823783465e-52,0.0,3.8519340252544471e-23,4.0765192696342176e-109,3.8519340182846548e-23,3.0340801583205789e-73,1.7922331015100466e-65,0.0,0.0,2.6353664089320093e-53,5.3836046447432716e-87,1.5276220671192417e-16,7.3449426519814984e-18,2.831137749463953e-21,1.192355247440004e-34,2.8311377495335317e-21,3.1357087686873794e-53,1.6733163891215353e-67,7.3228896420265885e-39
7.629513501180798e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,0.0,1.8314211746191082e-65,6.0441493387350204e-38,0.0,2.6819142685444766e-51,0.0,7.7581206565491163e-23,2.6747534022385086e-107,7.7581206283761019e-23,4.9402130036553786e-72,2.9217883778108324e-64,0.0,0.0,2.1341852872473573e-52,1.7541691925212809e-85,3.0767599380006711e-16,1.4793335200469767e-17,5.7021506783567024e-21,4.819683879986518e-34,5.7021506786379506e-21,2.5393782596227704e-52,2.724561960598364e-66,2.9600290808591418e-38
1.5312380243628596e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996471,0.022821567693054271,0.0,2.9576219891189654e-64,2.4303258659711022e-37,0.0,2.1630610163978819e-50,0.0,1.5570493961841353e-22,1.7332004028288447e-105,1.5570493848558899e-22,7.9735237046260716e-71,4.7186833926136213e-63,0.0,0.0,1.7177735506336642e-51,5.6641060247419653e-84,6.1750356797633643e-16,2.9690120297446258e-17,1.1444176535715876e-20,1.9379683253192149e-33,1.1444176536846761e-20,2.043912544259772e-51,4.3974539886179044e-65,1.1902146784479791e-37
3.067811372852419e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996409,0.022821567693054257,0.0,4.7541694854886467e-63,9.7466937123571963e-37,0.0,1.7374882403540106e-49,0.0,3.1195240743237392e-22,1.1161325465160115e-103,3.1195240288924083e-22,1.2813238536024985e-69,7.585105096000391e-62,0.0,0.0,1.3783979696481098e-50,1.8206762688696784e-82,1.237158716328808e-15,5.9483690491399129e-17,2.2928228248728922e-20,7.7720767295182038e-33,2.2928228253264282e-20,1.6401110956521218e-50,7.0665905056039456e-64,4.7732932269029128e-37
6.1409580698315375e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999742,0.11866996602996285,0.022821567693054226,0.0,7.6242353805804857e-62,3.9037613333904911e-36,0.0,1.3928118820332759e-48,0.0,6.2444734989275776e-22,7.1653577803234334e-102,6.2444733169652848e-22,2.0545763906609411e-68,1.2164313576141644e-60,0.0,0.0,1.1043843254642724e-49,5.839255826013887e-81,2.4764690130334861e-15,1.190708308793043e-16,4.5896331667933841e-20,3.1128501151039617e-32,4.5896331686098923e-20,1.3140847175310107e-49,1.1331132230499826e-62,1.9118070511597843e-36
1.2287251463789775e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999481,0.11866996602996037,0.022821567693054167,0.0,1.2212650098348052e-60,1.5625218829219781e-35,0.0,1.1153791249434243e-47,0.0,1.2494372621433773e-21,4.5929168545959017e-100,1.2494371893110395e-21,3.2908928749393092e-67,1.9485134156826136e-59,0.0,0.0,8.8416069728955405e-49,1.8706591083209535e-79,4.9550896064417797e-15,2.3824511165511244e-16,9.1832538479058873e-20,1.2459236847594021e-31,9.1832538551766592e-20,1.0520667937888734e-48,1.8149503952127589e-61,7.6522107087022733e-36
