Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),OX(20),OCX(21),COX(32),CH3X(22),HX(19),H2X(31),C2H6X(34),HOX(23),CH2X(58),CHX(26),C2H5X(33),C3H8X(38),CXHO(27),C2H4OX(44)
2.018016734638116e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,3.9259199303467506e-102,0.10000000000000001,8.0557442198762597e-97,9.0231115017507479e-70,1.0015893271770033e-30,7.5131489335740206e-65,2.0339465478071915e-100,7.5227433685476835e-41,-8.6486493398449005e-124,6.0237651237859358e-52,1.6878117031707455e-99,4.5164580243540946e-97,1.8348443842426829e-78,-4.6796109693288863e-99,1.1166465487246253e-83,0.0,2.8979220405620982e-18,1.0497846663029884e-18,1.4420205763399816e-25,1.44201056044671e-25,8.7864722050494802e-48,3.4469288303925883e-28,3.4469288303933407e-28,2.9505715646602832e-86,2.5445112777766041e-81,4.2275840020186039e-56,4.0167258004084799e-46,6.1360608894248153e-61,4.7023356034560142e-89,-3.023449638447383e-140,1.2137446060125017e-64,-1.1457091900634726e-115
5.650446856986725e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,5.9328501987400737e-101,0.10000000000000001,2.7418980042554716e-95,1.2934373470548872e-68,6.0495589644663486e-30,1.1353870668370416e-63,1.0955427543454994e-98,4.5437369946018448e-40,-1.4472060627731358e-124,3.6383541347667073e-51,8.7827839156734567e-98,1.4200466661849962e-95,5.1745172789744471e-77,4.6236967088370186e-98,1.3256827826457151e-82,0.0,8.1141817135731031e-18,2.939397065648266e-18,4.0376576137519486e-25,4.0375971181623037e-25,1.0431235736901351e-46,9.6514007250968109e-28,9.651400725101356e-28,7.9082657719952976e-85,7.1759289251053127e-80,2.5534607372189003e-55,2.4261023834462081e-45,7.284731487923729e-60,1.3332823442877935e-87,-3.9341118766260086e-140,1.8341970822256941e-63,1.9230645432108193e-114
1.2915307101683944e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,6.3822895123661789e-100,0.10000000000000001,5.8387588728948856e-94,1.3672771170292587e-67,2.912560906718166e-29,1.2213975958277752e-62,4.7913655350275821e-97,2.1876137715722309e-39,7.156084374011169e-122,1.7517108979969505e-50,3.8402904798118951e-96,3.1680459955984788e-94,1.1255535844204845e-75,2.5501401095666581e-96,1.3015632171929259e-81,0.0,1.8546701059592008e-17,6.7186218643384136e-18,9.2289316885758799e-25,9.2286404324852087e-25,1.024131340347517e-45,2.2060344514495503e-27,2.2060344514517375e-27,1.6886489735346451e-83,1.5609212831040488e-78,1.2293814277865038e-54,1.1680638627580141e-44,7.1521925727091778e-59,2.9040460830373734e-86,8.9666684333874422e-138,1.9731149026715252e-62,2.2668936078160261e-112
2.7445027591078377e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,5.8664236335186037e-99,0.099999999999999992,1.0735558808217206e-92,1.2480120792653557e-66,1.2719555619223281e-28,1.1226748188392617e-61,1.7844564348159776e-95,9.5538840780407127e-39,5.7241822792148266e-120,7.6501817072081343e-50,1.4304517860478123e-94,5.9333995353045033e-93,2.0865238396924224e-74,1.0036162946242473e-94,1.151217925872094e-80,0.0,3.9411739751617422e-17,1.427707146171708e-17,1.961147983822374e-24,1.9610207882661822e-24,9.0580843379480437e-45,4.6878232093253854e-27,4.6878232093349406e-27,3.1071985818653047e-82,2.8936849930442704e-77,5.3690316825583897e-54,5.1012417665107865e-44,6.3260333345521868e-58,5.3865614239452062e-85,1.4497557254233006e-135,1.8135761396411713e-61,1.7918197097230287e-110
5.650446856986724e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,5.0188489279161722e-98,0.099999999999999978,1.8401696319335784e-91,1.0643618272630182e-65,5.3098606905471664e-28,9.6047194387994037e-61,6.1486675568742325e-94,3.9885585339906206e-38,4.0587710227614419e-118,3.1938002686313e-49,4.9294723138418729e-93,1.0248472164953161e-91,3.5859854362735825e-73,3.5457856023703484e-93,9.6766803277808328e-80,0.0,8.1141817135618693e-17,2.9393970656467891e-17,4.0376576137519452e-24,4.0371266276828904e-24,7.6134596267629429e-44,9.6514007250614564e-27,9.6514007251013431e-27,5.3226107869894679e-81,4.9735051633107985e-76,2.2414650378655507e-53,2.1296680193693915e-43,5.3174121897845866e-57,9.2605885154143749e-84,2.0577004425475305e-133,1.5514560382952108e-60,1.2680033890595156e-108
1.1462335052744497e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,4.1496813486232325e-97,0.09999999999999995,3.0469343804852998e-90,8.7872954043113617e-65,2.1690034499306728e-27,7.941367769000535e-60,2.0404916793362193e-92,1.6294563045895901e-37,2.7317415278567502e-116,1.3047716208725258e-48,1.6361366932689518e-91,1.7027989780839075e-90,5.9427921362599478e-72,1.1910898349952423e-91,7.9335271730982524e-79,0.0,1.6460197190342292e-16,5.9627769045943451e-17,8.1906768736110811e-24,8.1885078701611506e-24,6.2413084047697669e-43,1.9578555756471186e-26,1.9578555756634131e-26,8.8078239554261529e-80,8.2432200685038051e-75,9.1571160516924744e-53,8.700388752655956e-43,4.3595357776834539e-56,1.5350793095945076e-82,2.7709180018769516e-131,1.2826142305373316e-59,8.5252989059229201e-107
2.3086111444260044e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999955,0.099999999999999672,3.3744519565366142e-96,0.099999999999999895,4.9591467402342462e-89,7.1405190752544467e-64,8.7654552093698701e-27,6.4577883827521616e-59,6.6474178881031877e-91,6.5865229107521338e-37,1.7925173514672431e-114,5.2740955066005014e-48,5.3314811856046778e-90,2.7759920985167837e-89,9.6739663212736133e-71,3.9036015515069414e-90,6.4247759953301159e-78,0.0,3.3152228143823833e-16,1.2009536582479028e-16,1.6496715393329337e-23,1.6487949938119966e-23,5.0532953341245223e-42,3.9432865819040985e-26,3.9432865819699635e-26,1.4330157171443871e-78,1.3421946965978118e-73,3.701452717766562e-52,3.5168362410460074e-42,3.530465101342044e-55,2.4996460417261993e-81,3.6371531263772798e-129,1.042741060093241e-58,5.5901932669855338e-105
4.633366422729114e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999911,0.099999999999999339,2.7216177508640691e-95,0.09999999999999977,8.0026540611081048e-88,5.7570332495063158e-63,3.5229407832411476e-26,5.208440279976971e-58,2.1454499511341917e-89,2.6484118937952088e-36,1.1615641549448038e-112,2.1206906068893113e-47,1.7215626059028335e-88,4.4832346540540079e-88,1.5606303896202912e-69,1.2636276627978296e-88,5.1712186638773345e-77,0.0,6.6536290050469644e-16,2.4103055938206685e-16,3.3108792432765768e-23,3.3073563024933363e-23,4.0655973934659073e-41,7.9141485943181924e-26,7.9141485945830379e-26,2.3120093912291701e-77,2.1663076515525746e-72,1.4883378582200349e-51,1.4141043848964212e-41,2.8416254570439007e-54,4.0345742048076212e-80,4.7142628821248357e-127,8.4059007200213785e-58,3.6198900730700821e-103
9.282876979335334e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999819,0.099999999999998673,2.1861513854165801e-94,0.099999999999999534,1.2858974883620068e-86,4.6235428131538296e-62,1.4115669413320796e-25,4.1837024797489125e-57,6.8899161309310817e-88,1.0621316224984282e-35,7.480275686947538e-111,8.5049178356824356e-47,5.5339052067654057e-87,7.2066687681652385e-87,2.5054784427972237e-68,4.0639337233841273e-87,4.1495773057157922e-76,0.0,1.3330441386249225e-15,4.8290094649495161e-16,6.6332946511638285e-23,6.6191789817505097e-23,3.2596059429211005e-40,1.5855872618746927e-25,1.5855872619809075e-25,3.7146317334449613e-76,3.481198239696944e-71,5.9689004867316003e-51,5.6711910569150034e-41,2.2802254698957926e-53,6.4835613954020066e-79,6.0721076363354953e-125,6.74536434942528e-57,2.3286165202257741e-101
1.8581898092547775e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999636,0.099999999999997341,1.7524709266732008e-93,0.099999999999999048,2.0618268063189375e-85,3.7060145435191622e-61,5.6433243282152097e-25,3.3537553755893031e-56,2.2055632592984734e-86,4.2540665388751822e-35,4.8022350789678435e-109,3.4064032758606589e-46,1.7748442877452398e-85,1.1557535073524521e-85,4.0097657722208403e-67,1.3018091394578885e-85,3.3247114393223467e-75,0.0,2.6684066148146135e-15,9.6664172071404726e-16,1.3278125466938199e-22,1.3221692223656044e-22,2.6072077074972195e-39,3.1739320666006582e-25,3.1739320670260696e-25,5.9557718762192775e-75,5.5820296296766825e-70,2.3906735565687158e-50,2.2714345001827845e-40,1.8269551680359957e-52,1.0396344436439704e-77,7.7966119763366349e-123,5.3965115218579629e-56,1.4919568727448484e-99
