Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),OCX(21),OX(20),COX(37),CH3X(22),HX(19),H2X(36),C2H6X(39),HOX(23),CH2X(134),CHX(26),C2H4X(51),C2H5X(38),C2H3X(50),SX(145),CXHO(27)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.307220401764644e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,3.851537829434015e-100,0.10000000000000001,3.645080629094959e-94,8.8374667505221568e-68,2.1304572210334717e-29,3.6854010522344807e-63,8.4422215136782956e-84,1.6001852877607281e-39,-4.6539163773917605e-121,1.2813337811388482e-50,1.498401892519503e-96,1.0217855117131057e-94,1.5968701581253822e-62,6.0643235518047034e-64,1.0954907996036181e-81,3.1444872561453058e-136,2.6730798288924849e-18,1.6138910208173291e-18,6.6505839788896989e-25,6.6507970246118012e-25,4.3098574799395611e-46,1.5897716334645073e-27,1.5897716334661072e-27,6.6641207993067419e-84,7.1956890164991968e-80,8.9927719127558169e-55,8.544198406617201e-45,6.019902758814176e-59,6.3563288345629095e-153,8.9124169458030529e-87,1.6588768562479845e-155,-4.85684050481313e-198,1.1907276348877348e-62
2.6060217124941005e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,5.8204439678404177e-99,0.10000000000000001,1.1665710154020053e-92,1.2671877165777299e-66,1.2867563619389367e-28,5.5693780701043245e-62,1.8884400853283613e-82,9.6651191380654035e-39,1.2127950112536914e-120,7.7392560380786432e-50,7.8525387516579837e-95,3.2126571345042605e-93,1.8957505550236211e-61,7.1993610004408951e-63,1.3005666772886897e-80,1.6868792215399013e-135,7.4846235208982946e-18,4.5188948582882836e-18,1.8620944912551109e-24,1.8622231668913041e-24,5.1165178759797485e-45,4.451360573695435e-27,4.4513605737051007e-27,1.7866415273954674e-82,2.029299433665544e-78,5.4316342353012025e-54,5.160695837591739e-44,7.1468285552577858e-58,6.7734368219580609e-152,2.5452918108849949e-85,1.7677338403429805e-154,8.5021251269859249e-197,1.7993653177609457e-61
5.956621057129373e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,6.2613680185539877e-98,0.10000000000000001,2.5752505417955824e-91,1.3396603272580129e-65,6.194772642000303e-28,5.9912827825382804e-61,3.7310184400196785e-81,4.6533388167941063e-38,1.6860835633377863e-118,3.7261186355517706e-49,3.4399597563846964e-93,7.1672613390333143e-92,1.8611454064389474e-60,7.067943416794786e-62,1.2769040760157268e-79,1.2012936084088577e-133,1.7107710904907245e-17,1.032890253322922e-17,4.2558906184873525e-24,4.2565100957515526e-24,5.0231206403214434e-44,1.0174538454136553e-26,1.0174538454183086e-26,3.8154042515096108e-81,4.414169522648202e-77,2.6150980722244241e-53,2.4846528966367059e-43,7.0167986556539485e-57,8.8096816835197457e-150,5.5537882617302275e-84,2.2991537153080347e-152,5.3523847885860282e-194,1.9355365771257985e-60
1.2657819746399917e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999978,5.7552759477663754e-97,0.099999999999999992,4.8035544395163115e-90,1.2228527115685396e-64,2.7050638912510582e-27,5.5070210842317146e-60,6.6383582173822699e-80,2.0322353154415638e-37,1.337417490591162e-116,1.6272939020463356e-48,1.2822967737689508e-91,1.3423487271741595e-90,1.6459597550909582e-59,6.2507477250582203e-61,1.1294071947546181e-78,8.8400994580131145e-132,3.6353885672914485e-17,2.1948917883107204e-17,9.0423788895807944e-24,9.0450839534720447e-24,4.4423473793758697e-43,2.1620894214935824e-26,2.1620894215139048e-26,7.020831595547466e-80,8.18312636429321e-76,1.1420820329148545e-52,1.0851131976325554e-42,6.2062789481853604e-56,1.2954174382386666e-147,1.0308927571576992e-82,3.3807848262820789e-150,3.3449594120396178e-191,1.7788364897186296e-59
2.6060217124941005e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999936,4.9237597426942409e-96,0.099999999999999964,8.2830789703041719e-89,1.0429233855411925e-63,1.1290134535802444e-26,4.7113724801931622e-59,1.1193897134299835e-78,8.4841823955763297e-37,9.4853574060813022e-115,6.793631707598158e-48,4.4205219871502574e-90,2.3185736076102328e-89,1.383188181473047e-58,5.2528382616421256e-60,9.4933479907512287e-78,6.0599900921146036e-130,7.4846235208886348e-17,4.5188948582847621e-17,1.8610941534377224e-23,1.8622231668913021e-23,3.7331425474643402e-42,4.4513605736202531e-26,4.4513605737050965e-26,1.2026868163515606e-78,1.4064703422149625e-74,4.7679676680969257e-52,4.5301339951179766e-42,5.2167514122685617e-55,1.7769230740968027e-145,1.7729397654401685e-81,4.6374198687239703e-148,1.8896128535786989e-188,1.5213955530137236e-58
5.286501188202318e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999853,4.0710597714371982e-95,0.099999999999999922,1.3752121590291652e-87,8.6103741809867297e-63,4.609959165093167e-26,3.8954538754941404e-58,1.8377263032424281e-77,3.4660653405902914e-36,6.3852210622490481e-113,2.7754202232979772e-47,1.467478690984493e-88,3.852344726145103e-88,1.1334637901735474e-57,4.3044771817394264e-59,7.783220246669314e-77,4.0116933733234078e-128,1.5183093428065941e-16,9.1669009982266283e-17,3.773042750814404e-23,3.777652709979496e-23,3.0591512838057525e-41,9.0299028777408613e-26,9.0299028780874703e-26,1.9902169013196772e-77,2.3311214464837979e-73,1.9478703673514387e-51,1.8507075516072531e-41,4.2770079905559317e-54,2.3532523711952848e-143,2.9394295074995925e-80,6.1415260240564959e-146,1.0153891410635077e-185,1.2571978769013931e-57
1.0647460139618753e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999953,0.0999999999999997,3.3105181956830386e-94,0.099999999999999825,2.2411455606392745e-86,6.9967825656294488e-62,1.8614581907868944e-25,3.1677183972626329e-57,2.9762017413548815e-76,1.4010390282370594e-35,4.1902392975193513e-111,1.1218692294085448e-46,4.7823335580867023e-87,6.280294184894054e-87,9.1700675554737357e-57,3.4824532454986978e-58,6.3030535492424785e-76,2.6108631543985716e-126,3.0580033242352324e-16,1.8462913278085481e-16,7.5898972142480017e-23,7.6085117961558726e-23,2.4749466350839906e-40,1.8186987485451135e-25,1.8186987486852191e-25,3.2380582818104802e-76,3.7956269715318967e-72,7.8736034623477159e-51,7.4808558260261301e-41,3.4636319595647882e-53,3.0634592138565113e-141,4.7868444242480963e-79,7.9950262521187615e-144,5.3248058970011872e-183,1.0211609424575045e-56
2.1369378042451623e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999903,0.099999999999999395,2.6700528565761114e-93,0.099999999999999645,3.6188298736961193e-85,5.6411574108624535e-61,7.4691174823851168e-25,2.5548796455034649e-56,4.7839856588063035e-75,5.6335163122328493e-35,2.7154279814024319e-109,4.510986829850465e-46,1.5443109734365754e-85,1.0142691883060448e-85,7.3663955175198921e-56,2.7974851681631011e-57,5.0732458494991862e-75,1.6849497683272288e-124,6.1373912870652149e-16,3.7054937837703681e-16,1.5195538793684736e-22,1.527022996850858e-22,1.9881462909996347e-39,3.6501156698747926e-25,3.650115670438151e-25,5.2242536068547608e-75,6.1261572339926015e-71,3.1659413227123079e-50,3.0080192254451608e-40,2.7878323300543939e-52,3.9543360420932984e-139,7.7265894601435804e-78,1.0320039621660967e-141,2.7589964877985192e-180,8.2171933740368926e-56
4.2813213848117364e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999803,0.099999999999998784,2.1447316581052401e-92,0.09999999999999927,5.8166670003668827e-84,4.5304861253967524e-60,2.9829119856858021e-24,2.0522182709915247e-55,7.6503188892105346e-74,2.2592920060813217e-34,1.7487290312930335e-107,1.809107477587175e-45,4.9642500050719476e-84,1.6304080969911171e-84,5.8879734500344402e-55,2.2360350265848172e-56,4.0709602920435697e-74,1.0828655684225259e-122,1.2296167212616004e-15,7.4238986956542051e-16,3.0295375114645253e-22,3.0593666313213804e-22,1.5891289774155086e-38,7.3129495116846488e-25,7.3129495139439664e-25,8.3936507323336097e-74,9.8445702110843289e-70,1.2696840704885838e-49,1.2063502461906031e-39,2.2370598730424666e-51,5.0828286627655219e-137,1.2416907142281427e-76,1.3265183492710645e-139,1.4210325319311941e-177,6.5704145090861918e-55
8.570088545944885e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999606,0.099999999999997549,1.7192678884993165e-91,0.099999999999998521,9.3279553674879243e-83,3.6314265136084969e-59,1.1847939059168103e-23,1.6451069569177905e-54,1.2168417830194498e-72,9.0489524264568068e-34,1.1226729024651853e-105,7.2458661648462043e-45,1.5921617201746465e-82,2.6147307952049504e-83,4.6809522858401584e-54,1.7776529322919845e-55,3.2617221594343626e-73,6.9447620448684077e-121,2.4613719063280888e-15,1.4860708519262669e-15,6.0055745096708817e-22,6.1240539002623524e-22,1.2633611517110077e-37,1.4638617191906357e-24,1.4638617200955406e-24,1.3457779837791855e-72,1.5785565429612687e-68,5.0853589180549407e-49,4.8316932729456378e-39,1.7923701622586992e-50,6.5196675165450516e-135,1.99106435074803e-75,1.7015050409458859e-137,7.2973300974143742e-175,5.2193533154842965e-54
1.7147622868211182e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999212,0.099999999999995079,1.3768086984120182e-90,0.099999999999997036,1.4941781871861344e-81,2.9079589635182661e-58,4.6646200693797526e-23,1.3174198044638743e-53,1.9196994127244286e-71,3.6219391937236617e-33,7.1962827536010107e-104,2.9002347931581687e-44,5.1006871393066811e-81,4.1884379202437044e-82,3.6903177551334653e-53,1.4014464958542287e-54,2.6113609934466392e-72,4.4492678570186997e-119,4.9248822762863845e-15,2.973432816584275e-15,1.1786966431206095e-21,1.2253428438144009e-21,9.9599479001241116e-37,2.9289952538757735e-24,2.9289952574977518e-24,2.155482375605013e-71,2.5284338422790831e-67,2.0354688493268409e-48,1.9339364837527556e-38,1.4349859668834064e-49,8.3539179506143343e-133,3.1891941944281199e-74,2.1802083417488831e-135,3.7417831861745792e-172,4.1052177859519708e-53
3.430269151274378e-20,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799998421,0.099999999999990152,1.1020049863589654e-89,0.099999999999994066,2.3920502718413082e-80,2.3274948133691963e-57,1.8070911506871608e-22,1.0544697981424314e-52,2.9843869970253207e-70,1.4492474553804106e-32,4.6092000438558159e-102,1.1604716903390913e-43,1.633143405957282e-79,6.7053981354866797e-81,2.8656337397189344e-52,1.0882619408700937e-53,2.0898824393756838e-71,2.8490115537257854e-117,9.8519030155042581e-15,5.9481567456455539e-15,2.270508636323133e-21,2.4512177513906144e-21,7.7341748430630208e-36,5.8592623178092359e-24,5.8592623323018668e-24,3.4505628851648463e-70,4.0476900910335621e-66,8.1445267128451488e-48,7.7382649956741962e-38,1.1484248938924026e-48,1.0698617181986182e-130,5.1055047011567258e-73,2.7921287430029212e-133,1.9172156327500716e-169,3.1720938269679069e-52
