Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),H2X(31),C2H6X(34),CX(24),C2H5X(33),C3H8X(38),CH2(48),HOCXO(25)
1.9367206680147068e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,3.4145802688971668e-68,0.0,3.586498469204203e-63,0.0,6.9288425762953099e-41,-3.4581753016492399e-121,4.0772136315373711e-51,7.2566405736241177e-98,0.0,0.0,0.0,0.0,0.0,2.781178874246775e-18,1.0074939544832458e-18,2.431003199885618e-27,2.4310031998855488e-27,1.9979223897335312e-44,2.1525304438120831e-58,1.0715917931366934e-84,1.1657227060927182e-79,7.2798764134608343e-83,1.5480821615463359e-86,-1.1602288987888385e-137,5.000569836859953e-101,2.8965303739152188e-53
5.422817870441179e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,5.1145547118802466e-67,0.0,5.419916486660697e-62,0.0,4.1850209160822538e-40,1.2549318561323557e-120,2.4626370334485726e-50,3.76697224035328e-96,0.0,0.0,0.0,0.0,0.0,7.7873008478902576e-18,2.8209830725529951e-18,6.8068089596797327e-27,6.8068089596793137e-27,1.2067451233990078e-43,2.5554841428936184e-57,2.9963244534469254e-83,3.2875245468137724e-78,1.6284792341854826e-81,4.3785517800000934e-85,6.4183769880840251e-137,5.8174897529049843e-86,1.7495043458431377e-52
1.2395012275294124e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.099999999999999992,0.0,0.10000000000000001,0.0,5.4863210850631857e-66,0.0,5.830498831414456e-61,0.0,2.0149074211865041e-39,1.6054603352598273e-118,1.1856537240510679e-49,1.6460577464536907e-94,0.0,0.0,0.0,0.0,0.0,1.779954479517437e-17,6.4479613086921187e-18,1.5558420479267953e-26,1.5558420479265942e-26,5.8099583093444248e-43,2.5089894853070902e-56,6.4979778555083595e-82,7.1510839745048546e-77,3.2176005445289973e-80,9.5311811437273597e-84,1.9455118964461386e-134,5.2357407776149569e-85,8.4231103273206317e-52
2.6339401085000016e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999978,0.0,0.099999999999999992,0.0,5.0371896478253252e-65,0.0,5.3592329325598033e-60,0.0,8.7996300718932561e-39,1.2714472938294917e-116,5.1780613120524621e-49,6.1297366434139631e-93,0.0,0.0,0.0,0.0,0.0,3.7824032689731178e-17,1.3701917780968862e-17,3.3061643518444401e-26,3.3061643518435596e-26,2.5373614349608755e-42,2.2191727863519279e-55,1.2031647607908342e-80,1.3256904499310222e-75,5.7255482532510336e-79,1.7674448580232714e-82,3.0907925461795537e-132,4.2467675196238803e-84,3.6785935748466727e-51
5.42281787044118e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999992,0.099999999999999936,0.0,0.099999999999999978,0.0,4.3072529638984384e-64,0.0,4.5849366050444187e-59,0.0,3.6736723339501634e-38,9.0130712685305843e-115,2.1617386674411121e-48,2.1121005173353481e-91,0.0,0.0,0.0,0.0,0.0,7.7873008478799146e-17,2.8209830725516348e-17,6.8068089596797249e-26,6.8068089596760492e-26,1.0592984510360791e-41,1.8653484421194011e-54,2.0668187842908733e-79,2.278523168055009e-74,9.656973992830857e-78,3.0382246120163676e-81,4.3853445199665569e-130,3.4032315054633813e-83,1.5357404042267589e-50
1.1000573394323537e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999998,0.099999999999999853,0.0,0.09999999999999995,0.0,3.560472072421475e-63,0.0,3.7909142490274029e-58,0.0,1.5008150173945058e-37,6.0658299425157423e-113,8.8314078144551881e-48,7.0098130811799325e-90,0.0,0.0,0.0,0.0,0.0,1.5797096005675241e-16,5.7225656614587315e-17,1.3808098175350285e-25,1.380809817533527e-25,4.327579813053003e-41,1.5293253524544998e-53,3.4247269597701318e-78,3.7764850520597037e-73,1.5861608781292696e-76,5.0359984677993392e-80,5.9049569671300075e-128,2.7231669533859334e-82,6.2740006509198226e-50
2.215608444208825e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999958,0.099999999999999686,0.0,0.099999999999999895,0.0,2.8949813366979323e-62,0.0,3.082708509392187e-57,0.0,6.0665342599789903e-37,3.9801594764361865e-111,3.5697962406652674e-47,2.284130997411554e-88,0.0,0.0,0.0,0.0,0.0,3.1816686321192835e-16,1.1525730839263321e-16,2.781067660669137e-25,2.7810676606630666e-25,1.7492769524819587e-40,1.2384873208535018e-52,5.5755880029443803e-77,6.1490269173931517e-72,2.5712351357568309e-75,8.2001155793042856e-79,7.7507016424114777e-126,2.1785917377397428e-81,2.536051375659908e-49
4.446710653761768e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999914,0.099999999999999367,0.0,0.099999999999999784,0.0,2.3347738962735814e-61,0.0,2.4863160915997249e-56,0.0,2.4393267443459702e-36,2.5791317600679313e-109,1.4353993678372444e-46,7.375459092204401e-87,0.0,0.0,0.0,0.0,0.0,6.385586695193583e-16,2.3132061194834076e-16,5.5815833469373368e-25,5.5815833469129288e-25,7.0337656899163427e-40,9.9684234178228495e-52,8.9984705671151936e-76,9.9245542355890466e-71,4.1408949193637383e-74,1.3235260431975522e-77,1.0045843343414658e-123,1.7428792081177096e-80,1.01973510412791e-48
8.908915072867653e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999828,0.099999999999998729,0.0,0.099999999999999548,0.0,1.875364138443424e-60,0.0,1.9971442964259513e-55,0.0,9.7827912603425966e-36,1.6609040274728359e-107,5.7565934630857139e-46,2.3707977302701028e-85,0.0,0.0,0.0,0.0,0.0,1.2793422821225296e-15,4.6344721905821927e-16,1.1182614719473669e-24,1.1182614719375785e-24,2.8208546345013189e-39,7.9990320033856249e-51,1.4459860939299512e-74,1.5948492224445928e-69,6.6470534154366383e-73,2.1268902008475886e-76,1.2939236357741425e-121,1.3943039496533847e-79,4.0895938546979544e-48
1.7833323911079424e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999653,0.099999999999997452,0.0,0.09999999999999909,0.0,1.5033152194138493e-59,0.0,1.600958350436228e-54,0.0,3.9182191809344048e-35,1.0662735927353273e-105,2.3056400084410508e-45,7.6036360222201834e-84,0.0,0.0,0.0,0.0,0.0,2.5609095072821187e-15,9.2770043327182919e-16,2.2384677464546071e-24,2.2384677464154018e-24,1.1298132037534963e-38,6.4089595750313249e-50,2.3185737672660315e-73,2.5573078585358249e-68,1.0652617329252651e-71,3.4104401506469639e-75,1.6613969000085576e-119,1.115443222433601e-78,1.6379706622845833e-47
