Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),H2X(49),C2H4(47),C2H6X(52)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.581944799996584e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.376650253245876e-75,2.3278441860187379e-36,0.0,1.2783933874154419e-54,0.0,4.9265103581585453e-20,-3.2301912914710882e-106,4.9265103581585164e-20,1.6337417470956856e-72,4.0581605258487089e-93,0.0,0.0,4.0695992482580321e-59,6.7897497795513965e-86,2.6905017792405954e-18,7.9660975772366422e-20,3.1890959828882929e-22,3.1890959828854209e-22,2.6145457136554956e-37,1.4888450875477222e-52,9.9789465761635572e-99,2.1170576405108955e-71
1.5629445439990436e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.079511550500893e-74,1.4060178883553169e-35,0.0,1.9319080942607425e-53,0.0,1.379422900284402e-19,6.2359279295062956e-105,1.3794229002843842e-19,4.6074131420482425e-71,2.4687770934398342e-91,0.0,0.0,4.8314282275319335e-58,3.5145700430762476e-84,7.5334049818736645e-18,2.2305073216262596e-19,8.9294687520873616e-22,8.9294687520700207e-22,1.5791856110465028e-36,1.7675568879366501e-51,9.3974917532004332e-97,5.9704412969209335e-70
3.5724446719978134e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.0845958817102935e-73,6.7693708929424809e-35,0.0,2.0782585702949659e-52,0.0,3.1529666292215334e-19,6.584481569981663e-103,3.1529666292214482e-19,1.0022129972426502e-69,1.1145239900426791e-89,0.0,0.0,4.743524883769555e-57,1.5345988276505184e-82,1.7219211387139792e-17,5.0983024494314501e-19,2.0410214290486079e-21,2.0410214290402576e-21,7.6030989352889336e-36,1.7353978340456073e-50,8.2134563080101089e-95,1.2987013932917596e-68
7.591444927995353e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.1186699660299653,0.022821567693054285,0.0,1.0827213272792847e-71,2.9563621162437893e-34,0.0,1.9102776785639452e-51,0.0,6.7000540870959435e-19,5.2044839195152987e-101,6.7000540870955728e-19,1.8579339915843647e-68,4.2082305226492184e-88,0.0,0.0,4.1955940409840888e-56,5.7129266657986706e-81,3.6590824197672e-17,1.0833892705041834e-18,4.3371705367285806e-21,4.3371705366921143e-21,3.3204730563205233e-35,1.5349397314581639e-49,6.127493247358517e-93,2.4075735099759999e-67
1.5629445439990432e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996525,0.022821567693054285,0.0,1.8261677723326254e-70,1.2342229874271289e-33,0.0,1.6342827722709551e-50,0.0,1.3794229002845352e-18,3.6887538886470732e-99,1.3794229002843806e-18,3.193313827358732e-67,1.4600306603008107e-86,0.0,0.0,3.5266495949524205e-55,1.9681898566894276e-79,7.5334049818736225e-17,2.2305073216262592e-18,8.9294687520894429e-21,8.9294687519372072e-21,1.386232137360383e-34,1.2902093313473915e-48,4.226710387358645e-91,4.138003725974614e-66
3.1705446463980596e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999977,0.11866996602996517,0.022821567693054285,0.0,2.9994860496948076e-69,5.0422036206839795e-33,0.0,1.3512566000432911e-49,0.0,2.7982578834346525e-18,2.4823622631990085e-97,2.7982578834340208e-18,5.2926834822883333e-66,4.862511686190545e-85,0.0,0.0,2.8913604091359018e-54,6.5317045405005969e-78,1.5282050106086394e-16,4.5247434238704104e-18,1.8114065182814834e-20,1.8114065182192906e-20,5.6632105974390449e-34,1.0577915610030159e-47,2.8069794187273836e-89,6.8584377089676725e-65
6.385744851196092e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999996,0.11866996602996502,0.022821567693054282,0.0,4.862296143183626e-68,2.0381393213802952e-32,0.0,1.098819426052241e-48,0.0,5.6359278497358269e-18,1.6287686778539621e-95,5.6359278497332754e-18,8.6177630122384652e-65,1.5872048010931563e-83,0.0,0.0,2.3414986228991082e-53,2.1282608282193123e-76,3.0779340354511635e-16,9.1132156283587082e-18,3.6483258044280296e-20,3.6483258041766368e-20,2.2891602703620196e-33,8.5662703119838129e-47,1.8297523058496663e-87,1.1167187875098738e-63
1.2816145260792156e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999927,0.1186699660299647,0.022821567693054278,0.0,7.8305780423583545e-67,8.1952685706460975e-32,0.0,8.8623767457646458e-48,0.0,1.1311267782341939e-17,1.0554178637105089e-93,1.1311267782331678e-17,1.3909104245891921e-63,5.1295716521445451e-82,0.0,0.0,1.8846417974855009e-52,6.8720252479832085e-75,6.1773920851360896e-16,1.8290160037335292e-17,7.3221643767269949e-20,7.3221643757161514e-20,9.2046127656364471e-33,6.8948795957572576e-46,1.1818022537531533e-85,1.802388625307433e-62
2.5676946079984282e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999986,0.11866996602996407,0.022821567693054268,0.0,1.2569811969423429e-65,3.2866692391744906e-31,0.0,7.1187429588871056e-47,0.0,2.2661947647569222e-17,6.796595594140355e-92,2.2661947647528063e-17,2.2351557122961902e-62,1.6495933695291303e-80,0.0,0.0,1.5123063518874506e-51,2.2089511099003214e-73,1.2376308184505456e-15,3.6644048855288403e-17,1.4669841521348412e-19,1.4669841517294477e-19,3.6914614049367428e-32,5.5327066512431657e-45,7.5981442053347271e-84,2.8963901344261603e-61
