Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),CH2X(134),CHX(26),H2X(36),C2H6X(39),CX(24),C2H3X(136),C2H5X(38),C2H4X(51),C2H3X(50),CH2(T)(29),C3H8X(43),C3H6(143),C3H6X(157),C3H5X(155),HOCXO(25),C3H5X(156),C3H5X(144),allyl(160),C4H8(202),C4H8X(281),C4H7X(280),C4H7X(203),C4H7(284),C4H7X(335),C4H8(148),C4H8X(439)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0747052408732478e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,5.832947754234112e-66,0.0,3.0641825319690296e-61,0.0,2.1335798359753713e-39,-8.3289240897652536e-118,1.2554862003347827e-49,1.574672900124075e-94,0.0,0.0,0.0,0.0,1.1098632431420155e-134,3.0866067175529742e-18,1.8635608306232826e-18,1.3490098654845411e-26,1.3490098654847544e-26,6.1522223249710599e-43,3.6781593816674904e-56,5.0789334561804533e-82,6.9083070308246019e-78,6.9029027416778376e-80,1.7975680832243875e-114,5.9607231901713901e-84,2.5905701348097918e-151,6.7608787288594288e-154,2.4244294837717383e-71,-1.5506291977956114e-134,-3.8292698065052056e-192,-7.2978716972108112e-209,-9.5230051602598152e-212,8.9192833302362052e-52,-4.7615025801299076e-212,-2.0828688424562006e-212,-9.2596658153574933e-223,2.9368618704653486e-250,4.8472387232512834e-267,6.3251700344601745e-270,3.134076116785884e-270,2.1757705327863814e-276,1.1341989856637678e-265,3.881952036130845e-246,6.4070933742471401e-263
3.009174674445094e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,8.737441282080484e-65,0.0,4.6305926423097072e-60,0.0,1.2886822209289275e-38,1.0103659821244642e-116,7.5831366500220884e-49,8.2073974242531742e-93,0.0,0.0,0.0,0.0,1.7668368579942029e-133,8.6424988091474412e-18,5.2179703257448701e-18,3.7772276233560233e-26,3.7772276233573124e-26,3.715942284281738e-42,4.3667108179148028e-55,1.4202236668022516e-80,1.9482531156041597e-76,1.544151731702081e-78,2.0446039821544389e-112,1.6928879228274997e-82,7.6823199120676779e-150,2.0049344576269528e-152,2.8782826831335071e-70,3.2308070387186578e-133,2.1101630360435137e-190,7.1658578695606546e-207,9.3507400925667743e-210,5.3872471314343875e-51,4.6753700462833872e-210,2.0453441140188632e-210,1.6274523852228968e-220,8.9755343882084731e-248,2.6713602577609555e-264,3.4858625329483503e-267,1.7273887460619569e-267,2.1270800759015401e-273,6.1537924569088538e-263,1.1679656450239695e-243,3.4762791517295617e-260
6.878113541588786e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,0.0,0.10000000000000001,0.0,9.3727272080555969e-64,0.0,4.9813802585659091e-59,0.0,6.2044501630134267e-38,1.0995141380795349e-114,3.6509538705735469e-48,3.5902492639836291e-91,0.0,0.0,0.0,0.0,1.4449347420662345e-131,1.9754282992332815e-17,1.1926789315986751e-17,8.6336631390962194e-26,8.6336631391024286e-26,1.7890662521004106e-41,4.2872625752690172e-54,3.0800299620510091e-79,4.2378760781487624e-75,3.0509836100203317e-77,1.850972214602161e-110,3.6888193314268465e-81,1.2218442741555134e-147,3.1887733329886013e-150,2.8259150062831813e-69,7.401542496192664e-131,1.5641849333323133e-187,1.07389234804826e-203,1.4013239470813285e-206,2.593727592390266e-50,7.0066197354066425e-207,3.065257350294845e-207,4.9073483140972893e-217,6.1297820589013789e-244,3.6424221224511327e-260,4.7530028078196668e-263,2.3554205872989956e-263,5.7899844110921962e-269,8.383684021352244e-259,7.970057086104998e-240,4.73594554629446e-256
1.461599127587617e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,0.0,0.099999999999999992,0.0,8.6055047795080422e-63,0.0,4.5787466738591617e-58,0.0,2.7096463916856681e-37,8.6993272989560958e-113,1.5944674744251722e-47,1.3375470635972044e-89,0.0,0.0,0.0,0.0,1.0646786470600639e-129,4.1977851358689353e-17,2.5344427296465323e-17,1.8346534170565541e-25,1.8346534170592653e-25,7.8133223527011149e-41,3.7920351961184318e-53,5.7030257772884655e-78,7.8563080294078144e-74,5.4290623205979521e-76,1.402872219582305e-108,6.843346268978332e-80,1.8014927526759541e-145,4.70154189925479e-148,2.499489820586762e-68,1.1735053694970395e-128,9.8039449569667591e-185,1.3463567777859062e-200,1.7568632437468774e-203,1.1327489828961613e-49,8.7843162187343868e-204,3.8430257518734728e-204,1.2305872290947022e-213,3.2662640594397278e-240,3.8818203255629204e-256,5.0653939292569456e-259,2.5102793624860492e-259,1.2350060733397147e-264,8.9411258367614712e-255,4.2499116096960068e-236,5.0508445905808393e-252
3.009174674445094e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999986,0.099999999999999922,0.0,0.099999999999999964,0.0,7.3585102118457026e-62,0.0,3.9172141786578738e-57,0.0,1.1312240290313941e-36,6.1679677465669324e-111,6.656587834175002e-47,4.6097009305473947e-88,0.0,0.0,0.0,0.0,7.2967770630329944e-128,8.6424988091345563e-17,5.2179703257401739e-17,3.7772276233459914e-25,3.7772276233573101e-25,3.2619082766887396e-40,3.1874340695929933e-52,9.7967991621477523e-77,1.3502986207132375e-72,9.1569071321044778e-75,9.7547036114730714e-107,1.1766057561671185e-78,2.470573881394948e-143,6.4477120994990059e-146,2.100971799760149e-67,1.6653090708376019e-126,5.5372161670692555e-182,1.5209636486377808e-197,1.9847080457842993e-200,4.7290040212967063e-49,9.9235402289214963e-201,4.341455763668249e-201,2.7805039305232588e-210,1.5193958770411152e-236,3.6115281649822291e-252,4.7126892303019835e-255,2.3355100996129784e-255,2.2989471666304221e-260,8.32183582183551e-251,1.9777477460200497e-232,4.701007481339219e-248
6.104325768160048e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999972,0.099999999999999839,0.0,0.099999999999999908,0.0,6.0827196128742699e-61,0.0,3.2388284343908436e-56,0.0,4.6214192678928269e-36,4.1514928943842351e-109,2.7194333293731388e-46,1.5300660804084241e-86,0.0,0.0,0.0,0.0,4.8298168772665513e-126,1.7531926155643057e-16,1.0585025517919164e-16,7.6623760359071565e-25,7.6623760359533966e-25,1.3325959644687889e-39,2.6132510268986937e-51,1.6233363098335277e-75,2.2380209376025135e-71,1.5040247460903378e-73,6.5044684823345844e-105,1.9504775790180414e-77,3.2714571540061619e-141,8.5378599821466161e-144,1.7225036168087758e-66,2.242605321512959e-124,2.9750523673431071e-179,1.6344501776052142e-194,2.1327968099924964e-197,1.9319524461284486e-48,1.0663984049962482e-197,4.665411100791717e-198,5.9761007051633376e-207,6.6244579376496096e-233,3.1492238403451859e-248,4.1094275326766473e-251,2.0365557795606322e-251,4.0101499295946345e-256,7.2580374185511011e-247,8.6245774825410025e-229,4.1000674543859663e-244
1.2294627955589956e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999944,0.099999999999999659,0.0,0.099999999999999797,0.0,4.9457973904288048e-60,0.0,2.6337614937153471e-55,0.0,1.8680515582094266e-35,2.7241881405118269e-107,1.0992384317307077e-45,4.9859472276504182e-85,0.0,0.0,0.0,0.0,3.1431045260203596e-124,3.5310780848569076e-16,2.1319135902243977e-16,1.5432672860958649e-24,1.543267286114556e-24,5.386565952107737e-39,2.1162784346766048e-50,2.6428565311776725e-74,3.6440369277747036e-70,2.4380889262227172e-72,4.2486590320893657e-103,3.1761249283544136e-76,4.2584975886838625e-139,1.1113841458091087e-141,1.3949280878070348e-65,2.9437427085787784e-122,1.5600459901561708e-176,1.7141721523040455e-191,2.2368261500479199e-194,7.8092606784739535e-48,1.11841307502396e-194,4.892980724194267e-195,1.2535350242723424e-203,2.7986202342243353e-229,2.6609011665851571e-244,3.4722144471359132e-247,1.7207688472615373e-247,6.7773631870342266e-252,6.1332202061394094e-243,3.6439766722524579e-225,3.4646578849759649e-240
2.4675232330449772e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999886,0.099999999999999298,0.0,0.099999999999999589,0.0,3.9887383514638226e-59,0.0,2.1242240591957773e-54,0.0,7.5113531555895031e-35,1.7653119888054344e-105,4.4199893877265275e-45,1.6100050258305559e-83,0.0,0.0,0.0,0.0,2.0283717426013612e-122,7.0868490234057182e-16,4.2787356670760927e-16,3.0973266510778265e-24,3.0973266511529828e-24,2.1659144783336964e-38,1.7033649962676916e-49,4.265321701494682e-73,5.8814902929274819e-69,3.9264670535367719e-71,2.7469425548281317e-101,5.1265032766992987e-75,5.4967203960400638e-137,1.4345359542674394e-139,1.1227594810571113e-64,3.8155454701414931e-120,8.082961513560242e-174,1.7763254879865776e-188,2.3179301432454943e-191,3.1400693713142924e-47,1.1589650716227472e-191,5.0703978026778084e-192,2.5979901542587079e-200,1.1640980100028611e-225,2.2136304576228838e-240,2.8885701401165817e-243,1.4315265827197924e-243,1.1276899004350505e-247,5.102547902070391e-239,1.5158049395312762e-221,2.8824308026908596e-236
4.9436441080169405e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999772,0.09999999999999859,0.0,0.099999999999999159,0.0,3.2038812420846278e-58,0.0,1.7062922845285782e-53,0.0,3.0123885688095713e-34,1.136836863664981e-103,1.7726134333354069e-44,5.1753346672635882e-82,0.0,0.0,0.0,0.0,1.3035511595082019e-120,1.4198390900357776e-15,8.5723798207264118e-16,6.2054453809284079e-24,6.2054453812298193e-24,8.6862857867959709e-38,1.366843135287754e-48,6.854050455072933e-72,9.4513970073811966e-68,6.3028492020431543e-70,1.7669949952070758e-99,8.2383340666968972e-74,7.0652645786239542e-135,1.8438951473370595e-137,9.0094377460851539e-64,4.9145594223083147e-118,4.1630943794384228e-171,1.8297880962224158e-185,2.3876935914599415e-188,1.2593082600308206e-46,1.1938467957299708e-188,5.2230055896517051e-189,5.3523833146713292e-197,4.8049021714259776e-222,1.8273869735261351e-236,2.3845603623754024e-239,1.1817485312304832e-239,1.8619001531902238e-243,4.2123416578117095e-235,6.2567588422712157e-218,2.3795530401144569e-232
