Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),C2H6X(52),CH4OX(60),C2H4X(205),C2H4X(65),CH2X(27),CHX(28),CX(26),OCX(25),CH2OH(40),CH2OX(54),COX(50),CH2(T)(34),CH2O2(181),O(29),C3H6O(210),acetyl(43),C2H3(46),C2H2(334),C2H2(358),C2H2X(360),C4H6(374),C3H5(367)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.47460436880409e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.8104837803152295e-54,4.1740642393409531e-36,2.1954098042907851e-82,3.0695329253265215e-54,1.0530259565542426e-64,6.596931102961439e-20,-1.8646493786050577e-105,6.5969311029613884e-20,5.2684613858227949e-72,7.0883518888024411e-70,7.4680846028264331e-85,6.7706338629779669e-107,1.5034992256037164e-37,2.9319527273759922e-85,3.6027651784373138e-18,1.0667147362899237e-19,4.2704167848896707e-22,1.2660993123998989e-37,4.6881490100715856e-37,4.2704167848843396e-22,5.5271639712995677e-54,3.574846565676206e-52,5.770193058840688e-98,6.8068022882711319e-71,1.5227094338923103e-86,1.3247382356268831e-114,6.7312650427618224e-102,9.2447603695190332e-36,4.3667692232133573e-46,8.788504097466279e-53,1.5591520831310006e-83,6.332264646230249e-86,2.3367976664619701e-81,1.0283524720236113e-99,1.0175747554788846e-40,2.7948440889890873e-56,1.0117616560873501e-28,-6.1892161906571812e-177,3.7008204863156245e-118,4.2375057744953643e-104,3.5998529047387645e-117,2.3287930458928889e-132,8.5786227670786517e-134,9.5784373112986665e-229,-1.6401149235540916e-151
2.0928892232651454e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,8.0854063440180346e-53,2.5211348005619361e-35,9.0594200957278492e-81,4.6386781173866372e-53,2.355576936255954e-63,1.8471407088292198e-19,3.607450763162901e-104,1.8471407088291885e-19,1.4862966092159738e-70,2.2286912464292969e-68,3.0817260123964487e-83,5.0967642141422285e-105,9.0811353226471784e-37,1.5181702448383406e-83,1.0087742499624477e-17,2.9868012616117872e-19,1.1957166997691637e-21,7.647239846892315e-37,2.8316420020798376e-36,1.1957166997659435e-21,6.5618490666972496e-53,4.2440578427707764e-51,5.4357708158050048e-96,1.9196271384155383e-69,8.770026707952948e-85,2.2595764149323686e-112,6.3411420896003158e-100,5.5838352629283142e-35,5.1842284186970106e-45,1.0462510297949046e-51,9.510831885343633e-82,2.6354625503928202e-84,9.6428609709612759e-80,7.7411807889690279e-98,6.1461515230925139e-40,3.318038891363075e-55,2.8329326419159179e-28,1.1791612837696882e-174,7.733864095140004e-116,3.9919132663189873e-102,6.1401886818225467e-115,7.1731944255012175e-130,2.6424043613483336e-131,1.4203477497417568e-226,2.0012220004809949e-149
4.783746796034618e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,7.9382998944215773e-52,1.2138178808003484e-34,3.5838165505234842e-79,4.9900782409733636e-52,4.6542230448709738e-62,4.2220359058954379e-19,3.8090089606534979e-102,4.2220359058952858e-19,3.2332935220837992e-69,4.9720875705612364e-67,1.2191001554831984e-81,4.0298582681185976e-103,4.3721757480567025e-36,6.6295164965817566e-82,2.3057697141998778e-17,6.8269743122555139e-19,2.73306674232978e-21,3.681816800454286e-36,1.3633137321237165e-35,2.7330667423142743e-21,6.4424623248550089e-52,4.1668411569521344e-50,4.7513271706421423e-94,4.175608321699105e-68,3.9328480767295791e-83,3.9495619767969328e-110,5.5426988590616893e-98,2.688376315064359e-34,5.0899061969616311e-44,1.0333154899549383e-50,4.3187671717277803e-80,1.0467452306517492e-82,3.8146198791567007e-78,6.1207189692466943e-96,2.9591073889326711e-39,3.2576702357628963e-54,6.4752746330584011e-28,4.7778952427407093e-171,1.3996422904439646e-113,3.4892725627728145e-100,1.0732567213847827e-112,2.5066681124719399e-127,9.2338648027449957e-129,4.777638994984114e-222,1.6141825641979971e-146
1.0165461941573563e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,7.0213363583346885e-51,5.3010615839630006e-34,1.2790387094723227e-77,4.5867416179990382e-51,8.2819411179461101e-61,8.9718263000281386e-19,3.0108071315623728e-100,8.9718263000274722e-19,5.9941901359129559e-68,9.3121697480047862e-66,4.3508818013643924e-80,2.8803742727494704e-101,1.9094440165178517e-35,2.4680914766106224e-80,4.8997606426747306e-17,1.4507320413542966e-18,5.8077668274519035e-21,1.6079461267430952e-35,5.9539492427381989e-35,5.8077668273841852e-21,5.6982849676582801e-51,3.6855238153494331e-49,3.5447668956258501e-92,7.7408741024462672e-67,1.4796357400916069e-81,5.8989868022929315e-108,4.135176281641108e-96,1.1740845665240811e-33,4.5019643781707358e-43,9.2480726832920418e-50,1.6497438477790305e-78,3.7426198662903661e-81,1.3614107205791911e-76,4.3748341198633313e-94,1.2923199394582597e-38,2.8813723898223421e-53,1.3759958693284757e-27,1.4121470222486978e-167,2.1252359636152785e-111,2.6032006271339993e-98,1.6029947807165239e-110,7.4914579520559784e-125,2.7596437502587692e-126,1.2441305024217445e-217,1.0249809557549983e-143
2.0928892232651456e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996523,0.022821567693054285,0.0,5.9018562766088924e-50,2.2130888596985632e-33,4.3215829960843107e-76,3.9240540216804654e-50,1.3968703817167543e-59,1.8471407088294592e-18,2.1339900474098515e-98,1.8471407088291819e-18,1.0302655928858901e-66,1.6084457466410305e-64,1.4700645852168355e-78,1.9479986379249515e-99,7.9715528941610902e-35,8.503097469844481e-79,1.0087742499624403e-16,2.9868012616117867e-18,1.1957166997699715e-20,6.7128585543012658e-35,2.4856566050925095e-34,1.1957166997417004e-20,4.7897518625549982e-50,3.0979048362697505e-48,2.445203443629939e-90,1.3304584780091516e-65,5.1235087966036612e-80,8.1428207315469622e-106,2.8524717071036298e-94,4.901571944275462e-33,3.7841723038926909e-42,7.9561129669304243e-49,5.856051344613249e-77,1.265666929390042e-79,4.5998990035317088e-75,2.9587026196921641e-92,5.395181353549728e-38,2.4219670390903112e-52,2.8329327125503037e-27,3.4639463691080037e-164,2.9585354090209726e-109,1.7957048588397152e-96,2.2127357748808943e-108,2.068777155546975e-122,7.6207968924835274e-124,2.5572983111690282e-213,5.8269660766316375e-141
4.245575281480724e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996512,0.022821567693054285,0.0,4.8386983509900352e-49,9.0411901049819788e-33,1.4208421356300643e-74,3.24448374888523e-49,2.2943636676588379e-58,3.747056866483171e-18,1.43608982867143e-96,3.7470568664820394e-18,1.7076041582690045e-65,2.6724566643183791e-63,4.8332504579640727e-77,1.2814587455977665e-97,3.2566394626352977e-34,2.8218926865014321e-77,2.0463706213523611e-16,6.0589397021267654e-18,2.4255967338209582e-20,2.7424217545942669e-34,1.015471828137375e-33,2.4255967337054623e-20,3.926927961233414e-49,2.5398495523004319e-47,1.623886174973853e-88,2.2051373560876449e-64,1.7046236484609657e-78,1.0818548028000834e-103,1.8943574516837309e-92,2.0024520719944441e-32,3.1024930525467028e-41,6.8222691898871587e-48,2.0384552649580132e-75,4.1630517955030213e-78,1.5123460689401938e-73,1.9463336748123715e-90,2.2041076233580585e-37,1.9856747925015185e-51,5.7468065237001856e-27,7.7541410205521273e-161,3.9476271869264884e-107,1.1925471077678536e-94,2.939839773347249e-106,5.4979343063854826e-120,2.0252853511478481e-121,4.6823586001092404e-209,3.1412221267524088e-138
8.55094739791188e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999949,0.11866996602996491,0.022821567693054282,0.0,3.9185033768260595e-48,3.6545935966264076e-32,4.608468908996618e-73,2.6383603015665008e-48,3.7192619583687226e-57,7.546889181792284e-18,9.4227513923168522e-95,7.5468891817877065e-18,2.7804025537851401e-64,4.356778855856994e-62,1.567653027340276e-75,8.3145442506073431e-96,1.3163857399859759e-33,9.1947668774129168e-76,4.1215633641321477e-16,1.2203216583156716e-17,4.8853568019286301e-20,1.1085307207431544e-33,4.1046994891397162e-33,4.8853568014617774e-20,3.1801280749911005e-48,2.0568360174990815e-46,1.0585480982641525e-86,3.5904945398299679e-63,5.5613436589388268e-77,1.4106405235065136e-101,1.23485777771061e-90,8.0942314266362095e-32,2.5124792592894184e-40,6.0097325800587317e-47,7.2293086187519834e-74,1.3505684274491861e-76,4.905257681099102e-72,1.2628481033841669e-88,8.9093554201049911e-37,1.6080507424266714e-50,1.1574554644824854e-26,1.6596870531066436e-157,5.1585052368746498e-105,7.7737497398169969e-93,3.8332843799103796e-104,1.4338644578982674e-117,5.2819559502885537e-119,8.104846961573745e-205,1.6499658241977364e-135
1.7161691630774193e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999905,0.11866996602996449,0.022821567693054275,0.0,3.153952420511981e-47,1.4694960117168702e-31,1.4846808977724298e-71,2.127933164372276e-47,5.9897553799491297e-56,1.5146553812417258e-17,6.1058159208147271e-93,1.5146553812398847e-17,4.4875905215312925e-63,7.0362094890547151e-61,5.0504019311451904e-74,5.3578644571334928e-94,5.2931291637644393e-33,2.9689410555467508e-74,8.2719488496915055e-16,2.4491770345216582e-17,9.8048769381667726e-20,4.4573532730333841e-33,1.6504816113237175e-32,9.8048769362895771e-20,2.5596437388401392e-47,1.655520567572166e-45,6.8369763838655111e-85,5.7950726630488807e-62,1.7968709741662501e-75,1.8223472973884835e-99,7.9757296229665358e-89,3.2546548465483492e-31,2.0222618045571741e-39,5.6177104366688842e-46,2.7083377477979294e-72,4.3515052912258031e-75,1.5802937533582971e-70,8.1377508651145058e-87,3.5824126296574659e-36,1.2942988343135003e-49,2.3230052882373806e-26,3.4745402944404035e-154,6.6713093269448067e-103,5.0209285220471702e-91,4.952059233703781e-102,3.7048321899982882e-115,1.3647566425637773e-116,1.3646612740969456e-200,8.556108783296827e-133
3.438318009649882e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999821,0.11866996602996364,0.022821567693054261,0.0,2.5308481896841401e-46,5.8933362551394923e-31,4.7670106915248097e-70,1.7092716395824917e-46,9.6148795957364519e-55,3.0345883073694198e-17,3.9319788044015872e-91,3.0345883073620372e-17,7.2114452132817818e-62,1.1310501251006628e-59,1.6215774265789302e-72,3.440790264074707e-92,2.1227815356808755e-32,9.543406276241588e-73,1.657271982080935e-15,4.9068877869336208e-17,1.9643917210734247e-19,1.7875980223858353e-32,6.6191694562670341e-32,1.9643917203205859e-19,2.0539528983993626e-46,1.3284509944323577e-44,4.3956923123871945e-83,9.3125261965309937e-61,5.7777283675860271e-74,2.3433655072041424e-97,5.1278300665708397e-87,1.3052621531368798e-30,1.6227376056281236e-38,5.760552482068e-45,1.1101845095980362e-70,1.3972518634377367e-73,5.0739895809224226e-69,5.2260175977895177e-85,1.436707691815191e-35,1.0385928202675741e-48,4.6541057338670176e-26,7.1942835600565285e-151,8.5833640522239461e-101,3.2281019658916031e-89,6.3678777445858926e-100,9.5282965466547936e-113,3.5099581688067677e-114,2.2665060392302787e-196,4.4086589006240983e-130
