Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),H2X(31),C2H6X(34),CX(24),C2H5X(33),C3H8X(38),CH2(48),HOCXO(25),OCX(21),COX(32),HOX(23),OX(20),CH4OX(41),H2OX(30),CH3OX(39)
2.121571194916258e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.3315803108438504e-98,0.10000000000000001,1.0900175390469869e-98,4.4885823304488735e-68,1.9718215570116703e-46,4.7145746736981321e-63,0.0,8.3146110915543506e-41,-5.5717014561955173e-121,4.8926563578448466e-51,1.1446922113572622e-97,7.5807332821267651e-96,0.0,0.0,5.1494505927470637e-81,0.0,3.0466288117635397e-18,1.1036543308411108e-18,2.663030579889187e-27,2.6630305798891034e-27,2.3975068676802289e-44,2.829574751501953e-58,1.5430921821168246e-84,1.6786406967734943e-79,1.3377943084757729e-64,2.229238312625719e-86,-2.047741513882684e-137,7.1436711955142186e-101,3.4758364486971599e-53,1.4582617901126075e-39,1.8185502610148804e-63,2.4749088109588003e-61,1.4582619872947631e-39,1.9610498719605314e-112,1.8802658929635998e-115,1.4219449147935908e-113
5.940399345765523e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,2.0106258722936969e-97,0.10000000000000001,2.4419940877812722e-97,6.7232567694987499e-67,1.1909800649397969e-45,7.1246652468916262e-62,0.0,5.0220250992986769e-40,2.2089247938998385e-120,2.9551644401382881e-50,5.94217632826242e-96,2.3835739021709138e-94,0.0,0.0,6.113597725463003e-80,0.0,8.5305606729370597e-18,3.0902321263549979e-18,7.4564856236897226e-27,7.4564856236892218e-27,1.4480941480787988e-43,3.3592711449829921e-57,4.314707212963504e-83,4.7340353474117026e-78,8.080276568226689e-64,6.305114563194888e-85,1.2565303830946778e-136,7.6472888777309091e-86,2.0994052150104551e-52,4.0831323734452723e-39,2.1589826117415527e-62,1.4948903084668241e-60,4.0831335644253373e-39,1.1294969462518074e-110,7.7703603162919012e-114,6.8053729071107725e-112
1.3578055647464054e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,2.1625721443078089e-96,0.10000000000000001,4.8281836040741879e-96,7.2119563584127786e-66,5.7340547553617578e-45,7.6643897555355156e-61,0.0,2.4178889054237779e-39,2.7746394847893895e-118,1.422784468861281e-49,2.5965589210194689e-94,5.31795340384718e-93,0.0,0.0,6.0027265543424082e-79,0.0,1.9498424395280674e-17,7.0633877173823194e-18,1.7043395711290792e-26,1.7043395711288375e-26,6.9719499712132037e-43,3.2981523303502798e-56,9.3570881119317366e-82,1.0297560923286413e-76,3.8903042665974857e-63,1.3724900846944447e-83,3.6836665308844421e-134,6.8825599899586333e-85,1.0107732392771895e-51,9.3328709846317288e-39,2.1197013840196732e-61,7.1977156219838186e-60,9.3328767186864844e-39,5.0654493055339929e-109,3.0759827197644766e-112,3.5382207530610408e-110
2.8853368250861114e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,1.9875693919940719e-95,0.099999999999999992,8.5948974699129192e-95,6.6215577517090331e-65,2.5042109672302842e-44,7.044894643409817e-60,0.0,1.0559556086271673e-38,2.1970649639846445e-116,6.21367357446295e-49,9.6692976897197975e-93,9.9611839620407769e-92,0.0,0.0,5.3099841643150049e-78,0.0,4.1434151839954208e-17,1.5009698899435164e-17,3.6217215886492915e-26,3.6217215886482349e-26,3.0448337219529569e-42,2.91717838580762e-55,1.7325572555386887e-80,1.9089942479004566e-75,1.6989971365666826e-62,2.5451205955449641e-82,5.8506715288384748e-132,5.5825208807488471e-84,4.4143122898046313e-51,1.9832337985099099e-38,1.8748508966362735e-60,3.1438376829571517e-59,1.9832363027208775e-38,1.9059832614682278e-107,1.0982379393233404e-110,1.4112574102526928e-108
5.940399345765523e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,1.7006098880224629e-94,0.099999999999999978,1.4501900262326922e-93,5.6620310620995761e-64,1.0454576203727572e-43,6.0270556879529697e-59,0.0,4.4084068007399978e-38,1.5574587555941695e-114,2.5940864009293335e-48,3.3317138795190634e-91,1.7209774719704961e-90,0.0,0.0,4.4644391469578785e-77,0.0,8.5305606729246474e-17,3.0902321263533656e-17,7.4564856236897128e-26,7.4564856236853024e-26,1.2711581412432163e-41,2.4520642064540552e-54,2.9762190493784762e-79,3.2810733619984731e-74,7.0929707067758902e-62,4.3750434412741257e-81,8.3011469286701814e-130,4.4736639934949251e-83,1.842888485062548e-50,4.0831231098491296e-38,1.5759235105604871e-59,1.3128297953058772e-58,4.0831335644253337e-38,6.6014407033243349e-106,3.7120683043406864e-109,5.0147029441687534e-107
1.2050524387124347e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,1.406070879017367e-93,0.09999999999999995,2.3832138571907426e-92,4.6803620866377778e-63,4.2710259998768056e-43,4.9832861946231856e-58,0.0,1.8009780208732454e-37,1.048175414456653e-112,1.0597689377346222e-47,1.1057566315409556e-89,2.8608610947977282e-89,0.0,0.0,3.6619839589153155e-76,0.0,1.7304851650761186e-16,6.2687565991701815e-17,1.5126013693770549e-25,1.5126013693752526e-25,5.1930957756629629e-41,2.0103503839290509e-53,4.9316068220677339e-78,5.4381384749635228e-73,2.8977035237643596e-61,7.2518377935333297e-80,1.1177665232454194e-127,3.5796959237470006e-82,7.5288007810253965e-50,8.2828853775742441e-38,1.2920346238593126e-58,5.3661120978498305e-58,8.2829280878342425e-38,2.1974228467646483e-104,1.2210922838535604e-107,1.6889196136193387e-105
2.427077446984199e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999953,0.099999999999999659,1.1433796153312138e-92,0.099999999999999881,3.8670304714921828e-91,3.8055517959981897e-62,1.72640931357878e-42,4.0523255731357614e-57,0.0,7.2798411119734797e-37,6.8777155751371113e-111,4.2837554887983158e-47,3.6030818060521104e-88,4.6685924725231494e-88,0.0,0.0,2.9684315731457165e-75,0.0,3.4853433606346597e-16,1.262580554479229e-16,3.046506983393216e-25,3.0465069833859326e-25,2.0991323429778312e-40,1.6280338627570662e-52,8.0288467242358211e-77,8.8545987610381505e-72,1.1712928817481208e-60,1.1808166433879753e-78,1.4671529139367062e-125,2.8638332120973736e-81,3.0432616507284077e-49,1.6682344493720675e-37,1.0463187904311494e-57,2.1713109993750968e-57,1.6682517134652034e-37,7.1761634934343273e-103,3.9643613568657521e-106,5.5429684107864767e-104
4.871127463527729e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999905,0.099999999999999312,9.22186785504869e-92,0.099999999999999756,6.239464015107657e-90,3.0691399911918353e-61,6.9417541306247019e-42,3.2683473802948459e-56,0.0,2.9271920932141136e-36,4.4567396811579532e-109,1.7224792414046914e-46,1.1634351311642176e-86,7.554863338900269e-87,0.0,0.0,2.393859208057913e-74,0.0,6.9950597517166771e-16,2.5339903435990402e-16,6.1143182114255209e-25,6.11431821139623e-25,8.4405188278954363e-40,1.3103832884884309e-51,1.2957797616632708e-75,1.4291358099222439e-70,4.7096752410304825e-60,1.9058775021016586e-77,1.9016069787826293e-123,2.291074217655536e-80,1.223682124902397e-48,3.3481001052874475e-37,8.4216139381488197e-57,8.7487817322536261e-57,3.3481695228287535e-37,2.3231816022616586e-101,1.2795404320337791e-104,1.7962168908351316e-102
9.759227496614787e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999811,0.099999999999998604,7.4075180262862988e-91,0.099999999999999506,1.0053134510840576e-88,2.4652301811880819e-60,2.783904324715059e-41,2.6253143561845603e-55,0.0,1.1739349512402686e-35,2.8700421591641324e-107,6.9079121557028456e-46,3.7397934605176497e-85,1.219268435158034e-85,0.0,0.0,1.9283152883674249e-73,0.0,1.4014492533740451e-15,5.0768099218202222e-16,1.2249940667490048e-24,1.2249940667372587e-24,3.3850255613982355e-39,1.0515000639494397e-50,2.0822199752548995e-74,2.2965828803119235e-69,1.8887567932816997e-59,3.06272188889003e-76,2.4493057790692332e-121,1.8328601410790657e-79,4.9075126252275449e-48,6.7077267511233478e-37,6.7577025297733508e-56,3.5231190511756321e-56,6.7080051415558171e-37,7.4993862123725546e-100,4.1234413047178559e-103,5.7842244550486897e-101
1.9535427562788905e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999962,0.099999999999997202,5.938040684233086e-90,0.099999999999998992,1.6230946618493577e-87,1.9761591761130899e-59,1.1149741095629943e-40,2.1045144051778557e-54,0.0,4.7018630171145331e-35,1.8425207678499668e-105,2.7667680101292511e-45,1.1994286946527289e-83,1.9709187249513491e-84,0.0,0.0,1.5568472390713764e-72,0.0,2.8053358097226956e-15,1.0162449078188827e-15,2.4521185579618797e-24,2.4521185579148332e-24,1.3557758445015131e-38,8.4247961505045398e-50,3.3387462248495152e-73,3.6825233162650012e-68,7.5646095488076463e-59,4.9110338158716572e-75,3.1449066355752795e-119,1.4662881964932913e-78,1.9655647944130011e-47,1.3426561404900248e-36,5.4142055160339451e-55,1.4226733891685795e-55,1.3427676379009808e-36,2.4244027512932356e-98,1.3313900433299456e-101,1.8568762044985439e-99
