Time (s),Volume (m^3),N2,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(56),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(85),C2H6X(60)
0.0,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.073010519766373e-24,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,9.7216015010273568e-140,2.7959701502372514e-65,1.5045735160216305e-46,1.4736819410575268e-74,7.5361987772852484e-58,4.0495273454561245e-49,4.1779537572646839e-29,-2.904506247029411e-114,4.1779536558637842e-29,2.6422575711267151e-74,2.924686015484359e-70,3.4801123539261924e-75,3.0089277280774615e-106,4.0495709742460832e-49,5.1282984910922293e-92,2.5399085013539726e-18,7.4085410398985488e-19,1.6789853637185366e-23,1.8465986825462584e-37,1.6789853637186192e-23,5.9497264341663364e-54,1.0068254902356091e-45,1.3981253760035041e-74
2.2604429455345845e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.10000000000000001,0.10000000000000001,7.5016542258904958e-138,5.6298755194671791e-64,9.0876240368483545e-46,1.7495552379702159e-73,1.1388703592226024e-56,2.445914573974693e-48,1.1698270848880064e-28,-2.7501997882510721e-114,1.1698270236418627e-28,3.9929931906419448e-73,9.1956804542749396e-69,4.1315894752480727e-74,6.7308511085931085e-105,2.445966370074133e-48,1.4462669607690527e-90,7.1117438037911189e-18,2.074391491171594e-18,4.7011590184116342e-23,1.1153456042565075e-36,4.7011590184121349e-23,7.0635152226108632e-53,6.0812261035345626e-45,3.9429372603875357e-73
5.166726732650479e-23,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999992,0.10000000000000001,8.1758027328436902e-136,1.0421499509991498e-62,4.375299784705244e-45,1.7177237868914856e-72,1.2251447628245937e-55,1.1776026380374319e-47,2.6738906346266618e-28,4.8381788117993286e-114,2.6738903397528439e-28,4.2954779876829503e-72,2.051505721678462e-67,4.0564192346037507e-73,1.3299028141864697e-103,1.1776534917550084e-47,3.1459455941468034e-89,1.6255414408665398e-17,4.7414662655350722e-18,1.0745506327796755e-22,5.3699089688230226e-36,1.0745506327799165e-22,6.9350011315669e-52,2.9278487393723775e-44,8.5767497865721189e-72
1.0979294306882267e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362560000004,0.099999999999999978,0.10000000000000001,6.6885367903871123e-134,1.7923792116630851e-61,1.9108083654645894e-44,1.5193073783818163e-71,1.1261191108906536e-54,5.1429006171767852e-47,5.6820182597662892e-28,3.0127683240561442e-112,5.6820169719748578e-28,3.9482838816857815e-71,3.8422431719546367e-66,3.5878572096252467e-72,2.3664912147399425e-102,5.1433504125497468e-47,5.8320522500501394e-88,3.4542755618413874e-17,1.0075615814262029e-17,2.2834200946562692e-22,2.3451803268115318e-35,2.2834200946573229e-22,6.1339299643636163e-51,1.2786685934920234e-43,1.589984864398869e-70
2.2604429455345845e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999999,0.099999999999999936,0.10000000000000001,4.8141096097376159e-132,2.9712062980567749e-60,7.9772487829963081e-44,1.2770696346737075e-70,9.6341860824745311e-54,2.1470601981635935e-46,1.1698275612694814e-27,1.0744026102559043e-110,1.1698270236419081e-27,3.3778409358437807e-70,6.6365195810654827e-65,3.0158107313594948e-71,3.9914340472247438e-101,2.1474382782767678e-46,1.002381031202178e-86,7.1117438037910511e-17,2.0743914911715938e-17,4.7011590184077342e-22,9.790666214660306e-35,4.7011590184121325e-22,5.1559377318545541e-50,5.3381907372643968e-43,2.7327777390107246e-69
4.5854699752273005e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999988,0.099999999999999867,0.099999999999999992,3.2635957280868515e-130,4.8377962499676579e-59,3.25896641953034e-43,1.047019234113444e-69,7.9657313598675198e-53,8.7714449813217868e-46,2.3730798729148938e-27,3.6104897791037233e-109,2.3730776765308335e-27,2.7928664411221729e-69,1.1026676541241945e-63,2.4725447668998062e-70,6.555944773252974e-100,8.7745447105159104e-46,1.6613743219179278e-85,1.4426680287690254e-16,4.2080513106623736e-17,9.5366368659037815e-22,3.9998066101731964e-34,9.5366368659217487e-22,4.2271492608847302e-49,2.1808259680730723e-42,4.5293786899655711e-68
9.23552403461273e-22,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999971,0.099999999999999714,0.099999999999999964,2.1494714948889932e-128,7.8079815149377833e-58,1.3173263335344641e-42,8.4790395377417894e-69,6.4776004503027571e-52,3.5455611371057092e-45,4.7795878604445476e-27,1.1835806323274946e-107,4.7795789823090049e-27,2.2711164971711191e-68,1.7976265750894925e-62,2.0023323501914285e-69,1.0627476660437016e-98,3.5480713781729148e-45,2.705121873866871e-84,2.9056553255488157e-16,8.4753709496439276e-17,1.920759256086833e-21,1.6167857831667457e-33,1.9207592560940944e-21,3.4232550671810949e-48,8.815254288951257e-42,7.3749190317874531e-67
1.8535632153383595e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999932,0.099999999999999423,0.099999999999999922,1.3959848825385153e-126,1.2546933708656035e-56,5.2969112520028198e-42,6.8246788565049264e-68,5.224419430323843e-51,1.4256568170303131e-44,9.5926172924591755e-27,3.8332429992252199e-106,9.5925815938666335e-27,1.8317441066713801e-67,2.9031717202183518e-61,1.6116536776624959e-68,1.7115248233510477e-97,1.4276772774270721e-44,4.3660923073511216e-83,5.8316299191081946e-16,1.701001022760701e-16,3.8549503950687265e-21,6.501024524721792e-33,3.8549503950979232e-21,2.7553334936758779e-47,3.5445806417977658e-41,1.1903149050653965e-65
3.713584839092532e-21,0.09977366400000001,0.80000000000000004,0.0,0.28934362559999854,0.09999999999999884,0.099999999999999839,9.0070872194901875e-125,2.0118485776892159e-55,2.1242983245876241e-41,5.4763913115260895e-67,4.1965378024933419e-50,5.7175397464761677e-44,1.9218729984309706e-26,1.2340226277213524e-104,1.9218586816987028e-26,1.4713667617383493e-66,4.6667637490416546e-60,1.2932544348409072e-67,2.7473843164409798e-96,5.7337526687159935e-44,7.0162405630859767e-82,1.1683579106226147e-15,3.4079288783533056e-16,7.7233326729884436e-21,2.6072015993850482e-32,7.7233326731055402e-21,2.2109816024660351e-46,1.4215399149335324e-40,1.9128040975469183e-64
