Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),C2H6X(52),CH4OX(60),C2H4X(205),CH2X(27),CHX(28),CX(26),OCX(25),C2H4X(65),COX(50),CH2OH(40),CH2OX(54)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.637101616721821e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.6159585087560583e-65,3.2910891117880604e-36,6.6985598992016992e-91,2.1490328919893835e-54,1.9334456514338153e-101,5.8577685090071421e-20,-9.1282073351038921e-106,5.8577685090071e-20,3.2655398315349424e-72,4.2394998976860793e-70,1.5820331019956708e-114,1.8343636316153163e-115,1.4333976979702289e-51,1.6136836713560508e-85,3.1990881939215197e-18,9.4719315584907712e-20,3.7919318198779699e-22,9.9827061169852188e-38,3.6964251810184978e-37,3.7919318198737658e-22,3.8696627630676355e-54,2.5028116970513871e-52,2.8199541116350131e-98,4.2315956221805101e-71,8.0867991144348453e-87,5.7487315028713109e-115,7.2891379836988076e-36,3.0572503994849614e-46,6.1508311864851376e-53,8.6037512486394258e-84,3.2896401109019606e-102,2.7861089719796986e-108,7.2966033009643932e-88,3.809818260585693e-118
1.85838845268211e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.6151123719649664e-64,1.9878178235199884e-35,7.4197826579964743e-89,3.247618501131901e-53,2.0237527138215027e-99,1.6401751825220126e-19,1.762213000595403e-104,1.6401751825219881e-19,9.2093447969621961e-71,1.3329665945872029e-68,3.1700826534701558e-112,3.6757033376294795e-113,1.7017297470275193e-50,8.3528914110804822e-84,8.9574469429802524e-18,2.652140836377416e-19,1.0617409095658755e-21,6.0295544946484832e-37,2.2326408093327918e-36,1.0617409095633362e-21,4.5940636322896088e-53,2.9713380467393981e-51,2.6556405702529772e-96,1.1933776691267541e-69,4.6575822277893803e-85,9.8022615928614563e-113,4.4026393419712203e-35,3.6295676723401897e-45,7.3201698283887948e-52,5.2467029256493285e-82,3.0979588297191973e-100,5.5828135004379563e-106,4.2024698990216245e-86,7.2160781113184129e-116
4.247745034701966e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,7.1430984935995027e-63,9.5704871370796719e-35,6.7475210985366842e-87,3.493639785846922e-52,1.8179680813149839e-97,3.7489718457646622e-19,1.8607108793459803e-102,3.7489718457645419e-19,2.0032336502845563e-69,2.9737751457500746e-67,5.7686482637370621e-110,6.6887340216653819e-111,1.670768356745613e-49,3.6471992881681032e-82,2.0474164441097702e-17,6.0620361974340943e-19,2.4268363647222079e-21,2.9029709388034146e-36,1.0749204426366076e-35,2.426836364709982e-21,4.510478916556336e-52,2.9172773140830654e-50,2.3210435669882217e-94,2.5958570962416566e-68,2.0886553614591303e-83,1.7131988659881136e-110,2.1196813253853231e-34,3.5635310596617636e-44,7.2249082666653948e-51,2.3809269080737904e-80,2.707632008690843e-98,1.0159131781561572e-103,1.8845638910286556e-84,1.2968339557894037e-113
9.026458198741678e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.2710962843441067e-61,4.1796831719708283e-34,5.159284691706525e-85,3.2112568642936686e-51,1.3708820110840266e-95,7.9665651722501689e-19,1.4707368752322873e-100,7.9665651722496451e-19,3.713657577772716e-68,5.5695517338235845e-66,8.8308476564458185e-108,1.0239346986976919e-108,1.4777756906815643e-48,1.3577608487686138e-80,4.3507599437332539e-17,1.288182691954745e-18,5.1570272750355754e-21,1.2678036768407047e-35,4.6944599798565842e-35,5.1570272749821827e-21,3.9894675220540765e-51,2.5802987471920299e-49,1.7315705166236484e-92,4.8122815703026258e-67,7.8580434870986218e-82,2.5587054259176594e-108,9.2572052364631537e-34,3.1519028592994096e-43,6.4578097347249467e-50,9.0833500112152782e-79,2.0199774884010952e-96,1.5551952740294481e-101,7.0902003668346955e-83,1.9579023214597082e-111
1.8583884526821099e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,2.1439060072141159e-60,1.7449354470700212e-33,3.657480161575613e-83,2.7472978559741044e-50,9.5050455984058563e-94,1.6401751825222012e-18,1.0424062119407911e-98,1.6401751825219826e-18,6.3828285325635306e-67,9.6200155702572912e-65,1.2527111456061361e-105,1.4525156149456533e-106,1.2421595106654954e-47,4.6776919898755391e-79,8.9574469429801936e-17,2.6521408363774157e-18,1.0617409095665119e-20,5.2928307830777933e-35,1.9598446309427897e-34,1.0617409095442215e-20,3.3533878355833002e-50,2.1688965716774544e-48,1.1944276057990326e-90,8.2710824760771069e-66,2.720990973587531e-80,3.5319131859208704e-106,3.8647009564062084e-33,2.649364257411445e-42,5.5416647415031977e-49,3.2162963583042262e-77,1.3933691125135193e-94,2.2061420739712009e-99,2.4551112794161292e-81,2.716628956672538e-109
3.769873718297994e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.5213852659655707e-59,7.1286306596973393e-33,2.5352756641353266e-81,2.2715189948489353e-49,6.3286073215045417e-92,3.3272125131169025e-18,7.0149159351816407e-97,3.3272125131160104e-18,1.0579070198210803e-65,1.5983799748747771e-63,1.7369818182781287e-103,2.0140263217499436e-104,1.018397414931702e-46,1.5523554247290692e-77,1.8170820941473966e-16,5.3800571252227545e-18,2.1538172736935435e-20,2.1622940756383519e-34,8.0066047988120598e-34,2.1538172736024801e-20,2.7493099505180059e-49,1.7781924486725268e-47,7.9322532167302366e-89,1.3708712631596149e-64,9.0529083580735654e-79,4.692456425361832e-104,1.5788564416613342e-32,2.1721088660263296e-41,4.7294995870446114e-48,1.1143668372474293e-75,9.2534336613111056e-93,3.0589882550624788e-97,8.1683098686146036e-80,3.6186419492321886e-107
7.592844249529763e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996495,0.022821567693054282,0.0,5.7083278950609514e-58,2.8815064896477536e-32,1.7830808971613e-79,1.8471615221756889e-48,4.1306885146217439e-90,6.7012871743076356e-18,4.6027429285329283e-95,6.7012871743040279e-18,1.7225273372770483e-64,2.6057627690814477e-62,2.4430170758238856e-101,2.8326725512595816e-102,8.2472463030161142e-46,5.0581241411553458e-76,3.6597568938461081e-16,1.0835889702913428e-17,4.3379700019521013e-20,8.7403383742849968e-34,3.2363976741590352e-33,4.3379700015840055e-20,2.2264624781945121e-48,1.4400263476873723e-46,5.1707036100920643e-87,2.2321084768700129e-63,2.9535161345318048e-77,6.1185100162708794e-102,6.3819901655857361e-32,1.7590300429652826e-40,4.1315088246765591e-47,3.919544708358795e-74,6.0319257886643534e-91,4.3023827299748815e-95,2.6649154101360235e-78,4.724506141118518e-105
1.5238785311993301e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996457,0.022821567693054275,0.0,9.1930946272291415e-57,1.158641086161385e-31,1.3174863591660483e-77,1.489802685652032e-47,2.6696635685746528e-88,1.3449436496694422e-17,2.9825089190915809e-93,1.3449436496679914e-17,2.7801660670567022e-63,4.2083138316358847e-61,3.608964281872482e-99,4.1845856256092526e-100,6.6381013181378723e-45,1.6332376344325125e-74,7.3451064932433606e-16,2.1747554858294751e-17,8.7062754584871919e-20,3.5144516184743334e-33,1.3013412704906363e-32,8.7062754570070955e-20,1.7920506996504684e-47,1.1590584840793763e-45,3.3396592316558507e-85,3.6026320808406096e-62,9.5428150802458145e-76,7.904228497985864e-100,2.5661701693030715e-31,1.4158203584668809e-39,3.8106465046136874e-46,1.4490460489945093e-72,3.895906259811929e-89,6.3557254149794123e-93,8.6103457057718941e-77,6.1073661837580296e-103
3.053066743692038e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999838,0.11866996602996382,0.022821567693054264,0.0,1.475695966738112e-55,4.6466689703984975e-31,1.0594150397308643e-75,1.19669053605445e-46,1.7169605654947965e-86,2.6945735141489284e-17,1.9206522530971452e-91,2.6945735141431093e-17,4.4676522341380677e-62,6.7647415733309738e-60,5.8008693390823035e-97,6.726094474305955e-98,5.326658253595997e-44,5.2498964353352444e-73,1.4715805692037181e-15,4.357088516905731e-17,1.7442886371629269e-19,1.4094522863610453e-32,5.2189605330173929e-32,1.7442886365693426e-19,1.4380078260018991e-46,9.3007143851958573e-45,2.1471622987712825e-83,5.7893330386072049e-61,3.0684336371740586e-74,1.0164075471484144e-97,1.0291490068281964e-30,1.1361065885364043e-38,3.8365679161800417e-45,5.8325076721561143e-71,2.5047893787292212e-87,1.0215876412179785e-90,2.7686038317045612e-75,7.8560551056854465e-101
