Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),CH3OHX(46),H2OX(35),HO2X(135),C2H6X(39),CH2X(134),CHX(26),CXHO(27),OCX(21),COX(37),HO2(52),CH3O(58),CH2OX(40),CH2OH(57)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2216071770279437e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-2.0352051904846298e-144,8.6749113791607098e-84,4.6492221618936262e-71,1.4162610857726985e-112,7.0483028480585456e-65,1.4692619382551562e-123,2.6480631182016616e-32,0.0,4.646439949777089e-55,1.0207708881391419e-94,1.6570029338781422e-78,1.3080988153696831e-112,-1.7196548411843703e-131,5.5391549728382502e-67,3.4837914777482911e-114,3.1381124316562901e-18,3.9019272796835948e-19,1.2488634488852147e-28,2.8076619179803924e-43,1.2488634488852279e-28,3.6793271693265593e-95,2.5689078929992471e-100,5.7933666186314529e-49,1.6155810750760756e-81,1.1042680923773322e-46,1.9277041781543312e-61,4.2320782776768799e-97,5.5623212684528222e-107,3.3634887839395526e-129,2.6480631180438163e-32,9.8611476303654805e-111,3.3701918410307878e-140,6.9919427416028563e-108
3.4205000956782424e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,3.7578902667681545e-142,2.3769391514054246e-82,7.0192225712786713e-70,2.8311710760932563e-110,1.0651395263985749e-63,1.5378879864934513e-121,7.4145767314760714e-32,0.0,2.8064497296653618e-54,2.8787372278943816e-93,5.2098823331127919e-77,1.4454856068720941e-110,1.7403353820365598e-129,6.5760847837516702e-66,1.803310802077159e-112,8.7867148086367226e-18,1.0925396383114065e-18,3.4968176568785595e-28,1.6958277984596221e-42,3.496817656878638e-28,2.1191040633967329e-93,1.2926816122953773e-98,3.4991934376533981e-48,4.5561971246864293e-80,6.6697792779590104e-46,2.2885704003047978e-60,2.5745797388865726e-95,6.146507188304166e-105,1.2136418802419685e-126,7.4145767305226848e-32,5.6795161320455344e-109,6.3833931049783248e-138,4.0270010229833987e-106
7.81828593297884e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,1.5663881942663274e-139,4.9615362927139421e-81,7.5486591012667908e-69,5.1255230860931061e-108,1.1458284974032219e-62,1.3815083499510037e-119,1.6947603960070557e-31,0.0,1.3511847373951769e-53,6.2618822655377582e-92,1.1622960889137289e-75,1.3077666862582643e-108,3.6445298680247241e-127,6.456439036334372e-65,7.8739607055598851e-111,2.0083919562594018e-17,2.4972334589975007e-18,7.9927260728650802e-28,8.1646808574789535e-42,7.9927260728654577e-28,9.50295206275827e-92,5.418616383014755e-97,1.6847110126980262e-47,9.9107239441346879e-79,3.211211612633166e-45,2.2469319900566134e-59,1.1622883613177317e-93,5.5608718868662481e-103,4.3942875988554347e-124,1.694760395548042e-31,2.546933417511576e-107,1.1471883764190668e-135,1.8058762822979663e-104
1.6613857607580035e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999964,0.10000000000000001,5.0417616883339222e-137,9.0458879365349939e-80,6.9376844895961899e-68,7.7664767945802219e-106,1.0532137979796817e-61,1.0417591841236043e-117,3.6013658425442217e-31,0.0,5.900978736216896e-53,1.1608474390199213e-90,2.1768519407255479e-74,9.8973754410309381e-107,5.8569646146646325e-125,5.7106472107849476e-64,2.9312781469480835e-109,4.2678329070494319e-17,5.3066211003696885e-18,1.6984542904837443e-27,3.5657306358268021e-41,1.6984542904839089e-27,3.5752480732055845e-90,1.9828972907376938e-95,7.3575756056619416e-47,1.8372811914232645e-77,1.4024204773190907e-44,1.9873858995098298e-58,4.3885796982011946e-92,4.2085128058707352e-101,1.3324099799896969e-121,3.6013658405395889e-31,9.5822000715220073e-106,1.7319740706721447e-133,6.7941579165042317e-103
3.4205000956782424e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999922,0.10000000000000001,1.44279558190581e-134,1.5437782274781118e-78,5.9350170502248758e-67,1.0797370760492751e-103,9.0104657813222938e-61,7.2230640331875187e-116,7.4145767388916288e-31,0.0,2.4635424613718062e-52,1.9952001498724998e-89,3.7599703827469974e-73,6.8759473845910621e-105,8.3737812778327885e-123,4.800143072959607e-63,1.0098697661350426e-107,8.7867148086237798e-17,1.0925396383114059e-17,3.4968176568779457e-27,1.4886223489057361e-40,3.4968176568786345e-27,1.2379948967975648e-88,6.7813963642712345e-94,3.0716429811983926e-46,3.1578169406815292e-76,5.8548294257835211e-44,1.6705175975214014e-57,1.5226021658987494e-90,2.9237021628096282e-99,3.7058807598535107e-119,7.4145767305226793e-31,3.3180116584208721e-104,2.4031489524211695e-131,2.3526011780019948e-101
6.938728765518721e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999979,0.099999999999999825,0.10000000000000001,3.9020691545032854e-132,2.550447583306205e-77,4.9070625003157904e-66,1.4396722973883781e-101,7.4500273533182401e-60,4.8092284728244661e-114,1.5040998544678733e-30,0.0,1.0064374788815107e-51,3.3068979273569602e-88,6.2472470260140783e-72,4.5827898029902899e-103,1.1319234817931061e-120,3.935447303621599e-62,3.3513895594853531e-106,1.7824478611749626e-16,2.2162946948602786e-17,7.0935443896652645e-27,6.081508020759018e-40,7.093544389668077e-27,4.1188870003526717e-87,2.2429798144778241e-92,1.2548663830620441e-45,5.2338499958361629e-75,2.3918888588120677e-43,1.3695912548699015e-56,5.070900914738099e-89,1.9485631025099727e-97,9.8840329421950461e-117,1.5040998510488846e-30,1.1039233782185365e-102,3.201075946985387e-129,7.8272523046434544e-100
1.3975186105199676e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999959,0.099999999999999645,0.099999999999999992,1.026489423249495e-129,4.1463622128155388e-76,3.9902925358196967e-65,1.8804789155106623e-99,6.0582385167907313e-59,3.1389883761921331e-112,3.0293842208622127e-30,0.0,4.0681812051473807e-51,5.3844260173572611e-87,1.0184589376029777e-70,2.9927372508613458e-101,1.4886314249943861e-118,3.187027259802391e-61,1.0920014944599655e-104,3.5900006217909923e-16,4.4638048079580196e-17,1.4286997855235572e-26,2.4582427769118838e-39,1.4286997855246936e-26,1.3437890600713685e-85,7.2968020779998756e-91,5.0723705562095052e-45,8.5219679311346668e-74,9.6683971974402398e-43,1.1091305072444291e-55,1.6552265097159709e-87,1.2723922993069094e-95,2.5822787751682748e-114,3.029384207042114e-30,3.6015558540032191e-101,4.1793311369277022e-127,2.5536451999087931e-98
2.8048100784561587e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999918,0.099999999999999284,0.099999999999999964,2.6633969512412717e-127,6.6872305499731265e-75,3.2182959188020379e-64,2.4311716768864202e-97,4.8861888385467518e-58,2.0287278701353537e-110,6.079952974598564e-30,0.0,1.6357977700787824e-50,8.6904853003735905e-86,1.6448139046352757e-69,1.9347077198262218e-99,1.9313308959439281e-116,2.5651968037426961e-60,3.5260066535791356e-103,7.2051061429864905e-16,8.9588250341534814e-17,2.8673904786358846e-26,9.8844860883048062e-39,2.867390478640454e-26,4.3417844786635019e-84,2.3542672913965373e-89,2.0395778915556557e-44,1.375449059876732e-72,3.8876199899318898e-42,8.9272472440300158e-55,5.3494060192873884e-86,8.2243886773273182e-94,6.6772488552960174e-112,6.0799529190285523e-30,1.163663239316534e-99,5.40261879254186e-125,8.2508314901959908e-97
5.619393014328541e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999837,0.099999999999998562,0.099999999999999922,6.8627072641384688e-125,1.0742224237142607e-73,2.5851024940456894e-63,3.1267650249899511e-95,3.9248525974570667e-57,1.3047508285718895e-108,1.2181090565861952e-29,0.0,6.5602806864502435e-50,1.3965376575289836e-84,2.6439903129514014e-68,1.2444446861551452e-97,2.4888074709779109e-114,2.0584088844689808e-59,1.1334033316321054e-101,1.4435317185231251e-15,1.7948865486544324e-16,5.7447718648536065e-26,3.9641210156851754e-38,5.7447718648719311e-26,1.3960741599271294e-82,7.5646875146377213e-88,8.179619568645861e-44,2.2103097142727733e-71,1.5591094940140047e-41,7.1635536949298858e-54,1.7202887810129345e-84,5.2885367457656233e-92,1.7175762850582344e-109,1.2181090343001351e-29,3.7416877490399917e-98,6.9495212331731104e-123,2.6530042423950202e-95
