Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52),C2H4(47),H2X(49),C2H4X(65),CH4OX(60)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.114244592107898e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,8.3685330160570684e-66,7.8554543779571301e-42,0.0,3.787538112384158e-57,0.0,7.2341684505132233e-25,-7.8175316298110099e-118,7.234168450425131e-25,1.212736180018862e-79,1.4955969574966575e-70,0.0,0.0,1.0673665560554295e-54,7.7301878038341328e-95,2.8689670379046558e-18,1.3794248471136902e-19,5.3170486719237733e-23,6.2640575049824983e-38,5.3170486719246479e-23,2.2548814832932839e-54,3.8470883335112932e-42,6.6883263159367494e-74,1.2464860195728874e-111,5.3574631252374086e-58,1.4132512381939497e-111,2.5584441696667186e-87
1.9919884857902116e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.8720854847001782e-64,4.7446944442861142e-41,0.0,5.7237275954253975e-56,0.0,2.0255671661722449e-24,1.5089321947649908e-116,2.0255671661190365e-24,3.4201100654364932e-78,4.702396151249781e-69,0.0,0.0,1.2671775753278069e-53,4.0013678366669864e-93,8.0331077061330364e-18,3.8623895719183324e-19,1.488773628138373e-22,3.7834907329403124e-37,1.4887736281389013e-22,2.6769952969122179e-53,2.3236413534680757e-41,1.8862150343121757e-72,1.1738555727447819e-109,6.3603802222818351e-57,1.3309036888603237e-109,1.4735328559646604e-85
4.5531165389490546e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.698994518279186e-63,2.2843661331099459e-40,0.0,6.1573249585253675e-55,0.0,4.6298678085282603e-24,1.5932861239020344e-114,4.6298678082720819e-24,7.4394864378050178e-77,1.0490787136092309e-67,0.0,0.0,1.2441224576724919e-52,1.7471537950134345e-91,1.8361389042589777e-17,8.8283190215276172e-19,3.4029111500292307e-22,1.8215879223452358e-36,3.4029111500317745e-22,2.6282898567605907e-52,1.1187332874259654e-40,4.1029297005265554e-71,1.0259558302949802e-107,6.2446590187766785e-56,1.1632166943736004e-107,6.6079398076670575e-84
9.67537264526674e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,6.5822195519728779e-62,9.9764270600056872e-40,0.0,5.6596424505509434e-54,0.0,9.8384690936969678e-24,1.2593599910309114e-112,9.8384690925781675e-24,1.379155406109449e-75,1.9648083266628185e-66,0.0,0.0,1.1004122244929004e-51,6.5042155151433896e-90,3.9017951715503187e-17,1.8760177920746187e-18,7.2311861938064101e-22,7.9553530302564676e-36,7.2311861938175199e-22,2.3246926136673153e-51,4.8858021839817831e-40,7.606140188135931e-70,7.6539488202720068e-106,5.523330183594666e-55,8.6779574527482158e-106,2.4860721076746522e-82
1.9919884857902113e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,1.1101921287075807e-60,4.1649619111929904e-39,0.0,4.8419432723810703e-53,0.0,2.0255671665861095e-23,8.9258976314104984e-111,2.0255671661190321e-23,2.3704157673662966e-74,3.3937177704725274e-65,0.0,0.0,9.2496277936235749e-51,2.2408008629242604e-88,8.0331077061329717e-17,3.8623895719183326e-18,1.4887736281342632e-21,3.3212032881775431e-35,1.4887736281389006e-21,1.954044214685533e-50,2.0397262348078839e-39,1.307301160615125e-68,5.2796508583157117e-104,4.6426918249205677e-54,5.9860062524444376e-104,8.6084784017311591e-81
4.0408909283172856e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,0.0,1.8234976195376564e-59,1.7015228400831279e-38,0.0,4.0034123315832569e-52,0.0,4.1090076817496196e-23,6.0067199162662869e-109,4.1090076798414555e-23,3.9287902963202648e-73,5.638712831268847e-64,0.0,0.0,7.5834037019817702e-50,7.4364010773308491e-87,1.6295732775298158e-16,7.8351331316057558e-18,3.0200836456342498e-21,1.3568199109928905e-34,3.0200836456531954e-21,1.6020435050211452e-49,8.332947217137792e-39,2.1667558007762768e-67,3.5062424294905621e-102,3.8063592576950909e-53,3.9753365611905402e-102,2.8640949863797882e-79
8.138695813371434e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,0.0,2.9559712091107084e-58,6.8778273697124445e-38,0.0,3.2555084210156778e-51,0.0,8.2758887149993784e-23,3.9412286451304891e-107,8.2758887072862723e-23,6.3970165250696251e-72,9.1925250470160924e-63,0.0,0.0,6.1412369273137176e-49,2.4230430230887203e-85,3.2820982913628068e-16,1.5780620250980593e-17,6.082703680605197e-21,5.484483013657371e-34,6.082703680681779e-21,1.2973763652469504e-48,3.368310498877025e-38,3.5280001267402792e-66,2.2855725722124588e-100,3.082488413409281e-52,2.5913553830306449e-100,9.3441250197157174e-78
1.6334305583479732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996467,0.022821567693054271,0.0,4.7605028979067546e-57,2.7655441355779985e-37,0.0,2.6256854803790201e-50,0.0,1.6609650793189849e-22,2.5538575097817334e-105,1.6609650762175797e-22,1.0324810462055477e-70,1.4845952487361606e-61,0.0,0.0,4.9430017488940202e-48,7.8238590922115964e-84,6.5871483190285973e-16,3.167159448973023e-17,1.2207943750430984e-20,2.20528649541246e-33,1.2207943750738918e-20,1.0442413664916901e-47,1.3543828383137088e-37,5.6942064282523995e-65,1.4762079043733176e-98,2.4810548455425844e-51,1.6737072070073528e-98,3.0190881986555736e-76
3.2725525123696327e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996401,0.022821567693054254,0.0,7.6416633456834914e-56,1.1091068903516877e-36,0.0,2.109093368642838e-49,0.0,3.3277174996334605e-22,1.644612747001394e-103,3.3277174871954377e-22,1.6591693234752149e-69,2.3864434972701339e-60,0.0,0.0,3.9664475948894867e-47,2.5149095938198994e-82,1.3197248374359421e-15,6.3453542967229351e-17,2.445842388961812e-20,8.8441851630663602e-33,2.4458423890853074e-20,8.3793793025525604e-47,5.4316809528547619e-37,9.1504368646824208e-64,9.4909622136238473e-97,1.9908902621709232e-50,1.0760741560537791e-96,9.7076928415910882e-75
