Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),C2H4(47),H2X(49),H2OX(23),C2H6X(52),C2H4X(205),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),C2H4X(65),CH4OX(60),C3H7(36),C2H3(46),C2H2(244),C2H2(264),C2H2X(266),C4H6(280)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.95332926782965e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.9408361310418636e-65,3.6121709763527491e-36,8.8577778373619975e-91,2.4710756757998514e-54,3.6637186659913676e-134,6.136864488443372e-20,-1.2069004586551126e-105,6.1368644884433251e-20,3.9338001908724113e-72,5.1070715179684043e-70,2.1916600923439818e-114,2.541224877404815e-115,2.6887180214614818e-52,2.0365264012865052e-85,3.3515101702103593e-18,9.9232259398588656e-20,3.9726000937431745e-22,1.0956628664875839e-37,4.0570520279469194e-37,3.97260009373856e-22,3.7284473084546127e-98,2.8778699313008121e-52,4.4495501292066243e-54,5.0975497237784776e-71,7.96291944657484e-115,8.0002733967261943e-36,3.5153939096771944e-46,7.0734968203808363e-53,1.0859675678304423e-83,3.8597196917387953e-108,4.3494501441103485e-102,1.0205829152895215e-86,-3.3497379354273403e-120,2.7380915748168007e-104,2.1638492744484205e-117,1.302200121687535e-132,4.7969413301453607e-134,3.4745467088715384e-229
1.946932194992302e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,4.3419074722668098e-64,2.1817512697170604e-35,9.8125911368818421e-89,3.7342895752806685e-53,1.3252593037177177e-131,1.7183220567641585e-19,2.3299380430623845e-104,1.718322056764131e-19,1.1093945986441297e-70,1.6057450049239686e-68,4.3921499287089656e-112,5.0926878228575961e-113,3.1920460350461318e-51,1.0541647210075607e-83,9.3842284765890031e-18,2.7785032631604824e-19,1.112328026248137e-21,6.6178037135104376e-37,2.4504594248772005e-36,1.1123280262453501e-21,3.5111975564628565e-96,3.4166071824403119e-51,5.2825059133192348e-53,1.437590588104008e-69,1.3577711849811952e-112,4.8321651314123605e-35,4.1734756472457898e-45,8.4192221495340086e-52,6.623157968800474e-82,7.7349893937028431e-106,4.0960157013379687e-100,5.8780350770968877e-85,1.2148677549455914e-118,2.5785480258948474e-102,3.6896168713001077e-115,4.0097491632786913e-130,1.4770795336717346e-131,5.1303531323708129e-227
4.450130731410976e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,8.5791734050315267e-63,1.0504193199233785e-34,8.9257038434319871e-87,4.0171783206761725e-52,4.8242753828169679e-129,3.9275932726038576e-19,2.4601685824668369e-102,3.9275932726037261e-19,2.4131755750047287e-69,3.5823287744435074e-67,7.9944022370207422e-110,9.2694911567966957e-111,3.1339697257133901e-50,4.6028957317274151e-82,2.1449665089346273e-17,6.350864601509674e-19,2.542464059995969e-21,3.1861876156340351e-36,1.1797907297228569e-35,2.5424640599825503e-21,3.0688047913491544e-94,3.3544451919241882e-50,5.1863956303711423e-52,3.1270735393064525e-68,2.3730564971154513e-110,2.326479503452584e-34,4.0975431339185103e-44,8.3117247393291237e-51,3.0062917938504792e-80,1.4078894736264196e-103,3.5799388686880831e-98,2.6359576455394962e-83,2.5040571608179936e-116,2.2536642867119325e-100,6.4485602472314626e-113,1.4010727394502175e-127,5.1611604226799738e-129,1.7249244396404921e-222
9.456527804248324e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.5266422495649269e-61,4.5874571399679816e-34,6.8280484282801781e-85,3.692478975660086e-51,1.4785064689621184e-126,8.346135704283483e-19,1.9445582297782471e-100,8.3461357042829091e-19,4.4736208179285046e-68,6.7093053302226769e-66,1.2243974659645338e-107,1.4196860686594218e-108,2.7719607311914889e-49,1.7135426726435521e-80,4.5580538314860733e-17,1.3495587278208057e-18,5.4027361274924041e-21,1.3914918403236434e-35,5.1524560754501462e-35,5.4027361274338024e-21,2.2894235911519969e-92,2.9669687843738032e-49,4.5873082007194495e-51,5.7970673288492927e-67,3.5442193292206177e-108,1.0160347210583201e-33,3.6242304899982221e-43,7.432891657147163e-50,1.1474706545597741e-78,2.1562791722867885e-101,2.670745471253467e-96,9.917131466782732e-82,3.9676573116826746e-114,1.6813034830629921e-98,9.6310862812013975e-111,4.1871078789185756e-125,1.5424135280004411e-126,4.4912537526122091e-218
1.946932194992302e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996523,0.022821567693054285,0.0,2.5749249718182752e-60,1.9151730516622183e-33,4.8450045528307942e-83,3.1589935037245861e-50,4.1996938418583668e-124,1.718322056764365e-18,1.3782340079658091e-98,1.7183220567641252e-18,7.6890111709872851e-67,1.1588656470381981e-64,1.738499564011463e-105,2.015786278560546e-106,2.3300000175211182e-48,5.9034143173773143e-79,9.3842284765889362e-17,2.778503263160482e-18,1.1123280262488354e-20,5.8092045170768694e-35,2.15104898517926e-34,1.1123280262243707e-20,1.5792315198311131e-90,2.4939160365462331e-48,3.8559089482840826e-50,9.9636775812264824e-66,4.8922689012903527e-106,4.2417449520110666e-33,3.0463840883870215e-42,6.3845037481345e-49,4.0668647955531791e-77,3.0616613518668573e-99,1.8422652075770068e-94,3.4339877664484246e-80,5.6326377356158692e-112,1.1597536887088666e-96,1.3294285573895232e-108,1.1562553925752574e-122,4.2593217345807831e-124,9.2312324580133855e-214
3.949491024127241e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996513,0.022821567693054285,0.0,4.2293379125413438e-59,7.8241068216190251e-33,3.3643398851315853e-81,2.6119169178229129e-49,1.1667724440545385e-121,3.4857390294367623e-18,9.2748830486103451e-97,3.4857390294357832e-18,1.2743972130500769e-65,1.9254726044633183e-63,2.4147864708579418e-103,2.7999394042812244e-104,1.9102747866930681e-47,1.9591279759004562e-77,1.9036577766794548e-16,5.6363923338398333e-18,2.2564368532492592e-20,2.373249594445975e-34,8.7877369742907494e-34,2.2564368531493107e-20,1.0487755174388885e-88,2.0446630428208869e-47,3.1613071192311204e-49,1.6514064889338067e-64,6.499808299928877e-104,1.7328912163410683e-32,2.4976097062857642e-41,5.4585950892396631e-48,1.4115610888441245e-75,4.2526662437685882e-97,1.2234574981559723e-92,1.1425093596159926e-78,7.5867869035593742e-110,7.701982006463714e-95,1.7662624327964475e-106,3.0728100649317574e-120,1.1319373540161176e-121,1.6901744363878608e-209
7.95460868239712e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999949,0.11866996602996494,0.022821567693054282,0.0,6.8559518166254567e-58,3.1626290740036277e-32,2.3735798498827678e-79,2.1239674599520412e-48,3.2921320856074563e-119,7.0205729747830199e-18,6.0855900141096471e-95,7.0205729747790602e-18,2.0750254955294646e-64,3.1390063081885794e-62,3.4069355900644915e-101,3.9503340446704045e-102,1.5469900489278246e-46,6.3835332763705112e-76,3.8341276347205289e-16,1.1352170475198528e-17,4.5446545072550373e-20,9.5930543070294798e-34,3.5521437886988513e-33,4.5446545068510307e-20,6.8365282928154562e-87,1.6558211435453744e-46,2.560108466314689e-48,2.6888873680315477e-63,8.4751223201552277e-102,7.0046233515287527e-32,2.022629055942261e-40,4.7836354506173174e-47,4.9805081055394865e-74,5.9999342189420587e-95,7.9752069381480223e-91,3.7274428205325455e-77,9.9597483860260525e-108,5.0205994535975304e-93,2.3030356399318096e-104,8.0138703437952617e-118,2.9520858762850063e-119,2.9255393081302064e-205
1.5964843998936876e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767999991,0.11866996602996455,0.022821567693054275,0.0,1.1041309312656988e-56,1.2716792409088343e-31,1.7626924005259931e-77,1.7130567024515444e-47,9.7741510628249573e-117,1.4090240865481373e-17,3.9433717626279675e-93,1.4090240865465448e-17,3.3490995156375666e-63,5.0695035683027277e-61,5.0583909235189696e-99,5.8651927364217042e-100,1.2451521755768474e-45,2.0612042126019217e-74,7.69506735080249e-16,2.2783726757915891e-17,9.1210898152863245e-20,3.8573249421075078e-33,1.4283013944310548e-32,9.1210898136618302e-20,4.4155837478271771e-85,1.3327489095087816e-45,2.0605980160635876e-47,4.3398750527662107e-62,1.09486301711812e-99,2.8165282338416055e-31,1.6279877660107288e-39,4.4348360982718381e-46,1.8506672366593644e-72,8.9083024876402022e-93,5.1510346307501634e-89,1.2043373361127786e-75,1.2910012783154427e-105,3.2427098085735248e-91,2.9751883855116921e-102,2.0706265078238634e-115,7.6276093917957381e-117,4.9258718900971904e-201
3.198531463201639e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999833,0.11866996602996376,0.022821567693054264,0.0,1.7723754931279047e-55,5.100002528486134e-31,1.4274270469318682e-75,1.3760203034206756e-46,3.1633808239385728e-114,2.8229576646901449e-17,2.5394210264404172e-91,2.822957664683757e-17,5.3819130125637916e-62,8.1490789122177957e-60,8.1879679429463401e-97,9.4939301510149606e-98,9.991562025225859e-45,6.625556759216126e-73,1.5416946782965665e-15,4.564683932335053e-17,1.8273960431427813e-19,1.5469598224828756e-32,5.7281274142080367e-32,1.8273960424912861e-19,2.8389048979949152e-83,1.0694470662856762e-44,1.6535001327039801e-46,6.9740627026605845e-61,1.407888238521661e-97,1.1295537873728547e-30,1.3063575540882025e-38,4.4968071013626165e-45,7.5018286675388713e-71,1.4419782157050542e-90,3.3117472462298543e-87,3.8724728048639988e-74,1.6628969153127282e-103,2.0848307458566995e-89,3.8258053015540859e-100,5.3253480814629753e-113,1.9617094102549423e-114,8.1811377846792821e-197
