Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),OX(20),CH3X(22),HOX(23),HX(19),H2OX(35),CH3OHX(46),H2X(36),HO2X(135)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.075430692140963e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,2.698571760168932e-86,3.1719977068544051e-71,0.0,4.8088032908229862e-65,0.0,1.2232998784358314e-42,0.0,3.6009910095764264e-55,-1.2884648925314638e-123,1.1497516897240266e-82,0.0,0.0,4.3658970505734594e-71,-2.0640397762083238e-164,2.7626085437734159e-18,3.4350259510450193e-19,1.099425703935695e-28,2.3387575201513087e-45,1.0994257039357073e-28,7.0350681488161368e-103,2.2475017460986532e-99,2.4720392074947892e-87,2.6392886710182363e-83
3.0112059379946965e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,8.9078879832235593e-85,4.7889640729081853e-70,0.0,7.267063533086895e-64,0.0,7.3887312657523439e-42,0.0,2.1749985697841618e-54,-8.5363209781568877e-124,3.6150032883280993e-81,0.0,0.0,5.18319297843949e-70,-1.0005363304354478e-163,7.7353039225648731e-18,9.6180726629260532e-19,3.0783919710199073e-28,1.4126095421709975e-44,3.0783919710199804e-28,4.2504017702955335e-101,1.2944459391401918e-97,6.9651509314517836e-86,8.2983459650056137e-82
6.882756429702163e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.099999999999999992,0.10000000000000001,0.0,1.9253764980757317e-83,5.1501796484789693e-69,0.0,7.8175753338202579e-63,0.0,3.5573560464912777e-41,0.0,1.0471681855848246e-53,5.3003412576483896e-122,8.0648734762917648e-80,0.0,0.0,5.0888896021443338e-69,2.9557146019135737e-162,1.7680694680145021e-17,2.1984166086688124e-18,7.0363245051881707e-28,6.801106868594116e-44,7.0363245051885258e-28,1.8494805181488113e-99,5.8048389051641862e-96,1.5145833754687824e-84,1.8513153363342939e-80
1.4625857413117097e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999978,0.10000000000000001,0.0,3.5615459936898629e-82,4.7333335611813854e-68,0.0,7.1856985814062095e-62,0.0,1.5535908456133826e-40,0.0,4.5732585821620576e-53,4.657289410164409e-120,1.5104615464327463e-78,0.0,0.0,4.5010652232506262e-68,5.2158795649448475e-160,3.7571476195294252e-17,4.6716352934212253e-18,1.4952189573524063e-27,2.9702220505860771e-43,1.4952189573525615e-27,6.8700093084416736e-98,2.1839254764443197e-94,2.8074218038708587e-83,3.4673087359690151e-79
3.0112059379946965e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999999,0.099999999999999936,0.10000000000000001,0.0,6.1201448489935188e-81,4.0492494912619092e-67,0.0,6.1475164213434753e-61,0.0,6.4859359554656642e-40,0.0,1.9092454332774175e-52,3.4241831490191707e-118,2.6089466961987844e-77,0.0,0.0,3.7834165296585687e-67,7.6311722758523769e-158,7.735303922554845e-17,9.6180726629260482e-18,3.07839197101933e-27,1.2400092371787473e-42,3.0783919710199775e-27,2.3662160194499123e-96,7.562240547978172e-93,4.8249639538132365e-82,5.9889135825915496e-78
6.10844633136067e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999982,0.099999999999999853,0.10000000000000001,0.0,1.0145154148921791e-79,3.3479129318167515e-66,0.0,5.0828854584762519e-60,0.0,2.6497164686862051e-39,0.0,7.7998905663828829e-52,2.3442013917274802e-116,4.3348039558119706e-76,0.0,0.0,3.1018734553990759e-66,1.0421835179872425e-155,1.5691616528587971e-16,1.9510947401935685e-17,6.2447379983521592e-27,5.0658423389021717e-42,6.2447379983548037e-27,7.8536482598642858e-95,2.5160050632845396e-91,7.9968068240551319e-81,9.9506694892095647e-77
1.2302927118092617e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999965,0.0999999999999997,0.099999999999999992,0.0,1.6520972841937809e-78,2.7224336314332768e-65,0.0,4.1333180404041711e-59,0.0,1.0710577619639594e-38,0.0,3.1528404764525862e-51,1.5509950869083684e-114,7.0668244959342267e-75,0.0,0.0,2.5119775456601326e-65,1.3772904638607369e-153,3.1604241740583388e-16,3.9296696879954911e-17,1.2577430053013745e-26,2.0476944692152956e-41,1.2577430053024432e-26,2.5593403955663387e-93,8.2084798122436041e-90,1.3020554907359316e-79,1.6222102686566542e-75
2.469188869155651e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999929,0.099999999999999381,0.099999999999999978,0.0,2.6667122690999895e-77,2.1957279990380385e-64,0.0,3.3336707393097885e-58,0.0,4.3066761540221881e-38,0.0,1.2677432888853915e-50,1.0091623490440352e-112,1.1412940437162164e-73,0.0,0.0,2.0218580658189366e-64,1.7911105409514907e-151,6.3429492164290894e-16,7.8868195835993241e-17,2.5242814162320624e-26,8.2336893996841131e-41,2.5242814162363606e-26,8.2646515590481391e-92,2.6521610646562747e-88,2.1015091208684326e-78,2.6198739169758965e-74
4.94698118384843e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999857,0.099999999999998743,0.099999999999999936,0.0,4.2855289168749867e-76,1.763722811627665e-63,0.0,2.6777856305970202e-57,0.0,1.7271697585592104e-37,0.0,5.0842176004746738e-50,6.5120044052141404e-111,1.834596842430452e-72,0.0,0.0,1.62241376558897e-63,2.3108073382402423e-149,1.2707999301057258e-15,1.5801119374806925e-16,5.0573582380869224e-26,3.3020777099073068e-40,5.0573582381041611e-26,2.6567217852970277e-90,8.5278611790796482e-87,3.3770578146246557e-77,4.21137080502616e-73
