Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),OX(20),CH3X(22),HOX(23),HX(19),H2OX(30),CH3OHX(41),HO2X(48),H2X(31),C2H6X(34)
0.0,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0926386758539529e-23,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.10000000000000001,0.10000000000000001,0.0,2.9176965862967578e-86,3.3558392223240941e-71,0.0,5.1101782749506051e-65,0.0,1.2627611648358598e-42,0.0,3.7171520098820261e-55,0.0,1.2578065658957453e-82,0.0,0.0,4.6395144299388564e-71,0.0,2.8068130872870256e-18,3.4899898562517835e-19,1.1170176322163582e-28,2.4461894784941293e-45,1.117017632216371e-28,7.7280265782705764e-103,2.4980664174543254e-99,2.8873318328491127e-83,2.6571604386830514e-87,1.0476717792582915e-81
3.059388292391068e-23,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.10000000000000001,0.10000000000000001,0.0,9.6601250427296473e-85,5.0713442327761271e-70,0.0,7.7225014091000452e-64,0.0,7.6270774356085117e-42,0.0,2.2451598139687445e-54,0.0,3.954745046095978e-81,0.0,0.0,5.5080315312219877e-70,0.0,7.8590766444029577e-18,9.7719715975049937e-19,3.1276493702057627e-28,1.4774984450100374e-44,3.1276493702058389e-28,4.6828539287345742e-101,1.438758338961805e-97,9.0782331270676795e-82,7.493617582754612e-86,2.9546020449909147e-80
6.992887525465298e-23,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040465,0.099999999999999992,0.10000000000000001,0.0,2.0903808985420865e-83,5.4555207069477964e-69,0.0,8.307514618016333e-63,0.0,3.6721094673425559e-41,0.0,1.0809478044736933e-53,0.0,8.8228186443845892e-80,0.0,0.0,5.4078180195323189e-69,0.0,1.7963603758631964e-17,2.2335935080011414e-18,7.1489128461844067e-28,7.1135190034546734e-44,7.1489128461847753e-28,2.0400539207967704e-99,6.4519962728812347e-96,2.0253038704574341e-80,1.6300255053314839e-84,6.4269048136706828e-79
1.485988599161376e-22,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040462,0.099999999999999978,0.10000000000000001,0.0,3.8685697390374581e-82,5.0145634331344185e-68,0.0,7.6360371926879072e-62,0.0,1.6037066793414131e-40,0.0,4.7207830525501708e-53,0.0,1.6524162880387124e-78,0.0,0.0,4.7831537966804941e-68,0.0,3.8172657987078562e-17,4.7463862045024263e-18,1.5191439798141039e-27,3.1066606376810793e-43,1.5191439798142645e-27,7.58154256663436e-98,2.4274022524879796e-94,3.7931700045656801e-79,3.0217925747558409e-83,1.1914398382787384e-77
3.0593882923910686e-22,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040457,0.099999999999999936,0.10000000000000001,0.0,6.6491153531174924e-81,4.2900645917484084e-67,0.0,6.5327905845518752e-61,0.0,6.6951596959585643e-40,0.0,1.9708339956394463e-52,0.0,2.8541382106680107e-77,0.0,0.0,4.0205289727373118e-67,0.0,7.8590766443926042e-17,9.7719715975049883e-18,3.1276493702051682e-27,1.2969696614917679e-42,3.1276493702058362e-27,2.6118480684541019e-96,8.4053233216840935e-93,6.5517578881042854e-78,5.1936893646573247e-82,2.0477806678057101e-76
6.206187678850454e-22,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040449,0.099999999999999853,0.10000000000000001,0.0,1.1023094558265202e-79,3.5471083661724921e-66,0.0,5.4014375870886018e-60,0.0,2.7351911934800772e-39,0.0,8.0514999394848233e-52,0.0,4.7421933242492466e-76,0.0,0.0,3.296272561964345e-66,0.0,1.594269833574382e-16,1.9823142383510111e-17,6.3446601509862431e-27,5.2985442579481505e-42,6.3446601509889745e-27,8.6698004315266625e-95,2.7965040124980241e-91,1.0885843720861342e-76,8.6081592347355289e-81,3.3940462797555092e-75
1.2499786451769224e-21,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040429,0.099999999999999686,0.099999999999999992,0.0,1.7951522410035883e-78,2.884449614486499e-65,0.0,4.392359341011601e-59,0.0,1.105608012348894e-38,0.0,3.2545450079481539e-51,0.0,7.7309719862470202e-75,0.0,0.0,2.6694069822921165e-65,0.0,3.2109941718373135e-16,3.9925483955520301e-17,1.2778681712544191e-26,2.1417563054760458e-41,1.2778681712555228e-26,2.8254471101247481e-93,9.1236091160632275e-90,1.7746672709931287e-75,1.4016155794030616e-79,5.5263245174925047e-74
2.508698399760676e-21,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040393,0.099999999999999367,0.099999999999999978,0.0,2.8976910642206164e-77,2.3264131104467319e-64,0.0,3.5425969326648257e-58,0.0,4.445601191244639e-38,0.0,1.3086382336869778e-50,0.0,1.2485540408021016e-73,0.0,0.0,2.1485709724689566e-64,0.0,6.4444428483339287e-16,8.0130167099540544e-17,2.5646724835643269e-26,8.6119079062889595e-41,2.5646724835687645e-26,9.1241890348105439e-92,2.9478394806630633e-88,2.8660923829772558e-74,2.2622131960153654e-78,8.9195100516517293e-73
5.026137908928184e-21,0.06564596693807057,0.80000000000000004,0.0,0.0,0.0,0.19037330412040321,0.099999999999998715,0.099999999999999936,0.0,4.6567770439006935e-76,1.8687015260830221e-63,0.0,2.8456065109928963e-57,0.0,1.7828849120594452e-37,0.0,5.2482246198401373e-50,0.0,2.0070141550896214e-72,0.0,0.0,1.7240928930709201e-63,0.0,1.2911340201210166e-15,1.6053953338758034e-16,5.1382811081774152e-26,3.4537602472841662e-40,5.1382811081952107e-26,2.9330608009578406e-90,9.4785969842842893e-87,4.6071597980194828e-73,3.6353158751497364e-77,1.4333413202156206e-71
