Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),H2X(31),C2H6X(34),CX(24),C2H5X(33),C3H8X(38),CH2(48),HOCXO(25),OCX(21),COX(32),HOX(23),OX(20),H2OX(30),CH4OX(41),CH3OX(39),CH3O(51),CH3OX(40)
2.1714973479163737e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.4265566353252875e-98,0.10000000000000001,7.1279874850451754e-98,4.812982411926742e-68,4.1189572709624286e-40,5.055307737210429e-63,0.0,8.7105449530569272e-41,-6.2942621625687096e-121,5.1256399939326934e-51,1.2858703817193022e-97,2.4030856016262909e-94,0.0,0.0,5.5214411938361551e-81,0.0,3.1183240047201269e-18,1.1296262214440965e-18,2.7256986970346884e-27,2.7256986970346013e-27,2.511673861379284e-44,3.0340745717922233e-58,1.6935524175613222e-84,1.842317680812625e-79,2.7945315712540541e-58,2.4466016855118123e-86,-2.3677389458030117e-137,9.2867725541684842e-101,3.6413524700532062e-53,2.9761408423618056e-33,3.8881828297417418e-57,3.6610630656269521e-58,2.9761412542575323e-33,1.2585034305999105e-114,6.3628012245592526e-111,1.9980862609743107e-113,4.2693114804888512e-126,9.3828723187624999e-80
6.080192574165847e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,2.1558123879919792e-97,0.10000000000000001,2.1524920248338833e-96,7.209161868983423e-67,2.4878498592019958e-39,7.6395810524713307e-62,0.0,5.2611691516462234e-40,2.5509407976720511e-120,3.0958865563353483e-50,6.6750419611972915e-96,7.5556877874316872e-93,0.0,0.0,6.5550567596161731e-80,0.0,8.7313072132154582e-18,3.162953420043354e-18,7.6319563516971297e-27,7.6319563516966016e-27,1.5170510122730235e-43,3.6020533316315894e-57,4.7354156260188814e-83,5.1956306307193754e-78,1.6878968434784107e-57,6.9198989763846589e-85,1.4905026462362213e-136,8.1999758849830362e-86,2.1993768919032679e-52,8.3331930240712335e-33,4.6160500905708188e-56,2.2112827452323084e-57,8.3331955119210908e-33,6.9665658828898081e-113,3.6646487604326514e-109,9.9529202420290705e-112,3.8706464654943686e-124,1.4179396648113399e-78
1.3897583026664794e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,2.3191245906947145e-96,0.10000000000000001,4.7081366928401979e-95,7.7331808916942784e-66,1.1977922757070399e-38,8.2183126822260117e-61,0.0,2.5330264723487114e-39,3.1903031583243778e-118,1.4905361102356272e-49,2.9167999727787364e-94,1.6856334035045662e-91,0.0,0.0,6.4357973558464756e-79,0.0,1.9957273630202535e-17,7.2296078172413951e-18,1.7444471661022005e-26,1.7444471661019471e-26,7.3039475888899918e-43,3.5365173208805825e-56,1.0269457247562176e-81,1.1301631489502376e-76,8.126494425822113e-57,1.5063156485075084e-83,4.3352999242931409e-134,7.3799782964856634e-85,1.0589052982781688e-51,1.9047292049325454e-32,4.5320641551618339e-55,1.0646381198747615e-56,1.9047304027248207e-32,3.0621992865283968e-111,1.6433833011484889e-107,5.0097013590901705e-110,3.8922293779609041e-122,1.5253547871164208e-77
2.953236393166269e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,2.1316750487789151e-95,0.099999999999999992,8.7499802567359377e-94,7.1001128312478943e-65,5.2310705810070676e-38,7.5540452455546196e-60,0.0,1.1062392090379775e-38,2.5261157649972431e-116,6.5095627922945159e-49,1.08618398796351e-92,3.1570086565411873e-90,0.0,0.0,5.6923965638505251e-78,0.0,4.2409206464162334e-17,1.5362916611635591e-17,3.7069502279671741e-26,3.7069502279660669e-26,3.1898258039506896e-42,3.1280095205339964e-55,1.9014914097068267e-80,2.0951320090335427e-75,3.549051599330339e-56,2.7932842817293534e-82,6.8852216999917037e-132,5.9859823960435897e-84,4.6245176368300994e-51,4.0475468747196619e-32,4.0085572926636374e-54,4.6495602240474749e-56,4.0475521057902424e-32,1.1429350741657401e-109,6.1828261206330113e-106,1.9747417372521e-108,3.0769127794019336e-120,1.4020638448476927e-76
6.080192574165847e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,1.8236928838420699e-94,0.099999999999999978,1.506221463898906e-92,6.0712389595275254e-64,2.1838665072655132e-37,6.462644747549698e-59,0.0,4.6183309341085129e-38,1.7907160061729989e-114,2.7176143247831114e-48,3.7426236987756023e-91,5.4529606515349646e-89,0.0,0.0,4.7848135517044042e-77,0.0,8.7313072132024525e-17,3.1629534200416441e-17,7.631956351697119e-26,7.6319563516924997e-26,1.3316894813023951e-41,2.6292804787203326e-54,3.2664172786828418e-79,3.6009966149822304e-74,1.4816574925361655e-55,4.80163497862319e-81,9.7689965764321611e-130,4.7969858927402638e-83,1.9306450794984861e-50,8.3331736732560124e-32,3.3694303573238159e-53,1.9411047550265317e-55,8.3331955119210835e-32,3.9437646341425928e-108,2.1409215215572068e-104,6.9816442082034528e-107,2.1789152147893497e-118,1.1994951377831707e-75
1.2334104936165002e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,1.5078645431108133e-93,0.09999999999999995,2.4986335460568848e-91,5.0186225284595724e-63,8.9217869405827093e-37,5.343439652563718e-58,0.0,1.8867388790100209e-37,1.2051583861494676e-112,1.1102341252457946e-47,1.2421327652761798e-89,9.0602198472921495e-88,0.0,0.0,3.9228976803136835e-76,0.0,1.7712080346751937e-16,6.4162769377947947e-17,1.5481968599156997e-25,1.5481968599138121e-25,5.440386050694349e-41,2.1556429908890067e-53,5.4124664441737424e-78,5.968387804721142e-73,6.0530405239272815e-55,7.9589330885654335e-80,1.315415484496728e-127,3.8384087118518773e-82,7.8873151031865236e-50,1.6904393106313354e-31,2.7624567070692879e-52,7.9300862386140989e-55,1.6904482324182759e-31,1.3099606404990694e-106,7.1230149284382835e-103,2.3458555389928e-105,1.4653575284402809e-116,9.9176577588018767e-75
2.4841929660163314e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999953,0.099999999999999659,1.2261704044587304e-92,0.099999999999999881,4.0702936415739585e-90,4.0805877030629809e-62,3.6063125008582892e-36,4.3451963838548542e-57,0.0,7.6265002125432744e-37,7.9077762059854698e-111,4.4877438454077596e-47,4.0474602092277714e-88,1.4770589049236845e-86,0.0,0.0,3.1768941236819404e-75,0.0,3.5673626613759066e-16,1.2922923973289024e-16,3.1181993094076704e-25,3.1181993094000393e-25,2.1990910259766288e-40,1.7456955828382459e-52,8.8117047948517144e-77,9.717972336375099e-72,2.4467246141404757e-54,1.295952960080765e-78,1.7265820908295104e-125,3.0708089694774927e-81,3.1881788715884707e-49,3.4046695317455976e-31,2.2370995517044283e-51,3.2054999448725396e-54,3.4047055948706064e-31,4.2703799066679337e-105,2.3239096829196134e-101,7.6902407739935746e-104,9.6112177870820202e-115,8.0648745811565966e-74
4.985757910815994e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999903,0.099999999999999298,9.8895085227082756e-92,0.099999999999999756,6.5711589636621196e-89,3.2909537376960654e-61,1.4500691845526478e-35,3.5045582991121067e-56,0.0,3.0665821928906786e-36,5.1242159728194771e-109,1.8045020624239618e-46,1.3069249195123579e-86,2.3855005946492246e-85,0.0,0.0,2.5570888652109664e-74,0.0,7.1596719147405976e-16,2.5936218044229182e-16,6.2582042083915914e-25,6.2582042083609064e-25,8.8424482958892771e-40,1.4050876771477261e-51,1.4221256341153087e-75,1.5684846530658253e-70,9.8380824324214352e-54,2.0917113628203234e-77,2.2378584550668682e-123,2.4566553763317859e-80,1.2819527017931983e-48,6.8330753128567928e-31,1.8005970316859588e-50,1.288943401971733e-53,6.8332203197752478e-31,1.3792436970018054e-103,7.5086997859075453e-100,2.4906284434853221e-102,6.2267411076529734e-113,6.5046135198338579e-73
9.988887800415318e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999806,0.099999999999998576,7.9437910599982927e-91,0.099999999999999492,1.0561358628592064e-87,2.643397988474148e-60,5.8153200285541144e-35,2.8150518118771098e-55,0.0,1.2298366155848047e-35,3.2998821844175813e-107,7.236860353593451e-46,4.201032903672805e-85,3.8347720868203442e-84,0.0,0.0,2.0519799544845783e-73,0.0,1.4344290421323037e-15,5.196280618591633e-16,1.2538214006359349e-24,1.2538214006236293e-24,3.5462172547972022e-39,1.1274943715739109e-50,2.2852482268091105e-74,2.5205127303172037e-69,3.9454391846466828e-53,3.3613546353278249e-76,2.8824040444792764e-121,1.9653251235635916e-79,5.1412036987234714e-48,1.3689668237581605e-30,1.4448411489759964e-49,5.1694478585880181e-53,1.3690249769584459e-30,4.434176297705149e-102,2.4144690136267134e-98,8.0179682006069186e-101,4.0094790425254657e-111,5.2248593151644285e-72
1.999514757961397e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999609,0.099999999999997133,6.3679317786769067e-90,0.099999999999998965,1.693726154240673e-86,2.118980706509337e-59,2.3290763913520055e-34,2.2566124606977986e-54,0.0,4.9257612560228383e-35,2.1184711299995277e-105,2.8985188677544489e-45,1.347357672261245e-83,6.1504102979932516e-83,0.0,0.0,1.6442046811088674e-72,0.0,2.8713527433900153e-15,1.0401598246851782e-15,2.5098233602294528e-24,2.5098233601801669e-24,1.420336599000826e-38,9.0336753815031581e-50,3.6642929089011107e-73,4.0415902155754725e-68,1.5801760201253214e-52,5.3898874529326946e-75,3.7010044572993241e-119,1.5722601888910044e-78,2.0591631148350471e-47,2.7401979592811229e-30,1.1575917654361656e-48,2.0706423886554233e-52,2.7404308669202579e-30,1.4223224776707498e-100,7.7454961197817256e-97,2.5734769784838082e-99,2.5739183249133122e-109,4.1883714489216517e-71
