Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),CH2X(134),CHX(26),H2X(36),C2H6X(39),CX(24),C2H3X(136),C2H5X(38),C2H4X(51),C2H3X(50),CH2(T)(29),C3H8X(43),C3H6(143),C3H6X(157),C3H5X(155),HOCXO(25),OCX(21),HOX(23),OX(20),COX(37),C3H5X(156),H2OX(35),C3H5X(144),allyl(160),CH3OHX(46),C4H8(202),C4H8X(300),C4H7X(299),C4H7X(203),C4H7(303),C4H7X(360),C4H8(148),C4H8X(467)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1350152369030174e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,2.0371509367504348e-96,0.10000000000000001,5.5029561829184833e-95,6.8710827283395313e-66,1.125318257018193e-38,3.6095396395326512e-61,6.6316664811737904e-93,2.3797627356463794e-39,-1.1323866647373061e-117,1.4003501837305325e-49,2.0689594582866628e-94,8.9685075620504961e-92,1.0286173490177997e-71,3.9063090907570854e-73,7.8847418618824211e-79,1.5115660133928343e-134,3.2598200153031593e-18,1.968139595126928e-18,1.424713130625874e-26,1.4247131306261119e-26,6.8620944502869723e-43,4.3327888613237961e-56,6.3186156494177705e-82,8.5945103522516545e-78,7.6348506245763543e-57,2.2175774545083976e-91,7.4156369599612174e-84,3.7261928611861252e-151,9.7246307738628133e-154,2.8559239279356349e-71,-2.2265175603781583e-134,-6.1288087507905677e-192,-1.2335837814010989e-208,-1.6097055694176283e-211,9.9484347753488933e-52,1.5556167671017473e-32,1.0002381416904263e-56,1.5556178924200047e-32,2.776176981642898e-55,-8.0485278470881415e-212,1.6927961542204888e-111,-3.52074284001685e-212,-1.6530276454755565e-222,2.0686662610247948e-108,5.5340176604048468e-250,9.6463664012948881e-267,1.2587559884397093e-269,6.2370448023132351e-270,4.5708029929461802e-276,2.2560901553451262e-265,7.3114756176534048e-246,1.2744659860167296e-262
3.1780426633284484e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,3.0785424965009605e-95,0.10000000000000001,1.6357309821602711e-93,1.0292511519445608e-64,6.7969175248888933e-38,5.4547363032594127e-60,1.4834763586944064e-91,1.4373766923301811e-38,1.4043524332215241e-116,8.458115109732414e-49,1.078368245236263e-92,2.8198464914640004e-90,1.2211737356370043e-70,4.637567186152984e-72,9.3607787818058666e-78,2.448865913592057e-133,9.1274960428478573e-18,5.5107908663550417e-18,3.9891967657516754e-26,3.9891967657531138e-26,4.1447050479724083e-42,5.1438869361625622e-55,1.7668763676832018e-80,2.4237894314994679e-76,4.611446556247687e-56,6.9724136141782976e-90,2.1060938150261318e-82,1.1238769945687705e-149,2.9330979942733122e-152,3.390552887244803e-70,4.7476183925028033e-133,3.4444367739292516e-190,1.2355742738693188e-206,1.6123029664168234e-209,6.0088546041840816e-51,4.3557233018584877e-32,6.0414477092608449e-56,4.3557300987760124e-32,3.2958752044181614e-54,8.0615148320841168e-210,9.2264595075008675e-110,3.5266870021389285e-210,2.9639430149727747e-220,1.1914476018236474e-106,1.7260617656403151e-247,5.425314591526677e-264,7.0795022158157878e-267,3.5081859243972061e-267,4.5620648701530964e-273,1.2497333780783714e-262,2.2459947042957394e-243,7.0597474937025646e-260
7.264097516179311e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,3.3117555356540438e-94,0.099999999999999992,3.5843454559902086e-92,1.1040864216345057e-63,3.272418370167307e-37,5.8679564011886142e-59,2.9310953778760895e-90,6.920350035256189e-38,1.5257444797414147e-114,4.0722183342883862e-48,4.7172210606706351e-91,6.2909423372359011e-89,1.1989539605559264e-69,4.5531846803779531e-71,9.1904961686852257e-77,2.0050075347128634e-131,2.0862848097933286e-17,1.2596093408809822e-17,9.1181640360001913e-26,9.1181640360071157e-26,1.9954970661420685e-41,5.0502986967557675e-54,3.831813453806597e-79,5.2722714353445933e-75,2.2202097301388661e-55,1.5555048936421773e-88,4.5891990089953305e-81,1.7905696695947555e-147,4.6730347999611958e-150,3.3288649304003281e-69,1.0847275525693772e-130,2.5567465760825567e-187,1.8538402900603302e-203,2.4190793399796344e-206,2.8930048324814838e-50,9.9559217873043247e-32,2.9087065162117636e-55,9.9559545114880267e-32,3.2359053544280563e-53,1.2095396699898172e-206,4.0616289886476955e-108,5.2914964600986151e-207,8.9468616359160237e-217,5.342967816915428e-105,1.1802679011158636e-243,7.4069279765788674e-260,9.6653128842482364e-263,4.7897882364293491e-263,1.2434761495051499e-268,1.7048366660778714e-258,1.5346064699740037e-239,9.6306272938467772e-256
1.5436207221881037e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,3.0440739025147854e-93,0.099999999999999978,6.6661830014837243e-91,1.013709325884502e-62,1.4291468278172284e-36,5.3936628925465375e-58,5.2157136034995304e-89,3.0222986742673048e-37,1.207146818951397e-112,1.7784447333377739e-47,1.7574003122852296e-89,1.1782313758830829e-87,1.0604582570926971e-68,4.0272291090609767e-70,8.1289396843239468e-76,1.4773806691030846e-129,4.4333552208088289e-17,2.6766698493713604e-17,1.9376098576484876e-25,1.9376098576515117e-25,8.7148599518501636e-41,4.4669320044635579e-53,7.0950384163586095e-78,9.7739026925028128e-74,9.6962103679752949e-55,2.9132801311551076e-87,8.5136937031958953e-80,2.6400894337312488e-145,6.8901143632301773e-148,2.9443433327413451e-68,1.7197760763608598e-128,1.6025514847145357e-184,2.3242540856996448e-200,3.0329231000786272e-203,1.2634512162730021e-49,2.1156260422229262e-31,1.2703169067953767e-54,2.1156403336912046e-31,2.8621136967441562e-52,1.5164615500393136e-203,1.5170649063499998e-106,6.6343249080506461e-204,2.243614630758029e-213,2.0101706233443606e-103,6.2892492203899917e-240,7.893966263463387e-256,1.03008499711817e-258,5.104837146560872e-259,2.6524145352635062e-264,1.8182445842055511e-254,8.1832848617885522e-236,1.0271268954520048e-251
3.1780426633284487e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999986,0.099999999999999922,2.6042693124114684e-92,0.09999999999999995,1.1478196006378273e-89,8.66816138969809e-62,5.9663711717155031e-36,4.6143921606768153e-57,8.7970160447662783e-88,1.2617502024364729e-36,8.5588700918222869e-111,7.4246566741392648e-47,6.0566764901896943e-88,2.0351276210468399e-86,8.9137411109601254e-68,3.3851099213567864e-69,6.8329475591875036e-75,1.0125233054521209e-127,9.1274960428334865e-17,5.5107908663498047e-17,3.9891967657404867e-25,3.9891967657531118e-25,3.6382824775292922e-40,3.754725502589043e-52,1.2188033007763649e-76,1.6798841485425254e-72,4.0479528686870039e-54,5.0319379637602626e-86,1.4637957255646954e-78,3.6206297893671514e-143,9.4491319108131019e-146,2.4748979811603223e-67,2.4405151854363285e-126,9.0511294829667452e-182,2.6256840067006366e-197,3.4262595154417119e-200,5.2746601161232213e-49,4.3556704350642901e-31,5.303392828879437e-54,4.3557300987760061e-31,2.4057656538824489e-51,1.713129757720856e-200,5.2361653509246785e-105,7.4947819929299215e-201,5.0694350135729735e-210,6.9606699221519421e-102,2.9256248795908852e-236,7.3443104753863052e-252,9.5836032007018053e-255,4.7494330659439289e-255,4.9374360774912278e-260,1.6923080801573894e-250,3.8081921882093852e-232,9.5598532775656268e-248
6.446886545609139e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999972,0.099999999999999825,2.1532602291272038e-91,0.099999999999999895,1.9043232039147673e-88,7.1653084355925554e-61,2.4374282858656438e-35,3.815268672019892e-56,1.4448969905984578e-86,5.154661275892077e-36,5.760744824451793e-109,3.0332145119676667e-46,2.0103506489814865e-86,3.3814811401753901e-85,7.3079423110983249e-67,2.7752867975472717e-68,5.6022009076020416e-74,6.7020029809668276e-126,1.8515777686857437e-16,1.1179032900297443e-16,8.0923705819047312e-25,8.092370581956307e-25,1.4863571062990718e-39,3.0783508179714595e-51,2.0195653907103399e-75,2.7842847793160931e-71,1.6537011422894379e-53,8.3605438691108621e-85,2.4265568376798867e-77,4.794325471849092e-141,1.2512246885876199e-143,2.0290708919879311e-66,3.2865444675367382e-124,4.8630184456274994e-179,2.8215991370946759e-194,3.6819095015126274e-197,2.1548707645838133e-48,8.8356658861170184e-31,2.1666660618129141e-53,8.8359096289456041e-31,1.9723701186427877e-50,1.8409547507563137e-197,1.7394652683292977e-103,8.0540356124467094e-198,1.0895670394631332e-206,2.3159168001895697e-100,1.2755516435710688e-232,6.4041803731084064e-248,8.3568258350909912e-251,4.14148730279052e-251,8.6125768178719777e-256,1.4759766613398353e-246,1.660679370396894e-228,8.3377964645268245e-244
1.2984574310170519e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999942,0.099999999999999631,1.7509954578841746e-90,0.099999999999999784,3.1024245916695782e-87,5.826039340676948e-60,9.8522402693573043e-35,3.1025131216707972e-55,2.3421899173985817e-85,2.0835965036471719e-35,3.7801709238379919e-107,1.2260738026648875e-45,6.5510257189155598e-85,5.5129486328434963e-84,5.9180296445766689e-66,2.2474492601212899e-67,4.5370305235051178e-73,4.3614688588774777e-124,3.729234097480386e-16,2.2515516968155724e-16,1.6298718214154206e-24,1.6298718214362687e-24,6.0080930716703e-39,2.4929283040102609e-50,3.2879333448850842e-74,4.5334859843315436e-70,6.6843652722114682e-53,1.3629482559545378e-83,3.9513643964656843e-76,6.2408347419132377e-139,1.6287351687622308e-141,1.643194215538813e-65,4.3140632989144698e-122,2.5500500462854198e-176,2.9592255136547515e-191,3.8614983938083707e-194,8.7103321583825335e-48,1.7795283465257833e-30,8.7584718362062432e-53,1.7796268689284763e-30,1.5972409654155424e-49,1.9307491969041854e-194,5.6710299342489464e-102,8.4468957085170812e-195,2.2854541995176968e-203,7.5560697336848627e-99,5.3887950886527965e-229,5.4111399798386787e-244,7.0610057409932657e-247,3.4993111429333986e-247,1.4555705423004315e-251,1.2472365960744897e-242,7.0165488093792037e-225,7.0456431728339885e-240
2.605994983929328e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999881,0.099999999999999256,1.4122412709514709e-89,0.099999999999999561,5.0091284007017299e-86,4.6986450760077579e-59,3.9613538496015513e-34,2.5022892288239966e-54,3.7718624300114612e-84,8.3780499011696459e-35,2.4496035907832741e-105,4.9299888358305847e-45,2.1153822632437436e-83,8.9043341873089787e-83,4.7631334257816106e-65,1.8088622964979439e-66,3.652155830088936e-72,2.8146312406132894e-122,7.4845467550290791e-16,4.5188485103724291e-16,3.2711413478337105e-24,3.2711413479175387e-24,2.4158277995286893e-38,2.0065255788999096e-49,5.3064149656503177e-73,7.3170646561512119e-69,2.6876258982004457e-52,2.2010636451030034e-82,6.377797782199377e-75,8.0554521652309241e-137,2.1023146396959398e-139,1.3225856593179528e-64,5.591692721165964e-120,1.321240304206333e-173,3.0665226352208324e-188,4.0015105898087534e-191,3.5023862464202498e-47,3.5713025456113365e-30,3.5221138959246158e-52,3.5716986809962962e-30,1.2855413521520991e-48,2.0007552949043767e-191,1.8318120498189145e-100,8.7531759998531783e-192,4.7366745992579231e-200,2.4416121402488028e-97,2.2414922766625859e-225,4.5015818034708949e-240,5.8741217333834667e-243,2.9111155347907241e-243,2.4219333606591733e-247,1.0376416080098149e-238,2.9187122480374216e-221,5.8616404801169824e-236
5.2210700897538794e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999761,0.099999999999998507,1.134388989802695e-88,0.099999999999999103,8.0522157270706527e-85,3.7741008549147602e-58,1.5885287904896737e-33,2.0099747888209801e-53,6.0541537892789706e-83,3.3599727277354143e-34,1.5775113297408973e-103,1.977146022307953e-44,6.7998614811095115e-82,1.4316374449801605e-81,3.8217749115445918e-64,1.4513690726730737e-65,2.9312011224591882e-71,1.8088478280575075e-120,1.4995172069964102e-15,9.0534421374269502e-16,6.5536804005438674e-24,6.5536804008800588e-24,9.6885499812083492e-38,1.6101104104545599e-48,8.5270088531566715e-72,1.1758326469895371e-67,1.0777555551586418e-51,3.5378194793343815e-81,1.0249174904255553e-73,1.0354156079594148e-134,2.702231167352715e-137,1.0612916980454303e-63,7.2023007875489428e-118,6.8049910676443544e-171,3.1588167024790305e-185,4.1219452748010256e-188,1.4046135288312917e-46,7.1542537763413919e-30,1.4128226916687464e-51,7.1558423051318821e-30,1.0314742939536612e-47,2.0609726374005128e-188,5.8901629745783976e-99,9.0166272918810005e-189,9.7585043073841168e-197,7.8524287636035634e-96,9.2519281245116853e-222,3.7161270202277023e-236,4.8491804540413057e-239,2.4031733340568353e-239,3.9987926613172052e-243,8.5661145333103215e-235,1.2047512317451275e-217,4.8390006178510552e-232
