Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),H2OX(23),C2H6X(52),C2H4X(205),CH2X(27),CHX(28),CX(26),OCX(25),C2H4X(65),COX(50)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.38966863991083e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.3830891417098358e-65,3.0502785885762747e-36,5.3325654561505442e-91,1.9175332872774556e-54,1.8625362810293424e-134,5.6393909054315304e-20,-7.2674991840030254e-106,5.6393909054314931e-20,2.8051403957153471e-72,3.6417895051998816e-70,1.2124679920589276e-114,1.4058534502578301e-115,3.4036016273565805e-53,1.3344975002489987e-85,3.0798253046946019e-18,9.1188153404472534e-20,3.6505675569453533e-22,9.2522642018347352e-38,3.4259564523757049e-37,3.6505675569414573e-22,2.2332014974336166e-52,2.2451299938659037e-98,3.4528103747438488e-54,3.6349955052639917e-71,4.4062724362951712e-115,6.7557876531186739e-36,2.7279145787631832e-46,5.4876777770739261e-53,7.1144672067305355e-84,2.6190730903409684e-102,2.1352696071514631e-108
1.7891072191750326e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.0939552835795462e-64,1.8423682675000708e-35,5.9061903461485221e-89,2.8977763260125413e-53,6.735913308663803e-132,1.5790294535208408e-19,1.4030006933082345e-104,1.5790294535208177e-19,7.9109447970449973e-71,1.1450368832240233e-68,2.4293327302445682e-112,2.8168049160934298e-113,4.0407558517626426e-52,6.9077434468034002e-84,8.6235108531448816e-18,2.5532682953252307e-19,1.0221589159447398e-21,5.5883675775531443e-37,2.0692776972328013e-36,1.0221589159423863e-21,2.651256817753183e-51,2.1143104153747685e-96,4.0991764766428869e-53,1.0251269000144972e-69,7.5132114662550565e-113,4.0804957423205178e-35,3.2385801862511678e-45,6.5303500004028339e-52,4.3381260395968993e-82,2.466464538071314e-100,4.2782822957115028e-106
4.089387929542932e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.1131698047151827e-63,8.8702101355798024e-35,5.3700427852877048e-87,3.1172955399679646e-52,2.4509820530311071e-129,3.6092101794762651e-19,1.4814206105605285e-102,3.6092101794761534e-19,1.7208032912654696e-69,2.5545142973395732e-67,4.4198545572748929e-110,5.124809743165248e-111,3.9672380561180471e-51,3.0161911328890131e-82,1.9710881950045431e-17,5.8360418178862422e-19,2.3363632364453112e-21,2.6905584293609843e-36,9.9626813634766841e-36,2.3363632364339802e-21,2.6030196654085965e-50,1.8479182193036774e-94,4.0245957720170936e-52,2.2298749248873229e-68,1.3131281242495358e-110,1.9645830492821678e-34,3.1796572278712668e-44,6.4441119416342001e-51,1.9682416793582465e-80,2.1557027404604762e-98,7.7837775231631936e-104
8.68994935027873e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.0878088081710174e-61,3.8738538074918629e-34,4.1044912933983132e-85,2.8653316640868834e-51,7.5051753071395996e-127,7.6695716313873047e-19,1.1709395285997942e-100,7.6695716313868193e-19,3.190079291122426e-68,4.7843225640368168e-66,6.7635278021127587e-108,7.8422927110513448e-109,3.5089771322090934e-50,1.1228523339507903e-80,4.1885624143846462e-17,1.2401588863008265e-18,4.9647718774471055e-21,1.1750375530827026e-35,4.3509646944842134e-35,4.9647718773976189e-21,2.3023414157941035e-49,1.3786043276335483e-92,3.5597093822988117e-51,4.1338123048603023e-67,1.9611897506959385e-108,8.5798503169317062e-34,2.8123708033379812e-43,5.7576932026582655e-50,7.5060855926002194e-79,1.608221129762533e-96,1.1911205448256696e-101
1.7891072191750326e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.8347509151441064e-60,1.6172577076631339e-33,2.9075958035819371e-83,2.4513515642351214e-50,2.1283171402199086e-124,1.5790294535210156e-18,8.2992046979241193e-99,1.5790294535208128e-18,5.4829312327019563e-67,8.2637274479784514e-65,9.5874964021700805e-106,1.1116676881024749e-106,2.9495067098645017e-49,3.8683965391754731e-79,8.6235108531448258e-17,2.5532682953252307e-18,1.0221589159453296e-20,4.9055504748599924e-35,1.8164421110199595e-34,1.0221589159246701e-20,1.9352566864519065e-48,9.5095351336579203e-91,2.9921502227986975e-50,7.1049671585054126e-66,2.7071314542585011e-106,3.5819186114074107e-33,2.3639671077581831e-42,4.9371744586151872e-49,2.655848827417898e-77,1.1093418918011774e-94,1.6884478443907636e-99
3.6293317874693516e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.013585795943213e-59,6.6070254339996925e-33,2.0126936821403516e-81,2.0268248778006467e-49,5.8945404942459955e-122,3.2031740342858933e-18,5.5849843005534003e-97,3.2031740342850663e-18,9.0875564190498439e-66,1.3730306734699668e-63,1.3275536535861623e-103,1.53929497233287e-104,2.4181837999925723e-48,1.2837797712205641e-77,1.7493407730665088e-16,5.1794871133740372e-18,2.073522372347609e-20,2.0040774309808513e-34,7.4207587138529232e-34,2.0735223722632084e-20,1.5866403548373385e-47,6.3153296430432075e-89,2.4531455281222737e-49,1.1775962011589038e-64,3.5966615593777482e-104,1.4633306268890109e-32,1.9381230425972992e-41,4.2076630797711204e-48,9.1890725257934905e-76,7.3671947452535727e-93,2.3379462277128474e-97
7.30978092405799e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,4.8851539677727238e-58,2.6706653176707268e-32,1.4120527513245272e-79,1.6481803299695885e-48,1.6539467220459489e-119,6.451463195816882e-18,3.6645124806732129e-95,6.4514631958135386e-18,1.4796729833130671e-64,2.2383865280398614e-62,1.8625760584419996e-101,2.1596520446417986e-102,1.9583079329245208e-47,4.1830094766307267e-76,3.5233201485705217e-16,1.0431924749471644e-17,4.1762492851563323e-20,8.1008013828942267e-34,2.9995893197582167e-33,4.1762492848151713e-20,1.2849024957762546e-46,4.1166988612204487e-87,1.986620846506243e-48,1.9174101416926599e-63,4.6896993347160311e-102,5.9150163522607431e-32,1.5695422612379105e-40,3.6664132662905603e-47,3.2240353331606476e-74,4.8023656519233197e-91,3.2801707544758515e-95
1.4670679197235267e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,7.8673910662005877e-57,1.0738627782225887e-31,1.0391484165041209e-77,1.3293171455497047e-47,4.8662169999402012e-117,1.2948041518883792e-17,2.3745495517422493e-93,1.2948041518870346e-17,2.3881981606465832e-63,3.6150002064268317e-61,2.7404755033614883e-99,3.1775741437596898e-100,1.5762165869853872e-46,1.3506684121961605e-74,7.0712788995783893e-16,2.0936800021666833e-17,8.3817031107904388e-20,3.2572965933344412e-33,1.206121672717241e-32,8.3817031094186422e-20,1.0342013125912382e-45,2.6588975877480126e-85,1.5990052825180622e-47,3.0947076990982384e-62,6.0584121019502629e-100,2.3784020535733027e-31,1.2633041140371895e-39,3.3678832645744923e-46,1.1871056981443278e-72,3.1017567297113795e-89,4.8262338378244895e-93
2.939247574358982e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996388,0.022821567693054264,0.0,1.2628905910043879e-55,4.3066700375389616e-31,8.3088032532639502e-76,1.0677798226671635e-46,1.5551019959072628e-114,2.5941198165037343e-17,1.5291434394219655e-91,2.5941198164983414e-17,3.8377703312080936e-62,5.8110072022107513e-60,4.380067693023965e-97,5.0786769785159342e-98,1.2648145341761812e-45,4.3416029198841869e-73,1.4167196401593487e-15,4.1946550566057134e-17,1.6792610762125291e-19,1.3063216087616857e-32,4.8370873580218328e-32,1.6792610756623771e-19,8.2988142163042173e-45,1.7094811957462006e-83,1.2831010263797365e-46,4.9731121927514141e-61,7.7905336184762514e-98,9.538455949141733e-31,1.013721919345379e-38,3.3714825243830264e-45,4.7511242819226792e-71,1.9942079701747401e-87,7.7137091292257806e-91
