Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),OX(20),OCX(21),CH2X(58),CHX(26),COX(32),H2X(31),C2H6X(34),CX(24),HOX(23),C2H5X(33),C3H8X(38),CH2(48),HOCXO(25),H2OX(30),CH4OX(41),CXHO(27),C2H4OX(44)
2.1466794203031626e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.3782014001100096e-98,0.10000000000000001,2.1417259043404673e-96,4.6498392945598683e-68,5.6840934892288038e-37,4.8839506465521268e-63,8.0017888532725011e-106,8.5125780223056384e-41,-5.9260983832096991e-121,5.0091481758887697e-51,1.21405018866719e-97,2.2950950170615218e-94,8.6589781738634171e-84,-1.2686443165644469e-102,5.3342822341752536e-81,0.0,3.0826848456403609e-18,1.1167157834826209e-18,2.6945468316993056e-27,2.6945468316992206e-27,4.1545077683060021e-30,4.1545071998966523e-30,2.4545903645297569e-44,2.931230151929167e-58,5.3043050616414584e-54,1.6174475310283446e-84,1.7595275784207381e-79,3.8564077422191834e-55,1.3444725283895069e-56,2.3366562585287183e-86,-2.2037673106188685e-137,8.036630094953496e-101,3.5585944593703486e-53,3.7381717774005398e-113,6.0074155486414394e-111,3.9569747724121501e-69,-3.304052611145584e-119
6.010702376848856e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,2.0827379558446142e-97,0.10000000000000001,6.7943267724673298e-95,6.9647967248279419e-67,3.4331920139492674e-36,7.3806262170685613e-62,5.7179808248717925e-104,5.1415971254724505e-40,2.3758048895208247e-120,3.0255254982368177e-50,6.3022183787435853e-96,7.216146003169468e-93,2.4419700404110778e-82,1.2535014659804318e-101,6.3328599135070322e-80,0.0,8.6315175677921383e-18,3.1268041937512238e-18,7.5447311287580573e-27,7.5447311287575436e-27,1.1632621751256805e-29,1.1632618318064791e-29,1.4825725801759114e-43,3.4799564363701744e-57,6.2972702073470289e-53,4.5226154403455222e-83,4.9621492955579385e-78,2.3292699685900754e-54,8.1206141346154205e-56,6.6089324418061352e-85,1.3699272875455628e-136,7.9220256425524419e-86,2.1493910534511235e-52,2.1719708808616191e-111,3.4599638019365598e-109,5.979779391892298e-68,5.545901066677468e-118
1.373874828994024e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,2.2405144521290574e-96,0.10000000000000001,1.5057139728310098e-93,7.4710533520825593e-66,1.6529337063505193e-35,7.9397408870847267e-61,2.5257204803244564e-102,2.4754576888862448e-39,2.9776373772778609e-118,1.4566602895484548e-49,2.7538868672924049e-94,1.6098825030185594e-91,5.3118166550185275e-81,6.9136207248901271e-100,6.2176395119466017e-79,0.0,1.9729183012092192e-17,7.1469810142879679e-18,1.7245099722875558e-26,1.7245099722873076e-26,2.6588849717158405e-29,2.6588833187821349e-29,7.1379487800515969e-43,3.4166418650882215e-56,6.1826956181653755e-52,9.8079682080281825e-82,1.0793758586823371e-76,1.1214429098719915e-53,3.9097262072708832e-55,1.4386248109974214e-83,4.0000103608998372e-134,7.1298230782980694e-85,1.0348392687720452e-51,9.6782690581268257e-110,1.5515930169252964e-107,6.4327718302145733e-67,6.5375500677911285e-116
2.919484011612301e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,2.0594187881548278e-95,0.099999999999999992,2.812806922768387e-92,6.8594440646062719e-65,7.2187917013796912e-35,7.2979897721259233e-60,9.4322823826326003e-101,1.0810974088325725e-38,2.3577648668658085e-116,6.3616181833787348e-49,1.0255169527676003e-92,3.0151318555958055e-90,9.8472070248554518e-80,2.7209604081397738e-98,5.4994319057083609e-78,0.0,4.1924513900678263e-17,1.5187334655359609e-17,3.6645836911110539e-26,3.664583691109972e-26,5.6501305648961585e-29,5.6501233461044571e-29,3.1173297629518226e-42,3.0219810374320197e-55,5.4685213868161823e-51,1.8160421573078286e-80,2.0009809321813424e-75,4.8976330631122803e-53,1.7074802089260114e-54,2.6677596265082144e-82,6.3529140288971228e-132,5.783078719068902e-84,4.5194149632675321e-51,3.6316065966249638e-108,5.8374809032873194e-106,5.9128219586937437e-66,5.1676262113336606e-114
6.010702376848856e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,1.7618761314826287e-94,0.099999999999999978,4.8532808545295164e-91,5.8654453859457853e-64,3.0137000410489587e-34,6.2435838991375478e-59,3.2543900232827632e-99,4.5133688674242574e-38,1.6713755759982963e-114,2.6558503628562226e-48,3.5335855559075082e-91,5.2078908041104925e-89,1.6924812824616088e-78,9.6137552016035583e-97,4.6226041682277592e-77,0.0,8.6315175677794328e-17,3.1268041937495529e-17,7.5447311287580479e-26,7.544731128753533e-26,1.1632621751256792e-28,1.1632591614256382e-28,1.3014238112728062e-41,2.5401571499777995e-54,4.5966168995355152e-50,3.1196309650230781e-79,3.4391749695776608e-74,2.0446630923736468e-52,7.1283942263632031e-54,4.5858590265921011e-81,9.01374321496377e-130,4.6343850009169215e-83,1.8867667822386293e-50,1.2561291322995903e-106,2.0213344295221623e-104,5.0585374710634283e-65,3.6571524140401928e-112
1.2193139107321965e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,1.4567532568535446e-93,0.09999999999999995,8.0599488380809762e-90,4.8485089369052896e-63,1.2311920293428439e-33,5.1623159068753738e-58,1.0808041812291553e-97,1.843858449941634e-37,1.1248418459263228e-112,1.0850015314902084e-47,1.1727554654610855e-89,8.6529895713540767e-88,2.8051569485546979e-77,3.2298120141552251e-95,3.7898906518620799e-76,0.0,1.7509649923180206e-16,6.3429456501737855e-17,1.5305026004052025e-25,1.5305026004033578e-25,2.3597604123978044e-28,2.3597481004775118e-28,5.3167409131786585e-41,2.0825743013812216e-53,3.768576330668228e-49,5.1692409376433844e-78,5.7001802949018926e-73,8.3530970824346524e-52,2.912182021172401e-53,7.6012744218926198e-80,1.2137190728551104e-127,3.7083002033649482e-82,7.7080579417625343e-50,4.1771529750363468e-105,6.7251078154785567e-103,4.182486348157673e-64,2.4591441709430866e-110
2.455801256826818e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999953,0.099999999999999659,1.184607555327455e-92,0.099999999999999881,1.3136777116929992e-88,3.9422701814952932e-62,4.9766526225083613e-33,4.1979095618885857e-57,3.5229143383106454e-96,7.4531706622583829e-37,7.3807706002432492e-111,4.3857496671030379e-47,3.8213959202349881e-88,1.4106560521489291e-86,4.5674492242262045e-76,1.0587720728159435e-93,3.0691524686888678e-75,0.0,3.5265914633892001e-16,1.2775228563010451e-16,3.0825615754639928e-25,3.0825615754565357e-25,4.7527568869420485e-28,4.7527071204158235e-28,2.1491116844772314e-40,1.6865226636412419e-52,3.0518779925056497e-48,8.4157242591332297e-77,9.2812659348965613e-72,3.376440190532573e-51,1.1771508467502357e-52,1.2377154045444272e-78,1.5930978762042596e-125,2.9667193831722233e-81,3.1157202608803247e-49,1.3624791382333204e-103,2.194070531874833e-101,3.4011117577188712e-63,1.6128896160648246e-108
4.928775949016062e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999905,0.099999999999999298,9.5542890872742371e-92,0.099999999999999756,2.1213600086556516e-87,3.1794020207092318e-61,2.0010721089204737e-32,3.3857661413654785e-56,1.1377246051058601e-94,2.9968871430523988e-36,4.7827178737074746e-109,1.7634906519143264e-46,1.2339287595982676e-86,2.2782144610195328e-85,7.3718114892092812e-75,3.4289771897455371e-92,2.4703221392752582e-74,0.0,7.0778444054956599e-16,2.5639794388636586e-16,6.1866795255815544e-25,6.1866795255515674e-25,9.5387498360305116e-28,9.5385497288196183e-28,8.6414835618923682e-40,1.3574601638505246e-51,2.456396267307177e-47,1.3582181288634114e-75,1.49800006380135e-70,1.357639523030927e-50,4.7332742909699221e-52,1.9977140030386312e-77,2.0648468271310809e-123,2.3733834292940079e-80,1.2528174131239463e-48,4.401672041547972e-102,7.0890487749098459e-100,2.7430929409767469e-62,1.0449127770710223e-106
9.874725333394548e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999808,0.09999999999999859,7.6745245794284562e-91,0.099999999999999492,3.4098420930104117e-86,2.5537961259756887e-60,8.0250496050894731e-32,2.7196314905815111e-55,3.6573789415949771e-93,1.2018857834125386e-35,3.0799649328545307e-107,7.0723862546481479e-46,3.9663910623355729e-85,3.6621669657328583e-84,1.1846078276534568e-73,1.1038467758524331e-90,1.9822799028648541e-73,0.0,1.4180350289564977e-15,5.1368926039700057e-16,1.2394915425816592e-24,1.2394915425696334e-24,1.9110735734207335e-27,1.910993322924683e-27,3.4656214080977267e-39,1.0892762916291994e-50,1.9710701686910989e-46,2.1825537042206609e-74,2.4072458875820093e-69,5.4446436335724305e-50,1.8982567041228697e-51,3.2103020252123936e-76,2.6595617932496964e-121,1.8987075379985322e-79,5.0243581601792391e-48,1.4152524065627623e-100,2.2794424401610393e-98,2.2033582033147457e-61,6.7281560450210386e-105
1.9766624102151522e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999614,0.099999999999997174,6.1520813660049319e-90,0.099999999999998979,5.4683219006276924e-85,2.0471547390502607e-59,3.214089898218179e-31,2.1801212625146417e-54,1.1730006519271697e-91,4.8138121365687018e-35,1.9772878021429031e-105,2.83264343894185e-45,1.2721032069113962e-83,5.8731310361061189e-83,1.8994221210627992e-72,3.5427615077217584e-89,1.5882392896551547e-72,0.0,2.8385362057129213e-15,1.0282718934107183e-15,2.481138722628635e-24,2.4811387225804688e-24,3.8254707530560578e-27,3.8251493440662369e-27,1.3880562217511759e-38,8.7274656685077006e-50,1.5792016201064527e-45,3.4996268535959993e-73,3.8599691676685416e-68,2.1806188077597539e-49,7.602944192506057e-51,5.1476766016329246e-75,3.41487518735521e-119,1.5189661172101365e-78,2.012363953184824e-47,4.5395929099850599e-99,7.3117911235850491e-97,1.7661950279339126e-60,4.3189703075889965e-103
