Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),CH3X(22),HX(19),OCX(21),OX(20),CH2X(134),CHX(26),COX(37),H2X(36),C2H6X(39),CX(24),C2H3X(136),HOX(23),C2H5X(38),C2H4X(51),C2H3X(50),CH2(T)(29),C3H8X(43),C3H6(150),C3H6X(167),C3H5X(165),HOCXO(25),C3H5X(166),C3H5X(153),allyl(170),C4H8(212),C4H8X(300),H2OX(35),C4H7X(299),C4H7X(215),C4H7(303),C4H7X(360),C4H8(158),C4H8X(467)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1251880801870775e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.9846902009048524e-96,0.10000000000000001,1.6184013024781749e-93,6.6941486880637352e-66,1.5616372815572963e-35,3.5165913257972096e-61,9.044279004448048e-90,2.3387317432806775e-39,-1.0782690108843224e-117,1.3762060272900496e-49,1.9809300197621627e-94,8.6618901392230457e-92,1.4150828750972224e-68,5.3739650671581042e-70,7.6816875082430659e-79,1.438933990493555e-134,3.2315959341502495e-18,1.9510991047341011e-18,1.4123777971573041e-26,1.4123777971575377e-26,2.1776280409315257e-29,2.1776296025688071e-29,6.7437821639105144e-43,4.2212182993419429e-56,3.8192262242888432e-52,6.1026090233469211e-82,8.3006987955431659e-78,1.0595100005391895e-53,3.0243368854439112e-88,3.693840469330968e-55,7.1621263479447076e-84,3.5164343486923194e-151,9.1772022961463736e-154,2.782382447419077e-71,-2.1017542453232068e-134,-5.6862182670582753e-192,-1.134591533997117e-208,-1.4805304178163549e-211,9.7769067272158832e-52,-7.4026520890817744e-212,-3.238211418047319e-212,-1.5072120079948865e-222,5.002611942277552e-250,8.6445712800359001e-267,4.935353435664339e-110,1.1280315730883321e-269,5.5893148305803141e-270,4.0609439300063496e-276,2.0219359604219251e-265,6.6098644114024907e-246,1.1421922130887361e-262
3.150526624523817e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,2.9992638316089194e-95,0.10000000000000001,5.0893033724381232e-92,1.0027473853681535e-64,9.4322826493969158e-35,5.3142728115424897e-60,2.0231678106251995e-88,1.4125939729413027e-38,1.3326124175610435e-116,8.3122844048318968e-49,1.0324861716057942e-92,2.7234369574794274e-90,1.6799853240255368e-67,6.3799672821503459e-69,9.1196997501596675e-78,2.3247929771892445e-133,9.0484686156197283e-18,5.463077493255133e-18,3.9546578320396921e-26,3.9546578320411053e-26,6.0973534549100106e-29,6.0973628871926598e-29,4.0732444270010524e-42,5.0114303649777423e-55,4.5341824983201054e-51,1.7064743688758909e-80,2.3409298715228111e-76,6.3994359720859751e-53,9.5089926868255048e-87,2.2310797344053909e-54,2.0340949930672514e-82,1.0577941151561825e-149,2.7606346713317815e-152,3.3032444415755586e-70,4.4653580461253748e-133,3.1858371360972219e-190,1.1328808118768968e-206,1.4782980936191008e-209,5.9052516631150056e-51,7.3914904680955041e-210,3.2335702614916615e-210,2.6940211217559135e-220,1.5553338018271698e-247,4.8463871994720583e-264,2.8429449336287344e-108,6.3240588796361166e-267,3.1338324747781531e-267,4.040007535777868e-273,1.1163827640252273e-262,2.0238507722811787e-243,6.3064494864144622e-260
7.201203713197296e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,3.2264711658087841e-94,0.099999999999999992,1.1334491342968839e-90,1.075655606512851e-63,4.5412314179683764e-34,5.7168521865154135e-59,3.9974333613694875e-87,6.8010319094568191e-38,1.448174743736005e-114,4.0020071273594614e-48,4.5165142201089183e-91,6.07583854398089e-89,1.6494172968190775e-66,6.2638811409989555e-68,8.9537760147659661e-77,1.9030822315460204e-131,2.0682213978554787e-17,1.2487034270295774e-17,9.0392179018014348e-26,9.0392179018082409e-26,1.3936784044126182e-28,1.3936829456440362e-28,1.9610918532638302e-41,4.9202520497098308e-54,4.451681174060562e-50,3.7008200246683735e-79,5.0920337936036607e-75,3.0810484348210202e-52,2.1214009466312984e-85,1.0741689448756741e-53,4.4323128726887064e-81,1.6848332980878614e-147,4.3970836587887981e-150,3.2431449807102794e-69,1.0206632257037621e-130,2.3642859889832249e-187,1.6994489615219933e-203,2.2176138334084334e-206,2.8431244760892962e-50,1.1088069167042167e-206,4.8508106202477211e-207,8.1307365289574013e-217,1.0633196935002668e-243,6.6152280495539773e-260,1.2727623261035598e-106,8.6322223061667005e-263,4.2778249771169661e-263,1.1009497086662516e-268,1.522612006134409e-258,1.3825474961956479e-239,8.6012396588951641e-256
1.5302557890544253e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,2.9656828734097426e-93,0.099999999999999978,2.1214241692911906e-89,9.8760576910797253e-63,1.9832692242453947e-33,5.2547720862984283e-58,7.113200138189828e-86,2.9701893139629554e-37,1.1457774690772085e-112,1.7477816546583607e-47,1.6826269956729819e-89,1.1379375077533942e-87,1.4588869059007996e-65,5.5403166890183905e-67,7.9195147693297526e-76,1.402274412199974e-129,4.3949704704409328e-17,2.6534947824371379e-17,1.9208338041312784e-25,1.9208338041342507e-25,2.9615564268013332e-28,2.9615762594935757e-28,8.5646033481524291e-41,4.3519072178829787e-53,3.9374507510046284e-49,6.8524891828434135e-78,9.4397724805999076e-74,1.3455708323985102e-51,3.9731378584969611e-84,4.6911788054573573e-53,8.2226449806596172e-80,2.4841778131291293e-145,6.4832156867004981e-148,2.8685250079881035e-68,1.6182123317383404e-128,1.4819123592856809e-184,2.1306767399530947e-200,2.7803236931639941e-203,1.2416671541651648e-49,1.390161846581997e-203,6.081779893167998e-204,2.038945227838918e-213,5.666047436035271e-240,7.050178271545814e-256,4.7851964860046969e-105,9.1997895888417306e-259,4.5591798518135522e-259,2.348386175459978e-264,1.6238909945803702e-254,7.372398614362019e-236,9.17336496037182e-252
3.150526624523817e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999986,0.099999999999999922,2.5372041365557731e-92,0.09999999999999995,3.6632148094526423e-88,8.4449516018677979e-62,8.2797097573272331e-33,4.4955681517780812e-57,1.1997387781349066e-84,1.239995570284261e-36,8.1237515184149618e-111,7.2966443566918249e-47,5.7989789210006613e-88,1.9655047201000105e-86,1.2262755962117699e-64,4.6569443618613279e-66,6.6568315077947168e-75,9.6104918027556281e-128,9.0484686156056083e-17,5.4630774932499868e-17,3.9546578320286963e-25,3.9546578320411033e-25,6.0972800900950791e-28,6.0973628871926524e-28,3.5755533032928252e-40,3.6580402387049831e-52,3.3096463802029584e-48,1.1771375916350762e-76,1.6224557021804669e-72,5.6174602086228827e-51,6.8625684184951851e-83,1.9584754853056055e-52,1.4137544754865483e-78,3.4068117459707153e-143,8.891108855570463e-146,2.4111681108085626e-67,2.296387328137234e-126,8.3697653041650109e-182,2.4070016735751949e-197,3.1409005678996571e-200,5.1837159450485916e-49,1.5704502839498285e-200,6.8705726780141261e-201,4.6069853059019755e-210,2.6357244992179669e-236,6.5592748893489104e-252,1.656484759797374e-103,8.559208932481892e-255,4.2417647184782478e-255,4.3714908366418743e-260,1.5114158394546218e-250,3.4308360747694807e-232,8.5379924825476667e-248
6.3910682954626e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999972,0.099999999999999825,2.0978094448215772e-91,0.099999999999999895,6.0857159052847166e-87,6.9807979141977376e-61,3.3824916788262239e-32,3.717022683632166e-56,1.9705535406309392e-83,5.065786505188977e-36,5.467878240124059e-109,2.9809173033513241e-46,1.9248148809535871e-86,3.26571768430465e-85,1.0053637485181778e-63,3.818002294708441e-65,5.4576761972039123e-74,6.3612900894942548e-126,1.835546490591003e-16,1.1082242914866595e-16,8.0223058878041173e-25,8.0223058878548059e-25,1.2368597893422913e-27,1.2368936142590793e-27,1.4607301918210656e-39,2.9990823971620799e-51,2.7134181756090736e-47,1.9505250261269541e-75,2.6891013410747649e-71,2.294888706091319e-50,1.1402129846022592e-81,8.0010169498712135e-52,2.3436026826896516e-77,4.5111942585367998e-141,1.1773330084573647e-143,1.9768212938771487e-66,3.092453232767483e-124,4.4969330179702353e-179,2.586599842597524e-194,3.3752585233907363e-197,2.1177171032845295e-48,1.6876292616953681e-197,7.3832483752527722e-198,9.9017332741731875e-207,1.1491571380413119e-232,5.7196355745899371e-248,5.5105068559133457e-102,7.4635621660103704e-251,3.6988024594762941e-251,7.6253747904025691e-256,1.3182082672369001e-246,1.4961216252450448e-228,7.4465623460775472e-244
1.2872151637340166e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999942,0.099999999999999645,1.7059038009913166e-90,0.099999999999999784,9.9206626021502018e-86,5.6760157141018727e-60,1.3672249473387218e-31,3.0226211155432526e-55,3.1942841073506792e-82,2.0476719003439463e-35,3.5879933877762139e-107,1.2049344347817362e-45,6.2722947341697249e-85,5.3239512078209296e-84,8.1415169395734511e-63,3.0918491345560046e-64,4.4197734152494604e-73,4.139742806177661e-124,3.6969457486419144e-16,2.2320573758063451e-16,1.615760199927731e-24,1.6157601999482199e-24,2.4910715428439693e-27,2.4912082653387032e-27,5.9045049859602703e-39,2.4287346816668343e-50,2.1973479820990979e-46,3.1755328660466888e-74,4.3785044298541647e-70,9.2760881275035315e-50,1.8587924818027057e-80,3.2341434694959746e-51,3.8162832438801176e-76,5.8722792228341875e-139,1.5325494243241745e-141,1.6008811363266791e-65,4.0592905792708826e-122,2.3580836426325849e-176,2.7127638887769185e-191,3.5398902013235531e-194,8.5601511192126244e-48,1.7699451006617766e-194,7.743388782532273e-195,2.0769679215877524e-203,4.854818989637918e-229,4.8327415725601905e-244,1.7976950109326394e-100,6.3062526779432548e-247,3.1252687055524977e-247,1.2887282346160613e-251,1.1139184209845955e-242,6.321274650910212e-225,6.2925284124330673e-240
2.58343183210953e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999881,0.09999999999999927,1.3758732161087337e-89,0.099999999999999561,1.6021462997522685e-84,4.577652454215584e-59,5.4972918777149133e-31,2.4378534315975004e-54,5.1440767513009319e-81,8.2335986513112053e-35,2.3250698615588365e-105,4.8449883673156108e-45,2.0253776431402378e-83,8.5982185415646794e-83,6.5527124262899309e-62,2.4884795296244084e-63,3.5574273817628185e-72,2.671542502537256e-122,7.4197442647038456e-16,4.4797235444311738e-16,3.2428194221913092e-24,3.2428194222736927e-24,4.9992878383101622e-27,4.9998375674979337e-27,2.374175485862582e-38,1.9548569669199642e-49,1.768538901778175e-45,5.1250111716482319e-73,7.0669238023946244e-69,3.7296981758232946e-49,3.0018176916997322e-79,1.3004384781515627e-50,6.1597666950829501e-75,7.5797335348688973e-137,1.9781614301090202e-139,1.2885284120137964e-64,5.2614679045892398e-120,1.2217780406982038e-173,2.8111246778201133e-188,3.6682413618509579e-191,3.441999111219833e-47,1.834120680925479e-191,8.024160258040372e-192,4.3045803322739384e-200,2.0193826431486004e-225,4.0204063476929299e-240,5.8081919968639612e-99,5.2462350647067148e-243,2.5999455056478598e-243,2.1443233518435598e-247,9.267272185021547e-239,2.6294952471797783e-221,5.235084769111885e-236
5.175865168860557e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999761,0.099999999999998521,1.1051761903737981e-88,0.099999999999999117,2.5753793424131296e-83,3.6769157409037867e-58,2.2044517979473576e-30,1.9582164523229754e-53,8.2566783709398667e-80,3.3020413158040265e-34,1.4973133052875466e-103,1.9430570326945767e-44,6.5105431108162263e-82,1.3821459514304893e-81,5.2576757739594365e-61,1.9966721695900841e-62,2.8546262408156749e-71,1.7168905761846655e-120,1.4865341296668143e-15,8.9750558816226536e-16,6.4969378665942229e-24,6.4969378669246191e-24,1.0014891720018374e-26,1.0017096171816322e-26,9.5215055739622128e-38,1.5686496033177344e-48,1.4190160553662848e-44,8.2355066303511795e-72,1.1356356833148141e-67,1.4956345837893587e-48,4.8248934548843228e-78,5.2153689150513859e-50,9.898797106023886e-74,9.742686374212238e-135,2.5426495961385125e-137,1.0339629019351066e-63,6.7769593795093367e-118,6.2927149782698226e-171,2.8957319543451854e-185,3.7786455405705302e-188,1.3803955868392384e-46,1.8893227702852651e-188,8.265669783091649e-189,8.868303031694782e-197,8.3351538890531879e-222,3.3189090658947468e-236,1.8675699833335466e-97,4.3308500714514162e-239,2.1462974016544565e-239,3.5404378258528198e-243,7.6504753014485057e-235,1.0853716873180436e-217,4.3217557464486354e-232
