Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),CH3OO(77)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.553161002830065e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,3.7434077660546943e-72,6.6652318274033472e-42,0.0,2.9602141457997882e-57,0.0,6.663624561360049e-25,-4.7753787066387707e-118,6.6636245612852995e-25,8.7308113235407187e-80,1.4215984473011208e-71,0.0,0.0,4.6922416160833978e-57,5.1262582687800212e-95,2.642698415522306e-18,1.2706328827193013e-19,4.8977056602262301e-23,5.3149578666439617e-38,4.897705660226973e-23,4.1872142665341884e-58,3.2641946571514528e-42
1.8348850807924183e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.1685234441607901e-70,4.02580002375163e-41,0.0,4.4734756171165664e-56,0.0,1.8658148772050314e-24,9.2172556632702495e-117,1.865814877159884e-24,2.4622284862111271e-78,4.4697329532406828e-70,0.0,0.0,5.5706292313484658e-56,2.6534989161496644e-93,7.3995555634624574e-18,3.5577720716140437e-19,1.3713575848631041e-22,3.2102345418464572e-37,1.3713575848635524e-22,4.9710607772293789e-57,1.9715735729407789e-41
4.194023041811242e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,2.6015872823460165e-69,1.9382494154089044e-40,0.0,4.8123609325222406e-55,0.0,4.2647197194399557e-24,9.7325353198254689e-115,4.2647197192225914e-24,5.3558847754815414e-77,9.971728277254662e-69,0.0,0.0,5.4692767803829961e-55,1.1586214741196789e-91,1.6913269859342745e-17,8.1320504494035286e-19,3.1345316225431045e-22,1.5455897332103205e-36,3.1345316225452627e-22,4.8806169490722207e-56,9.492278063315941e-41
8.912298963848889e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,4.8686318236389349e-68,8.4648444208023588e-40,0.0,4.4233887937598032e-54,0.0,9.0625294042972876e-24,7.6927586894638947e-113,9.0625294033480025e-24,9.9289077335622255e-76,1.8675943240438652e-67,0.0,0.0,4.8375133171373321e-54,4.3132572471047038e-90,3.5940698451103261e-17,1.7280607204982499e-18,6.6608796978992577e-22,6.749996341737147e-36,6.6608796979086833e-22,4.3168504202260231e-55,4.1455272149125107e-40
1.8348850807924181e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,8.4063710551811755e-67,3.5339059148893512e-39,0.0,3.7843022413882538e-53,0.0,1.8658148775561894e-23,5.4523549310495761e-111,1.8658148771598808e-23,1.706525554705945e-74,3.2258046772766583e-66,0.0,0.0,4.0662213283282871e-53,1.4859825199250919e-88,7.3995555634624035e-17,3.5577720716140435e-18,1.3713575848596171e-21,2.817990526884015e-35,1.3713575848635521e-21,3.6285728879501457e-54,1.7306760075188489e-39
3.7221954496074766e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996518,0.022821567693054282,0.0,1.3964957620132605e-65,1.4437158747429553e-38,0.0,3.1289342743928388e-52,0.0,3.7849387524290845e-23,3.6691849164027769e-109,3.7849387508100368e-23,2.8284409562477623e-73,5.3597224527337326e-65,0.0,0.0,3.3337337570160441e-52,4.9314342005607236e-87,1.5010527000166457e-16,7.2171947738456284e-18,2.7818968149928425e-21,1.1512410202842338e-34,2.781896815008918e-21,2.9749232826813351e-53,7.0703761976921891e-39
7.496816187237595e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996503,0.022821567693054278,0.0,2.2764531212750028e-64,5.8357303960200052e-38,0.0,2.5443973878832282e-51,0.0,7.6231865046547735e-23,2.4074864315369993e-107,7.6231864981103239e-23,4.6053828717362617e-72,8.7376994594620058e-64,0.0,0.0,2.6997437722833881e-51,1.6068360365776916e-85,3.0232469873574168e-16,1.4536040178308787e-17,5.6029752752346641e-21,4.6534997969054299e-34,5.6029752752996432e-21,2.4091700044098549e-52,2.857959105749134e-38
1.5046057662497829e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.11866996602996473,0.022821567693054271,0.0,3.6763277583381701e-63,2.3465215257651911e-37,0.0,2.0521486704087247e-50,0.0,1.529968201902575e-22,1.5600153800197274e-105,1.5299681992710797e-22,7.4331065223318129e-71,1.4111405180410296e-62,0.0,0.0,2.1729882465670094e-50,5.1883761925401194e-84,6.0676355620387971e-16,2.9173730987235074e-17,1.1245132195619788e-20,1.8711514197582394e-33,1.1245132195881069e-20,1.9391096126022492e-51,1.1491727875073867e-37
3.0144540613018297e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999875,0.11866996602996412,0.022821567693054257,0.0,5.9094678011680866e-62,9.4106008257241125e-37,0.0,1.6483974126328341e-49,0.0,3.0652673087446093e-22,1.004606235634165e-103,3.0652672981911367e-22,1.1944802633757768e-69,2.2683662730604785e-61,0.0,0.0,1.7436855538065699e-49,1.667757165514584e-82,1.2156412711400919e-15,5.8449112605087531e-17,2.2529446035995984e-20,7.5041510242420635e-33,2.2529446037043826e-20,1.556013343255085e-50,4.608696864785428e-37
