Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),H2OX(23),C2H4X(65),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.389668641139981e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.3829416299907149e-65,3.0502777133645457e-36,5.3325602644973056e-91,1.9175322319921487e-54,1.8625339111675846e-134,5.6393892862449731e-20,-7.2674947674862771e-106,5.639389286244937e-20,2.8051395122344471e-72,8.8264591029705529e-71,1.2124664491005606e-114,1.4058520818242774e-115,5.5523579541198228e-54,1.3344974691929026e-85,3.079825305287053e-18,9.1188153422013965e-20,3.650567557647596e-22,9.2522642022706913e-38,3.4259550458221638e-37,3.6505675576436999e-22,2.2332008570941466e-52,2.2451288014233669e-98,3.6349935054986995e-71,4.4062700968655147e-115,3.4528103755707242e-54,2.6190730298943667e-102,6.7557864239268018e-36,2.727913658337832e-46,5.4876767754762807e-53,7.1144659082902443e-84,2.1352675287167664e-108
1.7891072195191947e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.0935916649634197e-64,1.8423677388721846e-35,5.9061845960857814e-89,2.8977747023980595e-53,6.7359047380590557e-132,1.5790290001486044e-19,1.4029998351158687e-104,1.5790290001485816e-19,7.9109422294740042e-71,2.7751799810336394e-69,2.4293296387561453e-112,2.8168021742912592e-113,6.5917593607797536e-53,6.907743220956276e-84,8.6235108548037451e-18,2.553268295816391e-19,1.0221589161413674e-21,5.5883675759947371e-37,2.0692768476744621e-36,1.0221589161390142e-21,2.6512560575421619e-51,2.1143092727020307e-96,1.0251263261986015e-69,7.5132074076184713e-113,4.0991764764008213e-53,2.4664644581520656e-100,4.0804949998886274e-35,3.2385790935221909e-45,6.5303488061200588e-52,4.3381252479009642e-82,4.2782781313465216e-106
4.089387930329588e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.1124216084323881e-63,8.8702075904640865e-35,5.3700375531493868e-87,3.1172937913616041e-52,2.4509789326306546e-129,3.6092091431968671e-19,1.4814197032964181e-102,3.6092091431967559e-19,1.7208027311316162e-69,6.1912738714625137e-68,4.4198489293991776e-110,5.1248047509693836e-111,6.4718284240330313e-52,3.0161910309348035e-82,1.9710881953837112e-17,5.8360418190088937e-19,2.3363632368947457e-21,2.6905584267551733e-36,9.9626772732189824e-36,2.3363632368834151e-21,2.603018919028908e-50,1.8479172183958123e-94,2.2298736745988056e-68,1.3131274132677748e-110,4.0245957691873306e-52,2.1557026680372238e-98,1.9645826918331717e-34,3.1796561550234792e-44,6.4441107580952309e-51,1.9682413186584015e-80,7.7837699408051925e-104
8.689949351950375e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.0876732388018165e-61,3.8738526959729636e-34,4.1044872881145358e-85,2.8653300566488103e-51,7.5051657408647758e-127,7.6695694292935846e-19,1.1709388113609711e-100,7.6695694292931002e-19,3.1900782524143188e-68,1.1595570741136096e-66,6.7635191798251377e-108,7.8422850598967669e-109,5.7242589410723974e-51,1.1228522958597572e-80,4.1885624151903788e-17,1.2401588865393899e-18,4.9647718784021546e-21,1.1750375503143954e-35,4.3509629081612146e-35,4.9647718783526687e-21,2.3023407556297217e-49,1.3786035807416497e-92,4.1338099866287673e-67,1.9611886885535464e-108,3.5597093751847905e-51,1.6082210755183881e-96,8.5798487558580292e-34,2.812369854416266e-43,5.7576921362899772e-50,7.5060842056150858e-79,1.1911193827359857e-101
1.7891072195191946e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.8345202749284699e-60,1.6172572436258741e-33,2.9075929577330739e-83,2.451350189022554e-50,2.1283144212063567e-124,1.5790290001487794e-18,8.299199614286541e-99,1.5790290001485766e-18,5.4829294473665442e-67,2.0028464776037007e-65,9.5874841518018905e-106,1.1116666002795677e-106,4.8115845375417412e-50,3.868396407891351e-79,8.6235108548036881e-17,2.5532682958163906e-18,1.0221589161419575e-20,4.9055504496780725e-35,1.8164413652652719e-34,1.0221589161212978e-20,1.9352561315439663e-48,9.5095299814900391e-91,7.1049631739779363e-66,2.7071299880837344e-106,2.992150209061754e-50,1.1093418543664243e-94,3.5819179596898809e-33,2.3639663101323075e-42,4.9371735293942656e-49,2.6558483288155641e-77,1.6884461921593716e-99
3.6293317881675087e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.0132053538707041e-59,6.6070235382560701e-33,2.0126917010360917e-81,2.0268237407468154e-49,5.8945329312333325e-122,3.2031731145879284e-18,5.5849808794900011e-97,3.2031731145871006e-18,9.0875534599751403e-66,3.3277593562070574e-64,1.3275519499814912e-103,1.5392934575552189e-104,3.9448276831274122e-49,1.2837797276499539e-77,1.7493407734030208e-16,5.1794871143703893e-18,2.0735223727464827e-20,2.0040774095588868e-34,7.4207556672016896e-34,2.0735223726620821e-20,1.5866398998902818e-47,6.3153262214507756e-89,1.1775955407511162e-64,3.5966596114287224e-104,2.453145504138799e-49,7.3671944966334232e-93,1.4633303606411354e-32,1.9381223886554219e-41,4.2076622640289822e-48,9.1890707493802364e-76,2.3379439270045524e-97
7.309780925464137e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,4.8845359182647366e-58,2.6706645513808462e-32,1.4120513474088589e-79,1.6481794053361505e-48,1.6539445835920401e-119,6.4514613434674594e-18,3.6645102359877111e-95,6.451461343464116e-18,1.4796725015042174e-64,5.4250875638235958e-63,1.8625736498187184e-101,2.1596498980038961e-102,3.1946236947715834e-48,4.1830093346613551e-76,3.5233201492482854e-16,1.0431924751478383e-17,4.1762492859596967e-20,8.1008012062862378e-34,2.9995880882530757e-33,4.1762492856185356e-20,1.284902127348333e-46,4.1166966308266909e-87,1.9174090663894628e-63,4.6896967947774482e-102,1.9866208064795599e-48,4.8023654898571297e-91,5.9150152760442612e-32,1.5695417316588325e-40,3.6664125183627892e-47,3.224034677672596e-74,3.2801674940715101e-95
1.4670679200057396e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,7.8663945253645348e-57,1.0738624701007974e-31,1.0391473664654108e-77,1.3293163997993255e-47,4.8662106294636173e-117,1.2948037801231456e-17,2.3745480972193966e-93,1.2948037801218006e-17,2.3881973830051096e-63,8.761530680977075e-62,2.7404719150635633e-99,3.1775709338480861e-100,2.5713110118020245e-47,1.3506683663550758e-74,7.0712789009386557e-16,2.0936800025694344e-17,8.3817031124027852e-20,3.257296449929622e-33,1.2061211775344403e-32,8.3817031110309898e-20,1.0342010160483941e-45,2.6588961471789785e-85,3.0947059635544804e-62,6.05840882071741e-100,1.5990052171327491e-47,3.1017566250358247e-89,2.3784016208313919e-31,1.263303687785891e-39,3.3678825220131231e-46,1.1871054374135624e-72,4.8262289624751278e-93
2.9392475749243913e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996388,0.022821567693054264,0.0,1.2627304906414154e-55,4.3066688018327679e-31,8.3087946666625569e-76,1.0677792236399019e-46,1.5550999244693733e-114,2.5941190716779175e-17,1.5291425027499609e-91,2.5941190716725246e-17,3.8377690815591128e-62,1.4083903953585262e-60,4.3800618574979339e-97,5.0786717317473505e-98,2.0633150491806672e-46,4.3416027725321016e-73,1.4167196404318762e-15,4.1946550574126189e-17,1.6792610765355605e-19,1.3063214931853392e-32,4.8370853721173256e-32,1.6792610759854085e-19,8.2988118367346516e-45,1.7094802695632206e-83,4.9731094037791735e-61,7.7905293991272542e-98,1.2831009206810422e-46,1.9942079028758414e-87,9.5384542136531365e-31,1.0137215773055816e-38,3.3714817029364593e-45,4.7511231290299052e-71,7.7137011602119865e-91
