Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),OX(20),OCX(21),CH3X(22),HX(19),COX(32),CH2X(58),CHX(26),H2X(31),C2H6X(34),HOX(23),CXHO(27),CX(24),C2H5X(33),C3H8X(38),C2H4OX(44),H2OX(30),CH4OX(41),HOCXO(25)
2.121571194916258e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.3304052162764217e-98,0.10000000000000001,7.6383864111596097e-95,4.4885823304488735e-68,7.8397135354742838e-34,4.7145746736981321e-63,1.0653622918883054e-102,8.3146110915543506e-41,-5.5717014561955173e-121,4.8926563578448466e-51,1.1446922113572622e-97,2.1895876573015882e-94,1.1665046145819786e-80,-1.6890795793775681e-99,5.1492886694411308e-81,0.0,3.0466288117635397e-18,1.1036543308411108e-18,5.7978655317007061e-27,5.7978647477293528e-27,2.6630305798891034e-27,2.663030579889187e-27,7.2303262156364927e-51,2.3975068676802289e-44,2.829574751501953e-58,1.5430921821168246e-84,1.6786406967734943e-79,4.9347122913739302e-55,5.3937731897225828e-66,5.3189012517606336e-52,2.229238312625719e-86,-2.047741513882684e-137,-4.3475802250950758e-116,1.3176115917122823e-111,5.6642153670297624e-111,3.4758364486874859e-53
5.940399345765523e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,2.0105083628369297e-97,0.10000000000000001,2.4271878711142268e-93,6.7232567694987499e-67,4.7351863571969773e-33,7.1246652468916262e-62,7.6129491499268062e-101,5.0220250992986769e-40,2.2089247938998385e-120,2.9551644401382881e-50,5.94217632826242e-96,6.8844139299434622e-93,3.2897291901721188e-79,1.6689183149500447e-98,6.1132355095046145e-80,0.0,8.5305606729370597e-18,3.0902321263549979e-18,1.6234023488761979e-26,1.623401875357562e-26,7.4564856236892218e-27,7.4564856236897226e-27,8.5838422568902292e-50,1.4480941480787988e-43,3.3592711449829921e-57,4.314707212963504e-83,4.7340353474117026e-78,2.980566224598981e-54,8.1510688531792157e-65,3.2126159366218721e-51,6.305114563194888e-85,1.2565303830946778e-136,7.2974775888455112e-115,7.668121934567316e-110,3.2622980442164034e-109,2.0994052149989702e-52
1.3578055647464054e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,2.1628131519962551e-96,0.10000000000000001,5.3807145735528566e-92,7.2119563584127786e-66,2.2797877687719278e-32,7.6643897555355156e-61,3.3627572806279866e-99,2.4178889054237779e-39,2.7746394847893895e-118,1.422784468861281e-49,2.5965589210194689e-94,1.5358748773059602e-91,7.1558774572641663e-78,9.204830310144027e-97,6.002010876647305e-79,0.0,1.9498424395280674e-17,7.0633877173823194e-18,3.7106339402884519e-26,3.7106316605006829e-26,1.7043395711288375e-26,1.7043395711290792e-26,8.4276650553751129e-49,6.9719499712132037e-43,3.2981523303502798e-56,9.3570881119317366e-82,1.0297560923286413e-76,1.4350143352452294e-53,8.768545268318425e-64,1.5467358548498288e-50,1.3724900846944447e-83,3.6836665308844421e-134,8.6023217287015513e-113,3.41807944717274e-108,1.4629513708262652e-107,1.0107732392659139e-51
2.8853368250861114e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,1.9879979065775319e-95,0.099999999999999992,1.0052921640675614e-90,6.6215577517090331e-65,9.9564266075027066e-32,7.044894643409817e-60,1.2558189522249924e-97,1.0559556086271673e-38,2.1970649639846445e-116,6.21367357446295e-49,9.6692976897197975e-93,2.8765236690499082e-90,1.3265783032706521e-76,3.6227007541422347e-95,5.3087106540951432e-78,0.0,4.1434151839954208e-17,1.5009698899435164e-17,7.8850971231129577e-26,7.885087166686349e-26,3.6217215886482349e-26,3.6217215886492915e-26,7.4541704339773052e-48,3.0448337219529569e-42,2.91717838580762e-55,1.7325572555386887e-80,1.9089942479004566e-75,6.2670846194863516e-53,8.0597989091246299e-63,6.7549980883970199e-50,2.5451205955449641e-82,5.8506715288384748e-132,6.7997312590825225e-111,1.2827441254365916e-106,5.5039886969508867e-106,4.4143122897049018e-51
5.940399345765523e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,1.7007740636251806e-94,0.099999999999999978,1.7346547103731119e-89,5.6620310620995761e-64,4.1566074922227519e-31,6.0270556879529697e-59,4.3329117591095534e-96,4.4084068007399978e-38,1.5574587555941695e-114,2.5940864009293335e-48,3.3317138795190634e-91,4.9684793057389153e-89,2.2800464877934508e-75,1.2799803556945514e-93,4.4622911858319806e-77,0.0,8.5305606729246474e-17,3.0902321263533656e-17,1.6234023488761961e-25,1.6233981922687042e-25,7.4564856236853024e-26,7.4564856236897128e-26,6.2656728914847149e-47,1.2711581412432163e-41,2.4520642064540552e-54,2.9762190493784762e-79,3.2810733619984731e-74,2.6163844653837719e-52,6.8953193010747207e-62,2.8200755924844791e-49,4.3750434412741257e-81,8.3011469286701814e-130,4.8122005965835108e-109,4.4371238011498521e-105,1.9058565421631571e-104,1.8428884849787199e-50
1.2050524387124347e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,1.4062328855508924e-93,0.09999999999999995,2.8808592700790705e-88,4.6803620866377778e-63,1.6981060087577996e-30,4.9832861946231856e-58,1.4389883329319675e-94,1.8009780208732454e-37,1.048175414456653e-112,1.0597689377346222e-47,1.1057566315409556e-89,8.2552027042006279e-88,3.7790009804260223e-74,4.3001885950843977e-92,3.6584559263162155e-76,0.0,1.7304851650761186e-16,6.2687565991701815e-17,3.2931876220059966e-25,3.2931706409459083e-25,1.5126013693752526e-25,1.5126013693770549e-25,5.1369665236453895e-46,5.1930957756629629e-41,2.0103503839290509e-53,4.9316068220677339e-78,5.4381384749635228e-73,1.0688784283551515e-51,5.7011695247887726e-61,1.1520903327314879e-48,7.2518377935333297e-80,1.1177665232454194e-127,3.2358223114905017e-107,1.4755711915586377e-103,6.3409047827550511e-103,7.5288007803381196e-50
2.427077446984199e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999953,0.099999999999999659,1.1435252284052366e-92,0.099999999999999881,4.6955285009912524e-87,3.8055517959981897e-62,6.8639854429547255e-30,4.0523255731357614e-57,4.6904268102315932e-93,7.2798411119734797e-37,6.8777155751371113e-111,4.2837554887983158e-47,3.6030818060521104e-88,1.3458064004145753e-86,6.1530945936605208e-73,1.4096547506092967e-90,2.9627124802696061e-75,0.0,3.4853433606346597e-16,1.262580554479229e-16,6.6327581682655861e-25,6.6326895284111568e-25,3.0465069833859326e-25,3.046506983393216e-25,4.1600313956379045e-45,2.0991323429778312e-40,1.6280338627570662e-52,8.0288467242358211e-77,8.8545987610381505e-72,4.320577536467542e-51,4.6360739047675259e-60,4.6569126026605489e-48,1.1808166433879753e-78,1.4671529139367062e-125,2.1222930154300975e-105,4.8129986020393239e-102,2.0687235493236119e-101,3.0432616501718345e-49
4.871127463527729e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999905,0.099999999999999312,9.2229452375515277e-92,0.099999999999999756,7.5825064045612234e-86,3.0691399911918353e-61,2.7599537911670621e-29,3.2683473802948459e-56,1.5147727313841676e-91,2.9271920932141136e-36,4.4567396811579532e-109,1.7224792414046914e-46,1.1634351311642176e-86,2.1734809608024819e-85,9.9310263187900375e-72,4.5653589238699424e-89,2.3846487852915596e-74,0.0,6.9950597517166771e-16,2.5339903435990402e-16,1.3311899260784731e-24,1.3311623265405613e-24,6.11431821139623e-25,6.1143182114255209e-25,3.3483273649519912e-44,8.4405188278954363e-40,1.3103832884884309e-51,1.2957797616632708e-75,1.4291358099222439e-70,1.7372852490286529e-50,3.7391253116192669e-59,1.8725074083656436e-47,1.9058775021016586e-77,1.9016069787826293e-123,1.3749306306018824e-103,1.5549141495708027e-100,6.6840489949915819e-100,1.2236821244544181e-48
9.759227496614787e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999811,0.099999999999998604,7.4083711800796347e-91,0.099999999999999506,1.2188035889982127e-84,2.4652301811880819e-60,1.1068452080932833e-28,2.6253143561845603e-55,4.8694552945680227e-90,1.1739349512402686e-35,2.870042159164133e-107,6.9079121557028456e-46,3.7397934605176497e-85,3.4938072597424982e-84,1.595859327546558e-70,1.4696679469531369e-87,1.9135305200290321e-73,0.0,1.4014492533740451e-15,5.0768099218202222e-16,2.6670181445822887e-24,2.666907460061479e-24,1.2249940667372587e-24,1.2249940667490048e-24,2.686777198625554e-43,3.3850255613982355e-39,1.0515000639494397e-50,2.0822199752548995e-74,2.2965828803119235e-69,6.9672910625732042e-50,3.003410564675316e-58,7.5094585231888486e-47,3.0627218888900307e-76,2.4493057790692337e-121,8.8531311982014547e-102,4.9994673996405957e-99,2.1492150012150175e-98,4.9075126216327958e-48
1.9535427562788905e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.2411196879999962,0.099999999999997202,5.9387264732443085e-90,0.099999999999998992,1.9545797760828955e-83,1.9761591761130899e-59,4.4329962756323884e-28,2.1045144051778557e-54,1.5617404779307373e-88,4.7018630171145331e-35,1.8425207678499668e-105,2.7667680101292511e-45,1.1994286946527289e-83,5.6031161448910131e-83,2.558831525584097e-69,4.7168551801475128e-86,1.5331530591822583e-72,0.0,2.8053358097226956e-15,1.0162449078188827e-15,5.3386745815898626e-24,5.3382312819623005e-24,2.4521185579148332e-24,2.4521185579618797e-24,2.1526197498427907e-42,1.3557758445015131e-38,8.4247961505045398e-50,3.3387462248495152e-73,3.6825233162650012e-68,2.7905507002729882e-49,2.4075119661521827e-57,3.0075932408523863e-46,4.9110338158716572e-75,3.1449066355752795e-119,5.6830471304098527e-100,1.6036391792878722e-97,6.8940456624742502e-97,1.9655647915328273e-47
