Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),OCX(21),OX(20),CH3X(22),HX(19),COX(37),CH2X(134),CHX(26),H2X(36),C2H6X(39),HOX(23),CXHO(27),CX(24),C2H3X(143),C2H5X(38),C2H4X(51),C2H3X(50),C3H8X(43),C3H6(158),C3H6X(171),C3H5X(169),SX(157),SX(217),H2OX(35),C2H4OX(49)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0325433966341076e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.5337093804623628e-96,0.10000000000000001,4.2858321000147333e-92,5.1730305503566427e-66,1.8569701761232214e-32,2.7175133186816408e-61,9.0566062050231764e-87,1.9694588157073782e-39,-6.652687844673743e-118,1.1589104968804403e-49,1.2890954935409768e-94,6.142511403490744e-92,1.5441519380732829e-65,5.8641192071697219e-67,5.9361743825205922e-79,8.8535774590730799e-135,2.965515811224837e-18,1.7904513318670893e-18,2.8217956364455502e-26,2.8217974934157263e-26,1.2960866843863994e-26,1.2960866843865957e-26,4.1675741428335057e-49,5.6789747174789903e-43,3.262025802051411e-56,4.3276130963908858e-82,5.8863709428027304e-78,1.1688912459494912e-53,6.2180595034324087e-64,1.2598826883482112e-50,3.0284583507972511e-85,5.0789618180125199e-84,1.9854713474221245e-151,5.1816898601479783e-154,-1.189967626364907e-134,-2.7138792486057526e-192,-4.9692371525358832e-209,-6.4843659918329368e-212,-8.5250777039687535e-198,1.0501812643677929e-255,1.1993622744834557e-108,1.049428723196787e-83
2.891121510575501e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,2.3177416157547247e-95,0.10000000000000001,1.350425192776242e-90,7.7489208957401775e-65,1.1216092736873822e-31,4.1067061271901038e-60,2.0259254554625895e-85,1.1895531246870818e-38,7.9366334510838225e-117,6.9998194011578591e-49,6.7189312953761558e-93,1.9313038654385475e-90,1.8332161141408647e-64,6.9618782716639847e-66,7.0474262269240838e-78,1.3909070703687826e-133,8.3034442714287228e-18,5.0132637292275541e-18,7.9010217654712962e-26,7.9010329815640338e-26,3.6290427162812784e-26,3.6290427162824682e-26,4.9477411433017348e-48,3.4301007293566164e-42,3.8726770321947184e-55,1.2101317333954443e-80,1.6600507878047482e-76,7.0601031255301534e-53,9.3967248386396081e-63,7.60968660228917e-50,9.5219517502534868e-84,1.4424614000722157e-82,5.8131035852140049e-150,1.5171057463309148e-152,2.436332265466922e-133,1.4735144561458479e-190,4.8068380033143624e-207,6.2724510664653798e-210,4.6287340319285593e-196,3.16070244870762e-253,6.9222751601843179e-107,2.347528771690808e-82
6.608277738458289e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,2.4933206656300572e-94,0.10000000000000001,3.0087459702021389e-89,8.3123330269223234e-64,5.4000585818141843e-31,4.4178070519097084e-59,4.0028824325882817e-84,5.7271862360744356e-38,8.6478824720212931e-115,3.3701117249283192e-48,2.9391336727419061e-91,4.3086326829088601e-89,1.7998601921290179e-63,6.8352047895198689e-65,6.9192048602524704e-77,1.1364927328557257e-131,1.8979301191833217e-17,1.1458888523947284e-17,1.8059449957274833e-25,1.805950395786065e-25,8.294954780068485e-26,8.2949547800742144e-26,4.8577154957800205e-47,1.6514458478418495e-41,3.8022172748689001e-54,2.6244049338796592e-79,3.6109730639226407e-75,3.3991357432139573e-52,1.0108552919711652e-61,3.663731604724724e-49,2.1242922867012933e-82,3.1431374901381436e-81,9.2332984357516716e-148,2.409709359058844e-150,5.5930179036124992e-131,1.0911086585323258e-187,7.1971385050743282e-204,9.391558246924444e-207,3.427487093334427e-193,2.1565234475229175e-249,3.1003436106165944e-105,4.6383156176092484e-81
1.4042590194223865e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,2.2917912530373004e-93,0.099999999999999992,5.6321915783094849e-88,7.6319111838858719e-63,2.358341077007189e-30,4.0607258018298151e-58,7.1228980055869075e-83,2.5012126959456624e-37,6.8422616401769826e-113,1.4718163310381579e-47,1.0949740043852365e-89,8.0695921694436207e-88,1.5919519376256309e-62,6.0456459653381495e-64,6.1199583413750048e-76,8.3739871831741926e-130,4.0331015032629071e-17,2.4350138113381962e-17,3.8376210076346167e-25,3.8376445910453866e-25,1.7626778907632676e-25,1.7626778907657701e-25,4.296583495617363e-46,7.2122978911875588e-41,3.3630181208782506e-53,4.8593842185770295e-78,6.6941354945105001e-74,1.4844918823484502e-51,9.2914743051845508e-61,1.6000435194628965e-48,3.978553937537072e-81,5.831019706460758e-80,1.3613358150467757e-145,3.5528188297684155e-148,8.8678426327378106e-129,6.8386739586132909e-185,9.0229832178603784e-201,1.1774106110619915e-203,2.1482247936891183e-190,1.1490826305777849e-245,1.1658186411152503e-103,8.2536146435112203e-80
2.8911215105755016e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,1.9606756674705181e-92,0.099999999999999964,9.7261878309765349e-87,6.5259967689497162e-62,9.8455564542840642e-30,3.4740364164249569e-57,1.2013749836778338e-81,1.0442070640856148e-36,4.8512780180694868e-111,6.1445434544600829e-47,3.7737009965754794e-88,1.3938213706772642e-86,1.3381247639477096e-61,5.081704032036207e-63,5.1441937410506533e-75,5.7391128150742412e-128,8.303444271416832e-17,5.0132637292232182e-17,7.9009345259994842e-25,7.9010329815640285e-25,3.6290427162720191e-25,3.6290427162824677e-25,3.6115190665861164e-45,3.0109923951976797e-40,2.8268193676364441e-52,8.3475707639409626e-77,1.1505508556017673e-72,6.1974613859575721e-51,7.9490050190259321e-60,6.6798305613091378e-48,6.8719265252993789e-80,1.0025521259895384e-78,1.8669405034235561e-143,4.8723476612533817e-146,1.2584265245972596e-126,3.862445635567122e-182,1.0193156282785396e-197,1.3301066928522132e-200,1.2133056099507033e-187,5.3452838145954235e-242,4.0359889666209194e-102,1.3920859388695141e-78
5.864846492881732e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999975,0.099999999999999839,1.6211245576144411e-91,0.099999999999999908,1.6158697720030554e-85,5.394544194202394e-61,4.0221875059461156e-29,2.872400490361763e-56,1.9732427163531749e-80,4.2659265731541755e-36,3.2652645230856694e-109,2.5102464926628979e-46,1.2525784165786717e-86,2.3158550537106425e-85,1.0970644387712428e-60,4.1662458778550569e-62,4.2175208279628422e-74,3.7987817958609384e-126,1.6844129807703686e-16,1.0169763564985606e-16,1.6027407543850701e-24,1.6027809762601296e-24,7.3617723672731749e-25,7.3617723673158591e-25,2.9609116015195019e-44,1.2300886396966225e-39,2.3175973068134087e-51,1.3831981748513456e-75,1.9069536657408295e-71,2.5318651943200213e-50,6.5723135556803074e-59,2.7288991892219468e-47,1.1417689039266951e-78,1.6619461814621002e-77,2.4721445842429779e-141,6.451811325127707e-144,1.6946728276957654e-124,2.0752265455479658e-179,1.0953717420821637e-194,1.4293524448029432e-197,6.5188853053382076e-185,2.3305057064113686e-238,1.3426689898340915e-100,2.2864829688510153e-77
1.181229645749419e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999947,0.099999999999999672,1.3182715672967395e-90,0.099999999999999811,2.6341591366300135e-84,4.3862489637327799e-60,1.6257972849780049e-28,2.3357883751166082e-55,3.1986488987548237e-79,1.7243557271579909e-35,2.1426496723519375e-107,1.0146817677226665e-45,4.081712524497114e-85,3.7754282290814799e-84,8.8841326592310308e-60,3.3738657239288945e-61,3.4154577130224022e-73,2.4721368446630946e-124,3.3925500880193419e-16,2.048276323647977e-16,3.2279737527390798e-24,3.2281363324675781e-24,1.4827231669210098e-24,1.4827231669382635e-24,2.3977745089479324e-43,4.9722149558718719e-39,1.8768503868133071e-50,2.2519020293180725e-74,3.1049796991455252e-70,1.0234203925621793e-49,5.3443701683358535e-58,1.1030407921701628e-46,1.8613324655853289e-77,2.7062852469794219e-76,3.2180222006189168e-139,8.3984052594812047e-142,2.2245023377616741e-122,1.0881989461017439e-176,1.1487996160656754e-191,1.4990705682194568e-194,3.4183468471295331e-182,9.8456364078309844e-235,4.3802642860908388e-99,3.7064149126569185e-76
2.370719638671911e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999892,0.099999999999999326,1.0632337766920183e-89,0.099999999999999603,4.2540825962302397e-83,3.5374678903545642e-59,6.5369762030650115e-28,1.8838979442354873e-54,5.1511238961584908e-78,6.9335585389127851e-35,1.3884669338326311e-105,4.0799907606873884e-45,1.3180199024925961e-83,6.0973266743155822e-83,7.1504337676498297e-59,2.7154708652271848e-60,2.7490575054276329e-72,1.5953693163345566e-122,6.8088243024836939e-16,4.1108762579345619e-16,6.4781933472621479e-24,6.4788470448824538e-24,2.9758150272822376e-24,2.9758150273516134e-24,1.9298595004025546e-42,1.9993057651326603e-38,1.5106524735812867e-49,3.6343579312999644e-73,5.0114497526323802e-69,4.1151283866386155e-49,4.3102248128177814e-57,4.4350863887215404e-46,3.0059308905492321e-76,4.3681468771252902e-75,4.1537109964674886e-137,1.084036905417192e-139,2.883298799838046e-120,5.6382121134217535e-174,1.1904533833288591e-188,1.5534246398015498e-191,1.7711250934903275e-179,4.0953344108196392e-231,1.4152325870027644e-97,5.9688334134746594e-75
4.749699624516895e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999783,0.099999999999998646,8.5404719057222242e-89,0.099999999999999187,6.8382410392885238e-82,2.8414064849018739e-58,2.6213927264675535e-27,1.5132492795091378e-53,8.2680476761507209e-77,2.7806670850334594e-34,8.9415378390052551e-104,1.6362587770824504e-44,4.2367532926324579e-82,9.8012745486281088e-82,5.7373088670062681e-58,2.1788181777772941e-59,2.2059455183213691e-71,1.0252782944280825e-120,1.3641372731278031e-15,8.2360761264587441e-16,1.297764707698565e-23,1.2980268469712117e-23,5.9619987479000698e-24,5.9619987481782968e-24,1.548465503292434e-41,8.0181103293197632e-38,1.2122034724480866e-48,5.8401392383426429e-72,8.05326521608371e-68,1.65035053650541e-48,3.4618803408242303e-56,1.7785139244042054e-45,4.8315410375137099e-75,7.0196489279869949e-74,5.339014000832384e-135,1.3933776857385299e-137,3.7137922733997859e-118,2.9039367692242525e-171,1.2262828198830172e-185,1.6001785323641923e-188,9.1221032101911956e-177,1.6903801072643689e-227,4.5505436828738252e-96,9.5805498419985204e-74
