Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),C2H6X(52),C2H4X(205),C2H4X(65),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.305033530381265e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,4.4432594753745397e-71,2.9700080994032163e-36,4.9223809275033597e-91,1.8423413658282248e-54,1.6740248209979713e-134,5.5646936881173174e-20,-6.7087155489487034e-106,5.5646936881172801e-20,2.6594440479639983e-72,1.3650826963142964e-71,1.1043795866059228e-114,1.2805252282064281e-115,8.7029267618274523e-55,1.2484268015439565e-85,3.0390311154049371e-18,8.9980309964363556e-20,3.6022135338435435e-22,9.0087835435535351e-38,3.3357997036290243e-37,3.6022135338397499e-22,2.1456313277438507e-52,2.0725063727164709e-98,3.4461972654259895e-71,4.0136065077897687e-115,2.4176977213689914e-102,6.5780037675138954e-36,2.6209453049241852e-46,5.2723039159539264e-53,6.6553721107449464e-84,1.9449158093103298e-108
1.7654093885067544e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.0953548657400897e-69,1.7938848920395427e-35,5.4517168976313359e-89,2.7841462910578881e-53,6.0539743198837182e-132,1.5581142326728608e-19,1.2951267329532288e-104,1.558114232672838e-19,7.5000577757214845e-71,4.2920384252131704e-70,2.2126972022710904e-112,2.5656165907565589e-113,1.0332114629349088e-53,6.4622167134642993e-84,8.5092871231338226e-18,2.5194486790021794e-19,1.0086197894762321e-21,5.4413052474855203e-37,2.0148230209898895e-36,1.0086197894739405e-21,2.547293512297492e-51,1.9517452522666292e-96,9.7188277440981515e-70,6.843669983480107e-113,2.276822938139506e-100,3.973114275421631e-35,3.1115862644355475e-45,6.2738593846424625e-52,4.0580634947793227e-82,3.8967668563433271e-106
4.03522145944401e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,2.2539050087256958e-68,8.6367835530645458e-35,4.9565019599639945e-87,2.9950575333733647e-52,2.2027034331741718e-129,3.5614039603951652e-19,1.3675170977394549e-102,3.5614039603950569e-19,1.6314263890339356e-69,9.5753015773707999e-69,4.0254527605467483e-110,4.6675018964019823e-111,1.0144131364479438e-52,2.8216567245444231e-82,1.9449799138591578e-17,5.7587398377192674e-19,2.3054166616601453e-21,2.6197542352341438e-36,9.7005055381225816e-36,2.3054166616491126e-21,2.5009478756182061e-50,1.7058354272417232e-94,2.1140573214681398e-68,1.1961084241795589e-110,1.9899550028124027e-98,1.9128834953578956e-34,3.0549738425512442e-44,6.1905959888160306e-51,1.8410542324564861e-80,7.089199047631076e-104
8.57484560131852e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,4.0839758994364646e-67,3.7719102862420785e-34,3.7879204982565047e-85,2.7529738762535422e-51,6.7440539325894621e-127,7.5679834158399622e-19,1.0809082946171919e-100,7.5679834158394914e-19,3.0243895772516879e-68,1.793347996123987e-67,6.1591988710329709e-108,7.1415749037254737e-109,8.9723692292496776e-52,1.0504320512655779e-80,4.1330823169507025e-17,1.2237322155153443e-18,4.8990104060286061e-21,1.1441154901590332e-35,4.2364656235772188e-35,4.8990104059804225e-21,2.2120600736507451e-49,1.272606156286125e-92,3.9191059870914105e-67,1.7864178969851623e-108,1.4845681747798842e-96,8.3540647823128067e-34,2.7020897613410246e-43,5.5304513881888048e-50,7.0201310998165982e-79,1.0846925642360341e-101
1.7654093885067543e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,6.9478553424614887e-66,1.5746982943035781e-33,2.6826664862989248e-83,2.3552271112040753e-50,1.9120017010192861e-124,1.5581142326730305e-18,7.6610951954369998e-99,1.5581142326728331e-18,5.1981529484557506e-67,3.0975626289487074e-66,8.7286624455525908e-106,1.0120861165463611e-106,7.541816821675161e-51,3.618897684838399e-79,8.5092871231337665e-17,2.5194486790021791e-18,1.0086197894768061e-20,4.7764568559416896e-35,1.7686410028356311e-34,1.0086197894566904e-20,1.8593697785214752e-48,8.7783657079257066e-91,6.7359418559524171e-66,2.4658848424309969e-106,1.0240467787970834e-94,3.4876575953490102e-33,2.2712692475738633e-42,4.7411006696955009e-49,2.4832782157783381e-77,1.5371991469301501e-99
3.5812590452565587e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996516,0.022821567693054285,0.0,1.1460099714425293e-64,6.4331563436312824e-33,1.8561140181431054e-81,1.9473473211698216e-49,5.2929438075960201e-122,3.1607460148513996e-18,5.1555658582873994e-97,3.1607460148505942e-18,8.6155572975622543e-66,5.1466464358708824e-65,1.2080630600207097e-103,1.4007459431320971e-104,6.1832368560517686e-50,1.2009801980906177e-77,1.7261696735499801e-16,5.1108816059758468e-18,2.0460572872257115e-20,1.9513383992412055e-34,7.2254755898075016e-34,2.0460572871435317e-20,1.5244236828221161e-47,5.8297563859367299e-89,1.1164329635641271e-64,3.2761442776158646e-104,6.8007456524482838e-93,1.4248219262070412e-32,1.8621237371437539e-41,4.0386064874181763e-48,8.5878918635346476e-76,2.1275121095004545e-97
7.212958358756168e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996498,0.022821567693054282,0.0,1.8616128509724415e-63,2.6003846514162356e-32,1.3010948706379777e-79,1.5835505008473605e-48,1.4838897730606876e-119,6.3660095792093377e-18,3.3827553339326694e-95,6.3660095792060813e-18,1.4028201621577159e-64,8.3903319845304484e-64,1.6934943989529699e-101,1.9636023048356933e-102,5.0073451419289281e-49,3.9132191225314184e-76,3.4766515960231483e-16,1.0293747459923178e-17,4.1209322827275768e-20,7.8876211683848618e-34,2.9206527587146524e-33,4.120932282395393e-20,1.2345178217021827e-46,3.8001739943406301e-87,1.8178216648042697e-63,4.2717757524644093e-102,4.4331212162789149e-91,5.7593580274088533e-32,1.5079960547151838e-40,3.5160578271856054e-47,3.0105333010548535e-74,2.9824021280325999e-95
1.4476356985755386e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996462,0.022821567693054278,0.0,3.0011846374893969e-62,1.0456032314272579e-31,9.5616232597078194e-78,1.2771908469864674e-47,4.35983272052043e-117,1.2776536707930017e-17,2.1919751137996913e-93,1.2776536707916922e-17,2.2641573974554376e-63,1.355040645936751e-62,2.4882451242969169e-99,2.8851136821346995e-100,4.0303463951856363e-48,1.2635547417079916e-74,6.9776154409693308e-16,2.0659479167817825e-17,8.2706822737475316e-20,3.1715772713171951e-33,1.1743816287005427e-32,8.270682272411833e-20,9.936473435288601e-46,2.4544601893912427e-85,2.9339714958904692e-62,5.5185153819935393e-100,2.8632687645171574e-89,2.315812526014788e-31,1.2137663749606927e-39,3.2252141151256597e-46,1.1069450111770218e-72,4.382032534492109e-93
2.9003154239753823e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999849,0.11866996602996391,0.022821567693054268,0.0,4.8200605852298214e-61,4.1933366154984681e-31,7.6302269685637588e-76,1.0259091449117562e-46,1.3905418031754517e-114,2.5597590965390586e-17,1.4115706122806146e-91,2.5597590965338071e-17,3.6384401547267415e-62,2.1781875853549139e-61,3.9691201760536754e-97,4.6021844126286208e-98,3.234098190087488e-47,4.0615838102819417e-73,1.3979543130861079e-15,4.1390942583607037e-17,1.6570182255852321e-19,1.2719439294157192e-32,4.7097955854597719e-32,1.657018225049558e-19,7.9733941545764589e-45,1.5780425537292272e-83,4.7148134292782563e-61,7.0962785106156007e-98,1.8408772476763661e-87,9.2874439518209637e-31,9.7397100725681274e-39,3.2222539348894167e-45,4.4215594476098462e-71,6.9899920921107785e-91
5.8056748747750694e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999705,0.11866996602996248,0.022821567693054247,0.0,7.726658850298953e-60,1.6795218789639752e-30,6.7947052943242016e-74,8.223931617177603e-46,4.9482469639644054e-112,5.1239699480388551e-17,9.0620136496020367e-90,5.1239699480178227e-17,5.8341638003764921e-61,3.4932178189407433e-60,7.0643663685342508e-95,8.1911142378025106e-96,2.5912125522019682e-46,1.3026273445459229e-71,2.7983398510642101e-15,8.2853869415185128e-17,3.3169182220321431e-19,5.0944068685652957e-32,1.886374849995762e-31,3.3169182198866543e-19,6.3884180975009415e-44,1.0122532333046631e-81,7.5601061622938824e-60,9.1041406288500437e-96,1.180851500261971e-85,3.7198218457460494e-30,7.803619156106527e-38,3.5980243260253418e-44,1.9712908474913492e-69,1.244101031114524e-88
1.1616393776374444e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999416,0.11866996602995962,0.022821567693054205,0.0,1.2374305929692086e-58,6.7224644761910645e-30,6.7878328270604116e-72,6.5858151956249446e-45,1.9754789840873017e-109,1.0252391651069184e-16,5.8086526448838917e-88,1.0252391650984998e-16,9.3448012846173231e-60,5.5956459502831009e-59,1.4105783859825308e-92,1.635561931200707e-93,2.0745431218357959e-45,4.1730860589964754e-70,5.5991109270194273e-15,1.6577972307833999e-16,6.6367182150297819e-19,2.0390877677457856e-31,7.5504154305471594e-31,6.6367182064422316e-19,5.1146189096876268e-43,6.4858092175191755e-80,1.2109308582326581e-58,1.1666695836389633e-93,7.5660685037248689e-84,1.4888981198079791e-29,6.2476385066107632e-37,4.5079226457346e-43,9.8586295538724251e-68,2.4841605486277897e-86
2.3237831579573192e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998839,0.11866996602995392,0.022821567693054122,0.0,1.9808180811500091e-57,2.6898614320234844e-29,7.463787854011872e-70,5.271321420958154e-44,8.6828106821774658e-107,2.0509235057252777e-16,3.7204087304171813e-86,2.0509235056915924e-16,1.4959798043037843e-58,8.958218155511767e-58,3.1006670355537289e-90,3.5952152780817925e-91,1.6602610110328976e-44,1.33613656505013e-68,1.1200653078925914e-14,3.3163143040464459e-16,1.3276318201440325e-18,8.1589861356372546e-31,3.021149656033785e-30,1.327631816707894e-18,4.0932495648345689e-42,4.1532837187816751e-78,1.9385410702906882e-57,1.494194949948655e-91,4.8450434047155614e-82,5.957531602433046e-29,5.0000067846301202e-36,6.2123999354802773e-42,5.4252062221868504e-66,5.4605648229906919e-84
4.648070718597069e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679997684,0.11866996602994251,0.022821567693053955,0.0,3.1700411159151482e-56,1.07611972606635e-28,8.7683157303444216e-68,4.2181251030596706e-43,4.0783665742812955e-104,4.102292187011172e-16,2.3819807333287867e-84,4.102292186876407e-16,2.3942171506141925e-57,1.4337244592849357e-56,7.283073344869131e-88,8.4447043993528936e-89,1.3284546874500768e-43,4.2768358144200027e-67,2.2403737382723085e-14,6.6333484505723323e-16,2.6555518175922455e-18,3.2641089567867467e-30,1.2086565851931549e-29,2.6555518038454541e-18,3.2752215595660805e-41,2.6588588798101037e-76,3.1025073096992626e-56,1.9131187560529514e-89,3.1017108260561921e-80,2.3834003669724527e-28,4.0007606138359851e-35,9.1391553772600402e-41,3.1885865430853909e-64,1.2826173708834666e-81
9.296645839876569e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679995375,0.11866996602991969,0.022821567693053622,0.0,5.0726153550195213e-55,4.304829235723198e-28,1.0718481881525989e-65,3.3749273206805568e-42,1.9936756751771523e-101,8.2050295497796621e-16,1.5247618619044943e-82,8.2050295492405565e-16,3.8312670849799569e-56,2.2942697040221099e-55,1.7802836739934472e-85,2.0642342396502042e-86,1.0628544631921569e-42,1.3687792979019632e-65,4.4809905990254221e-14,1.3267416743623283e-15,5.3113918131530924e-18,1.3057364220993112e-29,4.835019798320131e-29,5.3113917581614516e-18,2.620426037279017e-40,1.7019120555135319e-74,4.9646850684908002e-55,2.4491435624910381e-87,1.9853771751136001e-78,9.5343757439740637e-28,3.200905209324455e-34,1.39818965336505e-39,1.9495328865499229e-62,3.135246132879504e-79
1.8593796082435566e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679990762,0.11866996602987405,0.02282156769305296,0.0,8.1165082150807016e-54,1.7220017630722976e-27,1.339100151861779e-63,2.7001127615607694e-41,9.9617676710454537e-99,1.6410504276103443e-15,9.7594174337341734e-81,1.6410504273946938e-15,6.1304430775750968e-55,3.6710251927499221e-54,4.4479551690627502e-83,5.1573923211278582e-84,8.5030762000479637e-42,4.3804007100338671e-64,8.9622243205063667e-14,2.6535553329721894e-15,1.062307180693247e-17,5.2230508279258558e-29,1.9340866008136366e-28,1.0623071586956955e-17,2.0964403509413513e-39,1.0893012786237447e-72,7.944034844008015e-54,3.1351287667403519e-85,1.2707312403695328e-76,3.8139041733969793e-27,2.5608342394581235e-33,2.1858290155544809e-38,1.2180287759653784e-60,7.8332651744819138e-77
3.7188096567553564e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679981531,0.11866996602978278,0.022821567693051634,0.0,1.2986300762888193e-52,6.8881471923232472e-27,1.6916311089437602e-61,2.1601585722077507e-40,5.0333837120529761e-96,3.2821453731898225e-15,6.2463284541156678e-79,3.2821453723272027e-15,9.809041519019322e-54,5.8736198670237173e-53,1.1237344406923249e-80,1.302967126834709e-81,6.8023613669180249e-41,1.4017773381107343e-62,1.7924691763367133e-13,5.3071826501905966e-15,2.1246431805121972e-17,2.0891769267142449e-28,7.7365036664198737e-28,2.1246430925202008e-17,1.6771920901872015e-38,6.9717763667264515e-71,1.2710886745875375e-52,4.0131088153623035e-83,8.1329613498155271e-75,1.5255916571256648e-26,2.0486976269858714e-32,3.4562817029719652e-37,7.6941167964870533e-59,1.9790014399423722e-74
7.437669753778956e-19,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679963073,0.11866996602960023,0.02282156769304898,0.0,2.0776803274990103e-51,2.7552869051641648e-26,2.1474189145415708e-59,1.7281542015531083e-39,2.5557506426389348e-93,6.564335265607664e-15,3.9977466204855042e-77,6.5643352621571502e-15,1.5694732478354363e-52,9.3972142856860751e-52,2.8529644374402852e-78,3.3080047478402109e-79,5.4415360254906881e-40,4.4857660349513262e-61,3.5849626648684167e-13,1.0614437284622147e-14,4.2493151844024058e-17,8.3561055029887606e-28,3.0946328373948959e-27,4.2493148324308371e-17,1.3417695960141116e-37,4.46201625896368e-69,2.03377635721602e-51,5.1368714002707658e-81,5.20517749082194e-73,6.1024203010255896e-26,1.6389481251568357e-31,5.4971425668668206e-36,4.8837874252128974e-57,5.0243369790142237e-72
1.4875389947826155e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679926153,0.11866996602923512,0.022821567693043672,0.0,3.3238062123206917e-50,1.1021203677204451e-25,2.7283139626225919e-57,1.382534295938269e-38,1.2988345258325602e-90,1.3128715055478889e-14,2.5585886787755209e-75,1.3128715041676764e-14,2.5111784700855263e-51,1.5033285645671939e-50,7.2494064829414564e-76,8.4056676660107956e-77,4.3525865529645507e-39,1.4354576831810939e-59,7.1699496417700236e-13,2.1228946553464201e-14,8.4986592091921365e-17,3.3419095546736107e-27,1.2378593434823142e-26,8.4986578012986782e-17,1.0734220462044963e-36,2.8557157628215849e-67,3.2540697464923138e-50,6.575254241691535e-79,3.3313298891241673e-71,2.4409738121415206e-25,1.3111191982342634e-30,8.7688732513434333e-35,3.1024674709349676e-55,1.2766881244371717e-69
2.9750830335920553e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679852312,0.11866996602850491,0.022821567693033059,0.0,5.3164884765537749e-49,4.4084926820791507e-25,3.4566400118348439e-55,1.1060318060017239e-37,6.5823475162961085e-88,2.6257474655363483e-14,1.6375066111183474e-73,2.6257474600154876e-14,4.017902537533219e-50,2.4045709623481685e-49,1.8369488058514384e-73,2.1299372627042463e-74,3.481011087456975e-38,4.5934845632124331e-58,1.4339923594926035e-12,4.2457965091064112e-14,1.699734732680947e-16,1.3363277050088781e-26,4.9514492656536769e-26,1.6997341695221105e-16,8.587401844172946e-36,1.8276661434686154e-65,5.2065336301244849e-49,8.4163628220969362e-77,2.1320435207331311e-69,9.7638662898096223e-25,1.048823146062353e-29,1.4008224055282552e-33,1.965293300090337e-53,3.2350377338853762e-67
5.950171111210935e-18,0.16628943999999996,0.8585084662769803,0.0,0.0,0.4523072767970463,0.11866996602704448,0.022821567693011829,0.0,8.5012144556066997e-48,1.7633993149639261e-24,4.3456750623284011e-53,8.8482718507493751e-37,3.3102733673452325e-85,5.2514993935701354e-14,1.0480073690152319e-71,5.2514993714866603e-14,6.4286575411415011e-49,3.8448743628155465e-48,4.6189522567014365e-71,5.3556627513393491e-72,2.7831049430129279e-37,1.4699181885560324e-56,2.8679871498649258e-12,8.4916002165927179e-14,3.3994723834200758e-16,5.341804716184264e-26,1.9805816643275056e-25,3.399470130781692e-16,6.8699316601767114e-35,1.1697088339335799e-63,8.3304713590078792e-48,1.0772967649835732e-74,1.364489005952582e-67,3.9055084509253818e-24,8.3893926551447003e-29,2.2393247376677885e-32,1.2353034819444472e-51,8.1344020221711226e-65
1.1900347266448695e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679409272,0.11866996602412364,0.02282156769296937,0.0,1.358540017060638e-46,7.0536017432452314e-24,5.3767633366022844e-51,7.0786243228169419e-36,1.6384353470438637e-82,1.0503003281865111e-13,6.7072569949134387e-70,1.0503003193531215e-13,1.028586250748035e-47,6.1439868040654061e-47,1.1430494866725244e-68,1.325362751451042e-69,2.2237575719826677e-36,4.7037427734791959e-55,5.7359767295740496e-12,1.6983207631430647e-13,6.7989477937645182e-16,2.1339180881205042e-25,7.9223272111947669e-25,6.7989387832043909e-16,5.4959493940908321e-34,7.4861435765656459e-62,1.3328767966051444e-46,1.3789411687568389e-72,8.7324592562707411e-66,1.5621699496754084e-23,6.7095919138298607e-28,3.5805806155415419e-31,7.6410184858137763e-50,2.0130145570609003e-62
2.380069957692421e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727678818555,0.11866996601828195,0.022821567692884456,0.0,2.1683860146173427e-45,2.8214415932739797e-23,6.454347046679521e-49,5.6629020049289719e-35,7.868675468222031e-80,2.100601118736445e-13,4.2926473570343243e-68,2.1006010834029149e-13,1.6457387266966111e-46,9.8054534495343045e-46,2.7446087982939153e-66,3.182366091761446e-67,1.7746573540574013e-35,1.5051981401821684e-53,1.1471955884850218e-11,3.3966422460567941e-13,1.3597899049953348e-15,8.5133161107651542e-25,3.1689283054600206e-24,1.3597863007689138e-15,4.3967611288698706e-33,4.791132903359212e-60,2.1326038982125731e-45,1.7650450794135267e-70,5.5884185416393005e-64,6.2484064102535781e-23,5.3645944171654613e-27,5.7246725108533487e-30,4.5850491469386301e-48,4.8335006377981409e-60
4.760140419787525e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727677637123,0.11866996600659857,0.022821567692714623,0.0,3.4526445638868682e-44,1.1285768159435627e-22,7.347904843292397e-47,4.5303223182747404e-34,3.5844356298151389e-77,4.2012027513998577e-13,2.7472948892780866e-66,4.2012026100660324e-13,2.6331821916498595e-45,1.5609523959041451e-44,6.2505815087748446e-64,7.2475301148038206e-65,1.4128163379237849e-34,4.8166329901517658e-52,2.2943914178834233e-11,6.7932852116689528e-13,2.7195803304573053e-15,3.3875704237805504e-24,1.2675686545522931e-23,2.7195659135418641e-15,3.5174095280828129e-32,3.0663237977877356e-58,3.4121668010574548e-44,2.259256782932733e-68,3.5761300799025939e-62,2.4991426879701477e-22,4.286754221769986e-26,9.148451492756798e-29,2.6087145946869924e-46,1.10078028995405e-57
9.520281343977733e-17,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727675274252,0.11866996598323182,0.022821567692374957,0.0,5.4713049785674051e-43,4.5143076165463027e-22,7.6972239378852056e-45,3.6242576534178207e-33,1.5027963800795021e-74,8.4024062229794053e-13,1.7582685134674263e-64,8.4024056576463912e-13,4.2130905651096633e-44,2.4725359122111226e-43,1.310047675459882e-61,1.5189956979855251e-62,1.1193523069299828e-33,1.5413212465754361e-50,4.5887830700528983e-11,1.3586571142032832e-12,5.4391618784823999e-15,1.3410285806093381e-23,5.0702520684480672e-23,5.4391042107534478e-15,2.8139278397352743e-31,1.9624447985312722e-56,5.4594665168418748e-43,2.8918451141011226e-66,2.2881365531155636e-60,9.9948097832511496e-22,3.4215527489755573e-25,1.4604407694140044e-27,1.3653156526145334e-44,2.3070930340186347e-55
