Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),OX(20),OCX(21),COX(32),CH3X(22),HX(19),H2X(31),C2H6X(34),CH2X(58),CHX(26),CXHO(27),HOX(23),C2H5X(33),C2H4OX(44),C3H8X(38),CH2OX(35),H2OX(30),CH4OX(41),C2H3OX(43),CH3OX(40)
2.1466794202894585e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.3782014000831433e-98,0.10000000000000001,3.0082152733252818e-93,4.6498392944708394e-68,1.1333851136551077e-30,4.8839506464586144e-63,1.5955241387074417e-99,8.5125780221969543e-41,-5.9260983830113823e-121,5.0091481758248153e-51,1.2140501886284505e-97,2.2950949985212427e-94,1.7265650151939179e-77,-2.5296251471135117e-96,5.3342821911155672e-81,0.0,3.0826848456206821e-18,1.1167157834754922e-18,8.2839194466371054e-24,8.283918313251992e-24,1.0576568465145266e-47,2.6945468316820197e-27,2.6945468316821044e-27,1.6174475309870545e-84,1.7595275783758179e-79,2.4545903644984178e-44,2.9312301518730299e-58,7.8900466901709377e-63,1.8984976989276674e-53,2.3366562584690715e-86,-6.5881464673412182e-113,-2.203767310531051e-137,2.8761358059680251e-116,5.2505436910615973e-110,6.0074155000738764e-111,1.1254637116981761e-65,4.4768027315262536e-71
6.010702376810484e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,2.0827379558049968e-97,0.10000000000000001,9.5581705714653084e-92,6.9647967246945541e-67,6.8456451821267133e-30,7.3806262169272088e-62,1.140142110475743e-97,5.1415971254068043e-40,2.3758048894269573e-120,3.0255254981981879e-50,6.3022183785424225e-96,7.2161458905465213e-93,4.8691888988155739e-76,2.4994309191993961e-95,6.3328598172915854e-80,0.0,8.6315175677370367e-18,3.1268041937312627e-18,2.3194974450583892e-23,2.3194967604938712e-23,1.2556500562755034e-46,7.5447311287093788e-27,7.5447311287098925e-27,4.5226154402300347e-83,4.9621492954312273e-78,1.4825725801569819e-43,3.4799564363035263e-57,1.1923436795175727e-61,1.1466926101521498e-52,6.6089324416373731e-85,1.1058301068634307e-111,1.3699272874813595e-136,3.7282142481160673e-114,3.055417720043764e-108,3.4599637483668399e-109,1.7008005096702899e-64,6.7653442878811873e-70
1.3738748289852535e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,2.2405144520864217e-96,0.10000000000000001,2.1190823757817551e-90,7.4710533519394732e-66,3.2958825539842024e-29,7.9397408869326665e-61,5.036183868233859e-96,2.4754576888546385e-39,2.9776373771637782e-118,1.4566602895298559e-49,2.7538868672045025e-94,1.6098824522172463e-91,1.0591546276630955e-74,1.3785478415769188e-93,6.217639321961777e-79,0.0,1.9729183011966242e-17,7.1469810142423419e-18,5.3017084458477463e-23,5.3017051499651927e-23,1.2328043493871694e-45,1.7245099722762988e-26,1.7245099722765467e-26,9.807968207777728e-82,1.0793758586547743e-76,7.1379487799604625e-43,3.416641865022787e-56,1.2826685285304339e-60,5.5208313084792373e-52,1.4386248109606853e-83,1.303560882744286e-109,4.0000103607210184e-134,3.3054931479350705e-112,1.3620680788674761e-106,1.5515929685098025e-107,1.8296430170546405e-63,7.2778486645856261e-69
2.9194840115936636e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,2.0594187881155521e-95,0.099999999999999992,3.9592626418944291e-89,6.8594440644748993e-65,1.4393976926003772e-28,7.2979897719861561e-60,1.8807587278992328e-94,1.0810974088187693e-38,2.357764866775499e-116,6.3616181832975105e-49,1.0255169527348663e-92,3.0151316638579945e-90,1.9634930132760378e-73,5.425484340142104e-92,5.4994315677471906e-78,0.0,4.1924513900410623e-17,1.5187334655262656e-17,1.1266130447426457e-22,1.126611605344953e-22,1.090400913571777e-44,3.6645836910865775e-26,3.6645836910876594e-26,1.8160421572614542e-80,2.0009809321302461e-75,3.1173297629120215e-42,3.0219810373741434e-55,1.1789926397820241e-59,2.4110920776356357e-51,2.6677596264400919e-82,1.0304036398782992e-107,6.3529140286132274e-132,2.4740763611747715e-110,5.1117691628778667e-105,5.8374805370601533e-106,1.6817561222916566e-62,6.6895967856622782e-68
6.010702376810484e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,1.7618761314488995e-94,0.099999999999999978,6.8318910514172338e-88,5.8654453858334524e-64,6.0091952569381526e-28,6.2435838990179703e-59,6.4891212879155411e-93,4.5133688673666312e-38,1.6713755759342764e-114,2.6558503628223132e-48,3.533585555794716e-91,5.2078901390171924e-89,3.3747388115490433e-72,1.9169436696037338e-90,4.6226035982960517e-77,0.0,8.6315175677243284e-17,3.1268041937295916e-17,2.3194974450583873e-22,2.31949143586313e-22,9.1654670651496045e-44,7.5447311287053676e-26,7.5447311287098836e-26,3.1196309649434161e-79,3.4391749694898379e-74,1.3014238112561896e-41,2.540157149929151e-54,1.0086517889611642e-58,1.0065834799691978e-50,4.5858590264749965e-81,7.2922131069618446e-106,9.0137432145609653e-130,1.7091762936684581e-108,1.7682303463505168e-103,2.0213341751602113e-104,1.4387760062352064e-61,5.7230908903463859e-67
1.2193139107244126e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,1.4567532568256797e-93,0.09999999999999995,1.1346256523775763e-86,4.8485089368124303e-63,2.4549468103441176e-27,5.1623159067765071e-58,2.1550795603188023e-91,1.8438584499180917e-37,1.1248418458832375e-112,1.0850015314763554e-47,1.1727554654236513e-89,8.6529873565378047e-88,5.5933688158755707e-71,6.4401137377745232e-89,3.789889715820441e-76,0.0,1.7509649923068427e-16,6.3429456501332922e-17,4.705266245689868e-22,4.7052416962217643e-22,7.5143878631113043e-43,1.5305026003935872e-25,1.5305026003954319e-25,5.1692409375113826e-78,5.7001802947563333e-73,5.316740913110775e-41,2.0825743013413367e-53,8.3397075963300889e-58,4.112221955766223e-50,7.6012744216985168e-80,4.9034334162324013e-104,1.2137190728008721e-127,1.1359158441747564e-106,5.8803099649889699e-102,6.7251061203824142e-103,1.1896049086697892e-60,4.7319622218621119e-66
2.4558012568111407e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999953,0.099999999999999659,1.1846075553048011e-92,0.099999999999999881,1.8493380263518372e-85,3.9422701814197897e-62,9.9232428334828585e-27,4.1979095618081905e-57,7.0245478460425542e-90,7.4531706621632233e-37,7.3807705999605457e-111,4.3857496670470415e-47,3.8213959201130127e-88,1.4106553292321389e-86,9.1073079073325499e-70,2.1111484326115413e-87,3.0691509513839734e-75,0.0,3.526591463366687e-16,1.2775228562928895e-16,9.4768038469528162e-22,9.4767046145244794e-22,6.0853205386752961e-42,3.0825615754368572e-25,3.0825615754443138e-25,8.4157242589183249e-77,9.2812659346595625e-72,2.1491116844497921e-40,1.6865226636089418e-52,6.7816784564780983e-57,1.6622258632850414e-49,1.237715404512822e-78,3.2160362672324471e-102,1.5930978761330692e-125,7.4072743186057319e-105,1.9180375072249802e-100,2.1940694249823201e-101,9.6736221184928785e-60,3.847953092374088e-65
4.928775948984597e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999905,0.099999999999999298,9.5542890870915004e-92,0.099999999999999756,2.986381019216844e-84,3.1794020206483399e-61,3.9900563632506488e-26,3.3857661413006353e-56,2.2685765694824868e-88,2.9968871430141355e-36,4.7827178735242801e-109,1.7634906518918107e-46,1.2339287595588811e-86,2.2782121247356704e-85,1.4699092156500116e-68,6.8372409940302068e-86,2.4703196957499007e-74,0.0,7.0778444054504749e-16,2.5639794388472902e-16,1.9019879049478664e-21,1.9019480043842334e-21,4.8979542082863993e-41,6.1866795255120726e-25,6.1866795255420578e-25,1.3582181288287279e-75,1.4980000637630978e-70,8.6414835617820367e-40,1.3574601638245269e-51,5.4696157101331799e-56,6.6837370888556286e-49,1.9977140029876188e-77,2.0835135608063097e-100,2.0648468270388085e-123,4.7850600177023785e-103,6.1965278908450191e-99,7.0890416194347395e-100,7.8020501750021905e-59,3.1035135706666052e-64
9.87472533333151e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999808,0.09999999999999859,7.6745245792816674e-91,0.099999999999999492,4.8002786532614051e-83,2.5537961259267801e-60,1.6001622380046821e-25,2.7196314905294265e-55,7.2926647937335073e-87,1.2018857833971933e-35,3.0799649327365583e-107,7.0723862545578489e-46,3.9663910622089671e-85,3.6621594526877205e-84,2.3620598076165487e-67,2.2010255564124466e-84,1.982275980503516e-73,0.0,1.4180350289474452e-15,5.1368926039372127e-16,3.8106029454530156e-21,3.8104429292292139e-21,3.930233715161833e-40,1.2394915425617208e-24,1.2394915425737465e-24,2.1825537041649278e-74,2.4072458875205393e-69,3.4656214080534793e-39,1.0892762916083378e-50,4.3934066045929054e-55,2.6804775100273335e-48,3.2103020251304173e-76,1.341566939042942e-98,2.6595617931308478e-121,3.0766794704516291e-101,1.9923518520150591e-97,2.2794378376817578e-98,6.2669080758007556e-58,2.4929108762562819e-63
1.9766624102025336e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999614,0.099999999999997174,6.1520813658872637e-90,0.099999999999998979,7.6981479450481744e-82,2.047154739011052e-59,6.4087644784392515e-25,2.1801212624728888e-54,2.3389155714892436e-85,4.8138121365072399e-35,1.9772878020671664e-105,2.8326434389056825e-45,1.2721032068707913e-83,5.8731069350891213e-83,3.7873704234642729e-66,7.0641222942794602e-83,1.5882330036801097e-72,0.0,2.8385362056948e-15,1.0282718934041538e-15,7.6278330264632297e-21,7.6271921500153808e-21,3.1488637740898476e-39,2.4811387225646294e-24,2.4811387226127952e-24,3.4996268535066302e-73,3.8599691675699745e-68,1.3880562217334536e-38,8.727465668340554e-50,3.5217210206893105e-54,1.0735891336150714e-47,5.1476766015014758e-75,8.6118510578477211e-97,3.4148751872026083e-119,1.973588851756607e-99,6.3907096824734573e-96,7.3117615939738441e-97,5.0235054518501988e-57,1.9983766277715692e-62
