Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(33),CO2X(34),OCX(21),OX(20),COX(37),CH3X(22),HX(19),H2X(36),C2H6X(39),CH2X(134),CHX(26),CXHO(27),HOX(23),C2H4X(51),C2H5X(38),C2H3X(50),SX(149),C2H4OX(49),CH2OX(40),H2OX(35),C3H8X(43),CH3OX(44),CH3OHX(46),C2H3OX(47),CH2(T)(29)
0.0,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0217311258102717e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,1.4860288078906136e-96,0.10000000000000001,1.5438479175333087e-90,5.0122169143543042e-66,2.5675534369470797e-29,2.6330336156801531e-61,1.226129315262483e-83,1.9284279281597647e-39,-6.2712595841056719e-118,1.134766373079235e-49,1.2230005120751262e-94,5.8892319174481188e-92,2.1126750278894878e-62,8.0231638711270465e-64,5.7516323924906372e-79,8.3431287431021155e-135,2.9344624335287022e-18,1.7717026334974626e-18,3.9428614975269168e-23,3.942864065080354e-23,5.7019867966093523e-46,1.2825147921217362e-26,1.2825147921219292e-26,4.1491730764663652e-82,5.6436576268548451e-78,5.5606624845601413e-43,3.1606202289575757e-56,8.5074302668839939e-61,4.300899206337923e-52,1.8514077967416835e-151,4.8695405030094006e-84,4.8318103506409661e-154,-6.1555392762550173e-195,1.4207711490798971e-80,2.6299756374827821e-100,4.2751175170315914e-107,-1.1099951680288967e-134,4.827105769562731e-69,1.2228236848273007e-108,1.2008070252726488e-63,2.083297670101568e-71
2.860847152268761e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,2.2456867344776824e-95,0.10000000000000001,4.8648670253888551e-89,7.5080307294766314e-65,1.5508013008265653e-28,3.9790404000142811e-60,2.7428007243595645e-82,1.1647704686083285e-38,7.4482727479192091e-117,6.853988893398578e-49,6.3744357649678373e-93,1.8516687425528245e-90,2.5081663489024061e-61,9.5250946632249637e-63,6.8283379763606962e-78,1.3060883896030102e-133,8.2164948138795649e-18,4.9607673737926031e-18,1.1040003874211983e-22,1.1040019382224993e-22,6.7693948270971128e-45,3.5910414179402361e-26,3.5910414179414019e-26,1.1602344964148977e-80,1.5916017492944091e-76,3.3586401406736529e-42,3.7522883358177456e-55,1.2856419571569381e-59,2.5977431206263668e-51,5.4021093102616995e-150,1.382984252794333e-82,1.4098443209840091e-152,3.3289896614690574e-193,3.1782064814335562e-79,1.0852662282419592e-98,2.4676131323439266e-105,2.2619821735658763e-133,7.2947222389512662e-68,7.0428383388650282e-107,1.8146582996930576e-62,2.4732909939443395e-70
6.539079205185738e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,2.4158073124040419e-94,0.10000000000000001,1.0838914359479133e-87,8.0539281038037583e-64,7.4664307683183341e-28,4.2804700883343948e-59,5.4193055059762659e-81,5.6078684150860579e-38,8.1185388263479185e-115,3.2999006129144144e-48,2.7884373243475847e-91,4.1309711044730212e-89,2.4625295354685388e-60,9.3517828060173444e-62,6.7041027166741063e-77,1.0669346078486744e-131,1.8780559574578079e-17,1.1338896854381712e-17,2.5234255352206579e-22,2.5234330016514261e-22,6.6462237268461996e-44,8.2080946695747343e-26,8.2080946695803466e-26,2.5161931148558343e-79,3.4620814540225277e-75,1.6170406505090806e-41,3.6840189388708178e-54,1.3830329378578328e-58,1.2507014892004593e-50,8.5774323991820054e-148,3.0135362051956351e-81,2.2385412182684137e-150,2.4643504127510095e-190,6.2795928741638604e-78,4.2932001797944399e-97,1.1051936850487243e-103,5.1956699071669954e-131,7.8473293074465207e-67,3.1583043175171641e-105,1.9521237510854388e-61,2.4282917642694461e-69
1.3895543311019693e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,2.2205431270477871e-93,0.099999999999999992,2.0289793696246504e-86,7.3946584865426388e-63,3.2607777510926851e-27,3.9344894712291126e-58,9.6433412717409425e-80,2.4491034687602779e-37,6.4234615875163666e-113,1.4411532938106271e-47,1.0388320924229209e-89,7.7368516952225008e-88,2.1780740449927733e-59,8.27152532011002e-61,5.9297029313348891e-76,7.8614411629690244e-130,3.9908689095962253e-17,2.4095155815555237e-17,5.362262520731767e-22,5.3622951285092795e-22,5.8784949330022861e-43,1.7442201172833728e-25,1.7442201172858232e-25,4.6590177275754656e-78,6.4181155428180157e-74,7.0620413553809557e-41,3.2584730312416226e-53,1.2712418388540243e-57,5.4621419920222049e-50,1.26462997765538e-145,5.5905887205326791e-80,3.3004356071754734e-148,1.5445570910389328e-187,1.1174172975894593e-76,1.5322090014497739e-95,4.1558466998495274e-102,8.237885035392294e-129,7.2130476093223649e-66,1.1882330197254822e-103,1.794332817473935e-60,2.1477965659658333e-68
2.8608471522687606e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,1.8997213956556724e-92,0.099999999999999964,3.5038292257494047e-85,6.3231235564366541e-62,1.3613032298902731e-26,3.3660385778649885e-57,1.6264825843511712e-78,1.0224524875079461e-36,4.5543419517412088e-111,6.0165313100660907e-47,3.580214404038927e-88,1.3363487284272534e-86,1.8307933189718934e-58,6.9526806623056417e-60,4.9842726051646572e-75,5.3878391450489558e-128,8.2164948138679203e-17,4.9607673737883559e-17,1.1039883251901989e-21,1.104001938222498e-21,4.9412044891839873e-42,3.5910414179311697e-25,3.5910414179414001e-25,8.0033762343694845e-77,1.1031100782462547e-72,2.9482632493044065e-40,2.7389429204828459e-52,1.0875678121030264e-56,2.2803367591761063e-49,1.7343176654401855e-143,9.6121379957415302e-79,4.5262281286318618e-146,8.7235732229879648e-185,1.8846784768454317e-75,5.1769632627753793e-94,1.4387275406201744e-100,1.1690299697422695e-126,6.1709140905144654e-65,4.1144736938553186e-102,1.5350805476075822e-59,1.8053524281434604e-67
5.803432794602342e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999975,0.099999999999999839,1.5707263869378824e-91,0.099999999999999908,5.8211218730061566e-84,5.2268443698629234e-61,5.5613082809073143e-26,2.7831057889676014e-56,2.6714766706206601e-77,4.1770520294911853e-36,3.0654048591210491e-109,2.4579493547445357e-46,1.1883557529761354e-86,2.2203633990377923e-85,1.5009799621571102e-57,5.7001706577985139e-59,4.0864078187373091e-74,3.5662698941812549e-126,1.6667746622390753e-16,1.0063270958246525e-16,2.2394911758828273e-21,2.2395467889656362e-21,4.0510574570328318e-41,7.284684019210757e-25,7.2846840192525514e-25,1.3261649062595286e-75,1.8283240564166626e-71,1.2044617367977231e-39,2.2455508861658875e-51,8.9921160444300916e-56,9.3159197166907878e-49,2.2965295419996331e-141,1.5934189977586996e-77,5.9934905919349738e-144,4.6870279636355773e-182,3.0955600944657613e-74,1.7020560420967221e-92,4.7862744983980294e-99,1.5742860531966431e-124,5.102231103801589e-64,1.3689113141434176e-100,1.2692194722291054e-58,1.4801369953880402e-66
1.1688604079269508e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999947,0.099999999999999672,1.2772886118941997e-90,0.099999999999999811,9.4894791876449591e-83,4.2498939438094879e-60,2.2479215454662863e-25,2.2631754069127978e-55,4.3304949715991815e-76,1.6884312156279808e-35,2.0115027957854339e-107,9.9354242841676908e-46,3.8724334511494467e-85,3.6197527311207841e-84,1.2155081738089881e-56,4.6160536457588718e-58,3.3092789988202784e-73,2.3208248531031009e-124,3.3570250239354194e-16,2.0268278127132889e-16,4.5104116982973596e-21,4.5106364904519061e-21,3.2805857344103722e-40,1.4671969221705904e-24,1.4671969221874845e-24,2.1590495836856694e-74,2.9769517637590113e-70,4.868626916966336e-39,1.8185053274438465e-50,7.3120687563213806e-55,3.7656436981417928e-48,2.9894218556302351e-139,2.5946967320903388e-76,7.8018033033778914e-142,2.4577648648747703e-179,5.0179391684425551e-73,5.5204728002397746e-91,1.5614532759689784e-97,2.0664773450742316e-122,4.1490495978792878e-63,4.466080394939811e-99,1.0320841093732027e-57,1.1986533140027621e-65
2.345894664860384e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999892,0.099999999999999339,1.0301795384503509e-89,0.099999999999999603,1.5325205456272223e-81,3.4274988692686875e-59,9.0384062327996422e-25,1.8253329547953827e-54,6.9738586430334411e-75,6.7891076580701912e-35,1.3034819249043096e-105,3.9949904070802958e-45,1.2504418988735915e-83,5.8459103292956939e-83,9.7830758537998188e-56,3.7152529232616521e-57,2.6635956389032768e-72,1.497721603519922e-122,6.7375257472952137e-16,4.0678292464785692e-16,9.0519120528011529e-21,9.0528158934244152e-21,2.6403951676187868e-39,2.944653962644008e-24,2.9446539627119387e-24,3.4845028230876804e-73,4.8048121487551396e-69,1.957653470286348e-38,1.4636912938960996e-49,5.8971730552147551e-54,1.514148769051043e-47,3.8586416315058845e-137,4.1880346649456979e-75,1.0070296024178384e-139,1.2734252024764515e-176,8.0809234667414836e-72,1.7784260859367841e-89,5.0449459467297184e-96,2.678473988502939e-120,3.3463588102974954e-62,1.4429912487581781e-97,8.3237437234119944e-57,9.6478046758202649e-65
4.699963178727249e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999783,0.099999999999998659,8.2749622884992755e-89,0.099999999999999201,2.4634559584323141e-80,2.7530758768587102e-58,3.6244944315660003e-24,1.4662066950928125e-53,1.1193720855168714e-73,2.722735821093757e-34,8.3942459632138268e-104,1.6021698335522733e-44,4.0195249119182313e-82,9.3971301169597704e-82,7.8496741849634678e-55,2.9810179738875536e-56,2.1373677526437611e-71,9.6252412228453789e-121,1.3498527193883235e-15,8.1498321139611617e-16,1.813355020493769e-20,1.8137174699369313e-20,2.1185813228203045e-38,5.8995680434883977e-24,5.8995680437608296e-24,5.5993333754762023e-72,7.7212041340095503e-68,7.851065997548728e-38,1.1745200832638029e-48,4.736487890658849e-53,6.0724137829293355e-47,4.9597436386053924e-135,6.7302070818848451e-74,1.2943955778984405e-137,6.558721441071368e-174,1.2970667482845149e-70,5.7097180995056548e-88,1.6221536756410717e-94,3.4499705697844721e-118,2.6879773791718064e-61,4.6398498248004492e-96,6.6854595436729149e-56,7.7417556546871755e-64
