Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),H2X(49),C2H4(47),CH2X(27),CHX(28),CX(26),C2H6X(52)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.863562081987375e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.6762061904810715e-75,2.5686549165175123e-36,0.0,1.4818090575038661e-54,0.0,5.1750585267426728e-20,-4.339941753366635e-106,5.1750585267426625e-20,1.9892402068717516e-72,5.1904965527084539e-93,0.0,0.0,4.7171477061650256e-59,8.6842778181748733e-86,2.8262415304222249e-18,8.367998855045083e-20,3.3499905411272366e-22,3.3499905411257371e-22,2.8850147754294314e-37,1.725747919193672e-52,1.3407271562692595e-98,1.5422251748716693e-35,1.5491418371311034e-45,8.4330947405184643e-52,2.5777239247169862e-71
1.641797382956465e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.7496061998585361e-74,1.5514675695765772e-35,0.0,2.2393098439228084e-53,0.0,1.4490163874879522e-19,8.3783165258354708e-105,1.449016387487945e-19,5.6099756526844382e-71,3.1576323725072287e-91,0.0,0.0,5.6001977567591166e-58,4.4952322987157989e-84,7.9134762851822257e-18,2.3430396794126236e-19,9.3799735151569219e-22,9.3799735151478621e-22,1.7425489243577289e-36,2.0488079296667211e-51,1.2626054498180745e-96,9.3150400553179434e-35,1.8391411880766258e-44,1.0019784458438045e-50,7.2695938917030161e-70
3.75267973247192e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,7.4085899882349015e-73,7.4696484972329234e-35,0.0,2.4089473442784877e-52,0.0,3.3120374571153369e-19,8.8466177350454636e-103,3.3120374571153012e-19,1.2202922414594324e-69,1.4255061911013021e-89,0.0,0.0,5.4983073663059519e-57,1.9627943466555026e-82,1.8087945794702216e-17,5.3555192672288529e-19,2.1439939463218927e-21,2.1439939463175304e-21,8.3896229669240624e-36,2.0115317746121246e-50,1.1035236807819418e-94,4.4847908071664015e-34,1.8056797223672122e-43,9.8544598152539467e-50,1.5812954589850662e-68
7.97444443150283e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.1186699660299653,0.022821567693054285,0.0,1.3183190044619715e-71,3.2621917439772401e-34,0.0,2.2142376344499376e-51,0.0,7.0380795963701659e-19,6.9925140273066034e-101,7.038079596370008e-19,2.2622161568355681e-68,5.3824401423585782e-88,0.0,0.0,4.8631905991478936e-56,7.3069912212281898e-81,3.843688481374214e-17,1.1380478442861313e-18,4.555987135935346e-21,4.5559871359162943e-21,3.6639687647698288e-35,1.7791770747718689e-49,8.2326290519230782e-93,1.9586259706812593e-33,1.5971032621237975e-42,8.7463569835516246e-49,2.9314552813750325e-67
1.641797382956465e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996525,0.022821567693054285,0.0,2.2235376905816578e-70,1.3619008367375852e-33,0.0,1.8943269139825104e-50,0.0,1.4490163874880064e-18,4.9560463070604816e-99,1.4490163874879407e-18,3.8881715748652646e-67,1.8674185249077882e-86,0.0,0.0,4.0878047277993118e-55,2.5173692654813898e-79,7.9134762851821791e-17,2.3430396794126226e-18,9.3799735151664631e-21,9.3799735150869298e-21,1.5296348339096904e-34,1.4955055348064588e-48,5.6788212281977913e-91,8.1768778645177469e-33,1.3424615183858431e-41,7.4026428435294053e-48,5.0384226386120276e-66
3.3305032625688286e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996517,0.022821567693054285,0.0,3.6521673336460116e-69,5.5638092953735961e-33,0.0,1.566266125170855e-49,0.0,2.9394332431900819e-18,3.3351919641943976e-97,2.939433243189813e-18,6.4443592403207255e-66,6.2192833666257376e-85,0.0,0.0,3.3514292906088968e-54,8.3542307697420047e-78,1.6053051892798026e-16,4.7530233496656042e-18,1.902794627364554e-20,1.9027946273320621e-20,6.2490574039764802e-34,1.2261057920729287e-47,3.7713334601403335e-89,3.3405214070671356e-32,1.1006310508455046e-40,6.1524459895368083e-47,8.3508160230618789e-65
6.707915021793557e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.118669966029965,0.022821567693054282,0.0,5.9203206304144113e-68,2.2489806748470781e-32,0.0,1.2736616010987063e-48,0.0,5.9202669545946145e-18,2.1883414384939619e-95,5.9202669545935291e-18,1.049296843173927e-64,2.0300776750625713e-83,0.0,0.0,2.7140743312072156e-53,2.7221044655194449e-76,3.2332203108029386e-16,9.5729906901715634e-18,3.8323891790671051e-20,3.8323891789357687e-20,2.5259689164375438e-33,9.9293225935991668e-47,2.458374311112269e-87,1.3502921585971424e-31,8.913195445067087e-40,5.1173501748613782e-46,1.3597139085776225e-63
1.3462738540243014e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999921,0.11866996602996467,0.022821567693054278,0.0,9.5344938619659709e-67,9.0430523797965894e-32,0.0,1.0272542228451989e-47,0.0,1.1881934377405212e-17,1.4180126849748257e-93,1.1881934377400844e-17,1.693569335322983e-63,6.5608602534962883e-82,0.0,0.0,2.184523140885965e-52,8.7895103676559874e-75,6.4890505538490765e-16,1.921292537118347e-17,7.691578282499154e-20,7.6915782819710568e-20,1.015680991619138e-32,7.991982654869606e-46,1.5878172647490221e-85,5.4294653456724772e-31,7.1741148629985846e-39,4.3361125342586382e-45,2.1945837303950056e-62
2.6972385577141923e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999855,0.11866996602996401,0.022821567693054268,0.0,1.5304974220325114e-65,3.6266684647015995e-31,0.0,8.2514645626862262e-47,0.0,2.3805269223032523e-17,9.1316047402021385e-92,2.3805269223015011e-17,2.721520456749286e-62,2.1098743338629496e-80,0.0,0.0,1.7529422440990469e-51,2.8253095676326482e-73,1.3000711039940819e-15,3.8492794733207211e-17,1.540995648947104e-19,1.5409956487353126e-19,4.0733350502938402e-32,6.4130627630433044e-45,1.0208530666597146e-83,2.1774584134801461e-30,5.7567749476358943e-38,3.8280746670867365e-44,3.526637139545677e-61
