Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),HX(19),CH3X(22),CH2X(58),CHX(26),H2X(31),C2H6X(34),CX(24),C2H5X(33),C3H8X(38),HOCXO(25),C3H7X(36),C3H7(49),C3H7X(37),C3H7(50)
2.0180167346381208e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,2.0118718425593933e-66,0.0,2.1911189679188794e-61,0.0,7.5227433685493893e-41,-4.1844204050561535e-118,3.2530445424914509e-50,4.755785083259548e-96,0.0,0.0,0.0,0.0,0.0,2.8979220405621056e-18,1.0497846663029911e-18,1.8614625221343442e-26,1.8614625221343358e-26,1.171429472251206e-42,9.6639706268994147e-56,6.5788523717617888e-83,7.4207592237460546e-78,2.5026439757543364e-79,7.1553985390162146e-84,-1.4628161998074243e-134,1.6983047313100787e-51,-1.256691994832659e-140,-6.866913482501695e-153,-8.9187321010549918e-141,-4.8871276839914839e-153
5.650446856986739e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,0.0,0.10000000000000001,0.0,3.0365531781622562e-65,0.0,3.3112189843189791e-60,0.0,4.5437369946038155e-40,5.4768116638986333e-117,1.9648389036648365e-49,2.4654893943464956e-94,0.0,0.0,0.0,0.0,0.0,8.1141817135731216e-18,2.9393970656482733e-18,5.2120950619761635e-26,5.2120950619761176e-26,7.075434012396695e-42,1.1473065928254111e-54,1.85311226770386e-81,2.0927728332437772e-76,5.5983144680030137e-78,2.021078133847899e-82,3.3000317255939986e-133,1.0257760577102764e-50,2.8350270203408604e-139,2.7197781242258913e-151,2.0203677642859544e-139,1.9438818653620163e-151
1.2915307101683974e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,0.0,0.10000000000000001,0.0,3.2652814955667852e-64,0.0,3.562058283766262e-59,0.0,2.1876137715741359e-39,5.9191884631067108e-115,9.459853529565139e-49,1.076967202687802e-92,0.0,0.0,0.0,0.0,0.0,1.8546701059592055e-17,6.7186218643384298e-18,1.1913360141659799e-25,1.1913360141659577e-25,3.4065169053056193e-41,1.1264324162711233e-53,4.0292189770416619e-80,4.5522380310725046e-75,1.1061325992099076e-76,4.3979851350368721e-81,7.4823629929305375e-131,4.9386701586345413e-50,6.4280294932985068e-137,1.2672030506350859e-148,4.588590770930415e-137,9.0711855735639019e-149
2.744502759107845e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,0.0,0.099999999999999992,0.0,3.0008836599513462e-63,0.0,3.2741452513816069e-58,0.0,9.5538840780574436e-39,4.6803763414202365e-113,4.1313665689641412e-48,4.009936285854275e-91,0.0,0.0,0.0,0.0,0.0,3.9411739751617521e-17,1.4277071461717114e-17,2.5315890301027073e-25,2.5315890301026091e-25,1.4877154297581137e-40,9.9631671575024949e-53,7.4682361585458817e-79,8.4390821099602972e-74,1.96830385985538e-75,8.1544193012795561e-80,1.18554320843438e-128,2.1568470087481256e-49,1.0184893083353176e-134,4.019693762325771e-146,7.2799133896712708e-135,2.8812354595571127e-146
5.650446856986738e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,0.0,0.099999999999999978,0.0,2.5671388446173592e-62,0.0,2.8011001951594864e-57,0.0,3.9885585340046317e-38,3.3175535149769708e-111,1.7247642164289659e-47,1.3815936210846113e-89,0.0,0.0,0.0,0.0,0.0,8.114181713561889e-17,2.9393970656467965e-17,5.2120950619761626e-25,5.212095061975753e-25,6.2109190618676332e-40,8.3746423217306139e-52,1.2835024788383118e-77,1.4504625952213141e-72,3.3198321529842008e-74,1.4016446822368582e-78,1.6819262185127149e-126,9.0044116852649734e-49,1.4449274043927225e-132,1.14096938246674e-143,1.0334604588025999e-132,8.1834923609782001e-144
1.1462335052744526e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,0.0,0.09999999999999995,0.0,2.122489544087872e-61,0.0,2.3160038093241934e-56,0.0,1.6294563046010563e-37,2.2326491275928905e-109,7.0462246008181767e-47,4.5851882312040463e-88,0.0,0.0,0.0,0.0,0.0,1.6460197190342332e-16,5.9627769045943599e-17,1.0573107125723074e-24,1.0573107125721395e-24,2.5373630940680082e-39,6.8660377499229303e-51,2.1272355554925156e-76,2.4040353796819878e-71,5.4528342801013206e-73,2.3232132109026172e-77,2.2646697143326689e-124,3.6785959800874503e-48,1.9455570025003444e-130,3.0731558017948788e-141,1.3919654846782498e-130,2.2048873934724136e-141
2.30861114442601e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999955,0.099999999999999672,0.0,0.099999999999999895,0.0,1.7259453625221902e-60,0.0,1.8833358345239859e-55,0.0,6.5865229108449046e-37,1.4649516524869084e-107,2.8481966430893013e-46,1.4940467717188111e-86,0.0,0.0,0.0,0.0,0.0,3.3152228143823912e-16,1.2009536582479058e-16,2.1295131253216897e-24,2.1295131253210108e-24,1.0256427315648453e-38,5.5602953839226891e-50,3.4635917037395268e-75,3.9143484103004493e-70,8.8392793466019681e-72,3.7828239911063501e-76,2.9724986857160618e-122,1.4869473107908343e-47,2.5536463865978055e-128,8.0681387121130303e-139,1.8273132285471625e-128,5.7895282286831309e-139
4.633366422729125e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999911,0.099999999999999339,0.0,0.09999999999999977,0.0,1.3920263688521667e-59,0.0,1.5189785790687748e-54,0.0,2.648411893869845e-36,9.4927626414035065e-106,1.1452473433622822e-45,4.8242350220659998e-85,0.0,0.0,0.0,0.0,0.0,6.6536290050469802e-16,2.4103055938206745e-16,4.273917950820455e-24,4.2739179508177234e-24,4.1240643141925925e-38,4.4754094597228812e-49,5.5902032481535623e-74,6.3177741156499328e-69,1.4235386887828974e-70,6.1055526822986633e-75,3.8526831994501359e-120,5.9789497379695303e-47,3.3098048379312365e-126,2.0915397754009269e-136,2.3685815531875607e-126,1.5009623310774195e-136
9.282876979335357e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999819,0.099999999999998673,0.0,0.099999999999999534,0.0,1.1181468561977079e-58,0.0,1.2201262003053514e-53,0.0,1.0621316225583058e-35,6.1131037150349368e-104,4.592954071276398e-45,1.55071505706034e-83,0.0,0.0,0.0,0.0,0.0,1.3330441386249256e-15,4.8290094649495279e-16,8.5627276018179864e-24,8.5627276018070337e-24,1.6539342432570517e-37,3.5912342399464992e-48,8.9832684584594879e-73,1.0152493398501157e-67,2.2850948617361253e-69,9.8115071441521146e-74,4.9623073865880155e-118,2.397826259666436e-46,4.2630728103792064e-124,5.3879939540328446e-134,3.0508828201131689e-124,3.866763860924261e-134
1.858189809254782e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999636,0.099999999999997341,0.0,0.099999999999999048,0.0,8.963313365205408e-58,0.0,9.780821708716421e-53,0.0,4.2540665393548772e-35,3.9245055325769319e-102,1.8395773006334212e-44,4.9734513142370301e-82,0.0,0.0,0.0,0.0,0.0,2.6684066148146198e-15,9.6664172071404963e-16,1.7140346903813053e-23,1.7140346903769187e-23,6.6243638480822492e-37,2.8773575425471643e-47,1.4404455395568335e-71,1.6279313923012394e-66,3.6621100510959909e-68,1.5732587919710114e-72,6.3715848556456274e-116,9.6038120314438822e-46,5.47377017145866e-122,1.3836499104621516e-131,3.9173983586255426e-122,9.9301361858649091e-132
