Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),CH3X(21),CH3OO(77),H2X(49),HOX(22),C2H4(47),H2OX(23),CH2X(27),CHX(28),CX(26),C2H6X(52),CH4OX(60),C2H4X(205),C2H4X(65),CH2(T)(34),CH2O2(180),O(29),OCX(25),CH2OX(54),COX(50),CH2OH(40),C2H5O(140),C3H6O(210),C2H3(46),C2H2(338),C2H2(362),C2H2X(364),C4H6(378),acetyl(43)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.47460436880409e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.8104837803181494e-54,4.1740642393409545e-36,2.1954098276063462e-82,3.0695329253306341e-54,1.0530259565542377e-64,6.5969311029614065e-20,-1.8646493786057826e-105,6.5969311029613884e-20,5.2684613858298386e-72,7.088351888893298e-70,7.4680846028263976e-85,6.7706339348830494e-107,1.5034992256043604e-37,2.9319527273799149e-85,3.6027651784373138e-18,1.0667147362899237e-19,4.2704167848898297e-22,4.2704167848873931e-22,4.6881490100715622e-37,3.5748465656762067e-52,1.2660993123996095e-37,5.7701930588483962e-98,5.5271639712983054e-54,2.5061159090970316e-35,3.209011185073708e-45,1.7473304230590203e-51,6.8068022882802559e-71,1.5227094339118286e-86,1.324738235628654e-114,6.7312650427708194e-102,1.0175747554788795e-40,2.7948440889890732e-56,1.0117616560873501e-28,3.0999064747888017e-82,2.3367976664619589e-81,1.0283524829448592e-99,6.3322646462319806e-86,7.016521897442325e-100,-6.189216190658619e-177,4.2375057745010276e-104,3.5998529047435715e-117,2.3287930458959971e-132,8.5786227670901129e-134,9.5784373113030236e-229,3.700820368405942e-118
2.0928892232651454e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,8.0854063440245572e-53,2.5211348005619383e-35,9.0594203533713286e-81,4.6386781173872947e-53,2.3555769362559335e-63,1.8471407088292003e-19,3.6074507631635032e-104,1.8471407088291885e-19,1.4862966092162463e-70,2.2286912464316076e-68,3.0817260123964213e-83,5.0967643578841177e-105,9.0811353226548209e-37,1.5181702448386526e-83,1.0087742499624477e-17,2.9868012616117872e-19,1.1957166997692593e-21,1.1957166997677878e-21,2.8316420020798109e-36,4.24405784277078e-51,7.6472398468888805e-37,5.4357708158061874e-96,6.5618490666944259e-53,1.5136940089067369e-34,3.8097380763701964e-44,2.0765469761321655e-50,1.9196271384158916e-69,8.7700267079638406e-85,2.259576414932875e-112,6.3411420896016975e-100,6.146151523092456e-40,3.3180388913630453e-55,2.8329326419159179e-28,1.8877166284373109e-80,9.6428609709611906e-80,7.7411810072902804e-98,2.6354625503928956e-84,7.9807872338733747e-98,1.1791612837701663e-174,3.9919132663198558e-102,6.1401886818239226e-115,7.1731944255028504e-130,2.6424043613489352e-131,1.4203477497439416e-226,7.7338643128539858e-116
4.783746796034618e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,7.9382998944344691e-52,1.2138178808003503e-34,3.5838167836199533e-79,4.9900782409739644e-52,4.6542230448708901e-62,4.2220359058953445e-19,3.8090089606539159e-102,4.2220359058952858e-19,3.2332935220841971e-69,4.9720875705694593e-67,1.2191001554831768e-81,4.0298585283486608e-103,4.3721757480642076e-36,6.6295164965825829e-82,2.3057697141998778e-17,6.8269743122555139e-19,2.73306674233024e-21,2.7330667423231554e-21,1.3633137321236895e-35,4.166841156952141e-50,3.681816800450917e-36,4.7513271706427395e-94,6.4424623248494318e-52,7.2877850608361126e-34,3.7404234294190526e-43,2.0432488645255047e-49,4.1756083216996214e-68,3.9328480767360471e-83,3.9495619767974315e-110,5.5426988590623858e-98,2.9591073889326137e-39,3.257670235762836e-54,6.4752746330584011e-28,8.5405177128202764e-79,3.8146198791566331e-78,6.1207193644951064e-96,1.0467452306517894e-82,7.2249763002108717e-96,4.7778952427413253e-171,3.4892725627732535e-100,1.0732567213849184e-112,2.5066681124722576e-127,9.2338648027461669e-129,4.7776389949857307e-222,1.3996423811933421e-113
1.0165461941573563e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,7.0213363583576262e-51,5.3010615839630177e-34,1.2790388858832693e-77,4.5867416180000928e-51,8.2819411179458117e-61,8.9718263000277284e-19,3.0108071315629509e-100,8.9718263000274722e-19,5.9941901359142926e-68,9.3121697480381786e-66,4.3508818013642373e-80,2.880374667068172e-101,1.9094440165244893e-35,2.4680914766111663e-80,4.8997606426747306e-17,1.4507320413542966e-18,5.8077668274539129e-21,5.8077668274229709e-21,5.9539492427379626e-35,3.685523815349443e-49,1.6079461267401151e-35,3.5447668956266267e-92,5.6982849676483561e-51,3.1827672016412384e-33,3.3083621547675763e-42,1.8152048720747932e-48,7.7408741024480014e-67,1.4796357400968366e-81,5.8989868022942196e-108,4.1351762816420129e-96,1.2923199394582085e-38,2.881372389822234e-53,1.3759958693284757e-27,3.2387435332549261e-77,1.3614107205791426e-76,4.3748347187712328e-94,3.7426198662907102e-81,5.4758890027735178e-94,1.4121470222489531e-167,2.60320062713457e-98,1.6029947807168743e-110,7.4914579520576138e-125,2.7596437502593717e-126,1.2441305024221741e-217,2.1252362557146532e-111
2.0928892232651456e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996523,0.022821567693054285,0.0,5.9018562766475802e-50,2.2130888596985776e-33,4.321584221654375e-76,3.9240540216822848e-50,1.396870381716653e-59,1.847140708829289e-18,2.1339900474106679e-98,1.8471407088291819e-18,1.0302655928863512e-66,1.6084457466530335e-64,1.4700645852167307e-78,1.9479991861381007e-99,7.9715528942168869e-35,8.5030974698482311e-79,1.0087742499624403e-16,2.9868012616117867e-18,1.19571669977081e-20,1.1957166997578925e-20,2.485656605092312e-34,3.0979048362697693e-48,6.7128585542762113e-35,2.445203443631009e-90,4.7897518625382565e-50,1.3287426523824526e-32,2.7808777186959996e-41,1.5392041813094306e-47,1.3304584780097497e-65,5.1235087966413116e-80,8.1428207315505163e-106,2.8524717071048773e-94,5.3951813535492979e-38,2.4219670390901306e-52,2.8329327125503037e-27,1.1333948393856934e-75,4.5998990035313808e-75,2.9587034523414529e-92,1.2656669293902948e-79,3.8075935900755734e-92,3.4639463691092364e-164,1.7957048588405015e-96,2.2127357748818598e-108,2.068777155547876e-122,7.6207968924868461e-124,2.5572983111707151e-213,2.958536244934281e-109
4.245575281480724e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996512,0.022821567693054285,0.0,4.838698351053581e-49,9.0411901049820964e-33,1.4208429524677802e-74,3.2444837488882534e-49,2.2943636676585061e-58,3.7470568664824762e-18,1.4360898286725305e-96,3.7470568664820394e-18,1.7076041582705392e-65,2.6724566643590214e-63,4.8332504579633839e-77,1.2814594765875539e-97,3.2566394626810421e-34,2.8218926865039292e-77,2.0463706213523611e-16,6.0589397021267654e-18,2.425596733824384e-20,2.4255967337716129e-20,1.015471828137213e-33,2.539849552300463e-47,2.742421754573726e-34,1.623886174975279e-88,3.9269279612059148e-49,5.4283472815511478e-32,2.2799315408410468e-40,1.2839321938042246e-46,2.2051373560896359e-64,1.7046236484864873e-78,1.08185480280103e-103,1.8943574516853949e-92,2.2041076233577068e-37,1.9856747925012224e-51,5.7468065237001856e-27,3.839455018260667e-74,1.5123460689399785e-73,1.9463347850705397e-90,4.1630517955047529e-78,2.5389157964768982e-90,7.7541410205576583e-161,1.1925471077689012e-94,2.9398397733498214e-106,5.4979343063902835e-120,2.0252853511496165e-121,4.6823586001154298e-209,3.9476294477551888e-107
8.55094739791188e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999949,0.11866996602996491,0.022821567693054282,0.0,3.9185033769290692e-48,3.6545935966265033e-32,4.608474243266662e-73,2.6383603015714275e-48,3.7192619583676456e-57,7.5468891817894706e-18,9.4227513923312813e-95,7.5468891817877065e-18,2.7804025537901436e-64,4.3567788559907294e-62,1.5676530273398296e-75,8.3145537994043208e-96,1.3163857400230203e-33,9.1947668774292077e-76,4.1215633641321477e-16,1.2203216583156716e-17,4.8853568019424775e-20,4.8853568017291669e-20,4.1046994891384025e-33,2.0568360174991317e-46,1.1085307207265198e-33,1.0585480982660132e-86,3.1801280749465233e-48,2.1942247537255255e-31,1.8463476300667313e-39,1.0753941454530374e-45,3.5904945398364596e-63,5.5613436591068574e-77,1.4106405235089836e-101,1.2348577777127805e-90,8.9093554201021413e-37,1.6080507424261907e-50,1.1574554644824854e-26,1.295551285628373e-72,4.9052576810977045e-72,1.2628495536957884e-88,1.3505684274503321e-76,1.6583962748874575e-88,1.6596870531090129e-157,7.7737497398306633e-93,3.8332843799170919e-104,1.4338644579007735e-117,5.281955950297786e-119,8.1048469615952021e-205,5.1585111847213715e-105
1.7161691630774193e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999905,0.11866996602996449,0.022821567693054275,0.0,3.1539524206778749e-47,1.469496011716947e-31,1.4846843462167118e-71,2.1279331643802325e-47,5.9897553799456605e-56,1.5146553812405949e-17,6.1058159208334306e-93,1.5146553812398847e-17,4.4875905215474589e-63,7.0362094894886293e-61,5.0504019311423117e-74,5.3578768041259117e-94,5.2931291640626073e-33,2.9689410555572783e-74,8.2719488496915055e-16,2.4491770345216582e-17,9.8048769382224536e-20,9.8048769373647419e-20,1.6504816113226599e-32,1.6555205675722469e-45,4.4573532728994951e-33,6.8369763838895664e-85,2.5596437387683494e-47,8.8228811545638953e-31,1.4861011321940286e-38,9.2293145359275901e-45,5.7950726630698545e-62,1.7968709742753116e-75,1.8223472973948702e-99,7.9757296229945971e-89,3.5824126296551707e-36,1.2942988343127263e-49,2.3230052882373806e-26,4.460341420762574e-71,1.5802937533573969e-70,8.1377696182481576e-87,4.3515052912332561e-75,1.0722249603074941e-86,3.4745402944503268e-154,5.0209285220648353e-91,4.9520592337211358e-102,3.7048321900112469e-115,1.3647566425685513e-116,1.3646612741041776e-200,6.6713247619464143e-103
3.438318009649882e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999821,0.11866996602996364,0.022821567693054261,0.0,2.530848189950435e-46,5.8933362551401089e-31,4.7670328728545663e-70,1.7092716395952831e-46,9.6148795957253171e-55,3.0345883073648851e-17,3.9319788044256819e-91,3.0345883073620372e-17,7.2114452133337715e-62,1.1310501252404758e-59,1.6215774265770823e-72,3.4408061485451267e-92,2.1227815359201357e-32,9.5434062763093018e-73,1.657271982080935e-15,4.9068877869336208e-17,1.9643917210957556e-19,1.9643917207517739e-19,6.6191694562585519e-32,1.3284509944324873e-44,1.7875980222783979e-32,4.3956923124181404e-83,2.0539528982841236e-46,3.5383698961037723e-30,1.1925024563130645e-37,8.3265115396348834e-44,9.3125261965984442e-61,5.7777283682889252e-74,2.343365507220575e-97,5.1278300666069403e-87,1.4367076918133497e-35,1.0385928202663317e-48,4.6541057338670176e-26,1.6101850745850644e-69,5.0739895809166409e-69,5.2260417237941829e-85,1.3972518634425459e-73,6.8971783617881509e-85,7.1942835600976395e-151,3.2281019659143289e-89,6.3678777446305461e-100,9.52829654672148e-113,3.5099581688313332e-114,2.2665060392543161e-196,8.5834038353089478e-101
