Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(45),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(49),CO2X(24),CH4OX(57),COX(47),CH3OO(75),SX(187),CH3OX(55),DME(215),DMEX(217),CH3OX(56),CH2OX(181),CHOX(183),C2H5X(48),C3H8X(54),C2H6O(121),SX(246)
0.0,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2354332692096417e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,-2.2427752622332466e-138,6.3007431202941871e-69,1.8323946032746275e-55,2.8615692458623704e-103,3.2511439410543896e-63,4.6702389690369671e-167,4.0821895051233681e-37,-1.4362988938351266e-118,4.0821858119095911e-37,2.578599836600693e-97,6.8700913468524113e-73,4.1780521967741729e-141,1.2756732673087439e-142,1.6556615917182791e-59,6.7858379562779819e-117,3.1736294395560866e-18,1.3885518279013448e-18,1.4075161157051782e-26,7.2899702477041555e-38,1.4075161156978888e-26,2.6671030572401446e-54,3.6214678571857085e-43,1.4816605866124314e-53,1.6403261668470577e-62,1.565267830093308e-91,7.5364724429492748e-80,-9.3979876909437413e-126,1.5427493015008232e-89,6.872878049007214e-120,1.1853416378187397e-53,2.1970120110050459e-70,1.5198405580179524e-64,-4.1092544885413343e-100,-7.6957861174457903e-117,8.5822648605026052e-93,1.7085715658998768e-109,5.5973675942841774e-119,1.1307341484600029e-83,-2.7494055088383409e-135,-4.2371811919061103e-128,-7.9353664478105581e-145
3.459213153786997e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999998,0.10000000000000001,0.10000000000000001,7.6513641036793573e-136,1.4096699965884507e-67,1.1067663417787039e-54,5.8872712030667446e-101,4.9131287240271758e-62,3.126182582062544e-164,1.1430142580358092e-36,1.6735395187362363e-117,1.1430120273346877e-36,7.2825700056762263e-96,2.1600666752192277e-71,1.5514125828089513e-138,4.7368856712317476e-140,1.9656014416879029e-58,3.517521668615393e-115,8.8861624307570349e-18,3.8879451181237649e-18,3.9410451239981195e-26,4.4031420296132155e-37,3.9410451239540889e-26,3.1663847495554327e-53,2.187366585664697e-42,1.7590274466487731e-52,3.6693213600420538e-61,1.7803683166759487e-89,2.1254058125983609e-78,1.7864325562967361e-123,8.8854462276752854e-88,2.5520670836935895e-117,7.1594697466334865e-53,2.6082947460389251e-69,2.2967830725373936e-63,4.0602064189199671e-99,1.2917493946913367e-115,4.9429441572293196e-91,1.3184103741113575e-107,7.2805905554940193e-117,3.1888604925469047e-82,5.4914287092183829e-134,3.8738213101458369e-126,1.2979409334485374e-142
7.906772922941707e-23,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999995,0.099999999999999992,0.10000000000000001,6.4079834913931983e-133,2.7854639642184698e-66,5.3286035269351742e-54,1.0666472399664325e-98,5.2853196825593545e-61,2.2654812260526117e-161,2.6126096594878185e-36,1.8237037338622869e-115,2.612598919622153e-36,1.5891754583246045e-94,4.8189899297637876e-70,5.6220281957032817e-136,1.716558515676755e-137,1.9298391513067061e-57,1.5407207134470065e-113,2.0311228413158891e-17,8.8867316985686034e-18,9.008103140678476e-26,2.1199233480322257e-36,9.0081031404664852e-26,3.1087753235188985e-52,1.0531228527563966e-41,1.7270235742451804e-51,7.2499351865020414e-60,1.6117549807843523e-87,4.6232218892280569e-77,7.4498773861794158e-121,3.9846070370019071e-86,9.2482124103140479e-115,3.4469828640893434e-52,2.5608436684060579e-68,2.4707744227276158e-62,2.2393858981991941e-97,1.5227243418147484e-113,2.2166240052417931e-89,1.4368681155446996e-105,1.612983821077894e-114,6.9364731221541361e-81,1.262246830388432e-131,8.1050295971904207e-124,5.4774369635253341e-140
1.6801892461251129e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999993,0.099999999999999964,0.10000000000000001,4.1325641052745598e-130,4.9567424980812886e-65,2.3271411672718092e-53,1.6185869511289543e-96,4.8581193688928117e-60,1.3762076845807746e-158,5.5518196080120935e-36,1.4419087372126246e-113,5.5517727041971173e-36,2.9648984181537902e-93,9.0254348108859577e-69,1.7071462387878495e-133,5.2123829900683146e-135,1.7069208745976255e-56,5.7718148302352557e-112,4.3161360377962448e-17,1.8884304859458285e-17,1.9142219174417093e-25,9.2582622145828122e-36,1.9142219173491281e-25,2.7496765678918508e-51,4.599264177456037e-41,1.527532786802385e-50,1.2900849730859694e-58,1.2215646878710707e-85,8.5706742202903422e-76,2.4013876602163146e-118,1.4991087546664543e-84,2.8082482837499655e-112,1.5053935740526629e-51,2.2650450864607737e-67,2.2710673716103656e-61,8.8134485229887758e-96,1.2036427767848946e-111,8.3394941265665355e-88,1.1754473291806752e-103,2.6660712171995766e-112,1.2859055975840868e-79,1.999926174024338e-129,1.3006605451400925e-121,1.759303072285384e-137
3.4592131537869966e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999987,0.099999999999999922,0.099999999999999992,2.3678190187058627e-127,8.3603994681916152e-64,9.7153563757796094e-53,2.2522803061892815e-94,4.1562234014615879e-59,7.6634747437837211e-156,1.143031608754168e-35,1.021977781405504e-111,1.1430120273347181e-35,5.1606739323472916e-92,1.5589194169342326e-67,4.7524481653174902e-131,1.4510520197538053e-132,1.434769844797136e-55,2.0133560505608614e-110,8.8861624307568978e-17,3.8879451181237623e-17,3.9410451243405936e-25,3.865142225331423e-35,3.9410451239540855e-25,2.3112688357545769e-50,1.920102256827032e-40,1.2839833367948187e-49,2.1759149686339762e-57,8.4939959367563844e-84,1.4730799169274057e-74,6.8782267529001031e-116,5.1909376639233253e-83,7.8177569681071813e-110,6.2847686099207336e-51,1.9039201010671752e-66,1.942945950698619e-60,3.1139901394189447e-94,8.518244500515772e-110,2.8877021433075927e-86,8.4597797296986438e-102,3.8580333810257828e-110,2.210143492108175e-78,2.8370710773631137e-127,1.8578271539723735e-119,5.0278240257042005e-135
7.017260969110764e-22,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999973,0.099999999999999825,0.099999999999999978,1.28153363561118e-124,1.3732085356601838e-62,3.9690401663505882e-52,3.004591714525794e-92,3.4364458824462095e-58,4.0902542629585416e-153,2.318761537652504e-35,6.8774428287645906e-110,2.318681541164785e-35,8.7681575939235642e-91,2.590167927061714e-66,1.2681718873605639e-128,3.8720745909000413e-130,1.1763110039071136e-54,6.8467239975187571e-109,1.8026215216677963e-16,7.8869743824796238e-17,7.9946915387430069e-25,1.5790367155325924e-34,7.9946915371639929e-25,1.8949178325322292e-49,7.8442442284645581e-40,1.0526870960323609e-48,3.5739452703951931e-56,5.6638218855220869e-82,2.4415219321760063e-73,1.8611589798547117e-113,1.7270576575680115e-81,2.086137347382439e-107,2.567571269635131e-50,1.5609704194819278e-65,1.6064652850785163e-59,1.0461704947812969e-92,5.7278557444649929e-108,9.6075670799550598e-85,5.7343140739646406e-100,5.2442157537339438e-108,3.6631510201737498e-77,3.8198915655271342e-125,2.5100167158845393e-117,1.3588419849109397e-132
1.4133356599758301e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999948,0.099999999999999645,0.099999999999999936,6.7449094289605021e-122,2.2260385921946625e-61,1.6043495614824746e-51,3.9257649478278189e-90,2.7944607215936764e-57,2.1379658660195111e-150,4.6703439274188886e-35,4.5125419675185937e-108,4.6700205688251325e-35,1.4975907560146147e-89,4.2226274464362385e-65,3.3142203105020561e-126,1.0119218365302837e-127,9.5260714888562103e-54,2.3385159064306856e-107,3.630632078851913e-16,1.5885032911191321e-16,1.6101984369966411e-24,6.3827188704276762e-34,1.6101984363583787e-24,1.534553589845915e-48,3.1707689320907691e-39,8.524932731947812e-48,5.7935178542060831e-55,3.6995554698622577e-80,3.9753855447223073e-72,4.8975266580584599e-111,5.6345347336758857e-80,5.4518782793536377e-105,1.0378842630696669e-49,1.2641494486847766e-64,1.3063508905681567e-58,3.4294920097983088e-91,3.7567717257745807e-106,3.1344738618286916e-83,3.7757297582310489e-98,6.9153073667552722e-106,5.9644920457078063e-76,5.0137101350970323e-123,3.3001256481523943e-115,3.5735303172380142e-130
2.836554786105337e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.19289575039999896,0.099999999999999284,0.099999999999999853,3.5011796811001726e-119,3.5849732532468829e-60,6.4510195616645783e-51,5.0767597970799827e-88,2.2538338099305907e-56,1.1059846674944262e-147,9.373998834830797e-35,2.924060095870008e-106,9.372698624146685e-35,2.6428319419804473e-88,6.8195546074508666e-64,8.5721752900256586e-124,2.6173188713662022e-125,7.6674110837103296e-53,8.2458630182832673e-106,7.2866531932197614e-16,3.1881149968614619e-16,3.2316570042087521e-24,2.566463185577776e-33,3.2316570016423277e-24,1.2351422322511923e-47,1.2749522390462142e-38,6.8616070332775874e-47,9.3302802655617692e-54,2.391922836044176e-78,6.416288301338163e-71,1.2710820150231593e-108,1.8205190224127451e-78,1.4101191801389904e-102,4.1735355031103624e-49,1.0175540098628093e-63,1.0536193194454088e-57,1.1106982981824838e-89,2.4338530874177826e-104,1.0127489816394344e-81,2.4508582971491334e-96,8.9835810007399193e-104,9.6267143914442726e-75,6.4982516753712463e-121,4.2809578192956795e-113,9.2717237021741926e-128
5.682993038364351e-21,0.066515776,0.80000000000000004,0.0,0.0,0.0,0.1928957503999979,0.099999999999998548,0.099999999999999686,1.8049445890844741e-116,5.7546814123394057e-59,2.5871478036903555e-50,6.5316016302456399e-86,1.8104018875652174e-55,5.6918734175516244e-145,1.8783269161173508e-34,1.8830128683481116e-104,1.8778054734793223e-34,4.9723943966310922e-87,1.0962234865952594e-62,2.2057831783921457e-121,6.7348575403787334e-123,6.1526145179772529e-52,3.0973215956038213e-104,1.4598695421953917e-15,6.3873384083460806e-16,6.4745741425026962e-24,1.0292665252851892e-32,6.4745741322101845e-24,9.911238548378262e-47,5.1131286908459965e-38,5.5060067420913392e-46,1.4977163333788107e-52,1.5386251424022727e-76,1.0310803065156635e-69,3.2763271721903438e-106,5.8537672220023589e-77,3.6285039232586275e-100,1.6739737457052609e-48,8.1661377344318921e-63,8.4632433628352499e-57,3.5755980233011096e-88,1.5671793261023507e-102,3.2564322216117633e-80,1.5796423574695609e-94,1.158418202493395e-101,1.5469871754589608e-73,8.3697931713657054e-119,5.5162741632616948e-111,2.3894981272785453e-125
