Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),CH2X(27),CHX(28),CX(26),OCX(25),CH4OX(60),C2H6X(52),COX(50),C2H4X(205),C2H4X(65),CH2OH(40),CH2OX(54),acetyl(43),CH2(T)(34),CH2O2(181),O(29),C3H6O(210),C2H3(46),C2H2(334),C2H2(358),C2H2X(360),C4H6(374)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.402384274004056e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.6149769647288453e-54,4.0937949478260571e-36,2.0913792389777803e-82,2.9814174709331654e-54,1.0129146429707473e-64,6.5331930192095633e-20,-1.7591300532966293e-105,6.533193019209544e-20,5.067778345853557e-72,6.8183555915788332e-70,7.1142057776816786e-85,6.3874856618968771e-107,1.4745862020582142e-37,2.7930201153557897e-85,3.5679550360015566e-18,1.0564080718059845e-19,4.2291557508841225e-22,1.2417512482221677e-37,4.5979941860823883e-37,4.2291557508817353e-22,5.3684955467252122e-54,3.4722243598522518e-52,5.4436611066619481e-98,2.4579218195969457e-35,3.1168910798982126e-45,1.6971511589556504e-51,2.952982767152398e-82,1.4505571102744422e-86,6.547523234139909e-71,9.701583047260057e-100,1.2376966746042062e-114,6.3503433459060467e-102,6.0322094294756936e-86,2.2260673478780648e-81,3.4576589418765056e-118,9.9800627098501151e-41,2.7146132748697396e-56,1.0019859632061109e-28,-5.5622893699617706e-177,3.9977083635744218e-104,3.3633259565277137e-117,2.1547577773959668e-132,7.9375265444652891e-134,8.3610922910883137e-229
2.072667596721136e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,7.8533006525528165e-53,2.4726521484869399e-35,8.6301352036146312e-81,4.5055180095088721e-53,2.2658495325784364e-63,1.8292940453786838e-19,3.4033073854582568e-104,1.829294045378672e-19,1.4296814886586639e-70,2.1438000891104675e-68,2.9356969248828232e-83,4.8083398930309896e-105,8.9065006604323211e-37,1.4462306853007303e-83,9.9902741008043553e-18,2.9579426010567572e-19,1.1841636102476597e-21,7.5001775392589048e-37,2.7771884883904472e-36,1.1841636102462168e-21,6.3734779130437013e-53,4.1222247600165814e-51,5.1281635925467171e-96,1.4845847788540783e-34,3.7003730876029539e-44,2.0168935410575208e-50,1.7982286757002232e-80,8.3544662600807023e-85,1.846506283714117e-69,7.3031097462747818e-98,2.1111115539518705e-112,5.9822973742273899e-100,2.5105808241697202e-84,9.1859292125751523e-80,7.2257127684342403e-116,6.0279578767494902e-40,3.2227888692628084e-55,2.8055607017547699e-28,1.0597200087248305e-174,3.7660137326722236e-102,5.7367499099104222e-115,6.6371275010922971e-130,2.4449326171003086e-131,1.2398325700948699e-226
4.7375259353625963e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,7.7104171501708032e-52,1.1904755708278181e-34,3.4139958370111827e-79,4.8468306710665354e-52,4.4769368171052496e-62,4.1812435322941628e-19,3.5934595298015818e-102,4.181243532294105e-19,3.1101328389004556e-69,4.7827000683390835e-67,1.1613325011431224e-81,3.8018099631226675e-103,4.2880966755863501e-36,6.3153722125390253e-82,2.2834912230409934e-17,6.7610116595583024e-19,2.7066596805665738e-21,3.611012629825577e-36,1.3370967093077843e-35,2.7066596805596258e-21,6.2575184091746367e-52,4.047224713843741e-50,4.4824522255854123e-94,7.1476366486507594e-34,3.6330482351275242e-43,1.9845100148205729e-49,8.1354815309080374e-79,3.7464933296227985e-83,4.016554488347777e-68,5.7743495702696354e-96,3.6900570653164282e-110,5.2290379765516593e-98,9.9714507987270917e-83,3.6338622210429379e-78,1.3076792416691796e-113,2.9022022360244431e-39,3.1641532001342709e-54,6.4127101979627214e-28,4.2939259019502779e-171,3.2918171062518166e-100,1.0027387940439673e-112,2.3193398732527957e-127,8.5438010726136867e-129,4.1704381120486246e-222
1.0067242612645518e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,6.8197766517308572e-51,5.1991195837390969e-34,1.2184309888073734e-77,4.4550724216794897e-51,7.9664697535107514e-61,8.8851425061252171e-19,2.8404274419721161e-100,8.8851425061249628e-19,5.7658630296722859e-68,8.9574679162819378e-66,4.1447131496986536e-80,2.717375068821182e-101,1.8727244766150308e-35,2.3511392325691221e-80,4.8524188489621015e-17,1.4367149776561393e-18,5.7516518212060807e-21,1.5770240852375143e-35,5.8394526162732297e-35,5.7516518211757353e-21,5.5347041686664451e-51,3.5797244260331838e-49,3.3441705208546267e-92,3.1215607080597224e-33,3.2133900117680097e-42,1.7629472690779289e-48,3.085016952296969e-77,1.4095244266694967e-81,7.446015100603198e-67,4.1272640434325568e-94,5.5113954544220543e-108,3.9011669881954077e-96,3.5652753736283371e-81,1.296899597395645e-76,1.9855981569205309e-111,1.2674679641509947e-38,2.7986576324465202e-53,1.3627009266821165e-27,1.2691058233466967e-167,2.4558873520032175e-98,1.4976706142059217e-110,6.9316065612387919e-125,2.5534104878942324e-126,1.0860111586003022e-217
2.072667596721136e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996523,0.022821567693054285,0.0,5.7324331983182769e-50,2.1705300813373778e-33,4.1168037841449328e-76,3.8114082520993283e-50,1.3436615269367953e-59,1.8292940453787708e-18,2.0132288873582245e-98,1.8292940453786653e-18,9.9102133199721338e-67,1.5471798260317936e-64,1.4004048597620844e-78,1.8377624522651806e-99,7.8182560433225442e-35,8.1001722379559389e-79,9.990274100804282e-17,2.9579426010567566e-18,1.1841636102491805e-20,6.5837651180321741e-35,2.4378565174146187e-34,1.1841636102365116e-20,4.6522523445269789e-50,3.0089740746580292e-48,2.3068307492111547e-90,1.3031901462047412e-32,2.7010479106195243e-41,1.4947675169500466e-47,1.0795096552394738e-75,4.8807355779751544e-80,1.279779749262192e-65,2.7912712442565802e-92,7.6077988762747235e-106,2.6910505624376324e-94,1.205693151110688e-79,4.3819305057297561e-75,2.7641463800482227e-109,5.2914292487628011e-38,2.3524403042543678e-52,2.8055607710308214e-27,3.1130714018645819e-164,1.6940871958746872e-96,2.0673488066705125e-108,1.9141733687596774e-122,7.051280698599115e-124,2.2322855181479602e-213
4.2045542676343044e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996512,0.022821567693054285,0.0,4.6997950752851424e-49,8.8673236087891653e-33,1.3535155900587746e-74,3.1513460482397967e-49,2.206967970012043e-58,3.7108536349114192e-18,1.3548224048351102e-96,3.7108536349109916e-18,1.6425591217830752e-65,2.5706624209479003e-63,4.6042245364313966e-77,1.2089420348296556e-97,3.19401269711455e-34,2.6881753242014031e-77,2.0265984604488512e-16,6.0003978478579896e-18,2.4021604665090092e-20,2.6896828736637834e-34,9.9594393264301899e-34,2.4021604664572525e-20,3.814197548994797e-49,2.4669387409608582e-47,1.5319913651402739e-88,5.3239569565673626e-32,2.2144822420755541e-40,1.2466623358150122e-46,3.6563291511290143e-74,1.6238514694674938e-78,2.1211410797906334e-64,1.8361922312132501e-90,1.0107718227365361e-103,1.7871559157547801e-92,3.9657850939462648e-78,1.4406828004614603e-73,3.6882514516630986e-107,2.1617215032046011e-37,1.9286725790437559e-51,5.6912805820362959e-27,6.9686975782097863e-161,1.1250617136795625e-94,2.7466787115893834e-106,5.0870628594625431e-120,1.8739320450598136e-121,4.0872671213095163e-209
8.468327609460641e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999949,0.11866996602996491,0.022821567693054282,0.0,3.8060159028317985e-48,3.5843139789792173e-32,4.3900993163163913e-73,2.5626222701957921e-48,3.5775897861417213e-57,7.4739728139773292e-18,8.8895237934614192e-95,7.4739728139755974e-18,2.6744931223324266e-64,4.1908285477241171e-62,1.4933690284776379e-75,7.8440353956267879e-96,1.2910710000465547e-33,8.7590664060063717e-76,4.0817405611856438e-16,1.2085308341460448e-17,4.8381541790394013e-20,1.0872128218493332e-33,4.0257646133138507e-33,4.8381541788301923e-20,3.0888360644459523e-48,1.9977909521358927e-46,9.9864545380181749e-87,2.1520285155758736e-31,1.79334509267378e-39,1.0438547541365887e-45,1.2333828214844672e-72,5.2978239983573871e-77,3.4537283784968069e-63,1.1913852309507748e-88,1.3179547657253786e-101,1.1649772753516002e-90,1.2865715844483677e-76,4.6728196182570272e-72,4.8195724633746571e-105,8.7380239454857116e-37,1.5618888791954224e-50,1.1462720693279505e-26,1.4915716818416937e-157,7.3338387616237822e-93,3.5814198777911019e-104,1.3267089460901215e-117,4.8872256495845981e-119,7.0747837618202299e-205
1.6995874293113315e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999905,0.11866996602996449,0.022821567693054275,0.0,3.0634127152236463e-47,1.4412368865619609e-31,1.4143317807334134e-71,2.0668476982772654e-47,5.7615967778450462e-56,1.5000211172111587e-17,5.760291622566413e-93,1.5000211172104622e-17,4.3166519068859961e-63,6.7681992984720762e-61,4.8110861969503322e-74,5.0546758551809926e-94,5.1913397078499041e-33,2.8282557032519331e-74,8.1920247626590159e-16,2.4255129328665337e-17,9.7101416041431325e-20,4.3716349391801176e-33,1.6187422449256989e-32,9.710141603301914e-20,2.4861639865585604e-47,1.607995962163336e-45,6.4500757166451148e-85,8.6532119389652371e-31,1.4434400816156464e-38,8.9536085923296408e-45,4.2439552820688495e-71,1.7117277322029564e-75,5.5743315272684117e-62,7.6772552091587559e-87,1.7026104563022076e-99,7.5243837251996487e-89,4.1453087127219411e-75,1.5054107549796686e-70,6.2329868497932888e-103,3.5135209972550823e-36,1.2571437622376471e-49,2.3005602872694951e-26,3.1225922471120015e-154,4.736797741997873e-91,4.626686052456011e-102,3.4279627918660431e-115,1.2627658639656969e-116,1.1912234143098689e-200
3.405096766041866e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999821,0.11866996602996366,0.022821567693054261,0.0,2.4581957781356815e-46,5.7800045240659714e-31,4.5411441822950074e-70,1.6602044712514015e-46,9.2486347145418193e-55,3.0052687888389855e-17,3.7094705868823018e-91,3.0052687888361924e-17,6.9367511545631965e-62,1.0879682698237026e-59,1.5447382038078602e-72,3.2460915673448905e-92,2.0819594112137914e-32,9.0911852826834437e-73,1.6412593165604912e-15,4.8594771303075001e-17,1.945411645452238e-19,1.7532211366673238e-32,6.4918804012593972e-32,1.9454116451148714e-19,1.9949900248356235e-46,1.290315491586967e-44,4.1469425445143487e-83,3.4703249537265476e-30,1.1582696541470747e-37,8.0702091744606467e-44,1.5306497383607813e-69,5.5039554976442287e-74,8.9578011173226986e-61,4.93030099282824e-85,2.1893953041981095e-97,4.8376465760569229e-87,1.3310429288049997e-73,4.8335561044716929e-69,8.0194327063879778e-101,1.4090790659673277e-35,1.0087782332375849e-48,4.6091375059241966e-26,6.4655500544803341e-151,3.0454259677059662e-89,5.9494787429486139e-100,8.8162282006273452e-113,3.2476525274197545e-114,1.9784507265679403e-196
