Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(55),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(84),CH2X(27),CHX(28),CX(26),OCX(25)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.005623792274171e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.9506094905845215e-133,1.437856848073503e-63,1.2297895595029565e-43,1.885844009250913e-70,3.6166874828904304e-57,6.8015880822724946e-47,1.4816818230624579e-26,-9.6964116632017824e-109,1.4816818228569352e-26,4.7369656535199047e-69,1.4063258655671322e-70,5.3081256737916058e-71,3.8883083594005063e-100,6.801589441262623e-47,4.1410515319404981e-86,2.8251634421301292e-18,1.3583636890013839e-19,5.2358675890951991e-23,6.074237580696318e-38,5.235867589095436e-23,2.1531673116330103e-54,7.7591912377595193e-44,1.8121372310098257e-37,9.0580365221791993e-48,3.0216627913063983e-56,3.7680823937613883e-86
1.961574661836768e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,1.5051777850227951e-131,1.7152852581565519e-62,7.4279289394002601e-43,2.2388740080572853e-69,5.4655381241247952e-56,4.1081592022428039e-46,4.1487091052407761e-26,5.7303279405811224e-108,4.1487091039994208e-26,7.1585024981640786e-68,4.4217135379543961e-69,6.3018068006983194e-70,8.6979902686665505e-99,4.1081608156358835e-46,1.1678427892353178e-84,7.9104576379643625e-18,3.8034183292038749e-19,1.4660429249465855e-22,3.6688394987356434e-37,1.4660429249467279e-22,2.5562402323593033e-53,4.6865515082342983e-43,1.0945308874770645e-36,1.0753700952686101e-46,4.1842535230308522e-55,1.2854828203475724e-84
4.48359922705547e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,1.6404168721703816e-129,1.7015767509934997e-61,3.5762280390381771e-42,2.1981397780341252e-68,5.8795765071622497e-55,1.9779018151501656e-45,9.4827636722609903e-26,3.3521700379869256e-106,9.4827636662844028e-26,7.700790331100433e-67,9.8645996653397775e-68,6.1871512877675606e-69,1.718576303858413e-97,1.9779033991890597e-45,2.5403131568797354e-83,1.8081046029632814e-17,8.6935276096088575e-19,3.3509552570204351e-22,1.766388288459089e-36,3.3509552570211202e-22,2.5097318184040744e-52,2.2563728128817903e-42,5.2696950669835196e-36,1.0558047350272428e-45,5.3725500645110982e-54,5.0704151356113709e-83
9.527648357492874e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,1.3419636804938695e-127,1.5361554520123766e-60,1.5618327405724394e-41,1.9442297415649681e-67,5.4043437719101897e-54,8.6380168730144158e-45,2.015087281695573e-25,1.3206555404708523e-104,2.0150872790854399e-25,7.0783530524138161e-66,1.8475303436706171e-66,5.4724652496839293e-68,3.0581147111160365e-96,8.6380308836590479e-45,4.7093124734189505e-82,3.8422222812969647e-17,1.847374617041882e-18,7.1207799211670046e-22,7.7142817274078531e-36,7.1207799211699979e-22,2.2198293715269046e-51,9.8541728816815802e-42,2.3014142825629884e-35,9.338473290948605e-45,7.0012632829622358e-53,2.336277681885993e-81
1.961574661836768e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,9.6582219806264322e-126,1.3436005487366739e-59,6.5203442445177822e-41,1.6342422481559953e-66,4.623529877853923e-53,3.6062020088963893e-44,4.1487091148962433e-25,4.6662953894098006e-103,4.1487091039994538e-25,6.055680076377682e-65,3.1911492203064352e-65,4.5999367880260291e-67,5.1579574490709177e-95,3.6062137856874059e-44,8.0941049267988413e-81,7.9104576379643036e-17,3.8034183292038752e-18,1.4660429249455628e-21,3.2205607652163627e-35,1.4660429249468126e-21,1.8659003414494436e-50,4.1139232030143867e-41,9.6079515914386773e-35,7.8495494454136691e-44,9.6689292510800898e-52,1.2382141845490672e-79
3.9791943140117295e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996517,0.022821567693054282,6.5466734977757937e-124,1.1874460299754053e-58,2.6637733774937884e-40,1.3398505346506623e-65,3.8228239133051995e-52,1.4732511914711519e-43,8.4159527983444795e-25,1.5676813228330569e-101,8.415952753827535e-25,5.0069534175088091e-64,5.3021421570915473e-64,3.7713061033333641e-66,8.4719606159881884e-94,1.473260846795951e-43,1.3415385387394463e-79,1.6046928351298862e-16,7.715505753527857e-18,2.9739727906014803e-21,1.3157041568708712e-34,2.9739727906065859e-21,1.5297778327519567e-49,1.6806718662756271e-40,3.9251617216119966e-34,6.435534818153702e-43,1.4132512432806416e-50,7.1751945055202091e-78
8.014433618361652e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.118669966029965,0.022821567693054278,4.3106450723884659e-122,1.1007254459566452e-57,1.0767397892667211e-39,1.085045705554565e-64,3.1086569184376442e-51,5.9551168957137479e-43,1.6950440233428527e-24,5.1390770312683319e-100,1.6950440053483925e-24,4.0715714063905019e-63,8.6438299072481048e-63,3.0541014732068769e-65,1.3733413296861666e-92,5.9551950870372791e-43,2.184347760272759e-78,3.2319869777967529e-16,1.5539680602175811e-17,5.9898325219060913e-21,5.3182865648241426e-34,5.9898325219267274e-21,1.2388537509391455e-48,6.7935444308072541e-40,1.5866131231995641e-33,5.2116628397318372e-42,2.1495606913129358e-49,4.3657063298652258e-76
1.6084912227061498e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996469,0.022821567693054271,2.7981041701943399e-120,1.1098817741456589e-56,4.3295233359992702e-39,8.7333918811611234e-64,2.5072444235357977e-50,2.3945263340753025e-42,3.4019415376346924e-24,1.6643760224189586e-98,3.401941465279759e-24,3.283869907633141e-62,1.3959808387770917e-61,2.4582065874096177e-64,2.2117238919932638e-91,2.3945892692549662e-42,3.5255461598378857e-77,6.4865752631303021e-16,3.1188030299471677e-17,1.2021551984486412e-20,2.1384596368456466e-33,1.2021551984569385e-20,9.9713727628711519e-48,2.7316543614711335e-39,6.379701565595578e-33,4.1947994831477614e-41,3.3481028655670111e-48,2.7238807734752611e-74
3.222586944446119e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999864,0.11866996602996403,0.022821567693054254,1.8034872438421149e-118,1.2499775772568421e-55,1.736332500475266e-38,7.0079970942709397e-63,2.0139550707608671e-49,9.6031217530934349e-42,6.8157366753184955e-24,5.3580166151068901e-97,6.8157363851428499e-24,2.6377829996664896e-61,2.2439984267368775e-60,1.9725560075742613e-63,3.5503067283166166e-90,9.6036267682749542e-42,5.6654582519908515e-76,1.2995751833796667e-15,6.2484729694063279e-17,2.4084990909531438e-20,8.5761795916276932e-33,2.4084990909864209e-20,8.0013986621199756e-47,1.0955155951794535e-38,2.5585456500787392e-32,3.3660621256292212e-40,5.2832497688788017e-47,1.7212037135712043e-72
6.4507783879260575e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999726,0.11866996602996273,0.022821567693054223,1.158346576283046e-116,1.5773657190777228e-54,6.9543866647387304e-38,5.6149258549813602e-62,1.6144342668098664e-48,3.8462578034279963e-41,1.3643327387086588e-23,1.7197051651671917e-95,1.3643326224870469e-23,2.114509735175967e-60,3.5987626667931243e-59,1.5804452510949742e-62,5.6897482035638364e-89,3.8466624301229139e-41,9.084446245217815e-75,2.6014104975126463e-15,1.2507812848324582e-16,4.8211868759159045e-20,3.4349451469136232e-32,4.8211868760491867e-20,6.4108557741013027e-46,4.3877767199461763e-38,1.0247527768575138e-31,2.6969453913594254e-39,8.3939217936221634e-46,1.0945630103959572e-70
1.2907161274885934e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999454,0.11866996602996012,0.02282156769305416,7.4270516373744298e-115,2.1849321558140826e-53,2.7835670318496543e-37,4.495355105770851e-61,1.2928567771905051e-47,1.5395055975412732e-40,2.729851055622472e-23,5.5112952777335917e-94,2.7298505904331428e-23,1.6933230015119005e-59,5.7647211899522321e-58,1.2653172655160235e-61,9.111010926701195e-88,1.5398295449273381e-40,1.4550904118429272e-73,5.2050811257774322e-15,2.5026492606160858e-16,9.6465624456564528e-20,1.3748732302970817e-31,9.6465624461899258e-20,5.1325826813128764e-45,1.7562543038567847e-37,4.1016815821785078e-31,2.1591954520022138e-38,1.3382727119156031e-44,6.9828391376581369e-69
2.5819927048805686e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999891,0.11866996602995492,0.022821567693054035,4.7582437671380334e-113,3.224499025807972e-52,1.1137893895237371e-36,3.5976508053798164e-60,1.0348094231387527e-46,6.1600285890270486e-40,5.4608883876908798e-23,1.7649344000472878e-92,5.4608865263276239e-23,1.3553451467549022e-58,9.2289181463112728e-57,1.0126385062409074e-60,1.4583552930327802e-86,6.1626211526542583e-40,2.3294091297508161e-72,1.0412422382302307e-14,5.0063852121832443e-16,1.9297313584397641e-19,5.5012837684328749e-31,1.9297313586532236e-19,4.1076260213271799e-44,7.0273058690404512e-37,1.6412068151615409e-30,1.7280114337960394e-37,2.1374265915760975e-43,4.4618259589311308e-67
5.1645458596645193e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997816,0.11866996602994451,0.022821567693053785,3.0475762177676779e-111,4.9419603996390873e-51,4.4558828172907772e-36,2.8786680384524741e-59,8.2805719014185263e-46,2.4644132726672787e-39,1.0922965844790819e-22,5.6499065781303179e-91,1.0922958398125746e-22,1.0845514025919522e-57,1.4770561801709505e-55,8.1026488115724922e-60,2.3338438863814558e-85,2.4664877174644256e-39,3.7280682019118171e-71,2.0827104895333281e-14,1.0013857115317169e-15,3.859881585892039e-19,2.2008717230019153e-30,3.8598815867460151e-19,3.2867248764571504e-43,2.8113807595837486e-36,6.5658952584134103e-30,1.3826698498317821e-36,3.416829487361202e-42,2.8532054428612344e-65
1.032965216923242e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995634,0.11866996602992368,0.022821567693053286,1.9521087463056556e-109,7.7332964572909394e-50,1.7824981909463141e-35,2.3031543559366555e-58,6.6252962281535073e-45,9.8584611431211946e-39,2.1847131930843184e-22,1.8083112091514346e-89,2.1847102141758641e-22,8.6775208142765716e-57,2.3636333555668661e-54,6.4827380718084594e-59,3.7345320848807687e-84,9.8750582771800309e-39,5.9657256483466161e-70,4.1656469921320106e-14,2.0028800921583478e-15,7.7201820396127423e-19,8.8042033355388839e-30,7.7201820430289241e-19,2.6296295124492949e-42,1.1246444855988912e-35,2.6265713029148656e-29,1.1062379607227277e-35,5.4644733825972974e-41,1.8252130380572511e-63
2.0659864788368223e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319991266,0.11866996602988202,0.022821567693052283,1.2510632749466464e-107,1.2234181979105032e-48,7.1302829170603258e-35,1.8426129916091328e-57,5.3005724827743366e-44,3.943549530416881e-38,4.369550879035783e-22,5.7871570043376874e-88,4.3695389629170997e-22,6.9424738255619865e-56,3.7820881320625807e-53,5.1864423230470874e-58,5.9755616665748211e-83,3.9568278678611909e-38,9.5458320143953117e-69,8.3315199972993276e-14,4.0058688534109903e-15,1.5440782942318754e-18,3.5218245970242342e-29,1.5440782955984034e-18,2.1038033971756697e-41,4.4987662552773275e-35,1.0506708304175495e-28,8.8502766482632659e-35,8.7411602501418498e-40,1.1677623513530728e-61
