Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2OX(23),H2X(49),C2H4(47),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52),CH4OX(60),COX(50),C2H4X(205),C2H4X(65),acetyl(43)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.555661702806983e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.5380925722831958e-65,3.2108186456468904e-36,1.6832525554473843e-90,2.070891120244136e-54,6.1886239493091691e-134,5.785891326668266e-20,-8.4764480346438413e-106,5.7858913266682528e-20,3.1081878327462728e-72,4.035217020296045e-70,3.9266431741989001e-114,4.5529338029301564e-115,1.3812773951752354e-51,1.5170809059641732e-85,3.1598340914285671e-18,9.355707137760608e-20,3.7454032869709316e-22,9.739225479985797e-38,3.6062684692863723e-37,3.7454032869690574e-22,3.7289565269609875e-54,2.411806037091164e-52,2.6186077350996681e-98,1.9277814685666437e-35,2.1649915339820819e-45,1.1786867554344336e-51,1.6085279277006677e-82,4.0276936446925978e-71,7.6026848759893437e-87,6.9151881876350494e-108,5.2727659936593628e-115,3.0547578787070712e-102,-6.5480138131491032e-126
1.8355852767859552e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.440915999491102e-64,1.939334461970722e-35,1.8616632654302249e-88,3.1295306466934578e-53,2.2349676580143051e-131,1.6200495714671191e-19,1.6363899539990268e-104,1.6200495714671102e-19,8.765586959981889e-71,1.2687367942235783e-68,7.856368621408489e-112,9.1094414943818816e-113,1.6398525235494346e-50,7.8528476548195499e-84,8.8475354559999847e-18,2.6195979985729702e-19,1.0487129203519428e-21,5.8824921899012171e-37,2.1781861554466658e-36,1.0487129203508109e-21,4.4270171887849664e-53,2.8632961272346215e-51,2.4660262701268704e-96,1.1643800068875039e-34,2.5702779476350588e-44,1.4005891633162835e-50,9.794073178170104e-81,1.1358740459236155e-69,4.3787572296405705e-85,1.3835804548112532e-105,8.9906845399048075e-113,2.8767627454732198e-100,1.2101161974664646e-123
4.195623489796469e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.7989039796325246e-63,9.3370606215411566e-35,1.6874719960016642e-86,3.3666062600785113e-52,8.1074869237159018e-129,3.7029704490677229e-19,1.7278550265061201e-102,3.7029704490676781e-19,1.9067066273411722e-69,2.8304819947567706e-67,1.4249913876012798e-109,1.6522742631979866e-110,1.6100169318081768e-49,3.4288606133955854e-82,2.0222938185142804e-17,5.9876525681667887e-19,2.3970581036619715e-21,2.8321667695645599e-36,1.0487028708650217e-35,2.3970581036565217e-21,4.3464717277540558e-52,2.811201116833433e-50,2.1553196891203238e-94,5.6059885086905685e-34,2.5235141273332621e-43,1.3777592486496133e-49,4.4299163059009275e-79,2.470774154743004e-68,1.9636185296371179e-83,2.5095439472913171e-103,1.5713547742714265e-110,2.5143054883776373e-98,5.0535819343943358e-121
8.915699915817497e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.2098477423864798e-61,4.0777396799715518e-34,1.2819342433525653e-84,3.0944911681115325e-51,2.4675707726069237e-126,7.8688122042690056e-19,1.365725395964486e-100,7.8688122042688101e-19,3.5347127450683213e-68,5.3011795206185952e-66,2.1673806474105909e-107,2.5130729163891572e-108,1.4240417433128963e-48,1.2764788345103796e-80,4.2973743643428376e-17,1.2723761707354426e-18,5.0937484702833452e-21,1.2368816359423751e-35,4.5799609559579865e-35,5.0937484702595426e-21,3.8444050208851864e-51,2.4864755519994469e-49,1.6079353617115555e-92,2.4482824631150312e-33,2.2320196620540379e-42,1.2233310270445755e-48,1.6790274141466897e-77,4.5803988771651544e-67,7.3876236754335006e-82,3.816961304105756e-101,2.3468577213227579e-108,1.8757499058224929e-96,1.6327605361362266e-118
1.8355852767859552e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,2.0406006017527135e-60,1.7023760459219823e-33,8.973049228126132e-83,2.6474023445457324e-50,6.9147114776458265e-124,1.6200495714671868e-18,9.6797779434813165e-99,1.620049571467105e-18,6.0752680857289928e-67,9.1564693114634387e-65,3.0358920734087129e-105,3.5201099335611856e-106,1.1969928901897571e-47,4.3976631266298149e-79,8.8475354559999255e-17,2.61959799857297e-18,1.0487129203531355e-20,5.1637373493460738e-35,1.9120435423834992e-34,1.0487129203431989e-20,3.231454062686882e-50,2.090032522846501e-48,1.1091447711324811e-90,1.0221097328658893e-32,1.8761470056678089e-41,1.0362213755850084e-47,5.869587594152738e-76,7.8725353728344202e-66,2.5580995282396622e-80,5.3464916655823144e-99,3.2394888631655826e-106,1.2938817370915057e-94,4.7076970942806847e-116
3.723615847194366e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.3517051906943267e-59,6.9547616192169952e-33,6.0700025424557408e-81,2.1889234542106909e-49,1.8717469556940804e-121,3.2863862735478792e-18,6.5140468050662342e-97,3.2863862735475437e-18,1.0069311312999518e-65,1.5213610707037859e-63,4.1084180238730309e-103,4.7637013264433092e-104,9.813670906147937e-47,1.459424054753977e-77,1.7947857639313996e-16,5.3140416542480221e-18,2.1273890670048424e-20,2.1095551957462789e-34,7.8113217549409737e-34,2.1273890669642486e-20,2.6493412765814286e-49,1.7135349366757874e-47,7.3658856643292541e-89,4.175651757203797e-32,1.5381786515931152e-40,8.6257441101768503e-47,1.9843020290007486e-74,1.3048150036033806e-64,8.5109582593361054e-79,7.2353108054521341e-97,4.3039450662159876e-104,8.5927330471030147e-93,1.2922715074929988e-113
7.499676988011188e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.4332686687312634e-58,2.8112258435588483e-32,4.0808434924581796e-79,1.7799962002422385e-48,5.0338401764608774e-119,6.6190596777097424e-18,4.2741043720567965e-95,6.6190596777083858e-18,1.639526317458572e-64,2.480202516779086e-62,5.5244166291312845e-101,6.4055484790058361e-102,7.9473651359600923e-46,4.7553208021470402e-76,3.6148502005941724e-16,1.0702928965598121e-17,4.2847413603166774e-20,8.5271593895588521e-34,3.1574611455229358e-33,4.2847413601525912e-20,2.1455052541974803e-48,1.3876650181132336e-46,4.8015123263808983e-87,1.687865196926312e-31,1.2456569266363222e-39,7.1961948097484899e-46,6.6695785505913744e-73,2.1245529821522005e-63,2.7767046285624669e-77,9.7290176161951547e-95,5.6119287234752661e-102,5.6012427343573387e-91,3.499806812434417e-111
1.5051799269644832e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996459,0.022821567693054275,0.0,8.7501198118349941e-57,1.1303815474745744e-31,2.7892766863111398e-77,1.4356314202843787e-47,1.37601156706522e-116,1.3284406486035383e-17,2.7695560253391844e-93,1.3284406486029923e-17,2.6462020864399015e-63,4.0055336889860562e-61,7.5510137988911818e-99,8.7553832741536444e-100,6.3967308658550379e-45,1.5354642711687102e-74,7.2549790739195498e-16,2.1480703588298296e-17,8.5994459469740277e-20,3.4287332863264957e-33,1.2696012395046105e-32,8.5994459463142487e-20,1.7268892826900737e-47,1.1169135307054273e-45,3.1012055951996282e-85,6.7868316714651537e-31,1.0026130233743978e-38,6.1315359992675099e-45,2.2799092926347098e-71,3.4290370787410672e-62,8.9715368384708259e-76,1.3298045964927181e-92,7.2497988606504209e-100,3.6177362582370571e-89,9.6015409871176455e-109
3.015604383291212e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999838,0.11866996602996385,0.022821567693054264,0.0,1.4045886655693512e-55,4.5333355808770039e-31,1.9885585214075234e-75,1.1531772297554811e-46,3.9222198334724474e-114,2.661510010269431e-17,1.7835165508178007e-91,2.6615100102672425e-17,4.2523757136634885e-62,6.438778417108303e-60,1.0763425503821472e-96,1.2480167317595961e-97,5.1329736666765411e-44,4.9356126958355781e-73,1.453523682056964e-15,4.3036252833698556e-17,1.722885512042346e-19,1.3750754013359324e-32,5.0916688127123355e-32,1.7228855117777447e-19,1.3857198926647994e-46,8.9625276763350613e-45,1.9938536458026408e-83,2.7218230083239351e-30,8.0453374327844154e-38,5.4648862207323202e-44,8.132056958055505e-70,5.510370530536481e-61,2.8847426239722255e-74,1.8955405310970087e-90,9.3225420788094676e-98,2.3259459420509603e-87,2.7424638243559359e-106
6.03645329594467e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999688,0.11866996602996237,0.022821567693054243,0.0,2.2510047786689744e-54,1.8156988076342151e-30,1.5253773205173967e-73,9.2441428435354051e-46,1.202561653461099e-111,5.3276487336042765e-17,1.1449835514614292e-89,5.3276487335955115e-17,6.8185968160455154e-61,1.0326047962626166e-58,1.650454038330153e-94,1.9136976922968924e-95,4.1126252153128496e-43,1.5829450677424178e-71,2.9095752313867156e-15,8.614735132449873e-17,3.4487673467861251e-19,5.507473957946521e-32,2.039323324847529e-31,3.4487673457263389e-19,1.1102621864546823e-45,7.180928585349254e-44,1.2789799583897025e-81,1.0901488663108275e-29,6.4460592159355768e-37,5.2514285235350377e-43,3.1220886357077469e-68,8.8357655779081847e-60,9.2534000967544808e-73,2.9066048928790351e-88,1.1960316097674165e-95,1.492004291417623e-85,8.4199783462141544e-104
1.2078151121251586e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999388,0.1186699660299594,0.022821567693054202,0.0,3.6045408969794936e-53,7.2675270781914324e-30,1.2972289358690138e-71,7.4028116044967094e-45,4.0868503542681768e-109,1.0659926180286209e-16,7.3392206100884166e-88,1.0659926180251121e-16,1.0921604957758927e-59,1.6540903912263376e-57,2.8053936635163901e-92,3.2528475528055669e-93,3.2926008215372802e-42,5.0711095710237703e-70,5.8216783300451495e-15,1.723695483060977e-16,6.9005310164892512e-19,2.2044248702282825e-31,8.1626079246472422e-31,6.9005310122473462e-19,8.888848335237418e-45,5.7491091802702414e-43,8.1948071196696616e-80,4.3634362161202261e-29,5.1607651690883409e-36,5.6019878208310898e-42,1.3292799929606684e-66,1.4152580618362841e-58,2.964648816354211e-71,4.9405622660054572e-86,1.5326803012824157e-93,9.5597174244999739e-84,2.8645770005781975e-101
2.4161546771865417e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679998789,0.11866996602995347,0.022821567693054115,0.0,5.7696131828401182e-52,2.9079574705163198e-29,1.2402936295499389e-69,5.9252496810086114e-44,1.5614606123134003e-106,2.1324481073699033e-16,4.7007287407317555e-86,2.1324481073558645e-16,1.7484053379118414e-58,2.6480838035063437e-56,5.3610238043716225e-90,6.2160948702881728e-91,2.6350813411812339e-41,1.6236652749391292e-68,1.1645884527357749e-14,3.4481394226929004e-16,1.3804058356757779e-18,8.8205708605808282e-31,3.2661063950100113e-30,1.3804058339784635e-18,7.1137801293570829e-44,4.6010346158457705e-42,5.2476657649958183e-78,1.7459426430195289e-28,4.1301779023407464e-35,6.720383343498675e-41,6.3630472335366337e-65,2.2656420549049676e-57,9.4925774432389682e-70,9.4412674503426791e-84,1.9629578058810116e-91,6.1217058398984006e-82,1.0954218988601859e-98
