Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),CH3OO(77),C2H6X(52),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),CH4OX(60),C2H4(47),C2H4X(65),CO2X(24),C2H5X(51),C2H3X(64),C2H2X(222),C2H3(46),C2H2(235),C2H2X(254),C2H2(252),H2X(49),C2H4O(45),SX(281),C2H4OX(63),C3H8X(57)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.75702974034216e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,-1.8311039587346434e-130,1.9212158787314752e-65,1.1902199691791756e-41,5.6830195616796222e-94,7.0638438297673276e-57,4.0390544373650561e-143,8.9046428794683358e-25,-2.5667304396474479e-107,8.9046428794362209e-25,2.784059743889884e-79,3.4334127819297108e-70,1.491080864400048e-121,9.0098003731442573e-123,2.6542775956909285e-53,2.1843911934042487e-94,3.5314543026624401e-18,1.6979546112516222e-19,6.5448344863685172e-23,9.4909962198334876e-38,6.5448344863688875e-23,4.2054049055271165e-54,5.8289190305831813e-42,1.5354283792426509e-73,2.8314644234170826e-37,1.7691477579380072e-47,6.1793413571813706e-56,2.9205463016665335e-86,1.3198715027709099e-111,7.2296192072049982e-87,4.3356637680469107e-111,4.9157272576099457e-111,-1.6962432215236853e-118,2.4547248774113667e-75,5.4026954172875219e-113,5.0836934837547009e-131,2.4515686247008238e-118,2.3897111771893152e-133,5.5820775367885588e-150,7.6514047934901011e-151,9.9917864734585087e-58,1.4198850018590631e-142,2.5498571883289319e-159,1.6179975292460464e-139,-4.6071334289631115e-124
2.4519683272958048e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,3.9755024137638143e-128,4.2978624179376161e-64,7.1889286138422654e-41,7.4958214772016363e-92,1.0674880795500728e-55,1.7374047735774936e-140,2.4933000062615385e-24,1.0978829574860003e-105,2.4933000062421417e-24,7.8514939576216226e-78,1.0795199069681251e-68,3.5549965893378379e-119,2.1480933973375162e-120,3.1511583615994202e-52,1.1307037964506806e-92,9.8880720474548279e-18,4.7542729115045426e-19,1.8325536561830751e-22,5.7325617167697914e-37,1.8325536561832978e-22,4.9926567038139426e-53,3.5206670944843754e-41,4.3301536979878422e-72,1.7102045116406558e-36,2.1003322166505043e-46,8.7934760145887947e-55,2.1238629530739074e-84,3.1468036393800075e-109,4.1638904830587579e-85,4.0830326331890056e-109,4.6292968923020064e-109,2.0553718020947342e-116,7.6052893971272176e-74,5.0878903153281187e-111,8.6682938011642797e-129,2.308720278286485e-116,4.0747379804245616e-131,1.7188395798950021e-147,2.3560291511817755e-148,1.1862248901289958e-56,6.1076546959595204e-140,1.9768340405245003e-156,6.9598384338250548e-137,3.5010747756038715e-122
5.604499033818982e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,2.2611695616374323e-125,8.4920104579621228e-63,3.4611596703731103e-40,9.1643378970064589e-90,1.1483549637123584e-54,8.4932891853399898e-138,5.6989714429325666e-24,1.1531496779911033e-103,5.6989714428391802e-24,1.7078714476860641e-76,2.408349527691062e-67,8.6917172391777361e-117,5.2519376443281793e-118,3.09382596552231e-51,4.9370953269280948e-91,2.2601307537039579e-17,1.0866909512010383e-18,4.1886940712750811e-22,2.7599817007131252e-36,4.1886940712761518e-22,4.9018199577960712e-52,1.6950496541117897e-40,9.4190301169993418e-71,8.2338985417479402e-36,2.0621186217746973e-45,1.1720462340381957e-53,1.2975278530913719e-82,7.6937141156757723e-107,1.867263261467918e-83,3.5685916272725529e-107,4.046029412930227e-107,5.8081994506919673e-114,1.6912288263023284e-72,4.4468424357359693e-109,1.5150086630993404e-126,2.0178335311832358e-114,7.1216593561320187e-129,6.0059103110477914e-145,8.2323562580703119e-146,1.1646426313463277e-55,2.9857220588940933e-137,1.9322312866999974e-153,3.4023113899934946e-134,7.4864250656856007e-120
1.1909560446865337e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,1.1072665509870617e-122,1.5111208460085966e-61,1.5115793608576217e-39,1.0555758059068193e-87,1.0555360557891244e-53,3.914597647006417e-135,1.2110314316441094e-23,9.1950651345540052e-102,1.2110314316033248e-23,3.1661058835802499e-75,4.5105721280906167e-66,2.0027781091315407e-114,1.2101711842594037e-115,2.736454030021941e-50,1.837956831770155e-89,4.8027778516208961e-17,2.3092182713022065e-18,8.9009749014573294e-22,1.2053565199039171e-35,8.9009749014620069e-22,4.335604241220928e-51,7.4027271690287112e-40,1.7461294425065259e-69,3.5959598161391273e-35,1.8239205622802946e-44,1.5858080050076436e-52,7.4688706655677363e-81,1.7728144835614949e-104,7.0251110744517004e-82,2.6622801197723015e-105,3.0184635263036417e-105,1.4216969124077514e-111,3.1634157295224941e-71,3.317482482988997e-107,2.2627034286474136e-124,1.5053665563303442e-112,1.0636377606850948e-126,1.7948673115001692e-142,2.4602410590383878e-143,1.0301132182676855e-54,1.3761335910397691e-134,1.7812592674961517e-150,1.5681416081580823e-131,1.1958185437073902e-117
2.4519683272958046e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996523,0.022821567693054285,5.3422642911219379e-120,2.5487367224334086e-60,6.3105462765886055e-39,1.2365462180855834e-85,9.0303331857944054e-53,1.8340940196256042e-132,2.4933000064124026e-23,6.5456817315898476e-100,2.4933000062421358e-23,5.4417272465655935e-74,7.7908916510927478e-65,4.6919423373604269e-112,2.8350886146551891e-113,2.3001544959269324e-49,6.332040161251472e-88,9.8880720474547299e-17,4.7542729115045416e-18,1.8325536561814766e-21,5.0321261956212874e-35,1.8325536561834293e-21,3.6443366043223599e-50,3.0904928701844644e-39,3.0011503736652524e-68,1.5012424358552252e-34,1.5331151220803615e-43,2.2567820215547117e-51,4.3753171974373266e-79,4.153202640678981e-102,2.4325729239911095e-80,1.8364259147828732e-103,2.0821192324636316e-103,3.4295483085383771e-109,5.4606471803906719e-70,2.2883808350409112e-105,3.1233264476059644e-122,1.0383935710354236e-110,1.4681943693158906e-124,4.956465024811048e-140,6.7938719945728379e-141,8.6587222893156925e-54,6.4475550672793035e-132,1.6691061641341619e-147,7.3471641399667969e-129,1.7038317559294555e-115
4.973992892514347e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996513,0.022821567693054282,2.6208365474797148e-117,4.1863162481520154e-59,2.5780640620413827e-38,1.4949732597135055e-83,7.4664541075225227e-52,8.867846831391359e-130,5.0578371562153445e-23,4.4145857233980159e-98,5.0578371555197474e-23,9.0192644180504235e-73,1.2944683000561028e-63,1.134352480882183e-109,6.8542824534439089e-111,1.8858056251916878e-48,2.1013733999346719e-86,2.0058660439122218e-16,9.6443821919092111e-18,3.7174659882501428e-21,2.0557877450869959e-34,3.7174659882581189e-21,2.9878473294774817e-49,1.2625671778437478e-38,4.9741866503863337e-67,6.1330651875019972e-34,1.2569403876386571e-42,3.3652218396184279e-50,2.6455668315147418e-77,1.0041034991746901e-99,8.0933233404752096e-79,1.2195796731866386e-101,1.3827458379465331e-101,8.4127195426701676e-107,9.0701659340061105e-69,1.5197252056062512e-103,4.149613372057311e-120,6.8960258794812527e-109,1.9506256767899745e-122,1.3172073498110955e-137,1.8055081756668417e-138,7.0989436707471424e-53,3.1173936647614747e-129,1.6139726962565441e-144,3.5523547615949121e-126,2.2991293865593803e-113
1.0018042022951431e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999959,0.11866996602996492,0.022821567693054278,1.3082700612856975e-114,6.7862059016398808e-58,1.042094713575317e-37,1.8524268653761765e-81,6.0715964804829029e-51,4.3946067232727239e-127,1.0186911456886642e-22,2.8997512327076928e-96,1.0186911454074925e-22,1.4685535915775322e-71,2.1103100359005567e-62,2.8108765823539188e-107,1.6984616653044377e-108,1.527174288011101e-47,6.8470201538988457e-85,4.0399837222456478e-16,1.9424600752718535e-17,7.4872906523761838e-21,8.3098227573465252e-34,7.4872906524084265e-21,2.4196362321151434e-48,5.1034984005678706e-38,8.0991734863900229e-66,2.4790830029615055e-33,1.0179028877966854e-41,5.1790358342362668e-49,1.6393980134992568e-75,2.4881252163046818e-97,2.6404510157138752e-77,7.949930044381666e-100,9.0135420416866731e-100,2.0998059180302442e-104,1.4784391642226109e-67,9.9064532944125932e-102,5.4106957834506357e-118,4.49523361926302e-107,2.5434293121938437e-120,3.4352713568521642e-135,4.7087579043722248e-136,5.748908637114892e-52,1.5448754831606877e-126,1.599620866531868e-141,1.7604275779193125e-123,3.0210059684515514e-111
2.01061402838256e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999914,0.11866996602996452,0.022821567693054268,6.6065531383788095e-112,1.0928980902031571e-56,4.1902170102975256e-37,2.3303425224426838e-79,4.8969625201607675e-50,2.2111538650699416e-124,2.04450600624909e-22,1.880029581023249e-94,2.0445060051185111e-22,2.3702520317622133e-70,3.4081563445141329e-61,7.0717022797450977e-105,4.2730496621522816e-106,1.229202728020171e-46,2.2108618805962633e-83,8.1082190789122135e-16,3.8985037874337111e-17,1.5026939980583103e-20,3.3413431824178544e-33,1.5026939980712754e-20,1.9475337424460724e-47,2.0520942613490912e-37,1.3072098660342402e-64,9.9682836798422538e-33,8.1929675700009892e-41,8.1186102966414035e-48,1.0313026990166826e-73,6.2597130276145504e-95,8.5313012105322955e-76,5.1347100865974757e-98,5.8216770188124732e-98,5.3019631855387233e-102,2.3874998651069973e-66,6.3983916045966424e-100,6.9898368262827456e-116,2.9033901373955784e-105,3.2857468496339096e-118,8.8760782417804038e-133,1.2166521719822199e-133,4.6272218148982568e-51,7.7730673317104121e-124,1.6096794015104669e-138,8.8576213713808468e-121,3.9176857913853685e-109
4.028233680557394e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999831,0.1186699660299637,0.022821567693054247,3.3582956944654018e-109,1.7543439152786041e-55,1.6804644331670583e-36,2.956213515455847e-77,3.9335066043805122e-49,1.1219493289480635e-121,4.096135729074606e-22,1.2110199823590781e-92,4.0961357245404784e-22,3.8089333578994027e-69,5.478511783523669e-60,1.7941365773139839e-102,1.0841003187432275e-103,9.8635777654133296e-46,7.1066215848844375e-82,1.6244689792244197e-15,7.8105912117574036e-17,3.0106238636816312e-20,1.3400280610688485e-32,3.0106238637336271e-20,1.5627731757105085e-46,8.2298158134681908e-37,2.1006511616894076e-63,3.9977275650878978e-32,6.5743398153953191e-40,1.2854048271814473e-46,6.5418596100097278e-72,1.588129655126206e-92,2.7431875592504793e-74,3.3012534296252646e-96,3.7429242813888657e-96,1.3475856610276175e-99,3.837688830033468e-65,4.1137107786845783e-98,8.9882605278409021e-114,1.8666777627282446e-103,4.2251655365011577e-116,2.2828037844589791e-130,3.1290600492250311e-131,3.7130540942052671e-50,3.9440890181492098e-121,1.6335033681329829e-135,4.4943965730576419e-118,5.0474074086888845e-107
