Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),C2H6X(52),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),C2H4(47),H2X(49),C2H4X(65),CH4OX(60)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.63420153674634e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.1096566119180315e-65,9.0456717657617274e-42,2.4228451486529075e-94,4.6801683738103765e-57,1.3086991062239561e-143,7.7628876879807115e-25,-1.1936412647998378e-117,7.7628876879563053e-25,1.6080729019257325e-79,1.9831392178245459e-70,5.5418465964254187e-122,3.3486400854907349e-123,1.3189167746651474e-54,1.099928350337732e-94,3.0786504858074963e-18,1.4802425122329423e-19,5.7056544256560981e-23,7.2131571269395681e-38,5.7056544256563791e-23,2.7863021199290784e-54,8.8686343184301277e-74,4.4299784632411902e-42,2.1519129618142378e-37,1.1721535166699234e-47,3.9762007832610465e-56,1.4282485989314215e-86,4.9055189225404836e-112,1.9032523309691124e-111,6.6200845004928281e-58,2.1578862804107572e-111,3.6404024894577978e-87
2.1375764302889755e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.4823610447223001e-64,5.4635857465201149e-41,3.1426348150961609e-92,7.0726704465296794e-56,5.5365218227494508e-141,2.1736085526425065e-24,2.3039809481786704e-116,2.1736085526277658e-24,4.5350228751118374e-78,6.2353069819259297e-69,1.2994256143790749e-119,7.8517306906864208e-121,1.5658179948543537e-53,5.6935459207338822e-93,8.620221360260986e-18,4.1446790342522387e-19,1.5975832391836236e-22,4.356746904586095e-37,1.5975832391837929e-22,3.3078978767087725e-53,2.5010967759557342e-72,2.6757069918057177e-41,1.2997554288673823e-36,1.3915806540816801e-46,5.5623178355497191e-55,1.0212647726259205e-84,1.150222552870567e-109,1.7923533196342721e-109,7.8593643189850935e-57,2.0321502172640564e-109,2.0966854383170313e-85
4.885888983517658e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,4.9048187017118498e-63,2.6304813494835549e-40,3.7550493267066153e-90,7.6084561219659767e-55,2.645245686203973e-138,4.9682481203630075e-24,2.4327791750540546e-114,4.9682481202920333e-24,9.864665326277622e-77,1.3910626870883224e-67,3.1050476806842055e-117,1.8762134515966103e-118,1.5373293924625566e-52,2.4860249715982971e-91,1.9703363109167944e-17,9.4735520782908312e-19,3.6516188324193169e-22,2.097586092385918e-36,3.6516188324201308e-22,3.2477137507691396e-52,5.4404317955786609e-71,1.2882377371225969e-40,6.2577628919295501e-36,1.3662621362130195e-45,7.2441536529406499e-54,6.0973531527453873e-83,2.74851890752689e-107,1.566526053907687e-107,7.7163704937744605e-56,1.7761097801184609e-107,9.4024175373151958e-84
1.0382514089975023e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,8.7279376590538706e-62,1.1488003142517851e-39,4.2272359881702335e-88,6.9934819976422052e-54,1.1916082735960899e-135,1.0557527255930528e-23,1.92290932422009e-112,1.0557527255620563e-23,1.8287426999094114e-75,2.6053064608030792e-66,6.9927909900942782e-115,4.2253678104313747e-116,1.3597504378257883e-51,9.2548476484846114e-90,4.1869646606981782e-17,2.0131298166368019e-18,7.7596900188893638e-22,9.1607095498894671e-36,7.7596900188929175e-22,2.8725660330996748e-51,1.0085643659918819e-69,5.6260726484409174e-40,2.7329294604436205e-35,1.2084433836293936e-44,9.5792413864098163e-53,3.4302602879613268e-81,6.1898625171039709e-105,1.1686770412716081e-105,6.8250423166281253e-55,1.3250330035326069e-105,3.5374244717754216e-82
2.1375764302889756e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,1.4721003473448835e-60,4.7960151702072764e-39,4.8625079244245921e-86,5.9830710870751001e-53,5.4819689345556598e-133,2.173608552757164e-23,1.362890031649295e-110,2.1736085526277609e-23,3.1431414553627531e-74,4.5000190163472894e-65,1.608583925640934e-112,9.7198082273699475e-114,1.1429521739244212e-50,3.1884353383917678e-88,8.6202213602609102e-17,4.1446790342522383e-18,1.5975832391824093e-21,3.8244159075119493e-35,1.5975832391838934e-21,2.4145648354576773e-50,1.7334644558294715e-68,2.3487745813226244e-39,1.1409442513994934e-34,1.0157694723554302e-43,1.3387884113785548e-51,1.9732582142245613e-79,1.4238825900658608e-102,8.0614685163737501e-104,5.736859306775148e-54,9.1400031479700698e-104,1.2248977842869943e-80
4.336226472871922e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,2.4179341661840631e-59,1.9593286871513988e-38,5.808006692445662e-84,4.9469188760361266e-52,2.6185355484738587e-130,4.4093202072878159e-23,9.1716251226435733e-109,4.4093202067591608e-23,5.209526455168053e-73,7.4768488967151086e-64,3.8421164280772274e-110,2.321584486382895e-111,9.37061246152801e-50,1.0581254397845263e-86,1.7486734759386237e-16,8.4077774694831103e-18,3.24081171376721e-21,1.5623986853148913e-34,3.2408117137732725e-21,1.9796061332325984e-49,2.873090209264556e-67,9.5955105514684423e-39,4.6611295437273926e-34,8.3278917419575237e-43,1.972669530460791e-50,1.1788580583801161e-77,3.4009557123803111e-100,5.3536613906401418e-102,4.7034238661345022e-53,6.0699216053333403e-102,4.0753120807333987e-79
8.733526558037815e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996498,0.022821567693054278,0.0,3.9195794410832978e-58,7.9199198231719858e-38,7.1458014726244555e-82,4.0227522736299299e-51,1.2884345096211119e-127,8.8807435171588342e-23,6.0178387125318481e-107,8.8807435150219289e-23,8.482363350618589e-72,1.2189150752970079e-62,9.453029811848726e-108,5.7119579198891638e-109,7.5885649161469078e-49,3.4477476910964289e-85,3.5219761557636359e-16,1.6933974339944837e-17,6.5272686629282317e-21,6.3154652878800823e-34,6.5272686629527369e-21,1.6031363702507482e-48,4.6780826057434826e-66,3.8786587843149334e-38,1.8841030832434892e-33,6.7441424947858109e-42,3.0148291685067599e-49,7.2537453287613258e-76,8.3676110126946326e-98,3.4898276093349055e-100,3.8089545912944287e-52,3.9567276336429642e-100,1.3295727186505259e-77
1.75281267283696e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999925,0.11866996602996462,0.022821567693054271,0.0,6.3123650286224694e-57,3.1845649278257794e-37,8.954680797458827e-80,3.2444954428706271e-50,6.4576278567624917e-125,1.7823590140139735e-22,3.8994699281329119e-105,1.7823590131547332e-22,1.3690568646126457e-70,1.9685510999402623e-61,2.3690152313373955e-105,1.4314685960263249e-106,6.1079372271232207e-48,1.1132568371274695e-83,7.0685815154134403e-16,3.3986368080868248e-17,1.3100182561215952e-20,2.5394208124373033e-33,1.3100182561314487e-20,1.2903436185646887e-47,7.5504441862286549e-65,1.5595916385314205e-37,7.5758956046705913e-33,5.4282723606025291e-41,4.7081582521189585e-48,4.5456524090219493e-74,2.0969994097901522e-95,2.2540133551286948e-98,3.0657780266341864e-51,2.5555752014536474e-98,4.2958514524666242e-76
3.5117327069033174e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999853,0.11866996602996391,0.022821567693054254,0.0,1.0132746369192535e-55,1.2771529692066914e-36,1.1336746146704123e-77,2.6061551829111178e-49,3.2699769668067947e-122,3.5709283399056978e-22,2.5111494748200775e-103,3.570928336459761e-22,2.2000376280819174e-69,3.1643883912060146e-60,5.9981650221933316e-103,3.6243687881182634e-104,4.9012349480886024e-47,3.5784646261787251e-82,1.4161792234712177e-15,6.8091155562714898e-17,2.6246010357654101e-20,1.018421321437001e-32,2.6246010358049281e-20,1.0354194878057719e-46,1.2133361109965857e-63,6.2546600174824247e-37,3.0382729558786574e-32,4.3558463133896722e-40,7.439623514796427e-47,2.8776638850162926e-72,5.309441805784986e-93,1.4491695593714603e-96,2.4600937904181148e-50,1.6430522706250379e-96,1.3813046735522969e-74
