Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),C2H4(47),H2X(49),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52),COX(50),C2H4X(205),C2H4X(65),CH4OX(60),acetyl(43)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.555661701545902e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.5335003033540462e-65,3.2108195669223975e-36,1.6832541937611645e-90,2.0708922851270946e-54,6.1886318219328625e-134,5.7858929879186223e-20,-8.4764532389814265e-106,5.7858929879186091e-20,3.1081888494933016e-72,4.0352238121883646e-70,3.926648170084725e-114,4.5529382334358035e-115,2.2532905709344694e-52,1.5170809597293354e-85,3.1598340908207258e-18,9.3557071359608951e-20,3.7454032862504462e-22,9.7392254761491623e-38,3.6062699498690482e-37,3.7454032862485724e-22,2.61860915776951e-98,2.4118067286432023e-52,3.7289565247746939e-54,1.9277818193197924e-35,2.1649922644718701e-45,1.1786869702624611e-51,1.608528220828154e-82,4.027695909508521e-71,6.9151949168742228e-108,5.2727688572990823e-115,3.0547579863796883e-102,7.6026976710175361e-87,-6.5480220643801003e-126
1.8355852764328526e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.4306432779617516e-64,1.9393350184211279e-35,1.8616650769940291e-88,3.1295324026799875e-53,2.2349705006702379e-131,1.6200500366172193e-19,1.6363909565004145e-104,1.6200500366172101e-19,8.7655898155257318e-71,1.2687389287506307e-68,7.8563786154324088e-112,9.1094503569353951e-113,2.675106565787376e-51,7.852847922716509e-84,8.8475354542980296e-18,2.6195979980690506e-19,1.0487129201502071e-21,5.8824921875316007e-37,2.1781870497186016e-36,1.0487129201490752e-21,2.4660276066669515e-96,2.8632969482452011e-51,4.4270171861533607e-53,1.1643802187424056e-34,2.5702788148725353e-44,1.4005894187823977e-50,9.7940749608666279e-81,1.1358746831029678e-69,1.383581800893326e-105,8.9906894110271883e-113,2.876762843099999e-100,4.3787645956912306e-85,1.2101177222336462e-123
4.1956234889893776e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.7786068132318473e-63,9.3370633006103306e-35,1.6874736385391578e-86,3.3666081487855243e-52,8.1074972378913984e-129,3.7029715122679516e-19,1.7278560849270732e-102,3.7029715122679063e-19,1.9067072482301543e-69,2.8304867566516809e-67,1.4249932007207719e-109,1.6522758711545955e-110,2.6264354894005352e-50,3.4288607298357958e-82,2.0222938181252617e-17,5.9876525670149738e-19,2.3970581032008614e-21,2.8321667683704331e-36,1.0487033014184639e-35,2.3970581031954112e-21,2.1553208569013943e-94,2.8112019229064877e-50,4.3464717250939964e-52,5.6059895286807224e-34,2.5235149787921583e-43,1.3777595003622294e-49,4.429917113500482e-79,2.4707755404179024e-68,2.5095463895237532e-103,1.5713556253517905e-110,2.5143055732818152e-98,1.9636218327786666e-83,5.0535883034228092e-121
8.915699914102427e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.2062359700606117e-61,4.0777408499914452e-34,1.2819354918971522e-84,3.0944929041332201e-51,2.4675739132265643e-126,7.8688144635694914e-19,1.3657262325384956e-100,7.8688144635692949e-19,3.5347138960428674e-68,5.3011884389211193e-66,2.167383406382008e-107,2.5130753635127279e-108,2.3230524468411661e-49,1.2764788778364002e-80,4.297374363516173e-17,1.2723761704906819e-18,5.0937484693034862e-21,1.2368816353740748e-35,4.5799628362979857e-35,5.0937484692796844e-21,1.6079362328823532e-92,2.486476264961936e-49,3.8444050183966029e-51,2.4482829085715291e-33,2.2320204151597866e-42,1.2233312512727203e-48,1.679027721228076e-77,4.5804014459094066e-67,3.8169650209004268e-101,2.3468589923866037e-108,1.8757499691285141e-96,7.3876361023980005e-82,1.6327625948524664e-118
1.8355852764328527e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,2.03450881970189e-60,1.7023765343822555e-33,8.9730579777961827e-83,2.6474038297464884e-50,6.9147202863169757e-124,1.620050036617287e-18,9.679783872804813e-99,1.6200500366172046e-18,6.0752700639505684e-67,9.1564847149415592e-65,3.0358959414369458e-105,3.5201133653337075e-106,1.9526655558152708e-48,4.3976632758857734e-79,8.8475354542979692e-17,2.6195979980690504e-18,1.0487129201513997e-20,5.1637373465824575e-35,1.912044327388434e-34,1.0487129201414632e-20,1.1091453720587458e-90,2.0900331221344313e-48,3.2314540603666382e-50,1.022109918835208e-32,1.8761476386985647e-41,1.0362215667390867e-47,5.8695886744691404e-76,7.872539787837042e-66,5.3464968779034122e-99,3.2394906176730843e-106,1.2938817807567812e-94,2.5581038311181283e-80,4.707703035537308e-116
3.7236158464780725e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.3416994199454406e-59,6.9547636147365947e-33,6.0700084750240537e-81,2.1889246822031711e-49,1.8717493443111748e-121,3.2863872171380821e-18,6.5140507952277568e-97,3.2863872171377466e-18,1.0069314591754805e-65,1.5213636297916501e-63,4.1084232676270784e-103,4.763705981291117e-104,1.600913197470544e-47,1.4594241042862366e-77,1.7947857635861455e-16,5.3140416532257863e-18,2.127389066595607e-20,2.1095551942976627e-34,7.8113249619422713e-34,2.1273890665550132e-20,7.3658896551085215e-89,1.7135354280082408e-47,2.6493412743045338e-49,4.1756525169491414e-32,1.5381791705899691e-40,8.6257457212708546e-47,1.9843023987222989e-74,1.3048157353574409e-64,7.2353178754316486e-97,4.3039473972318552e-104,8.5927333370839675e-93,8.5109725740556812e-79,1.2922731412847854e-113
7.499676986568512e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.4170488817030058e-58,2.811226650179776e-32,4.080847498502698e-79,1.7799971988253063e-48,5.0338466219521153e-119,6.6190615781801517e-18,4.2741069901476073e-95,6.6190615781787935e-18,1.6395268513188355e-64,2.4802066880108825e-62,5.5244237039235682e-101,6.4055547657067186e-102,1.296461013350987e-46,4.7553209635405532e-76,3.6148501998988009e-16,1.0702928963539251e-17,4.2847413594924426e-20,8.5271593811195544e-34,3.157462441844137e-33,4.284741359328357e-20,4.8015149278025783e-87,1.3876654160069935e-46,2.1455052517468232e-48,1.6878655040275257e-31,1.2456573469334217e-39,7.1961961855543621e-46,6.6695798222584286e-73,2.124554173623942e-63,9.7290271647020705e-95,5.6119317628946478e-102,5.6012429233835755e-91,2.7767092979459629e-77,3.4998112522318226e-111
1.5051799266749392e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.11866996602996459,0.022821567693054275,0.0,8.7239983400938613e-57,1.1303818718133018e-31,2.7892794465630955e-77,1.4356322256777968e-47,1.3760133398039734e-116,1.3284410300266201e-17,2.7695577218230579e-93,1.3284410300260744e-17,2.6462029480925123e-63,4.0055404231873401e-61,7.5510235286599106e-99,8.7553919362360779e-100,1.0435046123984857e-45,1.5354643232816916e-74,7.2549790725239455e-16,2.1480703584166156e-17,8.5994459453197947e-20,3.4287332808552346e-33,1.2696017607496637e-32,8.5994459446600157e-20,3.1012072754084577e-85,1.1169138509649411e-45,1.7268892797408067e-47,6.7868329063056103e-31,1.0026133616660532e-38,6.1315372210915989e-45,2.2799097455222117e-71,3.4290390017812535e-62,1.3298059121263953e-92,7.2498027871398841e-100,3.6177363803254862e-89,8.9715519200777315e-76,9.6015532434275573e-109
3.015604382711115e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999838,0.11866996602996385,0.022821567693054264,0.0,1.4003955893203266e-55,4.5333368816203653e-31,1.9885605161638344e-75,1.1531778766912734e-46,3.9222249393545905e-114,2.6615107744445948e-17,1.7835176433059237e-91,2.6615107744424066e-17,4.2523770983161004e-62,6.4387892345876004e-60,1.0763439518054989e-96,1.2480179833070728e-97,8.3734673269262305e-45,4.9356128633480984e-73,1.4535236817773566e-15,4.303625282541988e-17,1.7228855117109233e-19,1.3750753974750811e-32,5.091670903138129e-32,1.7228855114463215e-19,1.9938547260568823e-83,8.9625302462159666e-45,1.3857198887306116e-46,2.7218235035501734e-30,8.0453401473616614e-38,5.464887384856612e-44,8.1320586840036161e-70,5.5103736208104329e-61,1.895542432000193e-90,9.3225471278961954e-98,2.3259460205450836e-87,2.8847474700403438e-74,2.7424673621290509e-106
6.036453294783467e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999688,0.11866996602996237,0.022821567693054243,0.0,2.2442849185202486e-54,1.8156993286100239e-30,1.5253788817802633e-73,9.2441480295265311e-46,1.2025632434100906e-111,5.3276502632836055e-17,1.1449842528179325e-89,5.3276502632748393e-17,6.8185990363074439e-61,1.0326065286693906e-58,1.6504562208807958e-94,1.9136996503916081e-95,6.7089634638044261e-44,1.582945121466877e-71,2.9095752308270141e-15,8.6147351307926981e-17,3.4487673461227025e-19,5.5074739291325425e-32,2.0393241621082077e-31,3.4487673450629167e-19,1.2789806513309969e-81,7.1809306443812496e-44,1.1102621807905907e-45,1.0901490646596205e-29,6.4460613909003419e-37,5.2514297505980135e-43,3.122089362299532e-68,8.8357705330987791e-60,2.9066078669160172e-88,1.1960322575378721e-95,1.4920043417685487e-85,9.2534156201423711e-73,8.419989379651729e-104
1.2078151118928171e-20,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999388,0.1186699660299594,0.022821567693054202,0.0,3.5937803496780387e-53,7.2675291634523687e-30,1.2972302969861116e-71,7.4028157574956354e-45,4.0868558626538658e-109,1.0659929240973867e-16,7.3392251057076719e-88,1.0659929240938779e-16,1.0921608514036605e-59,1.654093158542045e-57,2.8053974454667787e-92,3.2528509647343766e-93,5.3712500789962497e-43,5.0711097431349958e-70,5.8216783289252621e-15,1.723695482729398e-16,6.90053101516183e-19,2.2044248480078731e-31,8.1626112758719188e-31,6.900531010919926e-19,8.1948115595517802e-80,5.7491108287478201e-43,8.8888482496684251e-45,4.3634370100322234e-29,5.1607669103820129e-36,5.6019892745404099e-42,1.3292803365618776e-66,1.4152588555279428e-58,4.9405674481870802e-86,1.5326811313817281e-93,9.5597177471131814e-84,2.9646537761227197e-71,2.8645808279473865e-101
