Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(49),CH3OO(77),C2H6X(52)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.783166069317647e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,6.915468883993248e-66,7.1413198150750171e-42,0.0,3.2829779415595483e-57,0.0,6.8975067152154551e-25,-5.8734723538072561e-118,6.8975067151961853e-25,1.002261503982422e-79,5.2351675642320293e-71,0.0,0.0,6.9386429669367161e-56,6.0912796906292464e-95,2.7354527404208294e-18,1.3152299863987238e-19,5.0696069938779241e-23,5.6945977305399589e-38,5.0696069938781104e-23,1.954495579115048e-54,4.6437627132678214e-58,3.4973514183470919e-42,5.5275421652932239e-74
1.8992864994089412e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,1.5469677957189508e-64,4.3133571683053175e-41,0.0,4.9612362652483096e-56,0.0,1.9313018802665701e-24,1.1336824840694241e-116,1.9313018802549324e-24,2.8265378030510206e-78,1.6460204547431593e-69,0.0,0.0,8.2375569285948626e-55,3.1530217967028566e-93,7.6592676731783235e-18,3.6826439619164274e-19,1.4194899582857582e-22,3.4395370284471279e-37,1.4194899582858713e-22,2.3203771510245031e-53,5.5130750931915467e-57,2.1124002566872831e-41,1.5588553312762694e-72
4.341226284363294e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,3.0565521580569068e-63,2.0766958022238268e-40,0.0,5.3370715799919083e-55,0.0,4.4144042977815901e-24,1.1970592856658929e-114,4.4144042977255587e-24,6.1483371147171735e-77,3.6721810860399436e-68,0.0,0.0,8.0876822368289632e-54,1.3767327130958047e-91,1.7506897538693295e-17,8.4174719129518333e-19,3.2445484760814466e-22,1.6559890188425063e-36,3.2445484760819911e-22,2.2781600454637624e-52,5.4127698185849389e-56,1.0170297924637934e-40,3.3908508421203368e-71
9.225105854272001e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.1186699660299653,0.022821567693054285,0.0,5.4389749113982369e-62,9.0694761651453887e-40,0.0,4.9056882784725975e-54,0.0,9.3806091329115134e-24,9.4617567699020279e-113,9.3806091326668063e-24,1.1397980816611696e-75,6.877588759474637e-67,0.0,0.0,7.1534633417848762e-53,5.1252307028091007e-90,3.7202157269723175e-17,1.7887127815022646e-18,6.8946655116718549e-22,7.2321391054010956e-36,6.8946655116742304e-22,2.0150067589836974e-51,4.7875336068705211e-55,4.4416363013882159e-40,6.2860659930252153e-70
1.8992864994089411e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996525,0.022821567693054285,0.0,9.1736291290751937e-61,3.7863277659528803e-39,0.0,4.1969196047165525e-53,0.0,1.9313018803570891e-23,6.7061581233265996e-111,1.9313018802549284e-23,1.9590216827058878e-74,1.1879324223705974e-65,0.0,0.0,6.0129169561621476e-52,1.7657196866903447e-88,7.6592676731782674e-17,3.6826439619164271e-18,1.4194899582848791e-21,3.0192757055860979e-35,1.4194899582858705e-21,1.6937345910158964e-50,4.0242104671143481e-54,1.8542957220862946e-39,1.0804141345200798e-68
3.8528383273724233e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999986,0.11866996602996517,0.022821567693054282,0.0,1.506771574680541e-59,1.5468384372245979e-38,0.0,3.4700942896425317e-52,0.0,3.9177838146487773e-23,4.5129369862455907e-109,3.917783814231418e-23,3.246934771228517e-73,1.9737674792372791e-64,0.0,0.0,4.929752587585662e-51,5.8597798660654065e-87,1.5537371565590059e-16,7.4705063227447491e-18,2.8795367725187137e-21,1.2334726373887689e-34,2.8795367725227638e-21,1.3886259436417567e-49,3.2992908734958476e-53,7.5754030668625769e-39,1.7907071941410399e-67
7.7599419832993875e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999997,0.11866996602996502,0.022821567693054278,0.0,2.4425418300126276e-58,6.2525682814500294e-38,0.0,2.8218230464623016e-51,0.0,7.8907476838714015e-23,2.9611030258706145e-107,7.8907476821843708e-23,5.2867915620260641e-72,3.2177391196846424e-63,0.0,0.0,3.9922414283880929e-50,1.9093239557387519e-85,3.129357935041321e-16,1.5046231044401385e-17,5.799630400980172e-21,4.985893576150971e-34,5.7996304009965439e-21,1.1245452832864352e-48,2.6718512892491255e-52,3.06209904017883e-38,2.915702455106804e-66
1.5574149295153318e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999937,0.1186699660299647,0.022821567693054271,0.0,3.9336384164494123e-57,2.5141302061770096e-37,0.0,2.2759025145199692e-50,0.0,1.5836675424873646e-22,1.9187506935405664e-105,1.5836675418090169e-22,8.5329028958051338e-71,5.196657193648724e-62,0.0,0.0,3.2133031712236023e-49,6.1650913537235304e-84,6.2805994920057793e-16,3.0197680487714612e-17,1.1639817657878246e-20,2.0048058464627165e-33,1.1639817657944076e-20,9.0513186364139566e-48,2.1505383633961502e-51,1.2312565566791501e-37,4.7059555177439361e-65
3.1202563918861175e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999987,0.11866996602996407,0.022821567693054257,0.0,6.3143607693364585e-56,1.0082786598990278e-36,0.0,1.8281286685313026e-49,0.0,3.1728530917106129e-22,1.2356217344994594e-103,3.1728530889901362e-22,1.3712145881461147e-69,8.3534744084846138e-61,0.0,0.0,2.5784733519136145e-48,1.9817135265421962e-82,1.2583082605934007e-15,6.0500579374340935e-17,2.3320192171575028e-20,8.0401678609741092e-33,2.3320192171839037e-20,7.263112955705977e-47,1.7256716004494974e-50,4.9378894870353079e-37,7.5623441821483372e-64
6.245939316627689e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999737,0.11866996602996281,0.022821567693054226,0.0,1.0119441128225522e-54,4.0383737931626392e-36,0.0,1.4654714047356082e-48,0.0,6.3512241942483037e-22,7.932455474037971e-102,6.3512241833522084e-22,2.198714331559415e-68,1.3396698343805815e-59,0.0,0.0,2.0659162875943851e-47,6.3557330081397144e-81,2.5188048833787715e-15,1.21106377147593e-16,4.6680941198571145e-20,3.2202606696745101e-32,4.6680941199628541e-20,5.8193284524918625e-46,1.3826372394159646e-49,1.9777313857342997e-36,1.2126063037246831e-62
1.2497305166110832e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999947,0.11866996602996029,0.022821567693054167,0.0,1.6204288668398903e-53,1.6164019478503722e-35,0.0,1.1735656733459261e-47,0.0,1.2707966415688465e-21,5.0846180888300844e-100,1.2707966372075684e-21,3.5217640801894919e-67,2.1459659486962262e-58,0.0,0.0,1.6539890000323613e-46,2.0361173073896597e-79,5.039798128948412e-15,2.4231797269409487e-16,9.3402439250973506e-20,1.2889433287115102e-31,9.3402439255205869e-20,4.6590006037782463e-45,1.1069504941648456e-48,7.9160796712026943e-36,1.9422774766873324e-61
2.500003686507712e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998943,0.11866996602995525,0.022821567693054046,0.0,2.5937408903337086e-52,6.4677132524521694e-35,0.0,9.3932819078581415e-47,0.0,2.5421450924027909e-21,3.256668754287723e-98,2.5421450749519972e-21,5.6378811908836737e-66,3.4355415646714481e-57,0.0,0.0,1.3236935679866256e-45,6.5192300065422695e-78,1.0081784620083293e-14,4.8474116378708973e-16,1.8684543534941885e-19,5.1574509343842595e-31,1.868454353663538e-19,3.728615553607457e-44,8.8589682018302401e-48,3.1674629948316568e-35,3.1093308364496222e-60
