Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2OX(23),H2X(49),CH3OO(77),C2H6X(52),C2H4(47),CH2X(27),CHX(28),CX(26),OCX(25),COX(50)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.430586134937856e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,9.9582761567370877e-66,8.5695865941350784e-42,2.0489931095075434e-94,4.315586769480197e-57,1.0485127221935918e-143,7.555842519855139e-25,-1.0149213050605923e-117,7.5558425198320176e-25,1.4432562803566627e-79,7.5386532148300133e-71,4.5617233801709664e-122,2.7564033164754624e-123,9.1210974189480653e-56,9.6086294931010424e-95,2.9965383418356271e-18,1.4407622637155886e-19,5.5534762164657482e-23,6.8335172764910384e-38,5.5534762164660138e-23,2.5692511612811809e-54,6.1043866213772824e-58,4.1968236365195055e-42,7.9596610702257819e-74,1.618277867638899e-111,2.0386547442220986e-37,1.0808439437500159e-47,3.6467373031506528e-56,1.2409631397166222e-86,4.0379342903144967e-112
2.0805641177825996e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.2276338413971341e-64,5.1760303028576158e-41,2.6492927237309384e-92,6.5217147260154837e-56,4.4218218766376597e-141,2.1156359055669304e-24,1.9590050739200538e-116,2.1156359055529648e-24,4.0702136315968019e-78,2.3702732040042254e-69,1.0662350352537224e-119,6.442683044067848e-121,1.0828566853251664e-54,4.973703354141914e-93,8.3903073571397515e-18,4.0341343384036481e-19,1.5549733406103303e-22,4.1274444339502613e-37,1.5549733406104906e-22,3.0502149779517451e-53,7.2471277968991171e-57,2.5348814764651948e-41,2.2447517763731458e-72,1.5239837939177771e-109,1.2313474654470609e-36,1.2831779292043176e-46,5.0849032118482487e-55,8.8451231976331663e-85,9.4380712103062632e-110
4.755575126360228e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,4.4014355333354547e-63,2.4920357815745219e-40,3.1515043575766224e-90,7.0157630993809044e-55,2.1032918202469858e-138,4.8357392127597284e-24,2.0685187312129997e-114,4.8357392126924901e-24,8.8536036945871447e-77,5.2879491279037034e-68,2.5365199414914241e-117,1.5326821458364019e-118,1.0631551143703074e-53,2.1717135352646993e-91,1.9177845387747985e-17,9.2208784877797658e-19,3.5542247785375239e-22,1.9871868224281034e-36,3.5542247785382955e-22,2.9947191513533967e-52,7.11527304587738e-56,1.2204363135109917e-40,4.8828254287309257e-71,1.3319697030439937e-107,5.9284079952515565e-36,1.2598316983063436e-45,6.5926767226220754e-54,5.2573572983098749e-83,2.2452700429561648e-107
1.0105597143515485e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,7.832124629313201e-62,1.0883374974551973e-39,3.5316181386527487e-88,6.4486949978707617e-54,9.4315508063514974e-136,1.0275945827265181e-23,1.6349917839799421e-112,1.0275945826971534e-23,1.6413089130592706e-75,9.9037434776001872e-67,5.6863851266599276e-115,3.4359757301400529e-116,9.403486578610833e-53,8.0847449782868643e-90,4.0752921448964372e-17,1.9594366786532002e-18,7.5527276543906406e-22,8.6785669248635427e-36,7.5527276543940101e-22,2.6487951725389535e-51,6.2933784311751607e-55,5.3299660184946708e-40,9.0519354305275971e-70,9.9369072587954179e-106,2.5890915241842132e-35,1.1143068669382979e-44,8.6779236932628929e-53,2.9441960392672792e-81,5.0334594136815938e-105
2.0805641177825999e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,1.3210027220208946e-60,4.543594812210797e-39,4.0472328159476863e-86,5.5169943390338346e-53,4.3227898794251183e-133,2.1156359056755528e-23,1.1588242753844334e-110,2.1156359055529607e-23,2.8209906653071507e-74,1.7106253934598272e-65,1.3031916488199155e-112,7.8744840128266448e-114,7.9041970558968478e-52,2.7853172272237625e-88,8.3903073571396819e-17,4.0341343384036471e-18,1.5549733406091799e-21,3.6231308453434785e-35,1.5549733406105854e-21,2.2264719398287251e-50,5.2899637758996764e-54,2.2251558921860518e-39,1.5557964225566908e-68,6.8544227522211871e-104,1.0808947445064896e-34,9.3664205851640977e-44,1.2083375468681891e-51,1.6873601640419246e-79,1.1535557522682023e-102
4.2205729246447026e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,2.1697512760998149e-59,1.856206734636353e-38,4.8220310581250703e-84,4.5615576077158375e-52,2.0596212102022973e-130,4.2917185517653968e-23,7.7983561329418026e-109,4.2917185512645669e-23,4.6755851460729899e-73,2.8422296638688895e-64,3.1048286893141486e-110,1.8760804597468932e-111,6.4803382716633524e-51,9.2434523620674785e-87,1.7020337781626039e-16,8.183529657904537e-18,3.1543744909473784e-21,1.4801671637516443e-34,3.1543744909531215e-21,1.8253962065423943e-49,4.3370319096320663e-53,9.090487870522241e-39,2.578618473672571e-67,4.5520562871590653e-102,4.4158077147235972e-34,7.6791574062187615e-43,1.7760317330089778e-50,1.0055308295125376e-77,2.7483240837873854e-100
8.500590538368908e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,3.5172605708666097e-58,7.503084403324397e-38,5.9238483628414174e-82,3.7093828901511924e-51,1.0119018423306491e-127,8.6438838447121838e-23,5.116786698462563e-107,8.6438838426877474e-23,7.6129783440115297e-72,4.6335516549303578e-63,7.6275714242093952e-108,4.6089298754312466e-109,5.2479459040202102e-50,3.0118443750459646e-85,3.4280398630598244e-16,1.6482320296906309e-17,6.3531767916156481e-21,5.9830722823525865e-34,6.353176791638863e-21,1.4782531625063917e-48,3.5122408855657851e-52,3.6745205420275742e-38,4.1986117211493265e-66,2.9672948195695656e-100,1.7849400778649255e-33,6.2187806258150909e-42,2.7103227169086582e-49,6.1780326070980221e-76,6.7517535884243528e-98
1.706062576581732e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999925,0.11866996602996464,0.022821567693054271,0.0,5.6644398523912259e-57,3.0169572388137522e-37,7.4173159421916572e-80,2.9917516825116511e-50,5.0674665482937088e-125,1.7348214433674153e-22,3.315601632474748e-105,1.7348214425533986e-22,1.2287377740377126e-70,7.4831981738970706e-62,1.9099656705943253e-105,1.1540892048944761e-106,4.2240033561334766e-49,9.7250629781963834e-84,6.8800520328540598e-16,3.3079901574909804e-17,1.2750781392919671e-20,2.4057670084882739e-33,1.275078139301302e-20,1.1898267307541392e-47,2.8269570227547591e-51,1.4775085491153949e-37,6.7765762454189983e-65,1.9165193529975583e-98,7.1771655235086794e-33,5.0054154482531037e-41,4.2292213981208103e-48,3.8683900733871915e-74,1.690658382758226e-95
3.418069622071414e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999853,0.11866996602996395,0.022821567693054254,0.0,9.092680337758186e-56,1.2099347894756833e-36,9.3863816594264341e-78,2.4031376497989434e-49,2.564924908350362e-122,3.4756875623871684e-22,2.1351546367783383e-103,3.4756875591225958e-22,1.9745486164991013e-69,1.2029022105348736e-60,4.833798554064053e-103,2.9208036645669236e-104,3.3894965650887305e-48,3.1260345945544799e-82,1.3784076372441701e-15,6.6275064130916615e-17,2.5545990595397653e-20,9.648201374855938e-33,2.5545990595772021e-20,9.5476098738536871e-47,2.2684549752263173e-50,5.9254701161655231e-37,1.0889776104150482e-63,1.2321850267622155e-96,2.8783643613927042e-32,4.0165303123470582e-40,6.6800169493340913e-47,2.4478714124439221e-72,4.2787690740007848e-93
6.842083713050777e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999709,0.11866996602996258,0.022821567693054219,0.0,1.4571996473916749e-54,4.8460501442609964e-36,1.1944895950916293e-75,1.9264122750389714e-48,1.3055825057272494e-119,6.9574198053361075e-22,1.3707284854597133e-101,6.9574197922607914e-22,3.1661480113843233e-68,1.9291275904238106e-59,1.2302490746610719e-100,7.433731392395217e-102,2.7157217335007342e-47,1.0025788788849493e-80,2.7592125051613691e-15,1.3266538924292958e-16,5.1136408999833378e-20,3.864312756888059e-32,5.1136409001332823e-20,7.6497058235057556e-46,1.8175244489576178e-49,2.3732787571601847e-36,1.746153154621081e-62,7.9039901331230506e-95,1.1528470753285819e-31,3.2181113721003607e-39,1.0618273983441696e-45,1.557622059769613e-70,1.0889886353771582e-90
1.3690111895009504e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.3375675631999942,0.11866996602995981,0.022821567693054153,0.0,2.3334177424334144e-53,1.9396829748254525e-35,1.5244574681767387e-73,1.5426922090555467e-47,6.6648418516448721e-117,1.3920884310871723e-21,8.7862212092873236e-100,1.3920884258536386e-21,5.0713392726462228e-67,3.0901957818511874e-58,3.1401547164505992e-98,1.8974260719443994e-99,2.174228380226989e-46,3.2118533058114554e-79,5.5208222409944452e-15,2.6544603946695271e-16,1.0231724580662386e-19,1.5467319570483306e-31,1.0231724581262557e-19,6.124415202410126e-45,1.4551246918413123e-48,9.4992999867312007e-36,2.7968796901529575e-61,5.0643228768349522e-93,4.6143925785566616e-31,2.5764449367473956e-38,1.6933286437517903e-44,9.9397374063097852e-69,2.7795938775369403e-88
2.7386168258926964e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319998843,0.11866996602995429,0.022821567693054021,0.0,3.7349870780952559e-52,7.761258453422204e-35,1.9484024288470948e-71,1.2347790281869117e-46,3.407292827390707e-114,2.78478134004939e-21,5.6275243463003997e-98,2.784781319108437e-21,8.1185473093487912e-66,4.9471874469418745e-57,8.0267900718711249e-96,4.8501561647157707e-97,1.7400430457618351e-45,1.0283695527529008e-77,1.1044041712655316e-14,5.3100733991498832e-16,2.04678919411881e-19,6.1889408219037208e-31,2.0467891943589566e-19,4.9013922082069409e-44,1.1645419955737355e-47,3.8009573479402862e-35,4.4774366024779833e-60,3.2430139478094956e-91,1.8463579807016184e-30,2.0619375263922022e-37,2.704842479670834e-43,6.3520402369530492e-67,7.1051328694105849e-86
5.477828098676187e-20,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319997683,0.11866996602994324,0.022821567693053754,0.0,5.9771922988051925e-51,3.1050087642039012e-34,2.4920353567903193e-69,9.8807338786436147e-46,1.7431836423645625e-111,5.5701671893942057e-21,3.6030059085779112e-96,5.5701671056167565e-21,1.299320027566027e-64,7.9177968337226873e-56,2.0532706884032729e-93,1.2406806952353614e-94,1.3922980885525682e-44,3.2917052418020367e-76,2.2090480655955932e-14,1.0621299408110158e-15,4.0940226658909967e-19,2.4759779537930357e-30,4.0940226668517397e-19,3.9218563973751524e-43,9.3181053110606547e-47,1.5206304523562149e-34,7.1658423952143862e-59,2.0761202508173523e-89,7.3866333732793853e-30,1.6498609695273422e-36,4.3241545293938118e-42,4.0621994520901593e-65,1.8175087255374391e-83
1.0956250644243171e-19,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319995368,0.11866996602992115,0.022821567693053223,0.0,9.5644708777891088e-50,1.2421045894681469e-33,3.1884234031064411e-67,7.9055878839518418e-45,8.9212160486923821e-109,1.1140939013765353e-20,2.3063688035484477e-94,1.1140938678628282e-20,2.079194050113493e-63,1.2670302556287566e-54,5.2540888786613574e-91,3.1747624310883101e-92,1.1139430770340808e-43,1.053493327281092e-74,4.4183358542472661e-14,2.1243751426028964e-15,8.188489608103552e-19,9.9047068737551143e-30,8.1884896119468367e-19,3.1377797271386759e-42,7.4551920630657667e-46,6.0830169292561495e-34,1.1466903115271021e-57,1.3289062135780314e-87,2.9548931610656245e-29,1.320010369470767e-35,6.9157573824893343e-41,2.598688283151983e-63,4.6508004772522072e-81
