Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),HX(19),HOX(22),CH3OO(77),CH3X(21),H2X(49),C2H4(47),H2OX(23),CH2X(27),CHX(28),CX(26),OCX(25),C2H6X(52),COX(50),C2H4X(205),C2H4X(65),acetyl(43)
0.0,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.473197265377275e-24,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,1.4568411250267563e-65,3.1305490777493371e-36,1.5601200705621863e-90,1.993721216691447e-54,5.5925204474405604e-134,5.7131115625335677e-20,-7.8564802000090111e-106,5.7131115625335532e-20,2.9547220032957607e-72,2.1023659331152847e-70,3.5936238478816102e-114,4.1667974070755095e-115,3.538834383495075e-53,1.4240337875655086e-85,3.1200861677964954e-18,9.2380206004058527e-20,3.6982894197505994e-22,9.4957448387169552e-38,3.5161132011223705e-37,3.6982894197487732e-22,2.3219316211619665e-52,2.4270824294704157e-98,3.5899983052133138e-54,1.8795872738394626e-35,2.084314608956353e-45,1.1347491793035103e-51,1.5098531025995058e-82,3.8288283957872221e-71,6.3287079182072522e-108,4.8256396171189193e-115,2.8313310571892716e-102,-5.9172929145980848e-126
1.812495234305637e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996532,0.022821567693054285,0.0,3.2589376636541259e-64,1.8908516429606004e-35,1.7254608674131897e-88,3.0129115054676801e-53,2.019668119150756e-131,1.5996712375094036e-19,1.5167042975444274e-104,1.5996712375093947e-19,8.3327888122931012e-71,6.6101748484036596e-69,7.1899902050316848e-112,8.3367747464374301e-113,4.2013041798377262e-52,7.3712090126565835e-84,8.7362412698301852e-18,2.5866457681136387e-19,1.035521037530248e-21,5.7354298822158993e-37,2.1237323734756945e-36,1.0355210375291446e-21,2.7565972206434799e-51,2.2856608041266747e-96,4.2620459876827458e-53,1.1352707132770102e-34,2.4744983023189946e-44,1.3483646436264237e-50,9.1931561034625671e-81,1.0797908698354588e-69,1.2662245651886642e-105,8.2282816597438049e-113,2.6663546083083875e-100,1.0935427697681254e-123
4.142846249841456e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996531,0.022821567693054285,0.0,6.4391490809836986e-63,9.103636718095074e-35,1.5639767278474022e-86,3.2411527107606327e-52,7.3263017059365302e-129,3.6563914000215159e-19,1.6014796108270815e-102,3.6563914000214716e-19,1.812563577709572e-69,1.474693645797724e-67,1.3040926467375258e-109,1.5120919965545688e-110,4.1248653566342163e-51,3.2185583348831526e-82,1.9968551473897546e-17,5.9123331842597454e-19,2.3669052286409455e-21,2.7613625985451755e-36,1.0224857188830589e-35,2.3669052286356315e-21,2.706443497626362e-50,1.9976793421438411e-94,4.1845020237304814e-52,5.4658397904947755e-34,2.4294771037541624e-43,1.3263539390592958e-49,4.1580189787207219e-79,2.3487809979293603e-68,2.2966291990512616e-103,1.4381051433314803e-110,2.3304076919754696e-98,4.5666506401143636e-121
8.803548280913094e-23,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999988,0.11866996602996528,0.022821567693054285,0.0,1.1458152335297328e-61,3.9757973287416609e-34,1.1880615853594042e-84,2.9791777426440002e-51,2.2297068622240588e-126,7.7698317250458139e-19,1.2658361622993564e-100,7.7698317250456232e-19,3.36018739739619e-68,2.76193799032066e-66,1.9834030152921653e-107,2.2997505835703163e-108,3.6483966943960252e-50,1.1981885692111374e-80,4.2433171882032204e-17,1.256370801655196e-18,5.0296736108636226e-21,1.2059595939448796e-35,4.465463765391037e-35,5.0296736108404174e-21,2.3938186241530854e-49,1.4903307718308197e-92,3.701144651007783e-51,2.3870758358847221e-33,2.1488449799143787e-42,1.1776306347684332e-48,1.5758978649805712e-77,4.354244124479307e-67,3.4929583337343552e-101,2.1478460594774608e-108,1.7385564440323484e-96,1.4753684898692008e-118
1.8124952343056368e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999982,0.11866996602996524,0.022821567693054285,0.0,1.9325873558839332e-60,1.6598171210227e-33,8.3151996373706316e-83,2.5487492813026046e-50,6.247580694886515e-124,1.59967123750947e-18,8.9717984304724993e-99,1.59967123750939e-18,5.7753036045369957e-67,4.7705610302592418e-65,2.7779324870675791e-105,3.2210054179568014e-106,3.0666972524619599e-49,4.1279412922121561e-79,8.7362412698301254e-17,2.5866457681136382e-18,1.0355210375314109e-20,5.0346439083381607e-35,1.8642432192041433e-34,1.0355210375217229e-20,2.0121487919929195e-48,1.0280217863290294e-90,3.1110350881773015e-50,9.9655717088742715e-33,1.8062336741509979e-41,9.9741550917132666e-48,5.5085459792017742e-76,7.483833135804735e-66,4.8921990923401754e-99,2.9647827928883181e-106,1.1992464586496513e-94,4.253495942125415e-116
3.6767760467342917e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999971,0.11866996602996514,0.022821567693054285,0.0,3.1742825453638445e-59,6.7808945243681819e-33,5.6239588220164752e-81,2.1073551937589927e-49,1.6908536583516129e-121,3.2450473675193632e-18,6.0376090487823313e-97,3.2450473675190362e-18,9.5721421837859246e-66,7.9263584930822936e-64,3.7586415591496137e-103,4.3581350095878883e-104,2.5142636870380094e-48,1.3699132118583691e-77,1.7722089433083834e-16,5.2471957010305212e-18,2.1006283904235609e-20,2.0568163106854767e-34,7.6160418378971594e-34,2.1006283903839818e-20,1.6496811485852062e-47,6.8271438820524596e-89,2.5506145233404311e-49,4.0712612042147928e-32,1.4808594792043036e-40,8.3011628123582846e-47,1.8619036067353174e-74,1.2403904584240198e-64,6.6193195512633829e-97,3.9389739594287579e-104,7.9642554505536364e-93,1.1673794881552488e-113
7.4053376715916015e-22,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999955,0.11866996602996496,0.022821567693054282,0.0,5.1456504048333517e-58,2.740945983925282e-32,3.7796469518802979e-79,1.7136662454944435e-48,4.5457669123743159e-119,6.5357996275396174e-18,3.9614961335714704e-95,6.5357996275382931e-18,1.5585752130350236e-64,1.2921964825700627e-62,5.0523251496361761e-101,5.8581577327548986e-102,2.0361159162821343e-47,4.4636627526230958e-76,3.569378575959085e-16,1.0568295566864283e-17,4.2308430962160704e-20,8.3139803661846683e-34,3.078525880800821e-33,4.2308430960560876e-20,1.3359545649962352e-46,4.4503291250373078e-87,2.0655537656610982e-48,1.6456688665802021e-31,1.1992383759900005e-39,6.9229301248297386e-46,6.2559712131269346e-73,2.0196543113012699e-63,8.8976174276526687e-95,5.1360416464097743e-102,5.1915645154560939e-91,3.1604627130725423e-111
1.4862460921306223e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999916,0.1186699660299646,0.022821567693054275,0.0,8.2869126110754196e-57,1.1021223250179695e-31,2.5817461114353757e-77,1.3821339088127452e-47,1.2418005237529466e-116,1.3117304147581992e-17,2.5669905390755927e-93,1.3117304147576668e-17,2.5155466775306982e-63,2.0869007620637425e-61,6.9013124343958598e-99,8.0020536299782606e-100,1.6388432207933797e-46,1.4412896543396505e-74,7.1637178412603256e-16,2.1210495298531782e-17,8.4912725078339288e-20,3.3430149243597355e-33,1.2378617167331662e-32,8.4912725071906442e-20,1.0752924593291316e-45,2.8743830370320008e-85,1.6625373624969765e-47,6.6171620848823794e-31,9.6525133751032791e-39,5.8948304312863479e-45,2.1371386707242236e-71,3.2597302010684295e-62,1.2153857078946803e-92,6.6350217030814941e-100,3.3531328807265277e-89,8.6650013727700565e-109
2.9776707420735462e-21,0.16628943999999996,0.8585084662769803,0.0,0.0,0.45230727679999844,0.11866996602996387,0.022821567693054264,0.0,1.3302330945296763e-55,4.420003459579857e-31,1.8385824936915418e-75,1.1102051192221234e-46,3.5357899664878337e-114,2.6280313187674193e-17,1.6530700481763273e-91,2.6280313187652853e-17,4.0424159790875698e-62,3.3546319960650066e-60,9.826549703179445e-97,1.1393858555028606e-97,1.3150684631741559e-45,4.6328968051619126e-73,1.4352396371862155e-15,4.2494894761866695e-17,1.7012131331201011e-19,1.3406984928992657e-32,4.9643791305776819e-32,1.7012131328621146e-19,8.6285447905756675e-45,1.848022945235769e-83,1.3340815188653023e-46,2.6537779169519538e-30,7.7455334656912179e-38,5.2480497958922726e-44,7.6144004351020351e-70,5.2382989232833337e-61,1.7305473674438724e-90,8.5319979505298358e-98,2.1558248753275922e-87,2.4722481879476999e-106
