Time (s),Volume (m^3),Ar,Ne,N2,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(48),OX(20),CH3X(21),HOX(22),HX(19),H2X(49),C2H6X(52),CH3OO(77),CH2X(27),CHX(28),CX(26),OCX(25),COX(50),H2OX(23)
0.0,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.326656734914361e-24,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,9.4126493657029798e-66,8.3315397842542187e-42,1.8777436003389427e-94,4.1370250362060112e-57,9.3418929447762415e-144,7.4501587478080568e-25,-9.3267403738175508e-118,7.4501587477855755e-25,1.3641892692959874e-79,5.3441030984943521e-72,4.1219940101364451e-122,2.4906994689096564e-123,6.5576070103611353e-57,8.9552046555871975e-95,2.9546266505694328e-18,1.4206107501034383e-19,5.4758013950262644e-23,6.6436973308746275e-38,5.4758013950265206e-23,5.8518098352046285e-58,7.5235990582417488e-74,4.0802433214058488e-42,1.9820250964122031e-37,1.0361226472127684e-47,3.4861997613325215e-56,1.1533794663625078e-86,3.6486971018590395e-112,2.4629459173634215e-54
2.051463885776021e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996532,0.022821567693054285,0.0,2.1055725237440017e-64,5.0322500296895763e-41,2.4238987797490024e-92,6.2518722347258274e-56,3.9332893183324623e-141,2.0860444493935385e-24,1.8002469583408254e-116,2.0860444493799612e-24,3.8472320097044809e-78,1.680271520960834e-70,9.6188498407433142e-120,5.8121540523701063e-121,7.785191018848013e-56,4.6354718396339402e-93,8.2729546215944087e-18,3.9777101002896271e-19,1.5332243906072769e-22,4.0127931744227896e-37,1.5332243906074326e-22,6.9472686363549431e-57,2.1217753120127941e-72,2.464466966136238e-41,1.1971431581724939e-36,1.2300848059999848e-46,4.8529237150487853e-55,8.2073019609684421e-85,8.5143912025985364e-110,2.9240093841252183e-53
4.6890603103451914e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996531,0.022821567693054285,0.0,4.1602569183948722e-63,2.4228117692611665e-40,2.8767301536432423e-90,6.7254788608710642e-55,1.8666052526659502e-138,4.7681015986481381e-24,1.9008858217280081e-114,4.7681015985827681e-24,8.3685699616970608e-77,3.748593306393232e-69,2.2830022902553408e-117,1.3794955979739064e-118,7.6435466573334842e-55,2.0240284190037252e-91,1.8909610563644344e-17,9.0919088006620048e-19,3.5045128928162689e-22,1.9319871636801138e-36,3.5045128928170189e-22,6.8208695439145334e-56,4.6153247573297258e-71,1.1865347578754799e-40,5.7637289794595337e-36,1.207704555201059e-45,6.277247249917386e-54,4.8669594987318843e-83,2.0208626745833238e-107,2.8708097334760344e-52
9.964253159483531e-23,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999998,0.11866996602996528,0.022821567693054285,0.0,7.4029551830530974e-62,1.0581055526003265e-39,3.2160141309779997e-88,6.1818737711103141e-54,8.3502538174650548e-136,1.0132215897273865e-23,1.5024919316348978e-112,1.0132215896988375e-23,1.5513918333719559e-75,7.0207003012790862e-68,5.1058464193107022e-115,3.0851886086289229e-116,6.7606303681206534e-54,7.5349503195212762e-90,4.0182922447744138e-17,1.9320306201406762e-18,7.4470898972330202e-22,8.4374954021157467e-36,7.4470898972362937e-22,6.0329818677025997e-55,8.5560342682832357e-70,5.1819090182955721e-40,2.5171718715061061e-35,1.0682009993511739e-44,8.2429713907245331e-53,2.7190620986120416e-81,4.5195812964770513e-105,2.5391986645791739e-51
2.0514638857760212e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999992,0.11866996602996524,0.022821567693054285,0.0,1.2486165937252946e-60,4.4173823936119487e-39,3.6783329942548816e-86,5.288723161988396e-53,3.8196887476704954e-133,2.0860444494991437e-23,1.0649130723655291e-110,2.0860444493799571e-23,2.6664461792379622e-74,1.2126513511057562e-66,1.1678511677878505e-112,7.0566970165918992e-114,5.6827170317422194e-53,2.5959046312040041e-88,8.2729546215943406e-17,3.9777101002896277e-18,1.5332243906061581e-21,3.5224881375442023e-35,1.5332243906075247e-21,5.0710847742310291e-54,1.4705636830964307e-68,2.1633450091085111e-39,1.0508697052740966e-34,8.9788729900578141e-44,1.1455406866213249e-51,1.5552875161488858e-79,1.0337557892361781e-102,2.1343494189239056e-50
4.161541025431357e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999981,0.11866996602996516,0.022821567693054282,0.0,2.0508564234140729e-59,1.8046448434289066e-38,4.3766765056274262e-84,4.3728185842033216e-52,1.8174850854274794e-130,4.2316901692291065e-23,7.1663767883820677e-109,4.2316901687421885e-23,4.4194389941701338e-73,2.0148382454121384e-65,2.7786711347011203e-110,1.6790016439742684e-111,4.6590345099670387e-52,8.614861014923595e-87,1.678227937523407e-16,8.069069060587526e-18,3.1102551923698942e-21,1.4390512580883629e-34,3.1102551923754779e-21,4.1575816799518278e-53,2.4373514586908276e-67,8.8379702447372265e-39,4.2931456326897544e-34,7.3614224777565867e-43,1.6815215088860332e-50,9.2559814767290716e-78,2.4596176730501307e-100,1.749868512362314e-49
8.381695304742029e-22,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999964,0.11866996602996499,0.022821567693054278,0.0,3.3245263167202071e-58,7.2946629950267229e-38,5.3724701569925438e-82,3.5559034507298346e-51,8.9222825544333948e-128,8.5229816094348234e-23,4.7021219346508312e-107,8.5229816074666203e-23,7.1959107371955729e-72,3.2846944964082628e-64,6.8208797227698296e-108,4.1214910699058298e-109,3.7730065381846418e-51,2.8070270363570134e-85,3.3800928882513025e-16,1.6251786981183313e-17,6.2643167958894639e-21,5.8168746062997417e-34,6.2643167959120356e-21,3.3669174370093337e-52,3.9685950083360863e-66,3.5724488802606428e-38,1.7353581032378717e-33,5.9614706504362568e-42,2.5640977793426498e-49,5.682441697768535e-76,6.0376904993254846e-98,1.4170887387090582e-48
1.6822003863363374e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999931,0.11866996602996464,0.022821567693054271,0.0,5.3540460552670655e-57,2.933151907207869e-37,6.7240002421132398e-80,2.8679649544448327e-50,4.4662020170943643e-125,1.7105564492829418e-22,3.0469050365680024e-105,1.7105564484915363e-22,1.1614228941491302e-70,5.3047892145837882e-63,1.7072215415709586e-105,1.0315822333649761e-106,3.0368432595710382e-50,9.06372020289316e-84,6.7838227897068934e-16,3.2617222822374845e-17,1.2572440002896992e-20,2.3389391621488466e-33,1.257244000298775e-20,2.7099880685022285e-51,6.4053283435838566e-65,1.4364659828342008e-37,6.9777985852650496e-33,4.798310006718533e-41,3.9993441407822686e-48,3.5565360913639071e-74,1.5111944059030292e-95,1.1405960577588959e-47
3.370262098060606e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999859,0.11866996602996396,0.022821567693054254,0.0,8.5944261285900253e-56,1.1763251032166205e-36,8.5070670805454789e-78,2.3037054180062867e-49,2.2600720556933123e-122,3.4270730271551263e-22,1.9621215507025278e-103,3.4270730239812366e-22,1.8663754116364941e-69,8.5272899654863122e-62,4.3196962407914537e-103,2.6101603025843281e-104,2.436874424529369e-49,2.9134518689632199e-82,1.3591282592617271e-15,6.5348094504757748e-17,2.5188686416785602e-20,9.3801878771688331e-33,2.5188686417149579e-20,2.1745947558860831e-50,1.0293190692329806e-63,5.7608710685437464e-37,2.7984093030847547e-32,3.8503412579993503e-40,6.3155156088859759e-47,2.2500232131171643e-72,3.8236987019884666e-93,9.1525611399474738e-47
6.746385521509144e-21,0.11640260799999998,0.8585084662769803,0.0,0.0,0.33756756319999714,0.1186699660299626,0.022821567693054223,0.0,1.3773479996036129e-54,4.7114360920317909e-36,1.0824631911842033e-75,1.8467050340183204e-48,1.1502726126777531e-119,6.8601061876725548e-22,1.259644549922209e-101,6.8601061749604429e-22,2.9926945068228495e-68,1.3675439931803914e-60,1.0992757107861422e-100,6.6423323815759104e-102,1.9524632943489946e-48,9.3439954681234104e-81,2.7206202198434821e-15,1.3080983786952289e-16,5.042117924405702e-20,3.75696440309805e-32,5.0421179245514828e-20,1.7423220555672032e-49,1.6504919133906025e-62,2.3073532836258003e-36,1.1208233483348991e-31,3.0849579253428694e-39,1.0037728264938009e-45,1.4315614447634397e-70,9.730543241640855e-91,7.3331803552808304e-46
