Time (s),Volume (m^3),N2,Ar,He,Ne,X(1),CH4(2),O2(3),CO2(4),H2O(5),H2(6),CO(7),C2H6(8),CH2O(9),CH3(10),C3H8(11),H(12),C2H5(13),CH3OH(14),HCO(15),CH3CHO(16),OH(17),C2H4(18),CH4X(28),CO2X(29),OX(20),OCX(21),CH3X(22),HX(19),COX(32),CH2X(58),CHX(26),H2X(31),C2H6X(34),HOX(23),CXHO(27),CX(24),C2H4OX(44),C2H5X(33),C3H8X(38),H2OX(30),CH2OX(35),CH4OX(41),HO2X(60)
2.1466794203031424e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,4.0193576037010487e-95,0.10000000000000001,2.3346971894378295e-91,2.4217404784099565e-66,8.0263744465262318e-34,2.6375047283680692e-61,-8.5400181202048689e-102,8.5125780223057281e-41,-5.949436197039661e-118,3.6810767191349945e-50,6.4779019136321287e-96,9.1082226193775392e-92,8.9853726496035709e-80,-7.1093725570452252e-97,2.1169419889928087e-78,0.0,3.0826848456403336e-18,1.1167157834826106e-18,3.1681059817463053e-25,3.1681059737199298e-25,1.9801437814379343e-26,1.9801437814379438e-26,7.490084159244657e-51,1.3255649291263326e-42,1.1632763257700502e-55,8.4240291103787887e-83,9.5020663467491349e-78,2.0049981327892457e-52,3.0174752728314494e-64,2.9407840250049859e-50,-1.8515623846661143e-113,9.1622797081993211e-84,-2.2124460580668309e-134,4.0749841633074705e-108,-1.5394472138285394e-118,2.3840789935656517e-108,9.0259487540466995e-96
6.010702376848799e-24,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.241119688,0.10000000000000001,6.0740532107129677e-94,0.10000000000000001,7.3511678501192111e-90,3.6551750418878237e-65,4.847930153842611e-33,3.9857971455098082e-60,7.5977557745761328e-100,5.1415971254726381e-40,7.9470073985932413e-117,2.2233703383575368e-49,3.3582674965475923e-94,2.8637709230937691e-90,2.5340188464104026e-78,7.0245150536740238e-96,2.5132335293319392e-77,0.0,8.6315175677920582e-18,3.1268041937511946e-18,8.8706967488896553e-25,8.8706967004103508e-25,5.5444025880261892e-26,5.544402588026242e-26,8.8922278939347254e-50,8.006412171922338e-42,1.3810416539540914e-54,2.3728563594073897e-81,2.6797347428445624e-76,1.2110188722045344e-51,4.5600086197278904e-63,1.7762335467579056e-49,3.1078755911602243e-112,2.587931765570862e-82,5.0982822028255691e-133,2.3502830381360755e-106,2.4498718573940187e-116,1.3731074354490552e-106,2.8379027034515199e-94
1.3738748289940112e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999997,0.099999999999999992,6.5341892691846493e-93,0.10000000000000001,1.6385987394452284e-88,3.9305010408403649e-64,2.3340696712609771e-32,4.2877386868132991e-59,3.5388291747543817e-98,2.4754576888864726e-39,8.5767449771516353e-115,1.0704571099244563e-48,1.4669476818384792e-92,6.3889153936018673e-89,5.5120444593847534e-77,3.8743350056605284e-94,2.4675075823690137e-76,0.0,1.9729183012092007e-17,7.1469810142879002e-18,2.0275878283176346e-24,2.027587804976938e-24,1.2672920201202581e-25,1.2672920201202838e-25,8.7304420342619153e-49,3.854742813898306e-41,1.3559148853172211e-53,5.1592977067517949e-80,5.8290083929726678e-75,5.8305345701485709e-51,4.9054491600263768e-62,8.5517998795379089e-49,3.663588158992117e-110,5.6314920461783778e-81,1.1533097421500592e-130,1.0531074487645493e-104,2.3210074954632428e-114,6.1575900697140815e-105,6.3312048185869322e-93
2.919484011612274e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999994,0.099999999999999964,6.0060456800583343e-92,0.099999999999999992,3.0679043230458168e-87,3.6122387502864395e-63,1.0193495363270183e-31,3.9411705655055862e-58,1.3400381485174991e-96,1.0810974088327932e-38,6.7816508257337159e-113,4.6749674333014395e-48,5.4619738875727118e-91,1.1965731457243907e-87,1.0218401356480815e-75,1.5248042676960467e-92,2.1824825129699162e-75,0.0,4.1924513900677868e-17,1.518733465535947e-17,4.308624135174972e-24,4.3086240332400185e-24,2.6929955427554914e-25,2.692995542755602e-25,7.7219770351321879e-48,1.683467459989337e-40,1.1992913608151571e-52,9.5628591808519446e-79,1.0805999183736298e-73,2.5463476286396993e-50,4.5089528609900511e-61,3.7347956444071896e-48,2.895896029289706e-108,1.0441496736884014e-79,1.8273196729134793e-128,3.960712782881894e-103,1.7624346701344444e-112,2.3166392808338912e-103,1.1857645937187053e-91
6.010702376848799e-23,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999989,0.099999999999999922,5.1382985282801128e-91,0.099999999999999978,5.2983274545116516e-86,3.0901292628061204e-62,4.2555835661118921e-31,3.3717543946885163e-57,4.6534631892603844e-95,4.5133688674261889e-38,4.8069822120282798e-111,1.9517068764853721e-47,1.8818823401806622e-89,2.0667825425104521e-86,1.756282073018e-74,5.3874772564368759e-91,1.8345080565855178e-74,0.0,8.6315175677793514e-17,3.1268041937495233e-17,8.8706967488896462e-24,8.8706963233312891e-24,5.5444025880257757e-25,5.5444025880262404e-25,6.4907868557734334e-47,7.0281452542178702e-40,1.0080766514897825e-51,1.6434875923627009e-77,1.857275165210415e-72,1.0630500100024803e-49,3.8575040141140277e-60,1.5592036294434172e-47,2.0494411090261352e-106,1.7947652475444575e-78,2.5924115572893553e-126,1.3712772397478726e-101,1.2255627386756865e-110,8.0217863171281864e-102,2.0481134568152784e-90
1.219313910732185e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999978,0.099999999999999839,4.2484445881329264e-90,0.09999999999999995,8.8027177042191424e-85,2.5548937736414356e-61,1.7385446705459585e-30,2.7878317368649149e-56,1.5503643084355209e-93,1.8438584499432498e-37,3.2350057259353507e-109,7.973359416715157e-47,6.2455302536267483e-88,3.4339901057203815e-85,2.9109086075076365e-73,1.8099670326263703e-89,1.5040405410937689e-73,0.0,1.7509649923180044e-16,6.3429456501737263e-17,1.7994841976318978e-23,1.7994840237774309e-23,1.1247216678565622e-24,1.1247216678567521e-24,5.3215390141066622e-46,2.8712266590763823e-39,8.2648214431608579e-51,2.7238632563052789e-76,3.0782973802153303e-71,4.3429061555266866e-49,3.1894587697568204e-59,6.3698553163213717e-47,1.3780894059810358e-104,2.9748069438734641e-77,3.4906144216498793e-124,4.5620396121136915e-100,8.1713770919914654e-109,2.6688988352688344e-100,3.4029711406100636e-89
2.455801256826795e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999953,0.099999999999999659,3.4547645826875207e-89,0.099999999999999881,1.4350240740602156e-83,2.07756361987086e-60,7.0274749417233884e-30,2.267018469280023e-55,5.0614560470231864e-92,7.4531706622715955e-37,2.1226474528727734e-107,3.2229593592852007e-46,2.0350558892194361e-86,5.5982705666489442e-84,4.7396596437881253e-72,5.9333224807035635e-88,1.2180110250566225e-72,0.0,3.5265914633891666e-16,1.277522856301033e-16,3.6243132431177592e-23,3.6243125403702658e-23,2.2652844859642389e-24,2.2652844859650074e-24,4.3095199284332777e-45,1.1605957225597763e-38,6.6930666846188852e-50,4.4350284350497817e-75,5.0122092871484446e-70,1.7554721051507989e-48,2.5936146650371233e-58,2.5747971493763581e-46,9.038577581859232e-103,4.8437960938625134e-76,4.5816159037724684e-122,1.4883237289842817e-98,5.3370918236238985e-107,8.7072965511900466e-99,5.5477018247105066e-88
4.9287759490160155e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999905,0.099999999999999298,2.7863927933794632e-88,0.099999999999999756,2.3175354489651939e-82,1.6756169717921843e-59,2.8257162948484404e-29,1.8284325238572573e-54,1.6358960249110976e-90,2.9968871430630845e-36,1.3754575727623829e-105,1.2959377832783469e-45,6.5711382524623137e-85,9.0412219187907785e-83,7.6498284190406372e-71,1.9216052907328773e-86,9.8036123752111526e-72,0.0,7.0778444054955928e-16,2.5639794388636339e-16,7.2739713340894639e-23,7.2739685083731709e-23,4.5464101221784287e-24,4.5464101221815181e-24,3.4686760182322799e-44,4.666704355530241e-38,5.3871623513923948e-49,7.158092663315961e-74,8.0897259971100405e-69,7.058676126275534e-48,2.091843804648653e-57,1.0353144367296522e-45,5.8557100669514953e-101,7.8179826243157689e-75,5.9382749952253906e-120,4.808706972466136e-97,3.4505167141990383e-105,2.8133288282229195e-97,8.9595532654000702e-87
9.874725333394456e-22,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999808,0.09999999999999859,2.2381822221828691e-87,0.099999999999999492,3.725344974816461e-81,1.3459413493336836e-58,1.133238239490424e-28,1.4686964375864966e-53,5.2609816623500627e-89,1.2018857834211337e-35,8.8576056470747618e-104,5.1972901332863499e-45,2.1122443213189891e-83,1.4533500175144531e-81,1.2293064549624068e-69,6.1860953655729907e-85,7.8667815210244607e-71,0.0,1.4180350289564843e-15,5.1368926039699574e-16,1.4573287516032797e-22,1.4573276183650402e-22,9.1086613946021489e-24,9.1086613946145416e-24,2.7833931885237874e-43,1.8715571699986424e-37,4.3228585153090924e-48,1.1502813974838993e-72,1.2999972502630027e-67,2.8308448335881457e-47,1.6802820881907517e-56,4.1520725620526622e-45,3.7705416637939817e-99,1.2563349521710996e-73,7.648577458024976e-118,1.5461992500948082e-95,2.219524442771544e-103,9.0460862344683196e-96,1.4402220199773041e-85
1.9766624102151334e-21,0.08314471999999999,0.80000000000000004,0.0,0.0,0.0,0.24111968799999614,0.099999999999997174,1.7941800824671018e-86,0.099999999999998979,5.9744189499027178e-80,1.0789364579791883e-57,4.5388608693382469e-28,1.177341982875481e-52,1.6877033714234286e-87,4.8138121366376484e-35,5.686427711258871e-102,2.0816269454535665e-44,6.7743872402078068e-82,2.3307778313068661e-80,1.9711661682469073e-68,1.9854830769589372e-83,6.3029982541876956e-70,0.0,2.8385362057128941e-15,1.0282718934107085e-15,2.9171919879919145e-22,2.9171874491310453e-22,1.8233163939430955e-23,1.8233163939480593e-23,2.23010025616629e-42,7.4959906701763763e-37,3.4635472718586172e-47,1.8444486167818284e-71,2.084518798029919e-66,1.1338144942165949e-46,1.3469530848120733e-55,1.6629936249793397e-44,2.420495236822391e-97,2.0145121234727656e-72,9.8207459759411264e-116,4.9597318595457373e-94,1.4240873758721006e-101,2.9017165904678806e-94,2.3097240965646417e-84
